date,stock_count,benchmark_return,selected_return,selected_excess,turnover
2021-09-07,4334,-0.0034925307028674576,0.010923639196522365,0.014416169899389823,
2021-09-14,4351,-0.022246311086205273,-0.028785069811533698,-0.0065387587253284245,0.29128440366972475
2021-09-23,4353,-0.01782078084079207,-0.036956972125198384,-0.019136191284406315,0.268348623853211
2021-09-30,4364,-0.016149702011575836,-0.02992226899695199,-0.013772566985376156,0.368421052631579
2021-10-14,4377,-0.0036560150921941957,0.0034167066191834105,0.007072721711377607,0.365296803652968
2021-10-21,4387,-0.015547708198573373,-0.01043883287077103,0.005108875327802343,0.31890660592255127
2021-10-28,4403,0.016589152359117156,0.028995997204813276,0.012406844845696121,0.29478458049886624
2021-11-04,4415,0.0431410774733412,0.04595373043333812,0.002812652959996921,0.3642533936651584
2021-11-11,4418,0.019590021792591814,0.020127507589276315,0.0005374857966845004,0.28959276018099545
2021-11-18,4436,0.014444039621981616,0.012441328149281674,-0.0020027114726999425,0.3558558558558559
2021-11-25,4444,0.011490243327068925,0.01093582636738323,-0.000554416959685694,0.3887640449438202
2021-12-02,4448,-0.0006671867407458628,0.005580705214503923,0.006247891955249786,0.39101123595505616
2021-12-09,4456,0.012620105759800411,-0.0030090182001727443,-0.015629123959973155,0.3116591928251121
2021-12-16,4465,-0.011315084076872333,-0.00019551682149745816,0.011119567255374874,0.3668903803131991
2021-12-23,4479,0.026449497691663933,0.016702455856970288,-0.009747041834693645,0.3683035714285714
2021-12-30,4484,-0.0006403759075528768,-0.030081238108988204,-0.02944086220143533,0.2850779510022272
2022-01-07,4490,0.011431736338017282,0.01259302958401151,0.0011612932459942275,0.3674832962138085
2022-01-14,4501,-0.048715527720900036,-0.049089597353922626,-0.0003740696330225904,0.4190687361419069
2022-01-21,4513,-0.0409434371149433,-0.035248737743106245,0.005694699371837052,0.38053097345132747
2022-01-28,4522,0.006067682898404901,-0.005417399575182408,-0.011485082473587309,0.5695364238410596
2022-02-11,4531,0.03607790763343635,0.04694526069746229,0.01086735306402594,0.30396475770925113
2022-02-18,4544,-0.008052975776232511,0.020304101603881127,0.028357077380113636,0.27692307692307694
2022-02-25,4550,-0.016289375984811297,-0.046055776974707224,-0.029766400989895928,0.2813186813186813
2022-03-04,4555,-0.04707755265105671,-0.051399409571966176,-0.004321856920909466,0.3179824561403509
2022-03-11,4563,0.023965515622359174,0.018470786829962716,-0.005494728792396458,0.2647702407002188
2022-03-18,4574,-0.017953965311886238,-0.027870763940946192,-0.009916798629059954,0.18558951965065507
2022-03-25,4586,0.01329394983692251,0.0008185105461381776,-0.012475439290784332,0.261437908496732
2022-04-01,4590,-0.0589823191357415,-0.06788189968411737,-0.00889958054837587,0.23965141612200436
2022-04-12,4592,-0.007366418622192303,0.003168437349245524,0.010534855971437827,0.15000000000000002
2022-04-19,4599,-0.12220238992185928,-0.12476709159264364,-0.002564701670784361,0.16956521739130437
2022-04-26,4603,0.050516444083093116,0.05163232550154633,0.0011158814184532156,0.14750542299349245
