variant,scope,label_offset,date,stock_count,rank_ic,ic,benchmark,group_1_return,group_1_excess,turnover_1,group_1_count,group_2_return,group_2_excess,turnover_2,group_2_count,group_3_return,group_3_excess,turnover_3,group_3_count,group_4_return,group_4_excess,turnover_4,group_4_count,group_5_return,group_5_excess,turnover_5,group_5_count,group_6_return,group_6_excess,turnover_6,group_6_count,group_7_return,group_7_excess,turnover_7,group_7_count,group_8_return,group_8_excess,turnover_8,group_8_count,group_9_return,group_9_excess,turnover_9,group_9_count,group_10_return,group_10_excess,turnover_10,group_10_count,group_return,excess,turnover,selected_count
qfq_high_right__qfq_return,qfq_parser_sensitivity,1,2021-09-07,4455,-0.18630027156507267,-0.003148329322135082,-0.004111411572740009,0.006773942184476299,0.010885353757216307,,445,0.004239817122175224,0.008351228694915232,,446,0.0018066019547876531,0.005918013527527662,,445,-0.0007734638735832029,0.0033379476991568058,,446,0.0002665708138683489,0.004377982386608358,,445,-0.010560110175309886,-0.006448698602569877,,446,-0.0070868616815803085,-0.0029754501088402998,,445,-0.006256752959932029,-0.00214534138719202,,446,-0.015277901773365583,-0.011166490200625575,,445,-0.014230173909874085,-0.010118762337134076,,446,-0.014230173909874085,-0.010118762337134076,,446
qfq_high_right__qfq_return,qfq_parser_sensitivity,1,2021-09-14,4473,-0.04432669784880789,0.023714937714131374,-0.023007227100108586,-0.016742057104184208,0.006265169995924379,0.046979865771812124,447,-0.022940379141226052,6.684795888253423e-05,0.10514541387024612,447,-0.015468748314585157,0.007538478785523429,0.145413870246085,447,-0.020893653907057025,0.0021135731930515614,0.1584821428571429,448,-0.022762317976410984,0.00024490912369760226,0.16554809843400442,447,-0.021252093622573635,0.0017551334775349516,0.17225950782997768,447,-0.02723668035083851,-0.004229453250729924,0.1696428571428571,448,-0.03329901716674396,-0.010291790066635373,0.1476510067114094,447,-0.028763828276761595,-0.005756601176653008,0.10961968680089484,447,-0.020713892131556794,0.002293334968551792,0.0513392857142857,448,-0.020713892131556794,0.002293334968551792,0.0513392857142857,448
qfq_high_right__qfq_return,qfq_parser_sensitivity,1,2021-09-23,4471,-0.1124767803430504,0.025098927516415147,-0.01827640972388142,-0.008282731353109897,0.009993678370771523,0.046979865771812124,447,-0.010876328858193276,0.007400080865688144,0.10961968680089484,447,-0.014265801899729954,0.004010607824151467,0.17002237136465326,447,-0.015384423281680886,0.002891986442200534,0.19463087248322153,447,-0.017361004200690363,0.0009154055231910575,0.18344519015659955,447,-0.021334655897130482,-0.0030582461732490615,0.1901565995525727,447,-0.020270862975337367,-0.0019944532514559465,0.1767337807606264,447,-0.02696884749314704,-0.00869243776926562,0.1610738255033557,447,-0.02563785742395093,-0.0073614477000695094,0.11633109619686799,447,-0.02237242052072802,-0.0040960107968466,0.0401785714285714,448,-0.02237242052072802,-0.0040960107968466,0.0401785714285714,448
qfq_high_right__qfq_return,qfq_parser_sensitivity,1,2021-09-30,4481,0.2435551049508038,0.030971400047252528,-0.01488883975709939,-0.026601976385960124,-0.011713136628860735,0.0580357142857143,448,-0.029336176457911423,-0.014447336700812033,0.125,448,-0.03314882892770941,-0.018259989170610016,0.1741071428571429,448,-0.02950858377130847,-0.01461974401420908,0.2165178571428571,448,-0.02132565064904644,-0.00643681089194705,0.2142857142857143,448,-0.014888795750402103,4.400669728621409e-08,0.2142857142857143,448,-0.0047004498852242435,0.010188389871875146,0.2053571428571429,448,-0.0048221042487878235,0.010066735508311567,0.1897321428571429,448,0.007080993248954214,0.021969833006053603,0.140625,448,0.00831138903142754,0.023200228788526928,0.05122494432071267,449,0.00831138903142754,0.023200228788526928,0.05122494432071267,449
qfq_high_right__qfq_return,qfq_parser_sensitivity,1,2021-10-14,4489,0.08503652965111781,-0.0025163546245170957,-0.004140288213546935,-0.009042741658274967,-0.004902453444728032,0.044642857142857095,448,-0.011887724485794324,-0.007747436272247389,0.11358574610244987,449,-0.009244631325081961,-0.005104343111535026,0.1670378619153675,449,-0.011302005173065515,-0.00716171695951858,0.20044543429844097,449,-0.007678781783184839,-0.003538493569637904,0.18485523385300673,449,-0.004259055144139111,-0.00011876693059217555,0.16926503340757237,449,0.001520503606584372,0.005660791820131307,0.17817371937639204,449,0.006812718782962445,0.01095300699650938,0.1737193763919822,449,0.003141042837644958,0.007281331051191893,0.12472160356347439,449,0.0005268736023256344,0.0046671618158725696,0.04454342984409798,449,0.0005268736023256344,0.0046671618158725696,0.04454342984409798,449
qfq_high_right__qfq_return,qfq_parser_sensitivity,1,2021-10-21,4504,0.05359896647996754,0.011436486919628385,-0.01629361117462544,-0.023130756076763685,-0.006837144902138246,0.04222222222222227,450,-0.024131557079169978,-0.007837945904544539,0.0955555555555555,450,-0.018447839789962322,-0.0021542286153368832,0.14190687361419074,451,-0.020956589439133297,-0.004662978264507858,0.1644444444444444,450,-0.01700783442719862,-0.0007142232525731811,0.15964523281596454,451,-0.019956581986401083,-0.0036629708117756447,0.17333333333333334,450,-0.016706328107412825,-0.000412716932787386,0.18222222222222217,450,-0.021264113921022662,-0.0049705027463972234,0.1840354767184036,451,-0.00855167165752874,0.0077419395170966986,0.13777777777777778,450,0.007182411697765288,0.02347602287239073,0.04212860310421285,451,0.007182411697765288,0.02347602287239073,0.04212860310421285,451
qfq_high_right__qfq_return,qfq_parser_sensitivity,1,2021-10-28,4520,0.20418647416736516,-0.017265286262832216,0.017601832336465326,-0.0007496897282198962,-0.01835152206468522,0.05088495575221241,452,0.0023158450207302153,-0.01528598731573511,0.09292035398230092,452,0.0064554853169403025,-0.011146347019525023,0.13938053097345138,452,0.009838624933088451,-0.007763207403376875,0.17035398230088494,452,0.015940630784287427,-0.0016612015521778982,0.16814159292035402,452,0.022712972420076555,0.005111140083611229,0.18805309734513276,452,0.026818728574049582,0.009216896237584257,0.17920353982300885,452,0.03158076380059283,0.013978931464127507,0.16371681415929207,452,0.04314643750976115,0.025544605173295827,0.13053097345132747,452,0.017958524733346626,0.00035669239688130086,0.04646017699115046,452,0.017958524733346626,0.00035669239688130086,0.04646017699115046,452
qfq_high_right__qfq_return,qfq_parser_sensitivity,1,2021-11-04,4526,0.057888508715068294,-0.023333740772373917,0.04438604571536173,0.036034610494731195,-0.008351435220630532,0.05088495575221241,452,0.0376603941541501,-0.006725651561211625,0.11479028697571747,453,0.040077400012420224,-0.0043086457029415035,0.15265486725663713,452,0.03796886557698842,-0.006417180138373307,0.16997792494481234,453,0.04594466461655546,0.0015586189011937354,0.17439293598233996,453,0.04762895574741073,0.003242910032049004,0.1991150442477876,452,0.04756701830398205,0.0031809725886203233,0.1898454746136865,453,0.056340112368174516,0.01195406665281279,0.16150442477876104,452,0.05208952970718807,0.00770348399182634,0.13245033112582782,453,0.0425545063834101,-0.001831539331951626,0.05518763796909487,453,0.0425545063834101,-0.001831539331951626,0.05518763796909487,453
qfq_high_right__qfq_return,qfq_parser_sensitivity,1,2021-11-11,4525,-0.06485586941570318,-0.009498382150811812,0.019408792883679842,0.0185436675683931,-0.0008651253152867425,0.05088495575221241,452,0.018220183989532127,-0.001188608894147715,0.11258278145695366,453,0.023538526537949186,0.004129733654269344,0.14380530973451322,452,0.02210112151146497,0.0026923286277851267,0.14348785871964675,453,0.024447519599816177,0.005038726716136335,0.13716814159292035,452,0.02158512735363985,0.002176334469960007,0.1589403973509934,453,0.02650479871144839,0.007096005827768547,0.14823008849557517,452,0.018037056715208086,-0.0013717361684717558,0.13465783664459163,453,0.014398587045903568,-0.005010205837776274,0.11283185840707965,452,0.00673427387639023,-0.012674519007289612,0.04635761589403975,453,0.00673427387639023,-0.012674519007289612,0.04635761589403975,453
qfq_high_right__qfq_return,qfq_parser_sensitivity,1,2021-11-18,4542,0.12847215809089027,0.012332335835132283,0.015162826247200509,0.002556182661666514,-0.012606643585533995,0.048458149779735726,454,0.003026594694888131,-0.012136231552312377,0.10132158590308371,454,0.0080819206971276,-0.007080905550072909,0.14537444933920707,454,0.01164819877143398,-0.0035146274757665297,0.1541850220264317,454,0.015244830450403382,8.200420320287304e-05,0.16043956043956042,455,0.017410764963548868,0.0022479387163483588,0.1674008810572687,454,0.020964363647310236,0.005801537400109727,0.16079295154185025,454,0.025095869080311903,0.009933042833111394,0.1409691629955947,454,0.021486629498411864,0.006323803251211355,0.1035242290748899,454,0.026088661664126996,0.010925835416926486,0.05054945054945059,455,0.026088661664126996,0.010925835416926486,0.05054945054945059,455
