rank,weight,train_ic,train_rank_ic,valid_ic,valid_rank_ic,test_ic,test_rank_ic,formula
1,0.0029610826168209314,0.0029612230136990547,-0.003001451026648283,-0.007125808857381344,-0.007311847060918808,0.0011318193282932043,0.010130698792636395,$net_profit_ttm
2,0.00221158261410892,0.004329301882535219,0.0010032211430370808,-0.003463524393737316,-0.0002498878166079521,0.0007202862179838121,-0.002606644295156002,"TsDiv($net_profit_deduct_non_recurring_pnl_ttm,20)"
3,0.015202086418867111,0.015202085487544537,0.04974311962723732,-0.0032966495491564274,0.04703661426901817,-0.015607504174113274,0.017758753150701523,"TsIr($book_to_market_ratio_ttm,50)"
4,0.0008469613967463374,0.0008469594176858664,-0.0026105863507837057,0.0012735755881294608,-0.0026514867786318064,-0.0016047096578404307,-0.0010992174502462149,"Div($profit_from_operation_ttm,$net_profit_deduct_non_recurring_pnl_ttm)"
5,0.02325763925909996,0.02325763925909996,0.043570421636104584,0.019094977527856827,0.05111532658338547,-0.011688421480357647,0.03177961707115173,"Sub(TsMin($high,10),$low)"
6,0.025224046781659126,0.025224046781659126,0.05683090165257454,0.0255978312343359,0.08634587377309799,0.022432278841733932,0.04874660447239876,"TsDiv($book_to_market_ratio_lf,40)"
7,0.0019266854505985975,0.0019266862655058503,0.01665790192782879,0.004222203511744738,0.03248493745923042,0.00041526678251102567,0.014702992513775826,"Less(TsDiv(TsMinDiff($book_to_market_ratio_ttm,20),20),$close)"
8,0.009770183824002743,0.009798277169466019,-0.013102582655847073,-0.00885169766843319,-0.0027140923775732517,-0.00724582327529788,-0.004444299731403589,"Pow(Mul(0.5,$ps_ratio_ttm),Div($vwap,$ev_ttm))"
9,0.0009848689660429955,0.00098486861679703,-0.03435932844877243,0.004551110789179802,-0.0362427644431591,-0.0034452497493475676,0.008931288495659828,"Sub(1.0,TsDelta(Sub($high,TsWMA(Add(TsRank($revenue_ttm,10),Less($gross_profit_ttm,1.0)),10)),50))"
10,0.007864805869758129,0.00879543274641037,0.0008492922061122954,0.0019407500512897968,-0.004552755504846573,0.005581153091043234,0.0017874877667054534,"TsRank($net_profit_deduct_non_recurring_pnl_ttm,40)"
