formula,source,gp_net_excess,corr_size,finite_share,raw_net,raw_turnover,neutralised_net,neutralised_turnover,net_kept
"Div(TsStd(book_to_market_ratio_lyr,40),ratio_ep_ttm)",net-scale-mining-20260923,-0.076380898797512,0.012852151991083203,0.8359298733395119,-0.08865312451842929,0.19259880340906785,-0.09136529635097751,0.3981063070849287,1.0305930766375235
"Greater(Constant(5.0),TsMinDiff(TsIr(TsMinDiff(TsMaxDiff(amount,40),50),50),30))",ic-frontier-mining-20260923,-0.0330297375530004,0.01898656920785433,0.7857491504479456,-0.011130987349295485,0.08888596256438193,-0.1392122196572352,0.712294033071036,12.506726967580857
"Inv(TsMad(amount,30))",ic-frontier-mining-20260923,0.1370407065510749,0.6367273887722481,0.8412279888785913,0.16161669846866356,0.19327460984825773,0.12385640410413955,0.21185330809836386,0.7663589547224572
"TsMinMaxDiff(TsVar(amount,50),10)",ic-frontier-mining-20260923,-0.2759795197963715,-0.5628855698773954,0.8295350633302441,0.123589661193664,0.433793652490079,-0.11262217437221497,0.2562685231331104,-0.9112588648959635
"TsMin(TsDelta(close,50),50)",ic-frontier-mining-20260923,-0.1341910661458969,0.062485813145880295,0.8851482854494903,-0.1664140710901117,0.30370215980080084,-0.18062508708700564,0.24830959236151565,1.0853955191637539
"TsPctChange(Ref(oper_roe_lyr,10),20)",ic-frontier-mining-20260923,-0.0314009987354278,-0.039270353777385726,0.974589125733704,-0.046983720480031084,0.30074764578524626,-0.1840484804030011,0.6833092019994287,3.917281954740578
"TsMax(Abs(turnover),50)",net-scale-mining-20260923,-0.1804978524684906,0.34028555503077107,0.8331711461229534,-0.20235715839225027,0.16075050884103867,-0.21906085273514445,0.1718283063145796,1.082545606370473
Rank(low),net-scale-mining-20260923,-0.1303835974931717,-0.21202143637204618,0.9078560395427867,0.026665786730731927,0.04174428929040166,-0.007408814952782755,0.08432990879583335,-0.2778397287729075
"Mul(market_cap,market_cap)",net-scale-mining-20260923,-0.1113473932743072,-0.9999989678068222,0.8530892801977139,0.2169957292741524,0.08638982189633132,-0.13175392230006058,0.20595436297061123,-0.6071728818847061
"TsVar(TsSum(Div(ratio_ep_ttm,ratio_ep_ttm),30),20)",ic-frontier-mining-20260923,-0.0281922195274382,,0.8322366388631449,,,,,
"Pow(market_cap,Constant(2.0))",net-scale-mining-20260923,-0.1113473932743072,-0.9999989678068222,0.8530892801977139,0.2169957292741524,0.08638982189633132,-0.13175392230006058,0.20595436297061123,-0.6071728818847061
"TsMean(TsStd(TsMed(ratio_ep_ttm,10),50),20)",ic-frontier-mining-20260923,-0.0452914678573608,-0.04274604822187059,0.8205529811553909,-0.053227643670759196,0.2380146699873779,0.018930383226125405,0.46439717770855937,-0.3556494693475391
"TsSum(TsSum(amount,20),20)",ic-frontier-mining-20260923,-0.1874301422238349,-0.6545473036470104,0.8375949953660797,0.15470376051353923,0.17202590084169353,-0.08649752575815314,0.14036431864174298,-0.5591171505529313
"TsMin(TsSum(Inv(TsMin(TsMin(Ref(TsMinMaxDiff(low,50),40),30),30)),10),30)",net-scale-mining-20260923,-0.0223121779382228,0.14666162739461358,0.8149212233549583,-0.020249326253011048,0.0939041023172684,-0.014328846880751785,0.09684684963860812,0.7076209204057397
"Greater(TsDelta(ratio_bm_ttm,40),TsStd(open,10))",ic-frontier-mining-20260923,-0.0135716021776199,-0.05088991019198253,0.8408140253320977,-0.09656476835041225,0.563487749939106,-0.23480769887852887,0.6322249727839712,2.431608369073734
"TsMinDiff(TsSum(current_assets,50),40)",ic-frontier-mining-20260923,-0.0827271477699279,-0.2863454610292969,0.9507383379672536,-0.048335174973442294,0.4962779274725641,-0.13348115094550483,0.15232769379548106,2.761573761113845
"Ref(Add(high,amount),50)",ic-frontier-mining-20260923,-0.1837783854961395,-0.6142775548576275,0.8436839666357739,0.059924942508613105,0.41035692557395675,-0.13350689821489883,0.2787974490413859,-2.227901982479327
"TsMean(TsMean(current_liabilities,50),50)",ic-frontier-mining-20260923,-0.0766038050539791,-0.5916334593398607,0.9499397590361445,0.01293011147743287,0.01921374854629131,-0.12617178874668078,0.08628194945220337,-9.757981512138578
"TsStd(TsMaxDiff(ratio_bm_ttm,20),10)",ic-frontier-mining-20260923,-0.1848990808725357,0.07450532882364426,0.8408928019771393,-0.19046740579523333,0.6260437421333863,-0.1999350413908842,0.626410173748023,1.0497073793603788
"TsMin(TsVar(TsDelta(TsMaxDiff(Ref(gr_total_asset_lyr,20),50),30),20),30)",net-scale-mining-20260923,-0.0551819004178047,-0.011779577247127753,0.9492384924312635,-0.11471881696840305,0.1718002548920977,-0.19062038301528608,0.8805115861423155,1.6616313526645639
"Ref(gr_total_asset_lyr,40)",net-scale-mining-20260923,-0.0543640905618667,-0.17168449222278295,0.9657985789311089,-0.03841880509064815,0.027518901166409794,-0.057842521267039905,0.164684799289463,1.5055783523345407
"Sub(gr_total_asset_lyr,market_cap)",net-scale-mining-20260923,0.200785279583931,0.999998934777103,0.8530892801977139,0.21684525154609074,0.08629947518199294,-0.14111727737638424,0.25986557861631565,-0.6507741182720322
"TsCorr(TsMean(ratio_sp_ttm,10),market_cap,50)",net-scale-mining-20260923,-0.1185319500267505,0.05865989164590678,0.8279301822675316,-0.12106037470232717,0.5356265549163318,-0.1206780867768794,0.5348803577908153,0.9968421713018172
"TsSum(TsMad(TsPctChange(volume,30),10),50)",ic-frontier-mining-20260923,-0.138171930706501,0.1172871856969817,0.823799814643188,-0.15299128876593213,0.244822880300794,-0.15754616940725802,0.2502631849764812,1.0297721568206057
"Sub(TsMinMaxDiff(TsMinMaxDiff(inventory,10),50),market_cap)",net-scale-mining-20260923,-0.0343859900146722,0.004297703514324213,0.8321578622181032,-0.03462719935503963,0.2817947250412378,-0.06011517916907943,0.3843741818749319,1.7360681859571265
"TsDelta(ratio_ep_ttm,30)",net-scale-mining-20260923,-0.1044455246508121,-0.036562311985053976,0.8428251467408093,-0.0902193980825665,0.45029325748708493,-0.10744624160002018,0.46111417317586806,1.1909438976935771
"Inv(TsMinDiff(open,50))",net-scale-mining-20260923,-0.0181084853053093,0.13044158882447843,0.7797791164658635,-0.008508756058937694,0.5749671220564156,-0.008146643277532853,0.577955933476817,0.957442336001104
"Sub(Constant(5.0),TsMinDiff(oper_roe_lyr,30))",ic-frontier-mining-20260923,-0.036930128288269,0.05064636287745945,0.974589125733704,-0.1153617365498088,0.1995892078587479,-0.10593022838143148,0.7241490468966185,0.9182440517068227
"TsPctChange(SLog1p(TsEMA(TsRank(turnover,10),10)),40)",net-scale-mining-20260923,-0.1165518256008625,0.0066321577742293894,0.8474451652764905,-0.12253881567632716,0.9263327911859635,-0.12254461880820586,0.9264513517303754,1.000047357499309
"TsCorr(TsDiv(ratio_ep_ttm,50),market_cap,10)",net-scale-mining-20260923,-0.0686647372126579,0.05867749624251454,0.8282205746061168,-0.06399414539788172,0.7398486111260109,-0.07774845129877248,0.7427310867540529,1.2149306911651647
"TsMin(TsMean(TsCorr(Constant(1.0),oper_roe_lyr,20),30),30)",net-scale-mining-20260923,-0.0996978784382343,-0.22627289866173256,0.9679502625888167,-0.012227340748657025,0.05146860927645109,-0.03980946839246264,0.10018880367282142,3.25577484187108
"Sub(Constant(-1.0),book_to_market_ratio_lf)",net-scale-mining-20260923,-0.1335887715697288,-0.05598854712966716,0.8523463083101637,0.029421019423780927,0.05678597077220715,0.02147270904444522,0.06312773102450372,0.7298424549860734
"SLog1p(TsPctChange(inventory,40))",ic-frontier-mining-20260923,-0.0326226392939686,-0.0398363951529334,0.948197405004634,-0.06885677690906851,0.30978260622894704,-0.10995173739968105,0.5337694429822023,1.5968179507571503
"Mul(TsWMA(Constant(0.01),40),book_to_market_ratio_lyr)",ic-frontier-mining-20260923,0.0205192112714052,0.07640447790581491,0.8520358356502934,0.03099272157165636,0.05894506951391019,0.02288329264841817,0.06357288768972612,0.7383440849333325
"Greater(Constant(5.0),TsMinDiff(TsMinDiff(TsMad(TsDiv(TsMed(TsMinDiff(volume,50),40),30),50),30),30))",ic-frontier-mining-20260923,-0.0296043459054082,,0.8232700030892803,,,,,
"Greater(Constant(-1.0),TsMinDiff(TsSum(ratio_bm_ttm,20),30))",ic-frontier-mining-20260923,-0.0056534962177276,8.74735489995652e-05,0.8328251467408094,0.00201174638534371,0.3889692057184824,-0.004049396924139657,0.38907783951484787,-2.0128764508493506
"Div(ratio_bm_ttm,close)",net-scale-mining-20260923,0.0362637002974748,0.14434253287865045,0.8523463083101637,0.045391896073343894,0.061890684662367385,0.04847023694934717,0.08016461760297484,1.0678169704792528
"TsPctChange(gr_total_asset_lyr,10)",ic-frontier-mining-20260923,-0.0202187281496822,-0.012957851028172164,0.9697513129440839,-0.03470884012476981,0.3439897724607235,-0.11292189952724596,0.8428044859955807,3.2534045828474616
