scenario,periods,gross,turnover,net
all-5,120,0.2596206218421806,0.1430187675698701,0.23799618418561624
drop-SIZE,120,0.25151548209458374,0.1518345713651877,0.22855809490416737
all-5-size-neutralised,120,0.07208008152096324,0.3585399529800059,0.017868840630386337
size-seat-neutralised,120,0.006973021085035169,0.8343047423523631,-0.1191738559586421
