factor,periods,rank_ic,ic_ir,win,s_i,direction,turnover,net_excess,gross_excess,sharpe,max_dd,max_pool_corr,corr_size,corr_h03,corr_t10,corr_e,corr_f
alpha191_070,120,-0.11121908020454857,-0.4301837693212336,0.6333333333333333,0.030301607323794423,0,0.48363690113811214,-33.57598332571128,-26.263393380503018,-0.7618442852653724,75.73737766729157,-0.5558758098696752,-0.5694347693266941,-0.7173936287702856,-0.7290400066835344,-0.5558758098696752,-0.6223638195235757
alpha191_088,120,-0.08550132883658319,-0.46994075788101586,0.6083333333333333,0.024443173557922863,0,0.6232720810182881,-40.67356102981216,-31.249687164815644,-0.9765085851524186,81.36928032171484,0.03962138127396061,-0.02731920661500305,0.03962138127396061,-0.3591509307787585,-0.05414402497729159,0.0005497867379486709
alpha191_071,120,-0.07597657678379886,-0.48783922565550675,0.6166666666666667,0.022856351871468162,0,0.7172182619775107,-41.74228936578606,-30.897949244686096,-1.1016178896446231,81.6352279127412,0.05964937003639965,-0.02092828924250775,0.05964937003639965,-0.29732882994747467,-0.03656924856051362,0.020691199273752566
alpha191_095,120,-0.09705161656398034,-0.36304635147466957,0.6166666666666667,0.021727778433934197,0,0.20638818645660456,-24.879812527689936,-21.759223148466077,-0.43358582679250196,69.13338593251133,-0.5864076366266642,-0.6252576671609418,-0.8636698401606212,-0.7659710084971941,-0.5864076366266642,-0.6912693153955628
alpha191_132,120,-0.09757835153978843,-0.3372169946189961,0.6,0.019743047067674005,0,0.1736276358310433,-22.857380463973286,-20.23213061020791,-0.35708774347025896,66.20864820390558,-0.6127184260017309,-0.6555284343267893,-0.887425009192525,-0.779510708802986,-0.6127184260017309,-0.722209970991561
alpha191_134,120,-0.0566144887882558,-0.5653497924198827,0.6083333333333333,0.0194709186030089,0,0.7240868975623258,-40.842162949321825,-29.893969058179458,-1.0730883500406774,80.1738942726624,0.08494416881447085,0.022841083228500696,0.08494416881447085,-0.18347840761248363,-0.016643567330577588,0.027429759831490947
alpha191_059,120,-0.08063468543093388,-0.42530740110272297,0.5666666666666667,0.019433566149640782,0,0.552343136333535,-38.475256957464204,-30.123828736101153,-0.9075955693317035,81.18889549016943,0.014051906023590913,-0.012937776124352771,0.014051906023590913,-0.2987459832272054,-0.03113764366831944,-0.0011383942339109425
alpha191_118,120,-0.07987886735533038,-0.4196194014128386,0.5666666666666667,0.01899394275293492,0,0.6425624085547825,-34.358018997523686,-24.642475380175377,-0.830549785140393,73.94195456479271,-0.08677578238051036,-0.08677578238051036,-0.10574767511250192,-0.41753789250290957,-0.13836253978012125,-0.13724698206009073
alpha191_046,120,0.06441956094467843,0.46077398650550755,0.6166666666666667,0.018304429041671955,1,0.7956377323114563,-7.796693127135376,4.233349385413843,0.16821883603994456,33.52592675128584,0.20569589747428654,0.016174650397874645,-0.06415521628154891,0.20569589747428654,0.01776775178903491,-0.0330681245025404
alpha191_097,120,-0.07281076014234499,-0.46164857213028027,0.5333333333333333,0.017926924509564738,0,0.44498508625093075,-29.32159717385693,-22.593422669742857,-0.6824750376038895,67.10214372475956,-0.20724949099439716,-0.383207765257024,-0.6279657752595962,-0.497227729623965,-0.20724949099439716,-0.3195167280624916
