selection,size,members,5y_periods,5y_first_signal_date,5y_last_signal_date,5y_mean_stock_count,5y_rank_ic,5y_ic_mean,5y_gross_excess_pct,5y_turnover_pct,5y_annual_cost_pct,5y_net_excess_pct,5y_sharpe_after_cost,5y_max_drawdown_pct,5y_monthly_win_rate_pct,5y_ic_ir,5y_win,5y_s_i,5y_direction,recent_periods,recent_first_signal_date,recent_last_signal_date,recent_mean_stock_count,recent_rank_ic,recent_ic_mean,recent_gross_excess_pct,recent_turnover_pct,recent_annual_cost_pct,recent_net_excess_pct,recent_sharpe_after_cost,recent_max_drawdown_pct,recent_monthly_win_rate_pct,recent_ic_ir,recent_win,recent_s_i,recent_direction,turnover_ok
t10_size_plus_impact_bm+t10_size_plus_impact_wc,2,t10_size_plus_impact_bm|t10_size_plus_impact_wc,120,2021-09-07,2026-08-10,3919.575,0.1191848166029409,0.0742308152010881,24.00767802964925,29.433805385888075,4.450391374346277,19.55728665530297,1.0083937616859762,24.83836504753342,76.66666666666667,0.4441928061454802,0.7083333333333334,0.0374999020135629,1,15,2026-01-09,2026-08-10,4609.8,0.0758227976271766,0.0252866490408593,11.594005916821292,28.475884975910944,4.305553808357734,7.2884521084635585,-0.0897522475277323,19.612301121799568,62.5,0.1029936071502827,0.4666666666666667,0.0036443229348627,1,False
t10_size_plus_impact_bm+t10_size_plus_impact_dd120,2,t10_size_plus_impact_bm|t10_size_plus_impact_dd120,120,2021-09-07,2026-08-10,3919.575,0.1160666893131556,0.0736765445182115,24.35510031709413,31.89036982637364,4.821823917747694,19.53327639934644,0.9857841872304858,25.152729312107542,76.66666666666667,0.4311353268802306,0.675,0.0337773037749301,1,15,2026-01-09,2026-08-10,4609.8,0.0721163814661034,0.0233334017561522,12.01058133746371,30.8743858402866,4.668207139051335,7.342374198412377,-0.0814924487104176,20.238800616027262,62.5,0.0935866170447327,0.4666666666666667,0.003149593148296,1,False
t10_size_plus_impact_bm+reversal_chip_turn_eq,2,t10_size_plus_impact_bm|reversal_chip_turn_eq,120,2021-09-07,2026-08-10,3919.575,0.1148646039338295,0.0689685103965715,20.94551424088158,36.47923497175951,5.515660327730037,15.429853913151542,0.8945317585361795,25.14388802075105,71.66666666666667,0.4207241532348639,0.6666666666666666,0.0322175421511456,1,15,2026-01-09,2026-08-10,4609.8,0.0734648181042692,0.0215863968065205,8.393645510472215,35.87979902165566,5.425025612074335,2.968619898397879,-0.2796975882250627,20.5955793195426,50.0,0.0840758472055308,0.4666666666666667,0.0028824211835611,1,False
t10_size_plus_impact_bm+impact60,2,t10_size_plus_impact_bm|impact60,120,2021-09-07,2026-08-10,3919.575,0.1065956896598494,0.0717369576637677,27.45190438836904,21.833740114937637,3.30126150537857,24.15064288299047,1.1392945866099304,24.929689271328293,80.0,0.4379579422267662,0.6916666666666667,0.0322900633181222,1,15,2026-01-09,2026-08-10,4609.8,0.0754150747491056,0.0340161195421042,14.28886027336712,20.095586162368665,3.038452627750142,11.25040764561698,0.075409030883078,19.471971367529427,75.0,0.1562467334833796,0.5333333333333333,0.0062844581786414,1,False
t10_size_plus_impact_bm+fscore_interact,2,t10_size_plus_impact_bm|fscore_interact,120,2021-09-07,2026-08-10,3833.0833333333335,0.1105450073368783,0.0626555363318532,16.78735460784715,42.38489345806983,6.408595890860158,10.37875871698699,0.7805821683049269,25.108294955063226,71.66666666666667,0.4121339078621312,0.6666666666666666,0.0303728972455971,1,15,2026-01-09,2026-08-10,4513.866666666667,0.0876130292008841,0.0318587525132462,13.350829823946542,42.29963673917384,6.395705074963084,6.955124748983457,-0.1408413497854978,17.575419058491704,62.5,0.1297259815179283,0.5333333333333333,0.0060616993103165,1,False
t10_size_plus_impact_bm+value_bm,2,t10_size_plus_impact_bm|value_bm,120,2021-09-07,2026-08-10,3919.575,0.1041762541405258,0.0540167026907883,10.176741208712702,16.41194930043674,2.481486734226035,7.695254474486668,0.7763508728122797,21.06588251239968,58.333333333333336,0.3258104400404461,0.6166666666666667,0.0209307219086955,1,15,2026-01-09,2026-08-10,4609.8,0.0813325116143962,0.0205757793648981,7.942520727665602,14.995958307775489,2.267388896135654,5.675131831529949,-0.2616896490273998,18.92509731846862,75.0,0.0766006919233462,0.4666666666666667,0.0029073924439122,1,False
t10_size_plus_impact_bm+quality_roic,2,t10_size_plus_impact_bm|quality_roic,120,2021-09-07,2026-08-10,3835.8,0.0896552039825079,0.0488571679834907,12.38275718628794,26.18227554037364,3.9587600617044942,8.423997124583446,0.7799464539349268,24.987917152241454,63.33333333333333,0.3522156692098725,0.6,0.018946780601308,1,15,2026-01-09,2026-08-10,4516.133333333333,0.0792365310822802,0.0347438686142972,9.119911278321934,25.297515121184063,3.824984286323031,5.294926991998905,-0.2563020701499959,18.13770031896841,62.5,0.1652130278083771,0.4666666666666667,0.0061090900327968,1,False
t10_size_plus_impact_fscore+t10_size_plus_impact_wc,2,t10_size_plus_impact_fscore|t10_size_plus_impact_wc,120,2021-09-07,2026-08-10,3833.0833333333335,0.1173517071708301,0.0728710161257456,24.43825338100276,30.48227538304004,4.608920037915654,19.829333343087107,1.011044096622249,25.00583258491227,80.0,0.4438440315270893,0.675,0.0351579520016692,1,15,2026-01-09,2026-08-10,4513.866666666667,0.0762178604229408,0.0272079650042867,11.7844362599683,29.238347787397107,4.420838185454443,7.363598074513858,-0.083929227730362,19.70957124428434,62.5,0.1131479183066063,0.4666666666666667,0.0040244830474983,1,False
t10_size_plus_impact_wc+reversal_chip_turn_size_eq,2,t10_size_plus_impact_wc|reversal_chip_turn_size_eq,120,2021-09-07,2026-08-10,3919.575,0.1141727533753668,0.0715860594374175,23.73241738273841,32.610869863767604,4.930763523401662,18.80165385933675,0.9669393285348749,25.90457400276932,78.33333333333333,0.4347588977720796,0.675,0.0335053937788276,1,15,2026-01-09,2026-08-10,4609.8,0.069208414291696,0.0225076708489894,9.42103969810998,31.399345491875312,4.747581038371548,4.673458659738431,-0.1949343124373303,20.343537605681263,62.5,0.0948999262237698,0.4666666666666667,0.0030650075914948,1,False
t10_size_plus_impact_wc+reversal_turn_paper_nomcap,2,t10_size_plus_impact_wc|reversal_turn_paper_nomcap,120,2021-09-07,2026-08-10,3915.3166666666666,0.1162011055666417,0.0671333029986144,19.863085033395866,35.19398795223248,5.321330978377552,14.541754055018313,0.9032366702089774,23.81126913637902,73.33333333333333,0.4294458312766931,0.6333333333333333,0.0316046509043802,1,15,2026-01-09,2026-08-10,4604.6,0.0790147599263203,0.0247640475815796,9.598618620907365,34.202329557235466,5.171392229054002,4.42722639185336,-0.2431813390334243,19.3631466844978,62.5,0.0966547808429138,0.4666666666666667,0.0035640053418825,1,False
t10_size_plus_impact_wc+f_i10_01,2,t10_size_plus_impact_wc|f_i10_01,120,2021-09-07,2026-08-10,3919.575,0.0997061928622178,0.0696154660915701,27.633315456166876,21.044740365350044,3.181964743240927,24.451350712925944,1.1162457285511096,27.6531600274642,81.66666666666667,0.41636674978362,0.7,0.0290600404187382,1,15,2026-01-09,2026-08-10,4609.8,0.0659439303007487,0.0302662626179038,12.451982121514916,19.893020176068227,3.007824650621516,9.4441574708934,0.0161322570633124,20.0077544991366,75.0,0.1496360199145944,0.5333333333333333,0.0052627132094557,1,False
t10_size_plus_impact_wc+max_return21_low,2,t10_size_plus_impact_wc|max_return21_low,120,2021-09-07,2026-08-10,3919.575,0.1155148108408221,0.0628670496518537,17.974387901338005,43.433158505773655,6.567093566072976,11.40729433526503,0.8380878997455278,22.997421099563564,70.0,0.4229440272322865,0.6416666666666667,0.0313494587187789,1,15,2026-01-09,2026-08-10,4609.8,0.0856968512343105,0.0264716075089256,7.46957806958819,42.60416706457476,6.441750060163703,1.0278280094244865,-0.4251019065308821,20.62640596766416,62.5,0.1052778585906332,0.4666666666666667,0.0042102577934238,1,False
t10_size_plus_impact_wc+ltmom_exhigh252_21,2,t10_size_plus_impact_wc|ltmom_exhigh252_21,120,2021-09-07,2026-08-10,3919.575,0.1007425515068585,0.061122649045056,20.611797962881795,23.14632430660581,3.499724235158798,17.112073727722997,0.9816884235397182,25.22820026591913,76.66666666666667,0.4757576523074507,0.6666666666666666,0.0319526931949103,1,15,2026-01-09,2026-08-10,4609.8,0.0752281833271719,0.0290608021614142,7.842731767174749,21.46056700670348,3.2448377314135657,4.597894035761184,-0.2116019301306986,19.880114573788944,62.5,0.1770722721538075,0.5333333333333333,0.0071044401875976,1,False
t10_size_plus_impact_wc+growth_roe,2,t10_size_plus_impact_wc|growth_roe,120,2021-09-07,2026-08-10,3912.5416666666665,0.0812186063986853,0.0518143712223029,18.90552104652119,24.708881605624843,3.735982898770476,15.169538147750714,0.9108023400656614,23.411336787129443,76.66666666666667,0.4864594946320539,0.675,0.0266689545008113,1,15,2026-01-09,2026-08-10,4605.933333333333,0.0551353663993909,0.0250159210304154,6.581830249269027,21.71112494725257,3.2827220920245885,3.2991081572444387,-0.2780069556014783,19.159961464290333,62.5,0.1626433121151603,0.4666666666666667,0.0041847860160772,1,False
t10_size_plus_impact+t10_size_plus_wc_mcap,2,t10_size_plus_impact|t10_size_plus_wc_mcap,120,2021-09-07,2026-08-10,3919.575,0.1142516491193535,0.0715655251444758,23.276995597930128,32.09386268362452,4.852592037764027,18.424403560166105,0.9605247924716735,25.95204145095308,80.0,0.4362899672570661,0.675,0.0336466225710102,1,15,2026-01-09,2026-08-10,4609.8,0.0692773703268997,0.0226290140635734,9.525818523154294,30.8340590065952,4.662109721797194,4.863708801357101,-0.1893858492072768,20.1805788213421,62.5,0.0957932941074994,0.4666666666666667,0.0030969435050021,1,False
t10_size_plus_impact+weighted_reversal,2,t10_size_plus_impact|weighted_reversal,120,2021-09-07,2026-08-10,3923.15,0.1182732271985718,0.0721996610497488,22.734457236900063,53.70578197790841,8.120314235059752,14.614143001840311,0.8499603987672258,25.3217741218139,78.33333333333333,0.4791205341819989,0.6666666666666666,0.0377780878632057,1,15,2026-01-09,2026-08-10,4613.8,0.0886869394038118,0.0367404936209255,10.31641583195012,52.97920966999159,8.010456502102729,2.305959329847393,-0.2664068642864076,21.15038485463625,50.0,0.1623156984585843,0.4666666666666667,0.0067177985062924,1,False
t10_size_plus_impact+turn_bias,2,t10_size_plus_impact|turn_bias,120,2021-09-07,2026-08-10,3923.15,0.1079073290950543,0.0692886413417034,21.853302839310107,29.35586128050624,4.438606225612544,17.414696613697565,0.9624258353345518,24.80676854598155,76.66666666666667,0.4690952117503149,0.65,0.032902227404316,1,15,2026-01-09,2026-08-10,4613.8,0.0691439830667902,0.0325929079255958,4.723694570496184,26.85899481823401,4.061080016516982,0.6626145539792017,-0.3813455924759913,21.54670202657619,50.0,0.1456248693061635,0.4666666666666667,0.0046989056321241,1,False
t10_size_plus_impact+paper_composite,2,t10_size_plus_impact|paper_composite,120,2021-09-07,2026-08-10,3915.3166666666666,0.1070370690619108,0.0661719064512208,22.42793826232565,22.893854398448735,3.461550785045449,18.966387477280204,1.023742082917849,24.92958946512437,75.0,0.3857840725000495,0.6833333333333333,0.0282170175476349,1,15,2026-01-09,2026-08-10,4604.6,0.072294825100929,0.0207987125276588,10.3468111474161,21.59142001036091,3.2646227055665693,7.0821884418495324,-0.1091721971761851,20.30225736542756,50.0,0.0817278719257522,0.4666666666666667,0.0027573010298135,1,False
t10_size_plus_impact+skew60_low,2,t10_size_plus_impact|skew60_low,120,2021-09-07,2026-08-10,3923.15,0.0994952327455699,0.0582614997637343,20.25186346182544,32.43093972532425,4.903558086469027,15.348305375356407,0.8976759903336454,25.969391137622157,75.0,0.4392845142906057,0.675,0.0295020326188362,1,15,2026-01-09,2026-08-10,4613.8,0.0762978279081,0.0295565537034445,10.550355391729871,31.95658215684805,4.8318352221154255,5.718520169614445,-0.1801764523061211,19.003448451673037,62.5,0.1692242578758067,0.5333333333333333,0.0068861030961515,1,False
