tag,members,na,nb,nc,comb,net,turnover,monthly_turnover,sharpe,dd,pool_s,seat_si
add-6th,size_only+impact60+t10_size_plus_impact_bm+book_to_market_lf_minus_size+book_to_market_lf_plus_impact+t10_size_plus_impact_downside+reversal_chip_turn_size_eq+book_to_market_lf_plus_impact,0.2701624406653198,0.444494185300976,0.903931963822828,0.6163748367086781,23.83434198360973,0.1676749493674376,0.3353498987348752,1.1307406372393722,27.094311198199005,0.0266696511180585,"[0.01024, 0.01579, 0.03726, 0.01692, 0.0154, 0.03408]"
add-6th,size_only+impact60+t10_size_plus_impact_bm+book_to_market_lf_minus_size+book_to_market_lf_plus_impact+impact60+book_to_market_lf_div_oper_main_profit_ttm+reversal_turn_eq,0.2721101607132125,0.4339040289749761,0.9109721675213946,0.6162259176685118,23.60687848116721,0.1618711368036353,0.3237422736072707,1.1226179860691825,27.691175393177392,0.0260342417384985,"[0.01024, 0.01579, 0.03726, 0.01692, 0.0154, 0.03501]"
add-6th,size_only+impact60+t10_size_plus_impact_bm+book_to_market_lf_minus_size+book_to_market_lf_plus_impact+t10_size_plus_impact_bm+impact60+reversal_turn_paper,0.2762494539923487,0.4515315185556263,0.8953749293944196,0.6162046405204278,23.667569071165083,0.1689056909834174,0.3378113819668349,1.130811526563963,26.82593236009845,0.0270918911133375,"[0.01024, 0.01579, 0.03726, 0.01692, 0.0154, 0.037]"
replace-SIZE,impact60+t10_size_plus_impact_bm+book_to_market_lf_minus_size+book_to_market_lf_plus_impact+impact60+book_to_market_lf_plus_impact+reversal_turn_eq,0.2990215227481297,0.4546840819464124,0.8811484403034313,0.6154605313674144,22.39956990365094,0.166552905449991,0.3331058108999821,1.1219581778734025,24.937085629668253,0.0272810449167847,"[0.01579, 0.03726, 0.01692, 0.0154, 0.03426]"
add-6th,size_only+impact60+t10_size_plus_impact_bm+book_to_market_lf_minus_size+book_to_market_lf_plus_impact+t10_size_plus_impact_downside+impact60+reversal_turn_eq,0.2784647419659969,0.4576581422264857,0.8875078121207357,0.6152518136268004,24.035335618204776,0.1732963096436104,0.3465926192872208,1.136107946205854,27.009564052315827,0.0274594885335891,"[0.01024, 0.01579, 0.03726, 0.01692, 0.0154, 0.03807]"
add-6th,size_only+impact60+t10_size_plus_impact_bm+book_to_market_lf_minus_size+book_to_market_lf_plus_impact+t10_size_plus_impact_g13+turn_bias,0.2717204765854087,0.4863749666971905,0.8665175666934455,0.6145082386731489,23.33751756328014,0.1696538884506295,0.3393077769012591,1.122199866271396,27.200583347785347,0.0291824980018314,"[0.01024, 0.01579, 0.03726, 0.01692, 0.0154, 0.03483]"
add-6th,size_only+impact60+t10_size_plus_impact_bm+book_to_market_lf_minus_size+book_to_market_lf_plus_impact+t10_size_plus_impact_g13+book_to_market_lf_plus_impact+reversal_turn_paper_nomcap,0.2697426793369971,0.4464694899387122,0.8970230125003574,0.6138732129711095,23.373108216894643,0.1670934696834719,0.3341869393669438,1.127819831688759,26.473332060414663,0.0267881693963227,"[0.01024, 0.01579, 0.03726, 0.01692, 0.0154, 0.03388]"
add-6th,size_only+impact60+t10_size_plus_impact_bm+book_to_market_lf_minus_size+book_to_market_lf_plus_impact+t10_size_plus_impact_bm+impact_abs_return60+reversal_chip_turn_paper,0.2711175256106502,0.4451833380134751,0.8961648636785174,0.6133118620821791,23.806000008747965,0.170010506090363,0.3400210121807261,1.1306799327270851,26.73057979493233,0.0267110002808085,"[0.01024, 0.01579, 0.03726, 0.01692, 0.0154, 0.03454]"
add-6th,size_only+impact60+t10_size_plus_impact_bm+book_to_market_lf_minus_size+book_to_market_lf_plus_impact+t10_size_plus_impact+impact60+reversal_turn_paper,0.2756992929214719,0.4522026057821511,0.8873268163227737,0.6127078379532954,23.77724761097076,0.170603412592411,0.341206825184822,1.1317548145587883,27.07881768799284,0.027132156346929,"[0.01024, 0.01579, 0.03726, 0.01692, 0.0154, 0.03674]"
add-6th,size_only+impact60+t10_size_plus_impact_bm+book_to_market_lf_minus_size+book_to_market_lf_plus_impact+t10_size_plus_impact_downside+book_to_market_lf_plus_impact+reversal_chip_eq,0.2711517009753131,0.4482458497377788,0.8903653258782428,0.6117807842484945,23.96130629486912,0.1726134057757735,0.3452268115515471,1.1329696317969382,26.720616083211013,0.0268947509842667,"[0.01024, 0.01579, 0.03726, 0.01692, 0.0154, 0.03455]"
