key,window,pool_na,pool_net,pool_monthly_turnover,pool_nc,pool_comb,s_i,turnover,net,sharpe
SEED-POOL,0,0.239,23.799617973444924,0.2860375351397402,1.0,0.637,,,,
t10_size_plus_impact_bm,2,0.28335439355913455,22.01641477394513,0.32931589934986294,0.8644113604337061,0.6046039956737852,0.027988685917653834,0.23300247213401126,19.817324290206116,1.030680969479498
t10_size_plus_impact_bm,3,0.27003381701319373,22.29649209117165,0.30642130615086066,0.9497243903660287,0.6337789547987307,0.022660455299277512,0.19702238540193626,18.830047049425907,1.0095060123841693
t10_size_plus_impact_bm,6,0.25720402365897377,22.243740419516236,0.2788896184576336,0.9728992285615381,0.6314228421411318,0.017528537957589515,0.13478643847748817,16.87237642320236,0.9632092634996106
t10_size_plus_impact_bm,10,0.24905332074662598,22.845882333741553,0.2706713759881923,1.0,0.640315058467188,0.014268256792650402,0.10308028364985622,17.5899675838385,0.9913263144267529
t10_size_plus_impact_fscore,2,0.28086019222837505,22.655419309938754,0.3459484498460173,0.8604809270110658,0.607810663567881,0.02699100538535003,0.24667213349010136,20.16361967737123,1.0376827592828661
t10_size_plus_impact_fscore,3,0.26837668989031493,22.147693072301504,0.3210291636811794,0.8946248066373649,0.6159625295488671,0.021997604450125968,0.20914706338248568,19.881780392816776,1.0341551222511145
t10_size_plus_impact_fscore,6,0.2530889046291622,22.525985761390142,0.29201538103234825,0.9918961537803,0.6443561410669063,0.015882490345664902,0.1450711174253521,18.55226913460012,1.0134785331762204
t10_size_plus_impact_fscore,10,0.24860795390064344,22.71460503924752,0.2774962429093041,0.9942917161368492,0.6431249542682865,0.014090110054257386,0.10918755510260741,16.88276324120612,0.974527187873689
t10_size_plus_impact,2,0.28084562553750425,22.48518970055936,0.3430150452919571,0.8454147689593863,0.60219370357877,0.026985178709001717,0.2406078403940133,20.529606192214185,1.021015209878287
t10_size_plus_impact,3,0.26649646825409334,22.434092714111042,0.3190047158627759,0.9030218643135701,0.6183027595528368,0.021245515795637347,0.20497272761831514,19.52846381132393,1.0001492846008506
t10_size_plus_impact,6,0.25073490551334726,23.0185588647019,0.2901471371689924,1.0,0.6478868292726856,0.014940890699338918,0.14085687966839872,18.537171014815662,0.9873340196272109
t10_size_plus_impact,10,0.24705294749330456,23.424838792675697,0.280477298999801,1.0,0.6418070282907494,0.013468107491321829,0.10708312472221695,18.092150933360216,0.9834714228446276
t10_size_plus_impact_aggregate,2,0.2833863119642406,22.96087422332517,0.32726711979734496,0.9124597015396071,0.6295429771672579,0.02800145327969623,0.21264189004106343,22.751334388745892,1.086404260027625
t10_size_plus_impact_aggregate,3,0.2699721581272731,22.97741604252473,0.3064560727097557,0.9810888134244565,0.6519220923453684,0.022635791744909237,0.1813420281563128,22.004568290862466,1.0661621068632992
t10_size_plus_impact_aggregate,6,0.2554441493377051,23.419981577103293,0.28212836341216657,1.0,0.6479640772070712,0.016824588229082026,0.1266691545821749,19.618443969962808,1.017100257311352
t10_size_plus_impact_aggregate,10,0.24746472454555538,23.651719321141645,0.2773149514700812,1.0,0.641205724565768,0.013632818312222156,0.09775323396655862,20.141152825114208,1.0425769191254075
t10_size_plus_impact_g13,2,0.2802811850692485,22.903032097628774,0.3271139943803256,0.9069023853668444,0.6249234716532959,0.026759402521699397,0.211921686633237,22.157523236876013,1.0681942656286272
t10_size_plus_impact_g13,3,0.2664820251117136,23.00624964043146,0.3059485081093417,0.9819883909030435,0.6482675714293584,0.021239738538685438,0.18068717059613043,21.332528077548947,1.0456955964747987
t10_size_plus_impact_g13,6,0.2520684304409337,23.28708060400014,0.2825872241145041,1.0,0.6458871717880814,0.015474300670373494,0.12515352620018105,19.43484078503568,1.009599616036422
t10_size_plus_impact_g13,10,0.24601645663482252,23.516171751146032,0.2760271356462097,1.0,0.6397413363995317,0.013053511147929027,0.09633684046513627,19.94349848241324,1.0331490714040845
t10_size_plus_impact_downside,2,0.2827308130218257,22.90702194668467,0.32936121217779507,0.9044989929020835,0.6261988496130506,0.027739253702730286,0.21564501688499255,22.29705484462919,1.074708754759992
t10_size_plus_impact_downside,3,0.2692978007390733,22.900621237898328,0.30727496137336385,0.9726794102448454,0.6482667531467443,0.02236604878962932,0.18368066875054379,21.181462608579626,1.0463419191001766
t10_size_plus_impact_downside,6,0.2549304973873512,23.350890846831785,0.28300109418943104,1.0,0.6480027758419219,0.016619127448940473,0.12988925367940138,19.618577046255947,1.0178135066376406
t10_size_plus_impact_downside,10,0.24806069097640027,23.628499084433006,0.2769385555245727,1.0,0.6414676836209345,0.013871204884560099,0.09991795161254992,19.890231722739973,1.0369759730351062
reversal_chip_turn_paper,2,0.2668729219523741,21.185650531858364,0.3592266411001143,0.7662238165593376,0.5619592024540189,0.021396097274949642,0.28441289365684963,12.765869662856716,0.8543432204413858
reversal_chip_turn_paper,3,0.25333163250572327,21.43523137599255,0.3334493102493418,0.8427888662435442,0.5817300861508043,0.015979581496289322,0.2415292756390256,11.538680621268092,0.8236455919034656
reversal_chip_turn_paper,6,0.23945680238076625,21.132483257635815,0.29983216833905674,0.920457152504897,0.605660947765765,0.010429649446306498,0.16088060896160794,9.237146724564678,0.7680166839344976
reversal_chip_turn_paper,10,0.23711604167988248,21.572219718283367,0.2832512636040129,0.951669470712689,0.6127421779922304,0.009493345165952996,0.12025439968251249,10.01565259463147,0.8040211485450486
reversal_turn_paper,2,0.2709525836033548,20.96342734694094,0.36080127700792775,0.7474440064685621,0.556782353760194,0.02302796193534192,0.29610448311964027,12.179416647010827,0.8595792758692803
reversal_turn_paper,3,0.2609034420445278,21.1109418507965,0.33398124917708283,0.8188548510446964,0.575691644083145,0.019008305311811136,0.25123288720287557,11.447884172809491,0.8452897887895271
reversal_turn_paper,6,0.2474527017411486,21.062543109971113,0.29593215619956015,0.9186646208810036,0.6072596588491365,0.013628009190459445,0.1655165866450432,10.322620535428076,0.8261772166067226
reversal_turn_paper,10,0.24753427644508566,20.985489723365404,0.2775291238193388,0.9117859665238608,0.6021828734321109,0.013660639072034271,0.12089063462298219,11.708705413724072,0.8874433269847944
reversal_chip_turn_size_eq,2,0.26953058761585186,21.656272459289646,0.36340716814723506,0.7587897494048986,0.5645204482206485,0.02245916354034074,0.28230316458992927,16.53379261415047,0.9044337003950922
reversal_chip_turn_size_eq,3,0.2546072518926248,21.536516017014858,0.33575454718483544,0.8142578333668431,0.5764338965854707,0.01648982925104992,0.241227623723161,14.630044887283322,0.8636587240114266
reversal_chip_turn_size_eq,6,0.24185274732885928,21.734882013256637,0.3000680128816236,0.9301499337949017,0.6155915857947075,0.011388027425543722,0.1632011441300108,13.145004950976396,0.8355554581646938
reversal_chip_turn_size_eq,10,0.23817702219375114,22.624662316936703,0.28670398708592676,0.9800399003273873,0.6337380552372516,0.009917737371500469,0.12286128100086122,13.768410292432709,0.8607955916757548
book_to_market_lf_minus_size,2,0.2464693730183127,21.95728551153177,0.2675151713667696,0.9351406142683205,0.6027908099455813,0.013234677701325089,0.06978818485910608,16.537028295904207,0.9489937674524805
book_to_market_lf_minus_size,3,0.24286624469997045,21.907065632097808,0.2628248720267863,0.9313800755043585,0.598443527023182,0.011793426373988185,0.056770054930949436,15.059365440882702,0.9095085155687085
book_to_market_lf_minus_size,6,0.23833895664304325,21.85939031209268,0.2561745635257308,0.9309537528777355,0.595229973736406,0.009982511151217304,0.04081205543818807,14.175223912636536,0.889674340484836
