run,objective,record_band,band,formula,rec_net,rec_turnover,net,turnover,periods,rank_ic,ic_ir,s_i,rank_ic_ir,rank_ic_win,s_i_rank,s_i_rank_y2026,gross,net_y2026,periods_y2026,s_i_y2026,net_last12,s_i_last12,neu_net,neu_turnover,neu_s_i,corr_size,corr_max_seat,corr_max_seat_name,add6_na,add6_nc,add6_comb,delta_points,rank_key
net_wide_s9801,aligned_net_excess,le30,le30,"Inv(Greater(a_share_market_val,TsDiv(TsCorr(Log(oper_total_asset_turnover_lyr),bbiboll_down,20),10)))",0.2145247191309929,0.1354715377092361,0.2004029527008533,0.1087553426623344,120,0.0551334470510482,0.2556576399858961,0.0,0.2559978451568336,0.6083333492279053,0.0085860434393615,0.0060735525674382,0.2168467605113983,0.1166479533433914,15,0.0,0.0593542860299348,0.0,0.0545118754863738,0.6256888508796692,0.0,0.9953515583839286,0.9953515583839286,size_only,0.1991808352416667,1.0,0.4898361670483333,-350.5582700253351,0.12094097506307215
net_nosize_s9831,aligned_net_excess,30_40,30_40,"Div(Div(Div(Div(Div(Div(ratio_bm_lyr,vma250),cal_20d_amt_ma),bs_total_assets),Add(TsIr(hma30,10),TsRank(bs_bond_payable,30))),qtyr_5_20),bs_total_assets)",0.1628997325658798,0.3155427873134613,0.1628997370719909,0.3155427575111389,120,0.0604020692408084,0.004421662497874,0.0,0.3023533164540193,0.625,0.0114142287222773,0.0085726541236581,0.2106098020076751,0.1055666429758072,15,0.0,0.0971262997627258,0.0,0.0720285218954086,0.4169821739196777,0.0,0.8865928491343451,0.8865928491343451,size_only,0.1991808352416667,1.0,0.4898361670483333,-350.5582700253351,0.11127375733694585
net_wide_s9801,aligned_net_excess,30_40,le30,"Inv(Greater(a_share_market_val,TsDiv(TsCov(TsMax(mfi,30),net_profit,10),10)))",0.1444428485155106,0.3969101011753082,0.1794141720414162,0.2009361833333969,120,0.0551284104585647,0.2643322940709496,0.0,0.257441676449915,0.5916666388511658,0.0083971402635785,0.0051524060797861,0.2097957229614258,0.0815726415395736,15,0.0,0.0179368318855762,0.0,0.0519120761632919,0.650895893573761,0.0,0.9967219522589852,0.9967219522589852,size_only,0.1991808352416667,0.6015109001411459,0.310516072111849,-8240.642447230643,0.08577121167136284
net_nosize_s9831,aligned_net_excess,30_40,30_40,"Div(Div(TsMinDiff(ratio_bm_lyr,40),cal_20d_amt_ma),bs_total_assets)",0.1406043312549591,0.3408980369567871,0.1406043402671813,0.3408979773521423,120,0.0832641571760177,0.3121373306318427,0.0,0.4644470177961902,0.6666666865348816,0.0257811937614825,0.0112584263007565,0.1921481144428253,0.0756422838449478,15,0.0,0.0701536937713623,0.0,0.0914991873264312,0.3732497692108154,0.0,0.7149315343094949,0.7149315343094949,size_only,0.1991808352416667,0.718724231392752,0.3632620711750717,-5919.818488448846,0.08853288072568904
net_nosize_s9831,aligned_net_excess,30_40,30_40,"Div(Div(Div(Sub(current_liabilities,cal_30d_close_std_ratio),cal_20d_amt_ma),qtyr_5_20),bs_total_assets)",0.1362471490859985,0.3114874362945556,0.1362471410751343,0.3114874064922333,120,0.0972076579928398,0.3618261939389454,0.0,0.6039676913401241,0.7083333134651184,0.0415864505516468,0.0129745920385121,0.1833440369367599,0.0370318001747131,15,0.0,0.0075660787940025,0.0,0.092034837770462,0.3314670026302337,0.0,0.5647678725040987,0.6948743789703788,impact60,0.1991808352416667,0.8179209314698282,0.4079005862097561,-3955.7238269227328,0.0578250254505365
net_nosize_s9831,aligned_net_excess,30_40,30_40,"Div(Div(Div(TsSum(ev_lyr,40),cal_20d_amt_ma),qtyr_5_20),bs_total_assets)",0.1319144180774688,0.3130159974098205,0.1319144100666046,0.3130159676074981,120,0.0981122404336929,0.3722699069868097,0.0,0.5732160609470957,0.7083333134651184,0.0398363198770225,0.0135958949639763,0.1792424243688583,0.0559626715421676,15,0.0,0.0141508232116699,0.0,0.094100255870819,0.3276448249816894,0.0,0.5497276418335687,0.6943652784619225,t10_size_plus_impact_bm,0.1991808352416667,0.8092831427648214,0.404013581292503,-4126.75204328187,0.07588083148067885
net_nosize_s9831,aligned_net_excess,40_60,40_60,"Div(Div(Div(Div(ratio_bm_lyr,TsRank(cal_5d_vol_dec_ratio,50)),cal_20d_amt_ma),bs_total_assets),bs_total_assets)",0.1207290646076202,0.406403124332428,0.1207290440797805,0.4064030945301056,120,0.0606484860181808,0.1800237462098945,0.0,0.3275942807745616,0.5833333134651184,0.0115897229469517,0.0060812815333743,0.1821771919727325,0.0544381279706955,15,0.0,0.0341678840339183,0.0,0.0202871932983398,0.5881834030151367,0.0,0.851751386694703,0.851751386694703,size_only,0.1991808352416667,0.8774288963992418,0.4346791704279922,-2777.4661213203444,0.060232989444171346
net_wide_s9802,aligned_net_excess,40_60,40_60,"Div(TsSum(mass,20),amount)",0.1109003339767456,0.4115120768547058,0.1109003384828567,0.4115120470523834,120,0.1117859184741973,0.4249649285269489,0.0257319273234741,0.6658547582825484,0.7416666746139526,0.0552046133376052,0.0205812128013234,0.1731209599971771,0.0655234597921371,15,0.0079239452711306,0.0222967458218336,0.0058923532508322,0.0634487591028213,0.4518018960952759,0.0109151401716018,0.6445862892693087,0.8109118321121388,impact60,0.2527890171655712,0.6834451222060375,0.3581081084258311,-6146.592849415434,0.0931257664609397
net_wide_s9802,aligned_net_excess,40_60,40_60,"Sub(ratio_ev_no_cash_ebit_ttm,amount)",0.1065007768392563,0.4110459387302398,0.1065007813453674,0.4110459089279175,120,0.1138104721903801,0.4221981139613169,0.0312328672144717,0.6798861558620518,0.7416666746139526,0.0573888059037652,0.0222363715421911,0.1686509227752685,0.0606726952314376,15,0.0033453192605066,0.0163864935815334,0.000484737383741,-0.1080875986218452,0.2641451358795166,0.0129069916535627,0.6344328074400509,0.8019491387459449,impact60,0.2642493086051494,1.0,0.5028498617210299,222.04429557331216,0.0893670981833202
net_wide_s9801,aligned_net_excess,40_60,40_60,"Inv(TsVar(ev_no_cash_lyr,20))",0.0916188891649246,0.4527584612369537,0.0914829082489013,0.4531146585941314,120,0.0805929824709892,0.3641705681258564,0.0,0.453571454628753,0.6916666626930237,0.0252836509568747,0.0102070953491253,0.159993844628334,0.0300917932033538,15,0.0,-0.0089145110249519,0.0,0.0244068688631057,0.5854094624519348,0.0,0.7851112674255339,0.7851112674255339,size_only,0.1991808352416667,0.5836131965452237,0.302462105493684,-8595.016978429905,0.04273361868179115
