combination_id,components,date,stock_count,held_return,gross_excess,turnover,rank_ic,ic
M0047,SIZE+H03+TURN+RET40+CHIP250,2021-09-07 00:00:00,3624,-0.0262710529098981,-0.003921097449979545,nan,0.02465924584649705,-0.025886779954032765
M0047,SIZE+H03+TURN+RET40+CHIP250,2021-09-23 00:00:00,3623,-0.0007544028427941187,0.03499624145390018,0.2727272727272727,0.392653910282038,0.3962562689589464
M0047,SIZE+H03+TURN+RET40+CHIP250,2021-10-14 00:00:00,3633,-0.035786229213664714,-0.01957684261642143,0.2857142857142857,-0.15894281405326824,-0.19569859324760555
M0047,SIZE+H03+TURN+RET40+CHIP250,2021-10-28 00:00:00,3640,0.07569806197178737,0.023453347255538208,0.2582417582417582,0.29789170148418653,0.24231425152166286
M0047,SIZE+H03+TURN+RET40+CHIP250,2021-11-11 00:00:00,3639,0.035381882780442346,0.004975520735736025,0.3159340659340659,0.16956978709784465,0.11530417342384115
M0047,SIZE+H03+TURN+RET40+CHIP250,2021-11-25 00:00:00,3659,0.03290730103260391,0.015552315656453628,0.35245901639344257,0.1821386823730869,0.15760946146180038
M0047,SIZE+H03+TURN+RET40+CHIP250,2021-12-09 00:00:00,3674,0.04066753893238481,0.03452643530091144,0.3369565217391305,0.1916982833955839,0.13211205061437373
M0047,SIZE+H03+TURN+RET40+CHIP250,2021-12-23 00:00:00,3688,0.06328937267696826,0.036805288670689704,0.4363143631436315,0.3932536847174029,0.3167660003413367
M0047,SIZE+H03+TURN+RET40+CHIP250,2022-01-07 00:00:00,3702,-0.03465789518352404,0.0019521268160157326,0.39622641509433965,0.06727710416209706,0.03895472947258631
M0047,SIZE+H03+TURN+RET40+CHIP250,2022-01-21 00:00:00,3709,-0.023322986723832418,0.005736923390069603,0.339622641509434,0.08900322111184143,0.08087297888386294
M0047,SIZE+H03+TURN+RET40+CHIP250,2022-02-11 00:00:00,3719,0.03282504236123537,0.006397802068447086,0.32795698924731187,0.17156096791776593,0.12275328088388444
M0047,SIZE+H03+TURN+RET40+CHIP250,2022-02-25 00:00:00,3732,-0.05162332792754502,0.006990888625151438,0.3609625668449198,0.003295391545523449,-0.024269266115020626
M0047,SIZE+H03+TURN+RET40+CHIP250,2022-03-11 00:00:00,3743,-0.0011199631032785486,-0.009648042968703396,0.3626666666666667,-0.015764590823018166,-0.034090744120069634
M0047,SIZE+H03+TURN+RET40+CHIP250,2022-03-25 00:00:00,3754,-0.042691447822463126,-0.002748846399588112,0.32180851063829785,-0.002977978809161914,0.028774335898570567
M0047,SIZE+H03+TURN+RET40+CHIP250,2022-04-12 00:00:00,3751,-0.15079026710758764,-0.02061604341921025,0.36968085106382975,-0.03174738856927591,-0.03489892631023614
M0047,SIZE+H03+TURN+RET40+CHIP250,2022-04-26 00:00:00,3754,0.09489158790349386,0.006873255288660257,0.2898936170212766,0.15306229003561445,0.06446979598734223
M0047,SIZE+H03+TURN+RET40+CHIP250,2022-05-13 00:00:00,3725,0.05558043795152943,0.018870824085967672,0.353887399463807,0.21889494024545209,0.21543263345350855
M0047,SIZE+H03+TURN+RET40+CHIP250,2022-05-27 00:00:00,3742,0.04742080405601212,0.007048360777641219,0.31999999999999995,0.08640592983790021,0.08736132512048447
M0047,SIZE+H03+TURN+RET40+CHIP250,2022-06-13 00:00:00,3780,0.0754355064132053,0.016022172062312164,0.35185185185185186,0.23638998045762905,0.16410995703086503
M0047,SIZE+H03+TURN+RET40+CHIP250,2022-06-27 00:00:00,3775,-0.030878739446238045,0.004379458548582311,0.37037037037037035,0.08723322359037967,0.06305657945013429
M0047,SIZE+H03+TURN+RET40+CHIP250,2022-07-11 00:00:00,3782,0.08050055970130113,0.03749673651881462,0.4036939313984169,0.24601355600731353,0.16978025189338172
M0047,SIZE+H03+TURN+RET40+CHIP250,2022-07-25 00:00:00,3790,0.02713109180244429,0.015127877613783147,0.366754617414248,0.10498843866392185,0.06314506400907711
M0047,SIZE+H03+TURN+RET40+CHIP250,2022-08-08 00:00:00,3813,0.03768578185947125,0.006425728900789317,0.38481675392670156,0.10014531991530154,0.04616378938381979
M0047,SIZE+H03+TURN+RET40+CHIP250,2022-08-22 00:00:00,3836,-0.004306590720316807,0.025973615239297712,0.36458333333333337,0.2752126751333501,0.2559986152643929
M0047,SIZE+H03+TURN+RET40+CHIP250,2022-09-05 00:00:00,3860,-0.0458918528942645,0.00667471207117129,0.37823834196891193,0.09961913921972589,0.09459993534081586
M0047,SIZE+H03+TURN+RET40+CHIP250,2022-09-20 00:00:00,3896,-0.04225503133808554,0.004162073580820241,0.3025641025641026,0.008197265007668202,0.03235852955843489
M0047,SIZE+H03+TURN+RET40+CHIP250,2022-10-11 00:00:00,3918,0.09004675107727057,0.04693930390344379,0.2602040816326531,0.3026718511086053,0.24609429419184473
M0047,SIZE+H03+TURN+RET40+CHIP250,2022-10-25 00:00:00,3947,0.06354925431919926,0.023548074638796816,0.36202531645569624,0.24181471355097595,0.20419098992275933
M0047,SIZE+H03+TURN+RET40+CHIP250,2022-11-08 00:00:00,3971,0.01168565891250673,0.010866953731403072,0.40452261306532666,0.1681586978505994,0.13742647576299505
M0047,SIZE+H03+TURN+RET40+CHIP250,2022-11-22 00:00:00,3990,0.036847791478233215,0.0045866716854206235,0.32832080200501257,0.14476112850023443,0.11498222888560256
M0047,SIZE+H03+TURN+RET40+CHIP250,2022-12-06 00:00:00,4005,-0.05527228688647352,-0.0021603096059628762,0.29675810473815456,0.041526075074716735,0.01831343181624953
M0047,SIZE+H03+TURN+RET40+CHIP250,2022-12-20 00:00:00,4013,0.026101116382651363,-0.0017719286599268518,0.2960199004975125,0.0783711283712575,0.03630180755828833
M0047,SIZE+H03+TURN+RET40+CHIP250,2023-01-04 00:00:00,4035,0.03037970061601628,0.013449530213519446,0.22029702970297027,0.20744272358779897,0.20730830826347768
M0047,SIZE+H03+TURN+RET40+CHIP250,2023-01-18 00:00:00,4052,0.08960437901493638,0.031099369395242327,0.3300492610837439,0.38476104286554264,0.2719608304613063
M0047,SIZE+H03+TURN+RET40+CHIP250,2023-02-08 00:00:00,4074,0.005145606042224271,0.004008552056289276,0.4068627450980392,0.13251351304725303,0.0967315511403561
M0047,SIZE+H03+TURN+RET40+CHIP250,2023-02-22 00:00:00,4092,0.014550360908265137,0.018810230030248898,0.31219512195121957,0.09989413066122124,0.07406248798105593
M0047,SIZE+H03+TURN+RET40+CHIP250,2023-03-08 00:00:00,4106,-0.02253262105413409,-0.01933738474273379,0.26520681265206814,-0.15834750137508966,-0.2158561913888318
M0047,SIZE+H03+TURN+RET40+CHIP250,2023-03-22 00:00:00,4125,-0.025996223799082358,-0.030158484389374497,0.30508474576271183,-0.28691140898876183,-0.30899630592609767
M0047,SIZE+H03+TURN+RET40+CHIP250,2023-04-06 00:00:00,4142,-0.06285119962169423,-0.020818093205537777,0.3204819277108434,-0.09104587398011077,-0.1197645113689086
M0047,SIZE+H03+TURN+RET40+CHIP250,2023-04-20 00:00:00,4155,0.010081954681228756,0.010620900385916253,0.23557692307692313,0.1479742673130846,0.0657997689991437
M0047,SIZE+H03+TURN+RET40+CHIP250,2023-05-09 00:00:00,4151,0.021385934801779194,0.021456079332384748,0.3653846153846154,0.4019320487012802,0.338129284088098
M0047,SIZE+H03+TURN+RET40+CHIP250,2023-05-23 00:00:00,4183,-0.02431990044446955,-0.027678078772961686,0.26491646778042954,-0.21450044852706873,-0.2504308019536002
M0047,SIZE+H03+TURN+RET40+CHIP250,2023-06-06 00:00:00,4205,-0.006183774280842443,-0.013390362826352305,0.2992874109263658,-0.016590876699634584,-0.01993910129860356
M0047,SIZE+H03+TURN+RET40+CHIP250,2023-06-20 00:00:00,4227,0.06163087174196312,0.04292490031365098,0.3144208037825059,0.42325274253488315,0.40568130043122075
M0047,SIZE+H03+TURN+RET40+CHIP250,2023-07-06 00:00:00,4247,0.01814108052852376,0.025875352317986565,0.30823529411764705,0.3426222791852524,0.3152817981464525
