selection,size,na,net_5y,turn_5y,sharpe_5y,dd_5y,nc_5y,comb_5y,win_rate_5y,net_1y,turn_1y,sharpe_1y,dd_1y,nc_1y,comb_1y,net_3m,turn_3m,sharpe_3m,dd_3m,nc_3m,comb_3m,comb_mean,comb_min,objective
size_only+impact60+book_to_market_lf_plus_impact+t10_size_plus_impact_fscore+impact_abs_return60,5,0.22700464174249999,25.869458471257893,14.7476867275567,1.175956301968967,27.5540863850968,1.0,0.4954009283485,0.8,10.897295597081689,14.347062090468905,0.7307755890391869,19.423951214196876,0.3392939556692231,0.19808320839965038,57.20440821480614,12.55025730524277,1.027505589205864,2.7160041294894466,1.0,0.4954009283485,0.3962950216988834,0.19808320839965038,0.42629502169888345
size_only+impact60+book_to_market_lf_plus_impact+t10_size_plus_impact_aggregate+impact_abs_return60+t10_size_plus_impact_downside,6,0.24217532131250002,26.223076628704273,16.71290881702807,1.172348813507745,27.69863173459307,1.0,0.4984350642625,0.8,11.09658355149737,16.228551621025087,0.7256802049306453,19.61259528649809,0.3161808773286695,0.1907164590604013,57.99535031780112,13.015965682872535,1.05369839172603,2.425791332867888,1.0,0.4984350642625,0.39586219586180044,0.1907164590604013,0.42586219586180046
size_only+impact60+book_to_market_lf_minus_size+t10_size_plus_impact_aggregate+impact_abs_return60+t10_size_plus_impact_downside,6,0.2453401018625,26.626535420953807,16.977008969145444,1.1715567995070528,28.366085736821468,1.0,0.49906802037250003,0.7833333333333333,11.374544372688076,16.508978728918787,0.7286850936191674,19.667151613368894,0.3196410077705684,0.19290647386925577,59.7504346438566,13.744672212640415,1.0777964658572288,2.4879728442777083,1.0,0.49906802037250003,0.39701417153808527,0.19290647386925577,0.4253475048714186
size_only+impact60+book_to_market_lf_plus_impact+t10_size_plus_impact_fscore+impact_abs_return60+t10_size_plus_impact_downside,6,0.25502610822291666,25.869789410771077,17.93393249277165,1.167769864184378,27.228666390346092,0.9450909726730916,0.47629615934747455,0.8,12.148957809622951,17.447788235419708,0.7673689849519667,19.2355236180628,0.342488563527255,0.2051250752318481,61.56471451303158,14.436371253259923,1.1072221993112097,2.39712909735198,1.0,0.5010052216445834,0.3941421520746354,0.2051250752318481,0.4241421520746354
size_only+impact60+book_to_market_lf_plus_impact+t10_size_plus_impact_aggregate+t10_size_plus_impact_wc+impact_abs_return60,6,0.24252713336666668,25.68751762926634,17.148494859063213,1.1628129949338701,27.603808092666004,0.9707141259324448,0.4853267833429335,0.7833333333333333,11.744017640365023,16.637413504939623,0.7521785262882587,19.225730906948748,0.34037789636552035,0.2016754800378175,57.96595704492296,13.706190599537335,1.0537787854435237,2.3977782136118897,1.0,0.49850542667333336,0.3951692300180281,0.2016754800378175,0.42350256335136144
size_only+impact60+book_to_market_lf_plus_impact+t10_size_plus_impact_wc+impact_abs_return60+t10_size_plus_impact_downside,6,0.2416826089895833,25.59537454172659,17.241351132360457,1.1603859250744946,27.597082678794305,0.9601307861827861,0.4803953755801704,0.8,11.736151626932463,16.665392064005406,0.7515423562606944,19.205934329683927,0.33939642551070215,0.20106491327773265,58.21896933018823,13.57725024139023,1.0597313143442855,2.348068148624738,1.0,0.49833652179791665,0.39326560355193996,0.20106491327773265,0.42326560355194
size_only+impact60+book_to_market_lf_plus_impact+t10_size_plus_impact+impact_abs_return60,5,0.21965979007249994,25.901492408344634,14.457762766310886,1.1673554630437917,28.249249011680277,1.0,0.4939319580145,0.7833333333333333,11.003205763005807,14.085093584114622,0.725845181497584,19.724588704556556,0.33867941272671614,0.19633769374152227,55.66265880697512,12.073953538388773,1.0184976155785166,2.6073642594749202,1.0,0.4939319580145,0.39473386992350745,0.19633769374152227,0.4230672032568408
size_only+impact60+book_to_market_lf_plus_impact+t10_size_plus_impact_fscore+t10_size_plus_impact_aggregate+impact_abs_return60,6,0.2558706326,25.83674342689869,17.842742464408058,1.1678116678443335,27.192869472135385,0.9493469776399948,0.4783802664579977,0.8,11.772522139005838,17.36960364318558,0.75499926569595,19.285663485938187,0.3277400161257926,0.19865713377660668,60.88743944288326,14.437046516888147,1.093670207983813,2.4412697988580145,1.0,0.50117412652,0.39273717558486815,0.19865713377660668,0.4227371755848682
size_only+impact60+book_to_market_lf_plus_impact+t10_size_plus_impact_wc+impact_abs_return60,5,0.21099244266249997,24.74633769948364,13.646972608367799,1.1474318480963872,27.84639219163958,1.0,0.49219848853250003,0.8,10.691270024737731,13.51483215846152,0.7208721027751375,19.50794774976594,0.32793646097637213,0.18976989597186747,55.14389437876258,11.431176596079391,1.0100337465649674,2.7217789994278596,1.0,0.49219848853250003,0.3913889576789558,0.18976989597186747,0.42138895767895584
size_only+impact60+t10_size_plus_impact_aggregate+impact_abs_return60+t10_size_plus_impact_downside,5,0.252120324735,26.364057330137168,17.866036116149825,1.161696964840221,28.137328980671406,0.9462034662781029,0.47621562477214635,0.7833333333333333,12.280246017612845,17.705164173551243,0.757865984292114,19.962558072681812,0.3331106702019595,0.20032386653788178,60.10667955322384,14.595988459346557,1.0768943477108643,2.267151024284275,1.0,0.500424064947,0.3923211854190094,0.20032386653788178,0.4206545187523427
