member,si,platform_net,comb_mean,delta,na,turn_5y,net_5y
growth_roe,9.052396099999998e-05,-2.431872,0.3924108186041165,0.01690878798524209,0.19935097544375,15.078148349850576,24.7648511241676
growth_revenue,8.8008e-08,-2.219848,0.3891527346322931,0.013650704013418724,0.19916256720833334,14.882876374114648,23.73974100454482
quality_net_margin_tsrank378,0.00018222713599999997,-4.215712,0.3801703278163336,0.004668297197459204,0.199542023725,15.385887042079883,24.536900540242755
impact_abs_return60,0.011190566776999998,13.944184,0.3794991893672626,0.003997158748388241,0.22247606464375,13.31220562482183,24.807274546429024
ev_ebitda_proxy,0.001457041554,3.3196399999999997,0.3694554387206816,-0.006046591898192788,0.20219788709583333,14.460834015622545,23.571910456380472
asset_growth,0.0006423269999999999,0.367536,0.3661530473080618,-0.009348983310812575,0.20050056510833333,14.477358056360748,23.371922523475032
t10_size_plus_impact_downside,0.031610675250000005,19.39004,0.36169423016511804,-0.013807800453756347,0.2650179572958334,17.48883385491433,23.897512632318215
ltmom_exhigh252_21,0.001239801006,-2.933592,0.3614720135448453,-0.014030017074029066,0.20174530262083334,13.230490281895877,22.81217354825652
t10_size_plus_impact_aggregate,0.032016046951,19.759592,0.360804896659666,-0.014697133959208408,0.2658624816729167,17.38981232926366,23.787003508032303
t10_size_plus_impact_g13,0.030609687605,19.622616,0.3587629860740213,-0.016739044544853088,0.26293256636875,17.404985729987235,23.785349145934966
t10_size_plus_impact_wc,0.031779545036,17.443168,0.3576857003638319,-0.01781633025504248,0.26536976935000006,17.809653248384368,23.539083569846138
quality_asset_turnover_tsrank378,0.000399807408,-1.27048,0.35644776223615665,-0.01905426838271773,0.19999531595833336,16.513107596548625,23.58536790221305
t10_size_plus_impact_fscore,0.038184424668,17.476064,0.35643102866884896,-0.019071001950025424,0.27871326858333334,18.556381012775798,23.442288696627216
quality_roic,0.00025293470399999997,-9.5036,0.3561580324472264,-0.019343998171648003,0.19968933115833334,14.476345697415141,21.967408152521568
momentum120,0.010719859850000001,2.291336000000001,0.3555784960035162,-0.019923534615358174,0.22149542521249999,16.953171529380263,23.644852906645927
cash_conversion,0.00019148868,-0.02025599999999983,0.35358372758168805,-0.021918303037186337,0.19956131860833334,14.427405207964284,22.283767763238487
t10_size_plus_impact,0.035246483999999995,18.157232,0.3515536479750283,-0.023948382643846078,0.27259255885833333,18.38272718386604,23.75892757111105
value_bm,0.004756155096,2.5085040000000003,0.34983308003447516,-0.02566895058439922,0.20907104030833334,13.61958028185043,21.53761312012726
paper_composite_nomcap,0.00276284,-0.11499999999999999,0.3487004367236813,-0.0268015938951931,0.204918300525,13.717152481003108,21.403744384749054
paper_composite,0.011437750344,11.202328,0.346842549142733,-0.02865948147614139,0.22299103040833335,13.27434792444876,21.697080021134614
book_to_market_lf_div_oper_main_profit_ttm,0.004586702,11.775072,0.3452912522446286,-0.030210778374245795,0.208718013025,13.14496924018215,21.652487364053453
t10_size_plus_impact_dd120,0.029485456000000004,16.834384,0.34470052158400205,-0.030801509034872332,0.2605904171916667,19.093944477368787,23.91598246689885
turn_bias,0.014489505492000001,4.962135999999999,0.3442525976556649,-0.031249432963209478,0.22934885363333335,16.554530046249855,22.445071786749153
skew60_low,0.007043778408000001,-0.4400720000000007,0.3426765936237685,-0.03282543699510587,0.21383692220833334,17.38455546171336,22.232625376477777
chip250,0.009270568553999999,4.279336,0.3404588141256553,-0.035043216493219065,0.21847606834583339,18.53227032789159,23.86588037378796
t10_size_plus_wc_mcap,0.02985811812,14.581016,0.33923968309461316,-0.03626234752426122,0.26136679660833334,18.7436076146714,23.003512468112596
reversal_chip_turn_paper,0.034046325,12.774432000000001,0.3379172414433662,-0.03758478917550817,0.27009222760833335,19.41208303392218,23.118360949389498
t10_nomcap_plus_impact,0.033668843940000005,14.225216,0.33703240186916467,-0.03846962874970972,0.2693058087333334,19.382408876625938,23.048750317054168
reversal_chip_turn_size_eq,0.032900570064000004,16.383983999999998,0.33434906170859674,-0.04115296891027764,0.26770523815833336,19.48134761470521,23.303238692744547
reversal_turn_paper,0.032826086496,11.643647999999999,0.3338354792693627,-0.041666551349511693,0.26755006405833337,19.33543545797716,22.63436201969559
fscore_eq,0.014324063031,1.8243760000000009,0.329079459328493,-0.04642257129038141,0.22900418183958332,21.74744663892085,22.890935395187135
reversal_chip_eq,0.020861070614999998,7.8760639999999995,0.32605736201915664,-0.049444668599717745,0.2426229476395833,21.694333299880082,23.926596348497927
drawdown120,0.003869999775,4.246232,0.32526533026549037,-0.05023670035338401,0.20722488338958334,20.413019796392557,23.786275122921115
reversal_turn_paper_nomcap,0.022301372939999998,5.224711999999999,0.323117519544178,-0.05238451107469638,0.24562357748333336,19.603747707320565,22.11028935890437
reversal_chip_turn_eq,0.02515759813,8.662416,0.322195709852284,-0.053306320766590365,0.2515740466291667,20.549826792720822,22.754059333372638
fscore_interact,0.013888069812000001,1.8427599999999984,0.3205918549356922,-0.05491017568318218,0.22809586263333334,21.818432898280385,22.44577043334902
reversal_turn_eq,0.025384577988,7.395975999999998,0.3130177847774476,-0.062484245841426755,0.25204692133333334,21.22694165586934,22.322830278322918
momentum20,0.020122383599999998,-0.10252000000000017,0.31276086771778583,-0.06274116290108855,0.24108401635833335,22.965330775427994,23.52386387526205
reversal40,0.019352234872000003,5.030975999999999,0.31017902221289256,-0.06532300840598182,0.23947953984166673,23.857460458240705,23.177194268320665
momentum20_open,0.017537799819,-0.23581600000000158,0.30955250435698495,-0.06594952626188944,0.23569946681458337,22.91488828600806,23.431429345095637
weighted_reversal,0.023677642575,-0.8064719999999994,0.3078530357213182,-0.06764899489755616,0.24849080588958336,25.433593618912028,23.300615030030222
weighted_reversal_lowturn,0.027090640139999997,2.7122639999999993,0.30521484491378703,-0.07028718570508735,0.25560121748333336,22.122968964887328,22.023123284856926
exp_weighted_reversal63,0.027275562974,-1.588487999999999,0.30128601679828254,-0.07421601382059184,0.2559864733875,25.540007324997795,22.77282685421139
max_return21_low,0.010936372434,-5.908552,0.2942624446676048,-0.08123958595126957,0.22194649309583334,21.598400506359038,21.015921769580565
reversal20,0.020150242571999998,-0.10252000000000017,0.29243938997487473,-0.08306264064399965,0.24114205588333334,26.971100063708636,23.098773051388452
rsi14,0.009376061136,-4.676759999999999,0.2731292875315002,-0.10237274308737421,0.21869584455833332,28.741745190109974,21.491011408959963
alpha13,0.005541272154,-9.010624,0.2572727981487979,-0.1182292324700765,0.21070670084583337,30.677311658636768,20.749491015487408
alpha44,0.0045926080200000005,-9.623712,0.2473642164400421,-0.12813781417883227,0.20873031723333332,33.27958199298336,19.861214213950344
max5_low21,0.00071342625,-11.930792,0.2224773293638135,-0.15302470125506087,0.20064868854583334,31.930708412188512,19.255741999794694
