key,name,in_pool,platform_net_pct,platform_si,local_s_i,local_rank_ic,local_ic_ir,local_win,local_turnover,local_net,corr_size,net_size_neutral,add6_net,add6_turn,NC2,NC3,dNA,dNC2,dNC3,dNC_exp,dComb2,dComb_exp,dNC_turn,dNC_perf,dNB_steady,dNB_first,corr_pool,add6_sr,add6_dd,T2,T3,NA6,NC1,dNC1,dComb3,dpoints_exp,dpoints2
impact_abs_return60,VERIFY10-G260910-13,False,13.944184,0.011190566776999998,0.012141800706956432,0.057597377003270576,0.31620712622730146,0.6666666666666666,0.10448530078129345,0.16268139744484772,0.8045641388910239,-0.030250369361693875,0.24816411704007643,0.13322651801260826,1.0,0.8013016448601016,-0.014540748908840745,0.0,0.09920087467189675,0.011576742074210333,-0.0029081497817681767,0.0023013841516265066,0.0,0.0,-0.019387665211787697,-0.053114889397777754,0.8579281892954664,1.1560591525178576,0.27517305203487075,0.2664530360252165,0.3996795540378248,0.22447625338115926,1.0,0.0,0.041732243820585324,101.26090267156628,-127.95859039779978
size_only,SIZE-ONLY-20260911,True,21.433287999999997,0.010244872746,0.009987146452762916,0.05598958449837288,0.27442319556782657,0.65,0.08638982189633132,0.21699572765283798,1.0,-0.11980792353186806,0.23799617973444925,0.14301876756987003,1.0,0.7021007701882048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
impact60,H03-T10-SINGLE,True,16.443255999999998,0.015785968169999998,0.015916142961871486,0.06625311458106892,0.3695882667905744,0.65,0.10526126311435474,0.18068094402676418,0.7512888131915212,0.003282632507009449,0.23799617973444925,0.14301876756987003,1.0,0.7021007701882048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
t10_size_plus_impact_bm,T10-ADD-BM-20260911,True,18.092280000000002,0.03725596,0.03591581872434741,0.12032214003989104,0.4315621787100486,0.6916666666666667,0.3010100181206776,0.19595590427877435,0.5653119526332906,0.0396359537358577,0.23799617973444925,0.14301876756987003,1.0,0.7021007701882048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
book_to_market_lf_plus_impact,VERIFY10-F260910-12,True,15.046176,0.015396024336,0.015406852818545863,0.07917136581164443,0.31136212261791935,0.625,0.09463084011603132,0.166817922257659,0.574343321477463,0.008365646915646282,0.23799617973444925,0.14301876756987003,1.0,0.7021007701882048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
book_to_market_lf_minus_size,VERIFY10-E260910-04,True,16.74068,0.016915119,0.015117154796414263,0.07932006792210133,0.3009224829113038,0.6333333333333333,0.09729644033685864,0.17510771806576753,0.7203090625197331,-0.019577997141039277,0.23799617973444925,0.14301876756987003,1.0,0.7021007701882048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
growth_roe,NEW-GROWTH-ROE-TTM,False,-2.431872,9.052396099999998e-05,5.354260320461283e-05,-0.0026458438379403024,-0.059228763206915405,0.3416666666666667,0.09460634112892893,-0.025345837364929062,-0.11612737122982159,0.0021699413770207704,0.24818693989959814,0.15102884876008552,1.0,0.7186258877167845,-0.039724619958323715,0.0,0.016525117528579658,0.0019284812155851982,-0.007944923991664743,-0.007077107444651343,-0.001352286235969391,0.001352286235969391,-0.0529661599444316,-0.053114889397777754,-0.13154361769145398,1.1626942281776296,0.26916385342091986,0.30205769752017103,0.4530865462802566,0.1992923823316763,1.0,0.0,-0.0005086211038038968,-311.3927275646591,-349.57665563324866
growth_revenue,NEW-GROWTH-REV-TTM,False,-2.219848,8.8008e-08,3.918294338255119e-05,-0.0033646451177341235,-0.027949177648028515,0.4166666666666667,0.07609523004490545,-0.025372245062666367,-0.1468562201502424,0.014254629769544572,0.2373926614865396,0.14909724843174496,1.0,0.6986807595346973,-0.03975453591628636,0.0,-0.0034200106535074992,-0.00039911524326441405,-0.007950907183257305,-0.00813050904272622,0.0,0.0,-0.05300604788838181,-0.053114889397777754,-0.1939210157148176,1.1522841148450236,0.2621009666176014,0.2981944968634899,0.44729174529523485,0.19926246637371364,1.0,0.0,-0.009489911977335674,-357.74239787995367,-349.8399160633214
quality_net_margin_tsrank378,REPORT-HIST-NETMARGIN-6Q-10D-20260910,False,-4.215712,0.00018222713599999997,7.722337560115373e-08,5.453019732206688e-05,0.0038622491120115015,0.36666666666666664,0.1952297690639394,-0.04282737814995205,-0.08445483983908438,-0.015517393793504829,0.2445456188911843,0.15383029890363323,1.0,0.6962692588573425,-0.03983600616630084,0.0,-0.005831511330862349,-0.0006805373723116626,-0.007967201233260168,-0.008273443050800411,-0.010433310710732224,0.010433310710732224,-0.0531146748884011,-0.053114889397777754,-0.14325939080872938,1.1606166353172855,0.2672743511630221,0.30766059780726646,0.4614908967108997,0.19918099612369916,1.0,0.0,-0.010591381332148264,-364.0314942352181,-350.5568542634474
asset_growth,F-AG260921-T10,False,0.367536,0.0006423269999999999,0.0004164229567799306,-0.009297333969745619,-0.0881104953880206,0.5083333333333333,0.05572612763496458,-0.06082966834370263,-0.18506824714427067,-0.027089703735850387,0.23379747690399755,0.14485900934871906,1.0,0.6916291292098146,-0.038968619221708495,0.0,-0.010471640978390262,-0.0012220405021782232,-0.007793723844341738,-0.008343642070321844,0.0,0.0,-0.05195815896227801,-0.053114889397777754,-0.20632799886470662,1.1361539615824707,0.26757229137678507,0.28971801869743813,0.43457702804615717,0.2000483830682915,1.0,0.0,-0.012505962284617367,-367.1202510941611,-342.92384915103645
ev_ebitda_proxy,NEW-VALUE-EVEBITDA,False,3.3196399999999997,0.001457041554,0.00080085930801982,0.015047945369880933,0.1161174736062852,0.4583333333333333,0.07138872528983427,-0.013287767713058807,0.029319166422784256,-0.04695477718064634,0.23563172592422504,0.14474482052052995,0.9923564725435579,0.6855903160989492,-0.03816771015662537,-0.007643527456442145,-0.016510454089255666,-0.008678297794491474,-0.011073129386724057,-0.011538776038846288,0.0,-0.007643527456442145,-0.050890280208833794,-0.053114889397777754,0.10831169240437859,1.1227321984108318,0.27066947024773735,0.2894896410410599,0.43423446156158985,0.20084929213337463,0.9923564725435579,-0.007643527456442145,-0.015063246371490147,-507.7061457092367,-487.2176930158585
fnet01_qfq,F-NET01-PLAT-20260914 (qfq 口径),False,13.63,,0.013007590182792383,0.0857151910442035,0.27591566536341244,0.55,0.126992838178948,0.17947936826118938,0.6146300473317697,0.12763957669488543,0.22244953166863696,0.14464014866299624,0.9529801480039154,0.6588628100931422,-0.012737020834182544,-0.047019851996084605,-0.043237960095062644,-0.0465785052112353,-0.02370633756507462,-0.02350773151189245,0.0,-0.047019851996084605,-0.016982694445576707,-0.053114889397777754,0.8205034133144864,1.1122613782177841,0.2555875827587428,0.2892802973259925,0.4339204459889887,0.22627998145581746,0.9529801480039154,-0.047019851996084605,-0.022004486209614704,-1034.3401865232677,-1043.0788528632834
quality_roic,REPORT-ROIC-TTM-10D-20260910,False,-9.5036,0.00025293470399999997,0.00033971751319271387,-0.005813863012872838,-0.10787505522539671,0.5416666666666666,0.08632240047789384,-0.0969217005413371,-0.3338690912166975,-0.015833739275975447,0.220068842921465,0.14520167048579638,0.953546966412982,0.6567052315739424,-0.039128422229181864,-0.04645303358701802,-0.045395538614262376,-0.04632962392369744,-0.02872954955999446,-0.028674015211500148,0.0,-0.04645303358701802,-0.05217122963890913,-0.053114889397777754,-0.30087192028048143,1.1254077384614032,0.25581617645959753,0.29040334097159276,0.43560501145738917,0.19988858006081814,0.953546966412982,-0.04645303358701802,-0.028253676822254437,-1261.6566693060065,-1264.1001806397562
