candidate,formula,finite_share,periods,rank_ic,ic_ir,win,s_i,direction,seat_turnover,seat_gross,seat_net,corr_size_only,corr_impact60,corr_t10_size_plus_impact_bm,corr_book_to_market_lf_minus_size,corr_book_to_market_lf_plus_impact,corr_max_abs,corr_max_abs_seat,tag,delta_comb,delta_points,pool_na,pool_nc,pool_comb,pool_net,pool_gross,pool_turnover,pool_monthly_turnover,pool_sr,pool_dd,raw_c
s903:F-NET01,(1/(RATIO_MARKET_CAP_TOTAL)),0.8530892801977139,120,0.05598298454126014,0.27726291988502755,0.675,0.010477353886507,1,0.08638982189633132,0.23005787034487768,0.2169957292741524,0.9999989678049295,0.7512934864944555,0.5653122678544265,0.7202904312623616,0.5743280444365015,0.9999989678049295,size_only,add-6th,-0.003601669290288767,-158.47344877270575,0.22100865583855625,1.0,0.49420173116771127,0.24978534880928918,0.27002363264768436,0.13385108358726966,0.2677021671745393,1.1364126799205525,0.2882605681837509,0.6188957583062049
s902:F-NET02,"WMA((0.01/RATIO_A_SHARE_MV),30)",0.8412279888785913,120,0.05060576467734,0.2763859151450027,0.6916666666666667,0.009674148402521827,1,0.05395683294527721,0.20246359317654794,0.19430532003522202,0.9976471915393239,0.7543453085861953,0.5469836150854841,0.7146030927454299,0.5741495439886852,0.9976471915393239,size_only,add-6th,-0.003936338241949278,-173.1988826457682,0.2193353110802538,1.0,0.49386706221605076,0.24888929027999743,0.2671698321864484,0.12090305493684507,0.24180610987369014,1.1336120258307913,0.2900449901615134,0.6131419517040013
s902:F-NET05,"WMA((WMA(TS_MEDIAN((MASS/RATIO_A_SHARE_MV),20),30)/RATIO_A_SHARE_MV),30)",0.8124374420759963,120,0.047642882264976386,0.2863354835836143,0.6833333333333333,0.009321929283983798,1,0.04310898871257506,0.1933280780317257,0.18680999893838435,0.9950570007992438,0.7538625625345398,0.5217992139576308,0.7072053876958834,0.5693670120290995,0.9950570007992438,size_only,add-6th,-0.004083096208006787,-179.65623315229863,0.21860152124996626,1.0,0.49372030424999325,0.24949912199766644,0.26624449635014025,0.11074983037350404,0.22149966074700808,1.1289023625191783,0.29530803775568104,0.6061611381008444
s903:F-NET02,"(1/(TS_MIN(RATIO_MARKET_CAP_TOTAL,40)))",0.8371949335804757,120,0.04410788535117049,0.2557301298052557,0.6583333333333333,0.007425812537141026,1,0.049746316950421504,0.18191592071710372,0.17439427759419998,0.9916048598876396,0.7425134753311078,0.5026672450297914,0.6922542217556767,0.5539268560611457,0.9916048598876396,size_only,add-6th,-0.004873144852524602,-214.4183735110825,0.21465127802737716,1.0,0.49293025560547543,0.24983742474646164,0.26781728997437493,0.11891445256556403,0.23782890513112806,1.1344902990374885,0.2895182840535412,0.6165516927833427
s903:F-NET03,(1/(A_SHARE_MARKET_VAL_IN_CIRCULATION)),0.8530892801977139,120,0.047487212051190233,0.2557621909731678,0.5916666666666667,0.007186048093473401,1,0.07068046620440327,0.1317743011227437,0.12108741463263792,0.9353301941380252,0.7724593945216118,0.5524338142823637,0.6405000589957452,0.5511604374408756,0.9353301941380252,size_only,add-6th,-0.004973046704052797,-218.81405497832307,0.21415176876973624,1.0,0.49283035375394724,0.24379320550008377,0.2644034481930242,0.13631112892156375,0.2726222578431275,1.1265653716132171,0.2868196121731814,0.6003977511787743
s902:F-NET01,(VOL120-RATIO_A_SHARE_MV),0.8047652147049738,120,0.056977128809129404,0.09667088414969553,0.4083333333333333,0.002249112012468265,1,0.08413674825849149,0.2346180172198451,0.2218965408831612,0.9999989320484678,0.7539736409081284,0.5688460519460146,0.7194149050371187,0.5750022789863523,0.9999989320484678,size_only,add-6th,-0.007030103404471577,-309.3245497967494,0.2038664852676422,1.0,0.49077329705352846,0.2375366056609451,0.25897200449874114,0.14176851083198447,0.28353702166396894,1.130269076491305,0.2741315606858131,0.6005385937936247
s903:F-NET04,"WMA(POWER(TOTAL_ASSETS,(-1)),20)",0.9745551436515292,120,0.013121627878515564,0.1088383839272246,0.4166666666666667,0.0005950569886633545,1,0.01162332362519894,0.028747287601468274,0.026989841069338195,0.7446132948551184,0.582820544457549,0.23418765444934633,0.1890566021901329,0.09875674590433853,0.7446132948551184,size_only,add-6th,-0.007719292997723615,-339.64889189983904,0.200420537301382,1.0,0.4900841074602764,0.2502020823904385,0.2715433757018839,0.14114611978469183,0.28229223956938365,1.14588436147919,0.28511280419194474,0.628705121458214
s903:F-NET05,"(1/(TS_MIN(BS_TOTAL_CUR_ASSETS,40)))",0.9546354649366698,120,0.015453183976236297,-0.0076388896302825885,0.15,1.7706775024638077e-05,0,0.015832608774585918,0.039822957850258245,0.03742906740354086,-0.7150141398837854,-0.542019486922923,-0.2276961950098541,-0.2096403833256438,-0.11631870327468162,0.7150141398837854,size_only,add-6th,-0.015986327173140025,-703.3983956181611,0.19921772435630133,0.9821633964746661,0.48181707328486,0.2329721223554369,0.2548999378207699,0.14502523455908067,0.29005046911816135,1.1245951735191944,0.27102459521725497,0.5892980378847996
s902:F-NET04,"WMA((((LWR1/RATIO_A_SHARE_MV)/RATIO_A_SHARE_MV)/RATIO_A_SHARE_MV),30)",0.8394501081248069,120,0.05266245063602762,0.30617817096118977,0.6666666666666666,0.01074939520938192,1,0.12469695011947277,0.2105410261180798,0.1916868472600155,0.995917870274365,0.7454732655126435,0.5670243777410934,0.7105391202135816,0.5653821884015291,0.995917870274365,size_only,add-6th,-0.017308065962744312,-761.5549023607498,0.22157540859454566,0.9692894506141035,0.4804953344952557,0.24412620566321458,0.2643078316134537,0.13347636210475627,0.26695272420951255,1.1113854069846716,0.29745567124280337,0.5815736703684621
s902:F-NET03,"WMA(((((((LWR1/RATIO_A_SHARE_MV)/RATIO_A_SHARE_MV)/RATIO_A_SHARE_MV)/RATIO_A_SHARE_MV)/RATIO_A_SHARE_MV)/RATIO_A_SHARE_MV),30)",0.8394501081248069,120,0.05069611662487016,0.2713008878525954,0.55,0.007564645798053298,1,0.08175881462798303,0.20554005001274578,0.19317811724099473,0.9974669278699676,0.7491786846895586,0.5521062732208094,0.7104623738387964,0.5677267547945483,0.9974669278699676,size_only,add-6th,,,,,,,,,,,,
