factor_id,factor_name,report,handler,formula,direction,platform_factor_direction,platform_factor_id,platform_run_id,configured_cycle,platform_rank_ic,platform_ic_mean,platform_ic_ir,platform_ic_p_value,platform_monotonicity,platform_gross_excess_pct,platform_turnover_pct,platform_annual_cost_pct,platform_net_excess_pct,platform_long_sharpe,platform_long_max_drawdown_pct,platform_long_monthly_win_rate_pct,local_net_excess_pct,local_net_positive,high_threshold,high_neighbor_count,high_neighbor_names,high_neighbors,nearest_factor,nearest_correlation,nearest_abs_correlation,neighbor_rows_written
positive-cycle10-candidates.report:HT13-TURN-BIAS-1M,HT13-TURN-BIAS-1M,positive-cycle10-candidates.report.csv,turn_bias,"MA(TURNOVER,21) / MA(TURNOVER,504) - 1",0,0,6a9fcdb251cdfe29b2e0b56b,6a9fcdb23e7967143f8faaee,10,-0.0737,-0.0442,-0.3612,0.0019,0.86,9.04,26.97,4.077864,4.962135999999999,0.9491,22.94,58.97,,,0.8,3,HT13-TURN-BIAS-1M [huatai-series13-candidates] (+1.000000); HT13-TURN-BIAS-1M-POS [huatai-turn-bias-positive] (-1.000000); OSR2-RET40-TURN-BIAS-EQ [osr2-ret40-turn-bias-composite-cycle10-candidates] (-0.821641),"HT13-TURN-BIAS-1M [huatai-series13-candidates] (net=6.43%, rho=+1.000000); HT13-TURN-BIAS-1M-POS [huatai-turn-bias-positive] (net=6.40%, rho=-1.000000); OSR2-RET40-TURN-BIAS-EQ [osr2-ret40-turn-bias-composite-cycle10-candidates] (net=7.40%, rho=-0.821641)",HT13-TURN-BIAS-1M [huatai-series13-candidates] (+1.000000),1.0,1.0,3
huatai-turn-bias-positive.report:HT13-TURN-BIAS-1M-POS,HT13-TURN-BIAS-1M-POS,huatai-turn-bias-positive.report.csv,turn_signal,"1 - MA(TURNOVER,21) / MA(TURNOVER,504)",1,1,6a9e9449a7f535324660b07d,6a9e944aa7f535324660b07e,5,0.0653,0.0369,0.3173,0.0001,0.87,11.14,15.69,4.744656,6.395344000000001,0.9915,24.89,61.54,,,0.8,3,HT13-TURN-BIAS-1M [huatai-series13-candidates] (-1.000000); HT13-TURN-BIAS-1M [positive-cycle10-candidates] (-1.000000); OSR2-RET40-TURN-BIAS-EQ [osr2-ret40-turn-bias-composite-cycle10-candidates] (+0.821641),"HT13-TURN-BIAS-1M [huatai-series13-candidates] (net=6.43%, rho=-1.000000); HT13-TURN-BIAS-1M [positive-cycle10-candidates] (net=4.96%, rho=-1.000000); OSR2-RET40-TURN-BIAS-EQ [osr2-ret40-turn-bias-composite-cycle10-candidates] (net=7.40%, rho=+0.821641)",HT13-TURN-BIAS-1M [huatai-series13-candidates] (-1.000000),-1.0,1.0,3
huatai-series13-candidates.report:HT13-VALUE-BP,HT13-VALUE-BP,huatai-series13-candidates.report.csv,value_bm,ratio_bm_ttm,1,1,6a9e891a0f6165ec8f7f33d9,6a9e891acffa1665a2100bcd,5,0.0524,0.0154,0.1068,0.0985,0.88,3.36,4.17,1.261008,2.098992,0.6007,22.69,60.0,,,0.8,1,OSR3-RET40-BP-VAL2 [osr3-ret40-value-candidates] (+0.907927),"OSR3-RET40-BP-VAL2 [osr3-ret40-value-candidates] (net=3.17%, rho=+0.907927)",OSR3-RET40-BP-VAL2 [osr3-ret40-value-candidates] (+0.907927),0.9079273039358892,0.9079273039358892,1
huatai-series13-candidates.report:HT13-VALUE-SP,HT13-VALUE-SP,huatai-series13-candidates.report.csv,value_sp,ratio_sp_ttm,1,1,6a9e899ca7f535324660b053,6a9e899d5d52c44d2f55be5b,5,0.0333,0.0045,0.0446,0.4893,0.8,1.0,2.94,0.889056,0.11094400000000004,0.4758,26.03,61.67,,,0.8,0,,,OSR4-RET40-BP-CFP-SP [osr4-ret40-value-refine-candidates] (+0.703006),0.7030060440370051,0.7030060440370051,1
high-potential-5-20260910-candidates.report:NEW-VALUE-EVEBITDA,NEW-VALUE-EVEBITDA,high-potential-5-20260910-candidates.report.csv,ev_ebitda_proxy,RANK(-ratio_ev_ebitda_ttm),1,1,6aa233bf6df2a192a47e79f1,6aa233c051cdfe29b2e0b958,10,0.0202,0.0125,0.1731,0.0604,0.87,4.31,6.55,0.99036,3.3196399999999997,0.4379,37.18,58.33,,,0.8,0,,,HT13-VALUE-SP [huatai-series13-candidates] (-0.314097),-0.3140973651641143,0.3140973651641143,1
nonht-report-directions-20260909-formula.report:NONHT-CHIP-COST-250,NONHT-CHIP-COST-250,nonht-report-directions-20260909-formula.report.csv,chip250,"RANK((SUM(VOLUME*(OPEN+CLOSE)/2,250)/SUM(VOLUME,250))/CLOSE-1)",1,1,6aa1239c6df2a192a47e78d4,6aa1239c6df2a192a47e78d5,10,0.0677,0.0373,0.2694,0.0038,0.96,9.34,33.47,5.060664,4.279336,0.6102,29.22,53.33,,,0.8,3,COMBO-DIRECT-OSR2-CHIP-EQ [combo-direct-20260909-candidates] (+0.887416); HT13-MOMENTUM-120D-D0 [ht13-momentum-120d-d0] (-0.837677); COMBO-DIRECT-OSR2-CHIP-TURN-EQ [combo-direct-3factor-20260909-candidates] (+0.831488),"COMBO-DIRECT-OSR2-CHIP-EQ [combo-direct-20260909-candidates] (net=7.88%, rho=+0.887416); HT13-MOMENTUM-120D-D0 [ht13-momentum-120d-d0] (net=2.29%, rho=-0.837677); COMBO-DIRECT-OSR2-CHIP-TURN-EQ [combo-direct-3factor-20260909-candidates] (net=8.66%, rho=+0.831488)",COMBO-DIRECT-OSR2-CHIP-EQ [combo-direct-20260909-candidates] (+0.887416),0.8874163444894411,0.8874163444894411,3
nonhuatai-factor-6-20260909.report:NONHT-FSCORELIKE-REV40,NONHT-FSCORELIKE-REV40,nonhuatai-factor-6-20260909.report.csv,fscore_eq,"(RANK(1 - RETURNS(CLOSE,40)) + RANK((IF(oper_roa_net_ttm > 0,1,0) + IF(cfd_ocf_to_debt_ttm > 0,1,0) + IF(oper_roa_net_ttm > oper_roa_net_lyr,1,0) + IF(cfd_surplus_cash_multi_ttm > 1,1,0) + IF(fin_debt_to_asset_ttm < fin_debt_to_asset_lyr,1,0) + IF(fin_current_ratio_ttm > fin_current_ratio_lyr,1,0) + IF(oper_gross_margin_ttm > oper_gross_margin_lyr,1,0) + IF(oper_total_asset_turnover_ttm > oper_total_asset_turnover_lyr,1,0)) / 8)) / 2",1,1,6aa0e96acffa1665a21011aa,6aa0e96ba7f535324660b4d0,10,0.0697,0.038,0.3681,0.0001,0.91,8.14,41.77,6.315624,1.8243760000000009,0.6523,28.69,56.67,,,0.8,1,NONHT-FSCORELIKE-REV40-INTERACT [literature-rankic-optimization-20260909-formula] (+0.946359),"NONHT-FSCORELIKE-REV40-INTERACT [literature-rankic-optimization-20260909-formula] (net=1.84%, rho=+0.946359)",NONHT-FSCORELIKE-REV40-INTERACT [literature-rankic-optimization-20260909-formula] (+0.946359),0.9463589570700386,0.9463589570700386,1
literature-rankic-optimization-20260909-formula.report:NONHT-FSCORELIKE-REV40-INTERACT,NONHT-FSCORELIKE-REV40-INTERACT,literature-rankic-optimization-20260909-formula.report.csv,fscore_interact,"RANK(1 - RETURNS(CLOSE,40)) * RANK((IF(oper_roa_net_ttm > 0,1,0) + IF(cfd_ocf_to_debt_ttm > 0,1,0) + IF(oper_roa_net_ttm > oper_roa_net_lyr,1,0) + IF(cfd_surplus_cash_multi_ttm > 1,1,0) + IF(fin_debt_to_asset_ttm < fin_debt_to_asset_lyr,1,0) + IF(fin_current_ratio_ttm > fin_current_ratio_lyr,1,0) + IF(oper_gross_margin_ttm > oper_gross_margin_lyr,1,0) + IF(oper_total_asset_turnover_ttm > oper_total_asset_turnover_lyr,1,0)) / 8)",1,1,6aa1051decb163ea7228cd46,6aa1051eecb163ea7228cd47,10,0.0743,0.0323,0.3348,0.0004,0.89,8.11,41.45,6.267240000000001,1.8427599999999984,0.65,28.93,56.67,,,0.8,1,NONHT-FSCORELIKE-REV40 [nonhuatai-factor-6-20260909] (+0.946359),"NONHT-FSCORELIKE-REV40 [nonhuatai-factor-6-20260909] (net=1.82%, rho=+0.946359)",NONHT-FSCORELIKE-REV40 [nonhuatai-factor-6-20260909] (+0.946359),0.9463589570700386,0.9463589570700386,1
nonhuatai-factor-6-20260909.report:NONHT-RESVOL-LOW,NONHT-RESVOL-LOW,nonhuatai-factor-6-20260909.report.csv,residual_volatility,RANK(-residual_volatility),1,1,6aa0e8ef5d52c44d2f55c0f1,6aa0e8f0a7f535324660b4ce,10,0.0884,0.0347,0.2831,0.0073,0.74,2.97,17.19,2.5991280000000003,0.37087199999999987,0.7367,23.77,52.73,,,0.8,0,,,HT13-VALUE-BP [huatai-series13-candidates] (+0.528753),0.528753005969694,0.528753005969694,1
oversold-rebound-recovery-candidates.report:OSR2-DD120,OSR2-DD120,oversold-rebound-recovery-candidates.report.csv,drawdown120,"RANK(1 - CLOSE / TS_MAX(CLOSE,120))",1,1,6a9e77906df2a192a47e7347,6a9e7b46ecb163ea7228ca6d,5,0.0329,0.0239,0.1841,0.0046,0.89,11.16,21.06,6.368544,4.791456,0.6278,38.08,58.33,,,0.8,1,OSR2-DD120 [positive-cycle10-candidates] (+1.000000),"OSR2-DD120 [positive-cycle10-candidates] (net=4.25%, rho=+1.000000)",OSR2-DD120 [positive-cycle10-candidates] (+1.000000),1.0,1.0,1
positive-cycle10-candidates.report:OSR2-DD120,OSR2-DD120,positive-cycle10-candidates.report.csv,drawdown120,"RANK(1 - CLOSE / TS_MAX(CLOSE,120))",1,1,6a9fcd73ecb163ea7228cbed,6a9fcd73ecb163ea7228cbee,10,0.0405,0.0285,0.2085,0.0241,0.9,8.69,29.39,4.4437679999999995,4.246232,0.5506,28.55,55.0,,,0.8,1,OSR2-DD120 [oversold-rebound-recovery-candidates] (+1.000000),"OSR2-DD120 [oversold-rebound-recovery-candidates] (net=4.79%, rho=+1.000000)",OSR2-DD120 [oversold-rebound-recovery-candidates] (+1.000000),1.0,1.0,1
oversold-rebound-recovery-candidates.report:OSR2-DD60,OSR2-DD60,oversold-rebound-recovery-candidates.report.csv,drawdown60,"RANK(1 - CLOSE / TS_MAX(CLOSE,60))",1,1,6a9e7790cffa1665a2100b83,6a9e7afc6df2a192a47e7356,5,0.0303,0.023,0.1736,0.0075,0.79,9.82,26.03,7.871472000000001,1.9485279999999996,0.5804,43.49,53.33,,,0.8,0,,,OSR2-DD120 [oversold-rebound-recovery-candidates] (+0.789871),0.7898705245634533,0.7898705245634533,1
oversold-rebound-recovery-candidates.report:OSR2-RET40,OSR2-RET40,oversold-rebound-recovery-candidates.report.csv,reversal40,"RANK(1 - RETURNS(CLOSE,40))",1,1,6a9e778fecb163ea7228ca64,6a9e7abba7f535324660b013,5,0.0731,0.0389,0.2718,0.0,0.88,13.25,40.41,12.219983999999998,1.0300160000000016,0.7374,40.2,58.33,,,0.8,9,OSR2-RET40 [positive-cycle10-candidates] (+1.000000); OSR3-RET40-BP-INTERACT [osr3-ret40-value-candidates] (+0.942864); OSR3-RET40-BP-REV2 [osr3-ret40-value-candidates] (+0.907752); OSR4-RET40-BP-CFP-REV3 [osr4-ret40-value-refine-candidates] (+0.903276); COMBO-DIRECT-OSR2-CHIP-EQ [combo-direct-20260909-candidates] (+0.885864); OSR2-RET40-TURN-BIAS-EQ [osr2-ret40-turn-bias-composite-cycle10-candidates] (+0.818802); OSR3-RET40-BP-TSRANK756 [osr3-ret40-value-candidates] (+0.812266); OSR4-RET40-BP-CFP-REV2 [osr4-ret40-value-refine-candidates] (+0.809362); COMBO-DIRECT-OSR2-CHIP-TURN-EQ [combo-direct-3factor-20260909-candidates] (+0.809169),"OSR2-RET40 [positive-cycle10-candidates] (net=5.03%, rho=+1.000000); OSR3-RET40-BP-INTERACT [osr3-ret40-value-candidates] (net=2.73%, rho=+0.942864); OSR3-RET40-BP-REV2 [osr3-ret40-value-candidates] (net=2.48%, rho=+0.907752); OSR4-RET40-BP-CFP-REV3 [osr4-ret40-value-refine-candidates] (net=1.63%, rho=+0.903276); COMBO-DIRECT-OSR2-CHIP-EQ [combo-direct-20260909-candidates] (net=7.88%, rho=+0.885864); OSR2-RET40-TURN-BIAS-EQ [osr2-ret40-turn-bias-composite-cycle10-candidates] (net=7.40%, rho=+0.818802); OSR3-RET40-BP-TSRANK756 [osr3-ret40-value-candidates] (net=1.64%, rho=+0.812266); OSR4-RET40-BP-CFP-REV2 [osr4-ret40-value-refine-candidates] (net=2.37%, rho=+0.809362); COMBO-DIRECT-OSR2-CHIP-TURN-EQ [combo-direct-3factor-20260909-candidates] (net=8.66%, rho=+0.809169)",OSR2-RET40 [positive-cycle10-candidates] (+1.000000),1.0,1.0,9
positive-cycle10-candidates.report:OSR2-RET40,OSR2-RET40,positive-cycle10-candidates.report.csv,reversal40,"RANK(1 - RETURNS(CLOSE,40))",1,1,6a9fcd2d6df2a192a47e765b,6a9fcd2e6df2a192a47e765c,10,0.0908,0.0512,0.3602,0.0001,0.91,13.35,55.02,8.319024,5.030975999999999,0.738,30.05,60.0,,,0.8,9,OSR2-RET40 [oversold-rebound-recovery-candidates] (+1.000000); OSR3-RET40-BP-INTERACT [osr3-ret40-value-candidates] (+0.942864); OSR3-RET40-BP-REV2 [osr3-ret40-value-candidates] (+0.907752); OSR4-RET40-BP-CFP-REV3 [osr4-ret40-value-refine-candidates] (+0.903276); COMBO-DIRECT-OSR2-CHIP-EQ [combo-direct-20260909-candidates] (+0.885864); OSR2-RET40-TURN-BIAS-EQ [osr2-ret40-turn-bias-composite-cycle10-candidates] (+0.818802); OSR3-RET40-BP-TSRANK756 [osr3-ret40-value-candidates] (+0.812266); OSR4-RET40-BP-CFP-REV2 [osr4-ret40-value-refine-candidates] (+0.809362); COMBO-DIRECT-OSR2-CHIP-TURN-EQ [combo-direct-3factor-20260909-candidates] (+0.809169),"OSR2-RET40 [oversold-rebound-recovery-candidates] (net=1.03%, rho=+1.000000); OSR3-RET40-BP-INTERACT [osr3-ret40-value-candidates] (net=2.73%, rho=+0.942864); OSR3-RET40-BP-REV2 [osr3-ret40-value-candidates] (net=2.48%, rho=+0.907752); OSR4-RET40-BP-CFP-REV3 [osr4-ret40-value-refine-candidates] (net=1.63%, rho=+0.903276); COMBO-DIRECT-OSR2-CHIP-EQ [combo-direct-20260909-candidates] (net=7.88%, rho=+0.885864); OSR2-RET40-TURN-BIAS-EQ [osr2-ret40-turn-bias-composite-cycle10-candidates] (net=7.40%, rho=+0.818802); OSR3-RET40-BP-TSRANK756 [osr3-ret40-value-candidates] (net=1.64%, rho=+0.812266); OSR4-RET40-BP-CFP-REV2 [osr4-ret40-value-refine-candidates] (net=2.37%, rho=+0.809362); COMBO-DIRECT-OSR2-CHIP-TURN-EQ [combo-direct-3factor-20260909-candidates] (net=8.66%, rho=+0.809169)",OSR2-RET40 [oversold-rebound-recovery-candidates] (+1.000000),1.0,1.0,9
osr2-ret40-turn-bias-composite-cycle10-candidates.report:OSR2-RET40-TURN-BIAS-EQ,OSR2-RET40-TURN-BIAS-EQ,osr2-ret40-turn-bias-composite-cycle10-candidates.report.csv,reversal_turn_eq,"(RANK(1 - RETURNS(CLOSE,40)) + RANK(1 - MA(TURNOVER,21) / MA(TURNOVER,504))) / 2",1,1,6a9fdd605d52c44d2f55c013,6a9fdd605d52c44d2f55c014,10,0.0987,0.0563,0.4228,0.0,0.9,14.77,48.77,7.374024000000001,7.395975999999998,0.8345,30.05,55.0,,,0.8,16,COMBO-DIRECT-OSR2-CHIP-TURN-EQ [combo-direct-3factor-20260909-candidates] (+0.935579); T10-NOMCAP-PLUS-IMPACT [t10-nomcap-plus-impact-20260911-candidates] (+0.871111); OSR2-RET40-TURN-BIAS-PAPER-EQ [osr2-ret40-turn-bias-paper-composite-cycle10-candidates] (+0.860749); OSR2-RET40-TURN-BIAS-PAPER-EQ-2026-YTD [osr2-ret40-turn-bias-paper-2026-ytd-candidates] (+0.860749); COMBO-DIRECT-OSR2-CHIP-TURN-SIZE-EQ [combo-direct-4factor-size-20260909-candidates] (+0.859480); COMBO-DIRECT-OSR2-CHIP-TURN-SIZE-EQ-2026YTD [combo-direct-4factor-size-2026-ytd-candidates] (+0.859480); COMBO-DIRECT-OSR2-CHIP-TURN-PAPER-EQ [combo-direct-4factor-paper-20260909-candidates] (+0.856482); OSR2-RET40-TURN-BIAS-PAPER-NOMCAP-EQ [osr2-ret40-turn-bias-paper-nomcap-cycle10-candidates] (+0.855185); OSR2-RET40-TURN-BIAS-PAPER-NOMCAP-EQ-2026-YTD [osr2-ret40-turn-bias-paper-nomcap-2026-ytd-candidates] (+0.855185); HT-WREV-LOWTURN-21D [turnover-cost-cycle10-candidates] (+0.833129); HT13-TURN-BIAS-1M [huatai-series13-candidates] (-0.821641); HT13-TURN-BIAS-1M [positive-cycle10-candidates] (-0.821641); HT13-TURN-BIAS-1M-POS [huatai-turn-bias-positive] (+0.821641); OSR2-RET40 [oversold-rebound-recovery-candidates] (+0.818802); OSR2-RET40 [positive-cycle10-candidates] (+0.818802); T10-SIZE-PLUS-WC-MCAP [t10-newdirections-20260911-candidates] (+0.801220),"COMBO-DIRECT-OSR2-CHIP-TURN-EQ [combo-direct-3factor-20260909-candidates] (net=8.66%, rho=+0.935579); T10-NOMCAP-PLUS-IMPACT [t10-nomcap-plus-impact-20260911-candidates] (net=14.23%, rho=+0.871111); OSR2-RET40-TURN-BIAS-PAPER-EQ [osr2-ret40-turn-bias-paper-composite-cycle10-candidates] (net=11.64%, rho=+0.860749); OSR2-RET40-TURN-BIAS-PAPER-EQ-2026-YTD [osr2-ret40-turn-bias-paper-2026-ytd-candidates] (net=7.70%, rho=+0.860749); COMBO-DIRECT-OSR2-CHIP-TURN-SIZE-EQ [combo-direct-4factor-size-20260909-candidates] (net=16.38%, rho=+0.859480); COMBO-DIRECT-OSR2-CHIP-TURN-SIZE-EQ-2026YTD [combo-direct-4factor-size-2026-ytd-candidates] (net=10.73%, rho=+0.859480); COMBO-DIRECT-OSR2-CHIP-TURN-PAPER-EQ [combo-direct-4factor-paper-20260909-candidates] (net=12.77%, rho=+0.856482); OSR2-RET40-TURN-BIAS-PAPER-NOMCAP-EQ [osr2-ret40-turn-bias-paper-nomcap-cycle10-candidates] (net=5.22%, rho=+0.855185); OSR2-RET40-TURN-BIAS-PAPER-NOMCAP-EQ-2026-YTD [osr2-ret40-turn-bias-paper-nomcap-2026-ytd-candidates] (net=4.67%, rho=+0.855185); HT-WREV-LOWTURN-21D [turnover-cost-cycle10-candidates] (net=2.71%, rho=+0.833129); HT13-TURN-BIAS-1M [huatai-series13-candidates] (net=6.43%, rho=-0.821641); HT13-TURN-BIAS-1M [positive-cycle10-candidates] (net=4.96%, rho=-0.821641); HT13-TURN-BIAS-1M-POS [huatai-turn-bias-positive] (net=6.40%, rho=+0.821641); OSR2-RET40 [oversold-rebound-recovery-candidates] (net=1.03%, rho=+0.818802); OSR2-RET40 [positive-cycle10-candidates] (net=5.03%, rho=+0.818802); T10-SIZE-PLUS-WC-MCAP [t10-newdirections-20260911-candidates] (net=14.58%, rho=+0.801220)",COMBO-DIRECT-OSR2-CHIP-TURN-EQ [combo-direct-3factor-20260909-candidates] (+0.935579),0.9355793808352878,0.9355793808352878,16
osr2-ret40-turn-bias-paper-composite-cycle10-candidates.report:OSR2-RET40-TURN-BIAS-PAPER-EQ,OSR2-RET40-TURN-BIAS-PAPER-EQ,osr2-ret40-turn-bias-paper-composite-cycle10-candidates.report.csv,reversal_turn_paper,"(RANK(1 - RETURNS(CLOSE,40)) + RANK(1 - MA(TURNOVER,21) / MA(TURNOVER,504)) + RANK(ZSCORE(RANK(book_to_market_ratio_lyr)) + ZSCORE(RANK(oper_roe_lyr)) - ZSCORE(RANK(gr_total_asset_lyr)) - ZSCORE(RANK(MARKET_CAP)))) / 3",1,1,6a9fe1363e7967143f8fab47,6a9fe1366df2a192a47e76a5,10,0.1148,0.0669,0.4456,0.0,0.98,17.61,39.46,5.966352,11.643647999999999,0.996,24.66,63.33,,,0.8,15,OSR2-RET40-TURN-BIAS-PAPER-EQ-2026-YTD [osr2-ret40-turn-bias-paper-2026-ytd-candidates] (+1.000000); COMBO-DIRECT-OSR2-CHIP-TURN-PAPER-EQ [combo-direct-4factor-paper-20260909-candidates] (+0.946460); OSR2-RET40-TURN-BIAS-PAPER-NOMCAP-EQ [osr2-ret40-turn-bias-paper-nomcap-cycle10-candidates] (+0.941491); OSR2-RET40-TURN-BIAS-PAPER-NOMCAP-EQ-2026-YTD [osr2-ret40-turn-bias-paper-nomcap-2026-ytd-candidates] (+0.941491); T10-ADD-BM-20260911 [t10-additions-20260911-candidates] (+0.867864); COMBO-DIRECT-OSR2-CHIP-TURN-SIZE-EQ [combo-direct-4factor-size-20260909-candidates] (+0.863652); COMBO-DIRECT-OSR2-CHIP-TURN-SIZE-EQ-2026YTD [combo-direct-4factor-size-2026-ytd-candidates] (+0.863652); T10-NOMCAP-PLUS-IMPACT [t10-nomcap-plus-impact-20260911-candidates] (+0.860999); OSR2-RET40-TURN-BIAS-EQ [osr2-ret40-turn-bias-composite-cycle10-candidates] (+0.860749); T10-SIZE-PLUS-WC-MCAP [t10-newdirections-20260911-candidates] (+0.839560); COMBO-DIRECT-OSR2-CHIP-TURN-EQ [combo-direct-3factor-20260909-candidates] (+0.829989); T10-SIZE-PLUS-IMPACT [t10-newdirections-20260911-candidates] (+0.824737); T10-ADD-FSCORE-20260911 [t10-more-additions-20260911-candidates] (+0.818097); T10-SIZE-PLUS-IMPACT-WC [t10-newdirections-20260911-candidates] (+0.807917); T10-ADD-DD120-20260911 [t10-additions-20260911-candidates] (+0.800711),"OSR2-RET40-TURN-BIAS-PAPER-EQ-2026-YTD [osr2-ret40-turn-bias-paper-2026-ytd-candidates] (net=7.70%, rho=+1.000000); COMBO-DIRECT-OSR2-CHIP-TURN-PAPER-EQ [combo-direct-4factor-paper-20260909-candidates] (net=12.77%, rho=+0.946460); OSR2-RET40-TURN-BIAS-PAPER-NOMCAP-EQ [osr2-ret40-turn-bias-paper-nomcap-cycle10-candidates] (net=5.22%, rho=+0.941491); OSR2-RET40-TURN-BIAS-PAPER-NOMCAP-EQ-2026-YTD [osr2-ret40-turn-bias-paper-nomcap-2026-ytd-candidates] (net=4.67%, rho=+0.941491); T10-ADD-BM-20260911 [t10-additions-20260911-candidates] (net=18.09%, rho=+0.867864); COMBO-DIRECT-OSR2-CHIP-TURN-SIZE-EQ [combo-direct-4factor-size-20260909-candidates] (net=16.38%, rho=+0.863652); COMBO-DIRECT-OSR2-CHIP-TURN-SIZE-EQ-2026YTD [combo-direct-4factor-size-2026-ytd-candidates] (net=10.73%, rho=+0.863652); T10-NOMCAP-PLUS-IMPACT [t10-nomcap-plus-impact-20260911-candidates] (net=14.23%, rho=+0.860999); OSR2-RET40-TURN-BIAS-EQ [osr2-ret40-turn-bias-composite-cycle10-candidates] (net=7.40%, rho=+0.860749); T10-SIZE-PLUS-WC-MCAP [t10-newdirections-20260911-candidates] (net=14.58%, rho=+0.839560); COMBO-DIRECT-OSR2-CHIP-TURN-EQ [combo-direct-3factor-20260909-candidates] (net=8.66%, rho=+0.829989); T10-SIZE-PLUS-IMPACT [t10-newdirections-20260911-candidates] (net=18.16%, rho=+0.824737); T10-ADD-FSCORE-20260911 [t10-more-additions-20260911-candidates] (net=17.48%, rho=+0.818097); T10-SIZE-PLUS-IMPACT-WC [t10-newdirections-20260911-candidates] (net=17.44%, rho=+0.807917); T10-ADD-DD120-20260911 [t10-additions-20260911-candidates] (net=16.83%, rho=+0.800711)",OSR2-RET40-TURN-BIAS-PAPER-EQ-2026-YTD [osr2-ret40-turn-bias-paper-2026-ytd-candidates] (+1.000000),1.0,1.0,15
