factor_a_name,factor_a_handler,factor_a_platform_net_excess_pct,factor_b_name,factor_b_handler,factor_b_platform_net_excess_pct,correlation,abs_correlation,days,common_stocks_mean
H03-T10-SINGLE,impact60,16.443255999999998,F-NET01-PLAT-20260914,wma_low_volume40,13.628703999999999,0.7238867845384299,0.7238867845384299,1211,4940.404624277457
H03-T10-SINGLE,impact60,16.443255999999998,COMBO-DIRECT-OSR2-CHIP-TURN-PAPER-EQ,reversal_chip_turn_paper,12.774432000000001,0.30754835897389216,0.30754835897389216,1211,4404.062758051197
H03-T10-SINGLE,impact60,16.443255999999998,HT13-TURN-BIAS-1M,turn_bias,6.428368,-0.2391526350579269,0.2391526350579269,1211,4433.262592898431
H03-T10-SINGLE,impact60,16.443255999999998,OSR2-RET40,reversal40,5.030975999999999,0.008966197514727605,0.008966197514727605,1211,4940.404624277457
H03-T10-SINGLE,impact60,16.443255999999998,OSR2-DD120,drawdown120,4.791456,-0.035960834089745194,0.035960834089745194,1211,4886.479768786127
H03-T10-SINGLE,impact60,16.443255999999998,NONHT-CHIP-COST-250,chip250,4.279336,0.14888747056313184,0.14888747056313184,1211,4751.623451692816
H03-T10-SINGLE,impact60,16.443255999999998,OSR3-RET40-BP-CFP,reversal_bm_cfp,3.560943999999999,0.016161218273555666,0.016161218273555666,1211,4935.900908340214
H03-T10-SINGLE,impact60,16.443255999999998,NEW-VALUE-EVEBITDA,ev_ebitda_proxy,3.3196399999999997,0.17124682416468417,0.17124682416468417,1211,4879.031379025599
H03-T10-SINGLE,impact60,16.443255999999998,NONHT-RESVOL-LOW,residual_volatility,0.37087199999999987,0.1719992045311851,0.1719992045311851,1211,4433.262592898431
F-NET01-PLAT-20260914,wma_low_volume40,13.628703999999999,COMBO-DIRECT-OSR2-CHIP-TURN-PAPER-EQ,reversal_chip_turn_paper,12.774432000000001,0.42578513791584727,0.42578513791584727,1211,4404.062758051197
F-NET01-PLAT-20260914,wma_low_volume40,13.628703999999999,HT13-TURN-BIAS-1M,turn_bias,6.428368,-0.2676858834501259,0.2676858834501259,1211,4433.262592898431
F-NET01-PLAT-20260914,wma_low_volume40,13.628703999999999,OSR2-RET40,reversal40,5.030975999999999,0.08563239715313771,0.08563239715313771,1211,4957.350123864575
F-NET01-PLAT-20260914,wma_low_volume40,13.628703999999999,OSR2-DD120,drawdown120,4.791456,-0.07541420959721494,0.07541420959721494,1211,4886.479768786127
F-NET01-PLAT-20260914,wma_low_volume40,13.628703999999999,NONHT-CHIP-COST-250,chip250,4.279336,0.23167605146239323,0.23167605146239323,1211,4751.623451692816
F-NET01-PLAT-20260914,wma_low_volume40,13.628703999999999,OSR3-RET40-BP-CFP,reversal_bm_cfp,3.560943999999999,0.22056673110783598,0.22056673110783598,1211,4952.846407927333
F-NET01-PLAT-20260914,wma_low_volume40,13.628703999999999,NEW-VALUE-EVEBITDA,ev_ebitda_proxy,3.3196399999999997,0.04873136948464324,0.04873136948464324,1211,4883.166804293972
F-NET01-PLAT-20260914,wma_low_volume40,13.628703999999999,NONHT-RESVOL-LOW,residual_volatility,0.37087199999999987,0.3861458086154319,0.3861458086154319,1211,4433.262592898431
COMBO-DIRECT-OSR2-CHIP-TURN-PAPER-EQ,reversal_chip_turn_paper,12.774432000000001,HT13-TURN-BIAS-1M,turn_bias,6.428368,-0.679925071252789,0.679925071252789,1211,4404.062758051197
COMBO-DIRECT-OSR2-CHIP-TURN-PAPER-EQ,reversal_chip_turn_paper,12.774432000000001,OSR2-RET40,reversal40,5.030975999999999,0.7359726531293843,0.7359726531293843,1211,4404.062758051197
