periods,first_signal_date,last_signal_date,mean_stock_count,rank_ic,ic_mean,gross_excess_pct,turnover_pct,annual_cost_pct,net_excess_pct,sharpe_after_cost,max_drawdown_pct,monthly_win_rate_pct,model,period,selected,weights,alignment_rule_version
47,2024-09-11 00:00:00,2026-08-10 00:00:00,5124.255319148936,0.06484078431253618,0.039774628993668605,18.42511635392576,8.619189391007472,1.3032214359203296,17.12189491800543,2.044301374757182,19.29332933267429,70.83333333333334,baseline_impact_only,validation,impact60,impact60:1.000000,full-a-qfq-label1-financialfix2-tieproxy1-pythonindex1-turnoverdiag1-qualitygate1
120,2021-09-07 00:00:00,2026-08-10 00:00:00,4954.5,0.06903211076073731,0.03933439064660371,10.919716172524643,9.285527895742838,1.4039718178363172,9.515744354688325,0.7836620639338335,24.957222495755616,60.0,baseline_paper_composite,full,paper_composite_baseline,paper_composite_baseline:1.000000,full-a-qfq-label1-financialfix2-tieproxy1-pythonindex1-turnoverdiag1-qualitygate1
73,2021-09-07 00:00:00,2024-08-28 00:00:00,4848.356164383562,0.08101388768139436,0.05640549670627157,15.291129690686557,9.505157357122314,1.437179792396894,13.853949898289661,0.2954196623223995,24.957222495755616,66.66666666666666,baseline_paper_composite,train,paper_composite_baseline,paper_composite_baseline:1.000000,full-a-qfq-label1-financialfix2-tieproxy1-pythonindex1-turnoverdiag1-qualitygate1
47,2024-09-11 00:00:00,2026-08-10 00:00:00,5119.36170212766,0.050422116820142325,0.012819694000736622,4.130073899634866,8.94907425277853,1.3531000270201137,2.7769738726147515,1.5001577859554138,19.92085743211326,50.0,baseline_paper_composite,validation,paper_composite_baseline,paper_composite_baseline:1.000000,full-a-qfq-label1-financialfix2-tieproxy1-pythonindex1-turnoverdiag1-qualitygate1
120,2021-09-07 00:00:00,2026-08-10 00:00:00,4934.866666666667,0.06193460629849128,0.0471620788848672,19.73388306525963,7.8872619631269805,1.1925540088247994,18.54132905643483,0.9855249282974268,31.219656552613905,75.0,baseline_size_impact,full,"size_component,impact60",size_component:0.500000;impact60:0.500000,full-a-qfq-label1-financialfix2-tieproxy1-pythonindex1-turnoverdiag1-qualitygate1
73,2021-09-07 00:00:00,2024-08-28 00:00:00,4812.931506849315,0.05933390042497231,0.05060521462105475,19.369608583123217,8.08506209991165,1.2224613895066412,18.14714719361658,0.39131879661197183,31.219656552613905,77.77777777777779,baseline_size_impact,train,"size_component,impact60",size_component:0.500000;impact60:0.500000,full-a-qfq-label1-financialfix2-tieproxy1-pythonindex1-turnoverdiag1-qualitygate1
47,2024-09-11 00:00:00,2026-08-10 00:00:00,5124.255319148936,0.06597400052757395,0.04181422976270355,20.299671090705548,7.5842489876270545,1.1467384469292106,19.15293264377634,1.9824557898503659,21.46716115638999,70.83333333333334,baseline_size_impact,validation,"size_component,impact60",size_component:0.500000;impact60:0.500000,full-a-qfq-label1-financialfix2-tieproxy1-pythonindex1-turnoverdiag1-qualitygate1
120,2021-09-07 00:00:00,2026-08-10 00:00:00,4928.733333333334,0.07372789294116891,0.051421972842001444,19.251921611083958,8.76696321540062,1.3255648381685738,17.926356772915383,0.9750275089871979,30.688898208997706,73.33333333333333,baseline_size_impact_value,full,"size_component,impact60,value_component",size_component:0.500000;impact60:0.250000;value_component:0.250000,full-a-qfq-label1-financialfix2-tieproxy1-pythonindex1-turnoverdiag1-qualitygate1
73,2021-09-07 00:00:00,2024-08-28 00:00:00,4806.712328767123,0.0754948516894015,0.06010917445088435,20.991461971786155,8.93642340125281,1.351187218269425,19.640274753516728,0.4508151969723681,30.688898208997706,80.55555555555556,baseline_size_impact_value,train,"size_component,impact60,value_component",size_component:0.500000;impact60:0.250000;value_component:0.250000,full-a-qfq-label1-financialfix2-tieproxy1-pythonindex1-turnoverdiag1-qualitygate1
47,2024-09-11 00:00:00,2026-08-10 00:00:00,5118.255319148936,0.07098346765136085,0.03792908523671523,16.550082327440123,8.507364632818543,1.2863135324821635,15.26376879495796,1.8180887808849475,20.059381358274475,62.5,baseline_size_impact_value,validation,"size_component,impact60,value_component",size_component:0.500000;impact60:0.250000;value_component:0.250000,full-a-qfq-label1-financialfix2-tieproxy1-pythonindex1-turnoverdiag1-qualitygate1
120,2021-09-07 00:00:00,2026-08-10 00:00:00,4984.591666666666,0.052949505168266055,0.0428470681210957,18.40643201657903,8.468706847815428,1.2804684753896927,17.125963541189336,0.8989789144739604,34.58844977710155,71.66666666666667,baseline_size_only,full,size_component,size_component:1.000000,full-a-qfq-label1-financialfix2-tieproxy1-pythonindex1-turnoverdiag1-qualitygate1
73,2021-09-07 00:00:00,2024-08-28 00:00:00,4881.13698630137,0.04823881246615836,0.04486567468401468,18.53146090913184,8.324591787955097,1.2586782783388106,17.27278263079303,0.34497468189720787,34.58844977710155,77.77777777777779,baseline_size_only,train,size_component,size_component:1.000000,full-a-qfq-label1-financialfix2-tieproxy1-pythonindex1-turnoverdiag1-qualitygate1
47,2024-09-11 00:00:00,2026-08-10 00:00:00,5145.276595744681,0.060266112982178,0.03971178558720025,18.212238204741674,8.689478854409973,1.313849202786788,16.898389001954886,1.8132900869102353,22.234760528690057,62.5,baseline_size_only,validation,size_component,size_component:1.000000,full-a-qfq-label1-financialfix2-tieproxy1-pythonindex1-turnoverdiag1-qualitygate1
