candidate_key,cycle,name,handler,formula,direction,platform_net_excess_pct,local_net_excess_pct,alignment_quality,formula_duplicate_count,valid_signal_days,signal_days,valid_row_fraction
C5-012,5,VERIFY-E260910-04,book_to_market_lf_minus_size,RANK(book_to_market_ratio_lf) - RANK(MARKET_CAP),1,17.75808,15.113853781097376,aligned,1,241,241,0.9991713424252711
C5-011,5,VERIFY-F260910-12,book_to_market_lf_plus_impact,"RANK(book_to_market_ratio_lf) + RANK(SUM(ABS(CLOSE / DELAY(CLOSE,1) - 1) / (AMOUNT + 1),60) / 60)",1,15.588864000000001,12.86167083855636,aligned,1,241,241,0.9892806986015987
C5-006,5,F-GFN-N02-20260916,book_to_market_lf_div_oper_main_profit_ttm,BOOK_TO_MARKET_RATIO_LF / OPER_MAIN_PROFIT_TTM,1,12.274464,9.1541003642926,aligned,1,241,241,0.9570163002602451
C5-014,5,paper-derived-composite,paper_composite,ZSCORE(RANK(book_to_market_ratio_lyr))+ZSCORE(RANK(oper_roe_lyr))-ZSCORE(RANK(gr_total_asset_lyr))-ZSCORE(RANK(MARKET_CAP)),1,11.408832,9.54425016372129,aligned,1,241,241,0.9939706009597785
C5-005,5,HT13-TURN-BIAS-1M-POS,turn_signal,"1 - MA(TURNOVER,21) / MA(TURNOVER,504)",1,6.395344000000001,5.160140925953936,aligned,1,241,241,0.8878699839593193
C5-007,5,OSR2-DD120,drawdown120,"RANK(1 - CLOSE / TS_MAX(CLOSE,120))",1,4.791456,2.4956661465460743,aligned,1,241,241,0.9792053539931976
C5-002,5,OSR3-RET40-BP-VAL2,reversal_bm_val2,"(RANK(1 - RETURNS(CLOSE,40)) + 2 * RANK(ratio_bm_ttm)) / 3",1,3.1676159999999998,0.5871758561905429,aligned,1,241,241,0.9927084789307987
C5-004,5,OSR3-RET40-BP-EQ,reversal_bm_eq,"(RANK(1 - RETURNS(CLOSE,40)) + RANK(ratio_bm_ttm)) / 2",1,3.160368,0.04457766272758373,aligned,1,241,241,0.9927084789307987
C5-010,5,OSR3-RET40-BP-INTERACT,reversal_bm_interact,"RANK(1 - RETURNS(CLOSE,40)) * (0.5 + 0.5 * RANK(ratio_bm_ttm))",1,2.726032,-0.7226235909746872,aligned,1,241,241,0.9927084789307987
C5-001,5,OSR3-RET40-BP-REV2,reversal_bm_rev2,"(2 * RANK(1 - RETURNS(CLOSE,40)) + RANK(ratio_bm_ttm)) / 3",1,2.477648000000002,-0.529783329674019,aligned,1,241,241,0.9927084789307987
C5-003,5,OSR3-RET40-BP-MA63,reversal_bm_ma63,"(RANK(1 - RETURNS(CLOSE,40)) + RANK(MA(ratio_bm_ttm,63))) / 2",1,2.4111200000000004,-0.330817758028816,aligned,1,241,241,0.9889063051190405
C5-008,5,OSR2-DD60,drawdown60,"RANK(1 - CLOSE / TS_MAX(CLOSE,60))",1,1.9485279999999996,-2.348999547577954,aligned,1,241,241,0.9902624415114182
C5-009,5,OSR2-RET40,reversal40,"RANK(1 - RETURNS(CLOSE,40))",1,1.0300160000000016,-3.089652757058002,aligned,1,241,241,0.9935354725344941
C5-013,5,paper-derived-asset-growth,asset_growth,RANK(gr_total_asset_lyr),1,0.76496,-2.346837688827086,aligned,1,241,241,0.9999950080868992
C10-032,10,SIZE-ONLY-20260911,size_only,RANK(MARKET_CAP),0,21.433287999999997,17.15927516014886,aligned,1,120,120,1.0
C10-021,10,T10-ADD-BM-20260911,t10_size_plus_impact_bm,"(RANK(1-RETURNS(CLOSE,40)) + RANK((SUM(VOLUME*(OPEN+CLOSE)/2,250)/SUM(VOLUME,250))/CLOSE-1) + RANK(1-MA(TURNOVER,21)/MA(TURNOVER,504)) + RANK(-ZSCORE(RANK(MARKET_CAP))) + RANK(SUM((HIGH-LOW)/(DELAY(CLOSE,1)+0.000001),60)/(SUM(AMOUNT,60)+1)) + RANK(book_to_market_ratio_lf)) / 6",1,18.092280000000002,13.876266880434995,aligned,1,120,120,0.8863932351529965
C10-019,10,T10-SIZE-PLUS-IMPACT-WC,t10_size_plus_impact_wc,"(RANK(1-RETURNS(CLOSE,40)) + RANK((SUM(VOLUME*(OPEN+CLOSE)/2,250)/SUM(VOLUME,250))/CLOSE-1) + RANK(1-MA(TURNOVER,21)/MA(TURNOVER,504)) + RANK(-ZSCORE(RANK(MARKET_CAP))) + RANK(SUM((HIGH-LOW)/(DELAY(CLOSE,1)+0.000001),60)/(SUM(AMOUNT,60)+1)) + RANK((CURRENT_ASSETS-INVENTORY-CURRENT_LIABILITIES)/(ABS(MARKET_CAP)+1))) / 6",1,17.443168,14.344148526806094,aligned,1,120,120,0.8863932351529965
C10-020,10,T10-ADD-DD120-20260911,t10_size_plus_impact_dd120,"(RANK(1-RETURNS(CLOSE,40)) + RANK((SUM(VOLUME*(OPEN+CLOSE)/2,250)/SUM(VOLUME,250))/CLOSE-1) + RANK(1-MA(TURNOVER,21)/MA(TURNOVER,504)) + RANK(-ZSCORE(RANK(MARKET_CAP))) + RANK(SUM((HIGH-LOW)/(DELAY(CLOSE,1)+0.000001),60)/(SUM(AMOUNT,60)+1)) + RANK(1-CLOSE/TS_MAX(CLOSE,120))) / 6",1,16.834384,12.495545700665785,aligned,1,120,120,0.8872174417496586
C10-031,10,VERIFY10-E260910-04,book_to_market_lf_minus_size,RANK(book_to_market_ratio_lf) - RANK(MARKET_CAP),1,16.74068,14.543919396134426,aligned,1,120,120,0.9991674343100655
C10-033,10,H03-T10-SINGLE,impact60,"RANK(SUM((HIGH-LOW)/(DELAY(CLOSE,1)+0.000001),60)/(SUM(AMOUNT,60)+1))",1,16.443255999999998,15.337952869478096,aligned,1,120,120,0.9900242580886766
C10-030,10,VERIFY10-F260910-12,book_to_market_lf_plus_impact,"RANK(book_to_market_ratio_lf) + RANK(SUM(ABS(CLOSE / DELAY(CLOSE,1) - 1) / (AMOUNT + 1),60) / 60)",1,15.046176,12.863471119735731,aligned,1,120,120,0.9891933642173966
