portfolio,cycle,component_count,periods,first_signal_date,last_signal_date,mean_stock_count,rank_ic,ic_mean,ic_ir,gross_excess_pct,turnover_pct,annual_cost_pct,net_excess_pct,sharpe_after_cost,max_drawdown_pct,monthly_win_rate_pct,handlers
four_core,5,4,241,2021-09-07 00:00:00,2026-08-24 00:00:00,4398.887966804979,0.0886395519335103,0.04822140382827187,0.3330938525359109,17.358693477936747,14.143567455754907,4.277014798620284,13.081678679316466,0.9089074243939738,33.54681236877512,73.33333333333333,"reversal_chip_turn_paper,impact_abs_return60,book_to_market_lf_plus_impact,turn_signal"
single_book_to_market_lf_plus_impact,5,1,241,2021-09-07 00:00:00,2026-08-24 00:00:00,4933.8589211618255,0.061548765095687775,0.03411029289228614,0.24531347806796092,14.599175983615748,5.745718072286334,1.7375051450593875,12.86167083855636,0.8826872964140896,33.17663466069626,66.66666666666666,book_to_market_lf_plus_impact
five_core_residual,5,5,241,2021-09-07 00:00:00,2026-08-24 00:00:00,4398.887966804979,0.09335289549934962,0.04716066975520859,0.3129312003613972,16.693070607857415,12.692082145848586,3.838085640904612,12.854984966952804,0.9490342315531397,31.08589869893983,73.33333333333333,"reversal_chip_turn_paper,impact_abs_return60,book_to_market_lf_plus_impact,turn_signal,residual_volatility"
five_core_growth,5,5,241,2021-09-07 00:00:00,2026-08-24 00:00:00,4398.887966804979,0.08230312531001098,0.04508176594261964,0.3100073802249044,16.80720224880268,13.466431040006926,4.0722487464980945,12.734953502304586,0.8921838329666377,34.035227525433434,75.0,"reversal_chip_turn_paper,impact_abs_return60,book_to_market_lf_plus_impact,turn_signal,asset_growth"
seven_without_fscore_interact,5,6,241,2021-09-07 00:00:00,2026-08-24 00:00:00,4398.887966804979,0.08859954744522976,0.04500467574057861,0.29699903729853394,16.286247117628726,12.485148111638697,3.7755087889595416,12.510738328669186,0.9267182572209939,31.380848504394855,76.66666666666667,"reversal_chip_turn_paper,impact_abs_return60,book_to_market_lf_plus_impact,turn_signal,asset_growth,residual_volatility"
seven_without_residual_volatility,5,6,241,2021-09-07 00:00:00,2026-08-24 00:00:00,4307.087136929461,0.09095361996910442,0.04729561038609152,0.3162437946990102,17.182546818455954,17.58515373408907,5.317750489188534,11.86479632926742,0.8719063438280873,33.99841002414923,75.0,"reversal_chip_turn_paper,impact_abs_return60,book_to_market_lf_plus_impact,turn_signal,asset_growth,fscore_interact"
seven_without_reversal_chip_turn_paper,5,6,241,2021-09-07 00:00:00,2026-08-24 00:00:00,4331.224066390041,0.08936384186042129,0.04422475122851883,0.29222631681415684,15.923007237639695,13.42463135831426,4.059608522754232,11.863398714885461,0.922081788107177,31.57110893673035,73.33333333333333,"impact_abs_return60,book_to_market_lf_plus_impact,turn_signal,asset_growth,fscore_interact,residual_volatility"
five_core_quality,5,5,241,2021-09-07 00:00:00,2026-08-24 00:00:00,4307.087136929461,0.0957913620503714,0.04975427213344084,0.33282061773440896,17.029553438889508,18.40951564357613,5.567037530617422,11.462515908272087,0.8615768091783241,33.79073562257343,73.33333333333333,"reversal_chip_turn_paper,impact_abs_return60,book_to_market_lf_plus_impact,turn_signal,fscore_interact"
seven_without_asset_growth,5,6,241,2021-09-07 00:00:00,2026-08-24 00:00:00,4307.087136929461,0.0990759252292542,0.048857937509691904,0.31652803578082755,16.311100870803493,16.67594048485701,5.042804402620759,11.268296468182735,0.8949419955827416,31.586010325598924,71.66666666666667,"reversal_chip_turn_paper,impact_abs_return60,book_to_market_lf_plus_impact,turn_signal,fscore_interact,residual_volatility"
seven_without_turn_signal,5,6,241,2021-09-07 00:00:00,2026-08-24 00:00:00,4307.087136929461,0.09011195363137646,0.04513692926711358,0.285858004966327,15.916002415735148,16.059646467314828,4.856437091716004,11.059565324019143,0.8639365064544762,32.77391791288476,71.66666666666667,"reversal_chip_turn_paper,impact_abs_return60,book_to_market_lf_plus_impact,asset_growth,fscore_interact,residual_volatility"
seven_equal_residual,5,7,241,2021-09-07 00:00:00,2026-08-24 00:00:00,4307.087136929461,0.09534381715873692,0.047069590916740595,0.30389428745272434,15.754384619102076,16.18364484130782,4.8939342000114845,10.860450419090592,0.8701850781401999,31.895453272298248,68.33333333333333,"reversal_chip_turn_paper,impact_abs_return60,book_to_market_lf_plus_impact,turn_signal,asset_growth,fscore_interact,residual_volatility"
seven_equal_momentum,5,7,241,2021-09-07 00:00:00,2026-08-24 00:00:00,4307.087136929461,0.09185624273467015,0.04735186655327169,0.3026256005126407,16.211085272537566,18.81706643174138,5.690280888958593,10.520804383578975,0.8117575963251782,34.005926061460535,66.66666666666666,"reversal_chip_turn_paper,impact_abs_return60,book_to_market_lf_plus_impact,turn_signal,asset_growth,fscore_interact,momentum120"
single_impact_abs_return60,5,1,241,2021-09-07 00:00:00,2026-08-24 00:00:00,4937.983402489626,0.04024363687080045,0.031020319857931408,0.24247940121636377,11.359249803400719,5.38113605375417,1.6272555426552606,9.731994260745457,0.7370526844757539,36.75757528601223,75.0,impact_abs_return60
seven_without_book_to_market_lf_plus_impact,5,6,241,2021-09-07 00:00:00,2026-08-24 00:00:00,4307.087136929461,0.0954158043266524,0.04620234170855206,0.3088020834480007,15.180110527421608,18.078079158922307,5.466811137658106,9.713299389763502,0.8362428459056057,32.024606644188616,73.33333333333333,"reversal_chip_turn_paper,impact_abs_return60,turn_signal,asset_growth,fscore_interact,residual_volatility"
seven_without_impact_abs_return60,5,6,241,2021-09-07 00:00:00,2026-08-24 00:00:00,4307.087136929461,0.09516960803962153,0.04412238498682553,0.2872090559328491,12.988628736517649,17.742953676224467,5.365469191690279,7.623159544827371,0.7834478308991241,30.238468397678396,66.66666666666666,"reversal_chip_turn_paper,book_to_market_lf_plus_impact,turn_signal,asset_growth,fscore_interact,residual_volatility"
single_reversal_chip_turn_paper,5,1,241,2021-09-07 00:00:00,2026-08-24 00:00:00,4398.887966804979,0.08971451475669374,0.04382979166023017,0.29797042055065315,14.806145736439369,24.24290204402568,7.331053578113365,7.475092158326004,0.6940145314669859,36.168327298437966,63.33333333333333,reversal_chip_turn_paper
single_turn_signal,5,1,241,2021-09-07 00:00:00,2026-08-24 00:00:00,4428.091286307054,0.06715229655361811,0.0305316653462383,0.28070056263370396,9.86498644475678,15.127150776305925,4.574450394754912,5.290536050001869,0.7029052183458795,30.528648446084784,68.33333333333333,turn_signal
