cycle,threshold,step,candidate_key,candidate_name,handler,platform_net_excess_pct,local_net_excess_pct,max_abs_correlation_to_selected,train_delta_net_excess_pct,full_delta_net_excess_pct,train_net_excess_pct,test_net_excess_pct,full_net_excess_pct,selected_after
5,0.7,1,C5-012,VERIFY-E260910-04,book_to_market_lf_minus_size,17.75808,15.113853781097376,0.0,17.556788388579893,15.113853781097376,17.556788388579893,11.358979420184351,15.113853781097376,C5-012
5,0.8,1,C5-012,VERIFY-E260910-04,book_to_market_lf_minus_size,17.75808,15.113853781097376,0.0,17.556788388579893,15.113853781097376,17.556788388579893,11.358979420184351,15.113853781097376,C5-012
5,0.85,1,C5-012,VERIFY-E260910-04,book_to_market_lf_minus_size,17.75808,15.113853781097376,0.0,17.556788388579893,15.113853781097376,17.556788388579893,11.358979420184351,15.113853781097376,C5-012
10,0.7,1,C10-032,SIZE-ONLY-20260911,size_only,21.433287999999997,17.15927516014886,0.0,17.27278263079303,17.125963541189336,17.27278263079303,16.898389001954886,17.125963541189336,C10-032
10,0.7,2,C10-030,VERIFY10-F260910-12,book_to_market_lf_plus_impact,15.046176,12.863471119735731,0.5756402956173897,1.6451281722249327,0.23853395740852434,18.917910803017964,14.95091786139148,17.36449749859786,"C10-032,C10-030"
10,0.8,1,C10-032,SIZE-ONLY-20260911,size_only,21.433287999999997,17.15927516014886,0.0,17.27278263079303,17.125963541189336,17.27278263079303,16.898389001954886,17.125963541189336,C10-032
10,0.8,2,C10-030,VERIFY10-F260910-12,book_to_market_lf_plus_impact,15.046176,12.863471119735731,0.5756402956173897,1.6451281722249327,0.23853395740852434,18.917910803017964,14.95091786139148,17.36449749859786,"C10-032,C10-030"
10,0.85,1,C10-032,SIZE-ONLY-20260911,size_only,21.433287999999997,17.15927516014886,0.0,17.27278263079303,17.125963541189336,17.27278263079303,16.898389001954886,17.125963541189336,C10-032
10,0.85,2,C10-030,VERIFY10-F260910-12,book_to_market_lf_plus_impact,15.046176,12.863471119735731,0.5756402956173897,1.6451281722249327,0.23853395740852434,18.917910803017964,14.95091786139148,17.36449749859786,"C10-032,C10-030"
