portfolio,cycle,component_count,components,full_periods,full_first_signal_date,full_last_signal_date,full_mean_stock_count,full_rank_ic,full_ic_mean,full_gross_excess_pct,full_turnover_pct,full_annual_cost_pct,full_net_excess_pct,full_sharpe_after_cost,full_max_drawdown_pct,full_monthly_win_rate_pct,train_periods,train_first_signal_date,train_last_signal_date,train_mean_stock_count,train_rank_ic,train_ic_mean,train_gross_excess_pct,train_turnover_pct,train_annual_cost_pct,train_net_excess_pct,train_sharpe_after_cost,train_max_drawdown_pct,train_monthly_win_rate_pct,test_periods,test_first_signal_date,test_last_signal_date,test_mean_stock_count,test_rank_ic,test_ic_mean,test_gross_excess_pct,test_turnover_pct,test_annual_cost_pct,test_net_excess_pct,test_sharpe_after_cost,test_max_drawdown_pct,test_monthly_win_rate_pct,selection_role,threshold
greedy_0.70,5,1,C5-012,241,2021-09-07 00:00:00,2026-08-24 00:00:00,4983.186721991701,0.06543712667934017,0.03811040000783664,17.16204724697638,6.773126540605172,2.048193465879004,15.113853781097376,0.9091136579172961,35.70141089649071,75.0,146,2021-09-07 00:00:00,2024-09-04 00:00:00,4879.178082191781,0.07225261645057866,0.04827899178201781,19.649593448749005,6.920651653998392,2.092805060169114,17.556788388579893,0.39378379048801293,35.70141089649071,83.78378378378379,95,2024-09-11 00:00:00,2026-08-24 00:00:00,5143.031578947369,0.05496279503091045,0.022482880018042425,13.339081505304765,6.5479566306892,1.980102085120414,11.358979420184351,1.7109427161041055,23.004541936277423,62.5,greedy_combination,0.7
greedy_0.80,5,1,C5-012,241,2021-09-07 00:00:00,2026-08-24 00:00:00,4983.186721991701,0.06543712667934017,0.03811040000783664,17.16204724697638,6.773126540605172,2.048193465879004,15.113853781097376,0.9091136579172961,35.70141089649071,75.0,146,2021-09-07 00:00:00,2024-09-04 00:00:00,4879.178082191781,0.07225261645057866,0.04827899178201781,19.649593448749005,6.920651653998392,2.092805060169114,17.556788388579893,0.39378379048801293,35.70141089649071,83.78378378378379,95,2024-09-11 00:00:00,2026-08-24 00:00:00,5143.031578947369,0.05496279503091045,0.022482880018042425,13.339081505304765,6.5479566306892,1.980102085120414,11.358979420184351,1.7109427161041055,23.004541936277423,62.5,greedy_combination,0.8
greedy_0.85,5,1,C5-012,241,2021-09-07 00:00:00,2026-08-24 00:00:00,4983.186721991701,0.06543712667934017,0.03811040000783664,17.16204724697638,6.773126540605172,2.048193465879004,15.113853781097376,0.9091136579172961,35.70141089649071,75.0,146,2021-09-07 00:00:00,2024-09-04 00:00:00,4879.178082191781,0.07225261645057866,0.04827899178201781,19.649593448749005,6.920651653998392,2.092805060169114,17.556788388579893,0.39378379048801293,35.70141089649071,83.78378378378379,95,2024-09-11 00:00:00,2026-08-24 00:00:00,5143.031578947369,0.05496279503091045,0.022482880018042425,13.339081505304765,6.5479566306892,1.980102085120414,11.358979420184351,1.7109427161041055,23.004541936277423,62.5,greedy_combination,0.85
single_C5-001,5,1,C5-001,241,2021-09-07 00:00:00,2026-08-24 00:00:00,4950.954356846473,0.07833509165767691,0.03618224030087667,9.87508955658415,34.40764843339342,10.40487288625817,-0.529783329674019,0.40580129396730386,38.02746080443234,56.666666666666664,146,2021-09-07 00:00:00,2024-09-04 00:00:00,4835.006849315068,0.0825645348151781,0.0468179116012842,13.176498452526769,33.933806862196896,10.261583195128342,2.9149152573984276,-0.10117625874195868,38.02746080443234,59.45945945945946,95,2024-09-11 00:00:00,2026-08-24 00:00:00,5129.147368421052,0.0718351053314119,0.019836892828671404,4.801345358609181,35.13088030521969,10.623578204298434,-5.8222328456892525,1.1586710021855537,23.952087472345085,50.0,single_baseline,
single_C5-002,5,1,C5-002,241,2021-09-07 00:00:00,2026-08-24 00:00:00,4950.954356846473,0.07050747662338576,0.02957580837803208,7.447679125090688,22.686849434193604,6.860503268900145,0.5871758561905429,0.502923497249386,30.798783624447125,56.666666666666664,146,2021-09-07 00:00:00,2024-09-04 00:00:00,4835.006849315068,0.08063471761045954,0.04322103876382296,12.574078361583844,22.861875354859393,6.913431107309481,5.6606472542743616,-0.0022246229258042613,30.798783624447125,62.16216216216216,95,2024-09-11 00:00:00,2026-08-24 00:00:00,5129.147368421052,0.054943506264303964,0.008605243785132404,-0.4307870699409027,22.419704607914245,6.779718673433269,-7.210505743374171,1.2272445523221283,19.369475890649834,45.83333333333333,single_baseline,
single_C5-003,5,1,C5-003,241,2021-09-07 00:00:00,2026-08-24 00:00:00,4931.991701244813,0.07550763697018327,0.03272417740681701,8.251517690034426,28.38073891555305,8.582335448063242,-0.330817758028816,0.4439550984851489,34.347115015062236,58.333333333333336,146,2021-09-07 00:00:00,2024-09-04 00:00:00,4808.8835616438355,0.08372923322139628,0.04541560408462998,12.579007276107982,28.189456249577727,8.524491569872303,4.054515706235677,-0.06548002025921197,34.347115015062236,64.86486486486487,95,2024-09-11 00:00:00,2026-08-24 00:00:00,5121.1894736842105,0.0628723416788454,0.013219458512493912,1.6008494840687486,28.67269666888379,8.670623472670458,-7.069773988601709,1.1967761850468612,20.8826882049673,45.83333333333333,single_baseline,
single_C5-004,5,1,C5-004,241,2021-09-07 00:00:00,2026-08-24 00:00:00,4950.954356846473,0.078600246421744,0.03467407031693104,8.885238945315512,29.234991013848973,8.840661282587929,0.04457766272758373,0.4519664611812396,34.57760510611049,58.333333333333336,146,2021-09-07 00:00:00,2024-09-04 00:00:00,4835.006849315068,0.08643567385690917,0.047445208718476434,13.35306730516235,29.042223517228923,8.782368391610026,4.570698913552324,-0.04376012703812495,34.57760510611049,67.56756756756756,95,2024-09-11 00:00:00,2026-08-24 00:00:00,5129.147368421052,0.06655843162664808,0.015046847089292872,2.018892202814061,29.529215087637457,8.929634642501567,-6.910742439687506,1.185249690614048,21.78487377619621,41.66666666666667,single_baseline,
single_C5-005,5,1,C5-005,241,2021-09-07 00:00:00,2026-08-24 00:00:00,4428.091286307054,0.06715229655361811,0.0305316653462383,9.86498644475678,15.127150776305925,4.574450394754912,5.290536050001869,0.7029052183458795,30.528648446084784,68.33333333333333,146,2021-09-07 00:00:00,2024-09-04 00:00:00,4118.86301369863,0.06687960735048434,0.03290061455718986,9.059113524589844,15.003021708433712,4.536913764630354,4.5221997599594905,0.0005481031840240746,30.528648446084784,72.97297297297297,95,2024-09-11 00:00:00,2026-08-24 00:00:00,4903.3263157894735,0.06757137680264472,0.026890964453618015,11.103485879960703,15.31661093253194,4.6317431459976595,6.471742733963044,1.6506826101169036,20.868749080525472,62.5,single_baseline,
single_C5-006,5,1,C5-006,241,2021-09-07 00:00:00,2026-08-24 00:00:00,4772.946058091286,0.03468203847607194,0.026673981983575415,10.345765837910612,3.9406927037632697,1.1916654736180128,9.1541003642926,0.6900426317381663,38.308938200452346,70.0,146,2021-09-07 00:00:00,2024-09-04 00:00:00,4640.472602739726,0.0340769671594473,0.028225937060890417,9.421155724663798,3.9534501724935445,1.195523332162048,8.225632392501751,0.08774810851007689,38.308938200452346,70.27027027027027,95,2024-09-11 00:00:00,2026-08-24 00:00:00,4976.5368421052635,0.03561193755214768,0.024288872075280788,11.766745590900456,3.9212207778065347,1.185777163208696,10.58096842769176,1.5766709127908007,25.073779235087777,70.83333333333334,single_baseline,
single_C5-007,5,1,C5-007,241,2021-09-07 00:00:00,2026-08-24 00:00:00,4883.609958506224,0.027020204004800742,0.019405512755724472,8.14497728910785,18.681584466143438,5.649311142561775,2.4956661465460743,0.4410574339924127,40.708001679488646,56.666666666666664,146,2021-09-07 00:00:00,2024-09-04 00:00:00,4738.924657534247,0.02282357546662277,0.023255194966666067,8.218032389479177,17.47768526103657,5.285252022937458,2.9327803665417185,-0.0837146812942486,40.708001679488646,56.75675675675676,95,2024-09-11 00:00:00,2026-08-24 00:00:00,5105.968421052631,0.03346975944242163,0.013489159042066854,8.032703134852962,20.519114831832862,6.204980325146258,1.8277228097067035,1.1544198224642046,27.554869627470403,58.333333333333336,single_baseline,
