factor_a_id,factor_a_name,factor_a_report,factor_a_handler,factor_a_formula,factor_a_direction,factor_a_platform_factor_direction,factor_a_platform_factor_id,factor_a_platform_run_id,factor_a_configured_cycle,factor_a_platform_rank_ic,factor_a_platform_ic_mean,factor_a_platform_ic_ir,factor_a_platform_ic_p_value,factor_a_platform_monotonicity,factor_a_platform_gross_excess_pct,factor_a_platform_turnover_pct,factor_a_platform_annual_cost_pct,factor_a_platform_net_excess_pct,factor_a_platform_long_sharpe,factor_a_platform_long_max_drawdown_pct,factor_a_platform_long_monthly_win_rate_pct,factor_a_local_net_excess_pct,factor_b_id,factor_b_name,factor_b_report,factor_b_handler,factor_b_formula,factor_b_direction,factor_b_platform_factor_direction,factor_b_platform_factor_id,factor_b_platform_run_id,factor_b_configured_cycle,factor_b_platform_rank_ic,factor_b_platform_ic_mean,factor_b_platform_ic_ir,factor_b_platform_ic_p_value,factor_b_platform_monotonicity,factor_b_platform_gross_excess_pct,factor_b_platform_turnover_pct,factor_b_platform_annual_cost_pct,factor_b_platform_net_excess_pct,factor_b_platform_long_sharpe,factor_b_platform_long_max_drawdown_pct,factor_b_platform_long_monthly_win_rate_pct,factor_b_local_net_excess_pct,correlation,abs_correlation,high_correlation,days,std,pair_rows,common_stocks_mean,common_stocks_min,common_stocks_max
ht13-momentum-120d-d0.report:HT13-MOMENTUM-120D-D0,HT13-MOMENTUM-120D-D0,ht13-momentum-120d-d0.report.csv,momentum120,"RETURNS(CLOSE,120)",0,0,6aa4e3bd6df2a192a47e7ea3,6aa4e3bfa7f535324660bc2d,10,-0.0665,-0.0438,-0.2947,0.0018,0.83,7.73,35.97,5.438663999999999,2.291336000000001,0.6588,39.84,53.45,,turnover-cost-cycle10-candidates.report:OSR-RSI14-20D,OSR-RSI14-20D,turnover-cost-cycle10-candidates.report.csv,rsi14,"RANK(1 - RSI(CLOSE,14) / 100)",1,1,6a9fb8c8a7f535324660b2f5,6a9fb8c9a7f535324660b2f6,10,0.0664,0.0348,0.2778,0.0029,0.81,5.31,66.05,9.986759999999999,-4.676759999999999,0.5404,30.44,53.33,,-0.38592995149901954,0.38592995149901954,False,1211,0.16291842048341598,5916362,4885.517753922378,4191.0,5169.0
oversold-rebound-recovery-candidates.report:OSR2-RET40,OSR2-RET40,oversold-rebound-recovery-candidates.report.csv,reversal40,"RANK(1 - RETURNS(CLOSE,40))",1,1,6a9e778fecb163ea7228ca64,6a9e7abba7f535324660b013,5,0.0731,0.0389,0.2718,0.0,0.88,13.25,40.41,12.219983999999998,1.0300160000000016,0.7374,40.2,58.33,,oversold-rebound-candidates.report:OSR-MFI14-20D,OSR-MFI14-20D,oversold-rebound-candidates.report.csv,mfi14,"RANK(1 - MFI(CLOSE,HIGH,LOW,VOLUME,14) / 100)",1,1,6a9e6f55b2a0c66c643101c3,6a9e70edf8982abefd86e25c,5,0.0318,0.0111,0.1063,0.1002,0.43,-3.21,61.85,18.70344,-21.91344,0.241,47.49,55.0,,0.3859100867472156,0.3859100867472156,False,1211,0.13824587169967667,6003351,4957.350123864575,4379.0,5196.0
positive-cycle10-candidates.report:OSR2-RET40,OSR2-RET40,positive-cycle10-candidates.report.csv,reversal40,"RANK(1 - RETURNS(CLOSE,40))",1,1,6a9fcd2d6df2a192a47e765b,6a9fcd2e6df2a192a47e765c,10,0.0908,0.0512,0.3602,0.0001,0.91,13.35,55.02,8.319024,5.030975999999999,0.738,30.05,60.0,,oversold-rebound-candidates.report:OSR-MFI14-20D,OSR-MFI14-20D,oversold-rebound-candidates.report.csv,mfi14,"RANK(1 - MFI(CLOSE,HIGH,LOW,VOLUME,14) / 100)",1,1,6a9e6f55b2a0c66c643101c3,6a9e70edf8982abefd86e25c,5,0.0318,0.0111,0.1063,0.1002,0.43,-3.21,61.85,18.70344,-21.91344,0.241,47.49,55.0,,0.3859100867472156,0.3859100867472156,False,1211,0.13824587169967667,6003351,4957.350123864575,4379.0,5196.0
alphaprobe-net1-platform-20260914-candidates.report:F-NET01-PLAT-20260914,F-NET01-PLAT-20260914,alphaprobe-net1-platform-20260914-candidates.report.csv,wma_low_volume40,"WMA((((1/LOW)/LOW)/VOLUME),40)",1,1,6aa7cd278b01f62dc5146aed,6aa7cd283e7967143f8fb524,5,0.0577,0.0281,0.3041,0.0,0.99,16.06,8.04,2.4312959999999997,13.628703999999999,0.9352,33.95,63.33,,huatai-series13-candidates.report:HT13-VALUE-BP,HT13-VALUE-BP,huatai-series13-candidates.report.csv,value_bm,ratio_bm_ttm,1,1,6a9e891a0f6165ec8f7f33d9,6a9e891acffa1665a2100bcd,5,0.0524,0.0154,0.1068,0.0985,0.88,3.36,4.17,1.261008,2.098992,0.6007,22.69,60.0,,0.38300996351965255,0.38300996351965255,False,1211,0.0432062005035901,5999394,4954.082576383154,4374.0,5195.0
nonht-report-directions-20260909-formula.report:NONHT-CHIP-COST-250,NONHT-CHIP-COST-250,nonht-report-directions-20260909-formula.report.csv,chip250,"RANK((SUM(VOLUME*(OPEN+CLOSE)/2,250)/SUM(VOLUME,250))/CLOSE-1)",1,1,6aa1239c6df2a192a47e78d4,6aa1239c6df2a192a47e78d5,10,0.0677,0.0373,0.2694,0.0038,0.96,9.34,33.47,5.060664,4.279336,0.6102,29.22,53.33,,oversold-rebound-recovery-candidates.report:OSR2-MODERATE-RSI35,OSR2-MODERATE-RSI35,oversold-rebound-recovery-candidates.report.csv,rsi35,"RANK(IF(RSI(CLOSE,14)<50,-ABS(RSI(CLOSE,14)-35),-99999))",1,1,6a9e778a3e7967143f8fa90c,6a9e77a3a7f535324660afff,5,0.0389,0.0169,0.1565,0.0159,0.82,2.76,68.82,20.811168,-18.051167999999997,0.452,38.16,53.33,,0.3819742660000519,0.3819742660000519,False,1211,0.17532044555812187,5754216,4751.623451692816,3946.0,5125.0
size-only-20260911-candidates.report:SIZE-ONLY-20260911,SIZE-ONLY-20260911,size-only-20260911-candidates.report.csv,size_only,RANK(MARKET_CAP),0,0,6aa3b8573e7967143f8faf29,6aa3b8576df2a192a47e7cfe,10,-0.0558,-0.0475,-0.2789,0.0028,0.93,22.72,8.51,1.286712,21.433287999999997,0.9965,36.67,63.33,,huatai-series13-candidates.report:HT13-QUALITY-ROE,HT13-QUALITY-ROE,huatai-series13-candidates.report.csv,quality_roe,oper_roe_ttm,1,1,6a9e8be9a7f535324660b058,6a9e8beacffa1665a2100bd7,5,-0.0069,-0.0088,-0.131,0.043,0.9,-10.67,1.77,0.5352480000000001,-11.205248,-0.019,50.17,53.33,,0.3773891448695466,0.3773891448695466,False,1211,0.020752805111227214,6022621,4973.262592898431,4432.0,5194.0
oversold-rebound-recovery-candidates.report:OSR2-RET40,OSR2-RET40,oversold-rebound-recovery-candidates.report.csv,reversal40,"RANK(1 - RETURNS(CLOSE,40))",1,1,6a9e778fecb163ea7228ca64,6a9e7abba7f535324660b013,5,0.0731,0.0389,0.2718,0.0,0.88,13.25,40.41,12.219983999999998,1.0300160000000016,0.7374,40.2,58.33,,nonhuatai-factor-6-20260909.report:NONHT-MAX-LOW-21D,NONHT-MAX-LOW-21D,nonhuatai-factor-6-20260909.report.csv,max_return21_low,"RANK(-TS_MAX(RETURNS(CLOSE,1),21))",1,1,6aa0e8a76df2a192a47e781e,6aa0e8a8cffa1665a21011a8,10,0.0862,0.0351,0.2379,0.0103,0.78,1.91,51.71,7.818552,-5.908552,0.5569,20.9,61.67,,0.37301419072208913,0.37301419072208913,False,1211,0.18697032322556115,6003351,4957.350123864575,4379.0,5196.0
positive-cycle10-candidates.report:OSR2-RET40,OSR2-RET40,positive-cycle10-candidates.report.csv,reversal40,"RANK(1 - RETURNS(CLOSE,40))",1,1,6a9fcd2d6df2a192a47e765b,6a9fcd2e6df2a192a47e765c,10,0.0908,0.0512,0.3602,0.0001,0.91,13.35,55.02,8.319024,5.030975999999999,0.738,30.05,60.0,,nonhuatai-factor-6-20260909.report:NONHT-MAX-LOW-21D,NONHT-MAX-LOW-21D,nonhuatai-factor-6-20260909.report.csv,max_return21_low,"RANK(-TS_MAX(RETURNS(CLOSE,1),21))",1,1,6aa0e8a76df2a192a47e781e,6aa0e8a8cffa1665a21011a8,10,0.0862,0.0351,0.2379,0.0103,0.78,1.91,51.71,7.818552,-5.908552,0.5569,20.9,61.67,,0.37301419072208913,0.37301419072208913,False,1211,0.18697032322556115,6003351,4957.350123864575,4379.0,5196.0
high-potential-5-20260910-candidates.report:NEW-HIST-ROE-6Q,NEW-HIST-ROE-6Q,high-potential-5-20260910-candidates.report.csv,quality_roe_tsrank756,"TS_RANK(oper_roe_ttm,756)",1,1,6aa2335b3e7967143f8fad87,6aa2335b6df2a192a47e79ef,10,-0.0022,0.0003,0.0057,0.9669,0.11,-1.34,9.07,1.371384,-2.711384,1.0689,17.16,62.96,,report-backed-untested-candidates.report:HT13-NEW-HIST-GPM-6Q,HT13-NEW-HIST-GPM-6Q,report-backed-untested-candidates.report.csv,quality_gross_margin_tsrank756,"TS_RANK(oper_gross_margin_ttm,756)",1,1,6a9fa567a7f535324660b2ce,6a9fa568a7f535324660b2cf,5,-0.0002,-0.002,-0.0577,0.5509,0.34,-3.42,11.21,3.389904,-6.8099039999999995,0.985,21.63,62.96,,0.3724952315864861,0.3724952315864861,False,1211,0.04564769680247574,4737212,3911.8183319570603,3225.0,4704.0
alphaprobe-net1-platform-20260914-candidates.report:F-NET01-PLAT-20260914,F-NET01-PLAT-20260914,alphaprobe-net1-platform-20260914-candidates.report.csv,wma_low_volume40,"WMA((((1/LOW)/LOW)/VOLUME),40)",1,1,6aa7cd278b01f62dc5146aed,6aa7cd283e7967143f8fb524,5,0.0577,0.0281,0.3041,0.0,0.99,16.06,8.04,2.4312959999999997,13.628703999999999,0.9352,33.95,63.33,,huatai-series13-candidates.report:HT13-VOL-STD-1M,HT13-VOL-STD-1M,huatai-series13-candidates.report.csv,volatility21,"STDDEV(RETURNS(CLOSE,1),21)",0,0,6a9e8ba8cffa1665a2100bd6,6a9e8ba85d52c44d2f55be5d,5,-0.0722,-0.029,-0.1639,0.0115,0.64,-0.74,24.78,7.493472,-8.233471999999999,0.5121,20.92,58.33,,-0.37018217658241775,0.37018217658241775,False,1211,0.15699785603850724,6004355,4958.179190751445,4379.0,5196.0
nonhuatai-factor-6-20260909.report:NONHT-MAX-LOW-21D,NONHT-MAX-LOW-21D,nonhuatai-factor-6-20260909.report.csv,max_return21_low,"RANK(-TS_MAX(RETURNS(CLOSE,1),21))",1,1,6aa0e8a76df2a192a47e781e,6aa0e8a8cffa1665a21011a8,10,0.0862,0.0351,0.2379,0.0103,0.78,1.91,51.71,7.818552,-5.908552,0.5569,20.9,61.67,,nonhuatai-factor-6-20260909.report:NONHT-SKEW-LOW-60D,NONHT-SKEW-LOW-60D,nonhuatai-factor-6-20260909.report.csv,skew60_low,"RANK(-TS_SKEW(RETURNS(CLOSE,1),60))",1,1,6aa0e9283e7967143f8fac42,6aa0e9293e7967143f8fac43,10,0.0474,0.0211,0.2876,0.0021,0.95,5.05,36.31,5.4900720000000005,-0.4400720000000007,0.5682,24.93,60.0,,0.3696448526041478,0.3696448526041478,False,1211,0.12195149015176983,5982830,4940.404624277457,4331.0,5192.0
nonht-report-directions-20260909-formula.report:NONHT-CHIP-COST-250,NONHT-CHIP-COST-250,nonht-report-directions-20260909-formula.report.csv,chip250,"RANK((SUM(VOLUME*(OPEN+CLOSE)/2,250)/SUM(VOLUME,250))/CLOSE-1)",1,1,6aa1239c6df2a192a47e78d4,6aa1239c6df2a192a47e78d5,10,0.0677,0.0373,0.2694,0.0038,0.96,9.34,33.47,5.060664,4.279336,0.6102,29.22,53.33,,oversold-rebound-candidates.report:OSR-MA20-20D,OSR-MA20-20D,oversold-rebound-candidates.report.csv,ma_drawdown20,"RANK(1 - CLOSE / MA(CLOSE,20))",1,1,6a9e6f54b2a0c66c643101c2,6a9e705ffada315e619d3926,5,0.0523,0.0272,0.211,0.0012,0.55,1.97,55.17,16.683408,-14.713408,0.3725,41.55,55.0,,0.36812093980498156,0.36812093980498156,False,1211,0.14634352960949346,5754216,4751.623451692816,3946.0,5125.0
nonhuatai-factor-6-20260909.report:NONHT-RESVOL-LOW,NONHT-RESVOL-LOW,nonhuatai-factor-6-20260909.report.csv,residual_volatility,RANK(-residual_volatility),1,1,6aa0e8ef5d52c44d2f55c0f1,6aa0e8f0a7f535324660b4ce,10,0.0884,0.0347,0.2831,0.0073,0.74,2.97,17.19,2.5991280000000003,0.37087199999999987,0.7367,23.77,52.73,,oversold-rebound-recovery-candidates.report:OSR2-DD60,OSR2-DD60,oversold-rebound-recovery-candidates.report.csv,drawdown60,"RANK(1 - CLOSE / TS_MAX(CLOSE,60))",1,1,6a9e7790cffa1665a2100b83,6a9e7afc6df2a192a47e7356,5,0.0303,0.023,0.1736,0.0075,0.79,9.82,26.03,7.871472000000001,1.9485279999999996,0.5804,43.49,53.33,,-0.3679557171097243,0.3679557171097243,False,1211,0.12634539206651949,5368681,4433.262592898431,3620.0,5033.0
huatai-series13-candidates.report:HT13-TURN-BIAS-1M,HT13-TURN-BIAS-1M,huatai-series13-candidates.report.csv,turn_bias,"MA(TURNOVER,21) / MA(TURNOVER,504) - 1",0,0,6a9e8b253e7967143f8fa933,6a9e8b263e7967143f8fa934,5,-0.0652,-0.0368,-0.3172,0.0001,0.87,11.17,15.68,4.741632,6.428368,0.9929,24.89,61.54,,oversold-rebound-recovery-candidates.report:OSR2-RET40,OSR2-RET40,oversold-rebound-recovery-candidates.report.csv,reversal40,"RANK(1 - RETURNS(CLOSE,40))",1,1,6a9e778fecb163ea7228ca64,6a9e7abba7f535324660b013,5,0.0731,0.0389,0.2718,0.0,0.88,13.25,40.41,12.219983999999998,1.0300160000000016,0.7374,40.2,58.33,,-0.3663836320436754,0.3663836320436754,False,1211,0.12240170096882379,5368681,4433.262592898431,3620.0,5033.0
huatai-series13-candidates.report:HT13-TURN-BIAS-1M,HT13-TURN-BIAS-1M,huatai-series13-candidates.report.csv,turn_bias,"MA(TURNOVER,21) / MA(TURNOVER,504) - 1",0,0,6a9e8b253e7967143f8fa933,6a9e8b263e7967143f8fa934,5,-0.0652,-0.0368,-0.3172,0.0001,0.87,11.17,15.68,4.741632,6.428368,0.9929,24.89,61.54,,positive-cycle10-candidates.report:OSR2-RET40,OSR2-RET40,positive-cycle10-candidates.report.csv,reversal40,"RANK(1 - RETURNS(CLOSE,40))",1,1,6a9fcd2d6df2a192a47e765b,6a9fcd2e6df2a192a47e765c,10,0.0908,0.0512,0.3602,0.0001,0.91,13.35,55.02,8.319024,5.030975999999999,0.738,30.05,60.0,,-0.3663836320436754,0.3663836320436754,False,1211,0.12240170096882379,5368681,4433.262592898431,3620.0,5033.0
positive-cycle10-candidates.report:HT13-TURN-BIAS-1M,HT13-TURN-BIAS-1M,positive-cycle10-candidates.report.csv,turn_bias,"MA(TURNOVER,21) / MA(TURNOVER,504) - 1",0,0,6a9fcdb251cdfe29b2e0b56b,6a9fcdb23e7967143f8faaee,10,-0.0737,-0.0442,-0.3612,0.0019,0.86,9.04,26.97,4.077864,4.962135999999999,0.9491,22.94,58.97,,oversold-rebound-recovery-candidates.report:OSR2-RET40,OSR2-RET40,oversold-rebound-recovery-candidates.report.csv,reversal40,"RANK(1 - RETURNS(CLOSE,40))",1,1,6a9e778fecb163ea7228ca64,6a9e7abba7f535324660b013,5,0.0731,0.0389,0.2718,0.0,0.88,13.25,40.41,12.219983999999998,1.0300160000000016,0.7374,40.2,58.33,,-0.3663836320436754,0.3663836320436754,False,1211,0.12240170096882379,5368681,4433.262592898431,3620.0,5033.0
positive-cycle10-candidates.report:HT13-TURN-BIAS-1M,HT13-TURN-BIAS-1M,positive-cycle10-candidates.report.csv,turn_bias,"MA(TURNOVER,21) / MA(TURNOVER,504) - 1",0,0,6a9fcdb251cdfe29b2e0b56b,6a9fcdb23e7967143f8faaee,10,-0.0737,-0.0442,-0.3612,0.0019,0.86,9.04,26.97,4.077864,4.962135999999999,0.9491,22.94,58.97,,positive-cycle10-candidates.report:OSR2-RET40,OSR2-RET40,positive-cycle10-candidates.report.csv,reversal40,"RANK(1 - RETURNS(CLOSE,40))",1,1,6a9fcd2d6df2a192a47e765b,6a9fcd2e6df2a192a47e765c,10,0.0908,0.0512,0.3602,0.0001,0.91,13.35,55.02,8.319024,5.030975999999999,0.738,30.05,60.0,,-0.3663836320436754,0.3663836320436754,False,1211,0.12240170096882379,5368681,4433.262592898431,3620.0,5033.0
huatai-turn-bias-positive.report:HT13-TURN-BIAS-1M-POS,HT13-TURN-BIAS-1M-POS,huatai-turn-bias-positive.report.csv,turn_signal,"1 - MA(TURNOVER,21) / MA(TURNOVER,504)",1,1,6a9e9449a7f535324660b07d,6a9e944aa7f535324660b07e,5,0.0653,0.0369,0.3173,0.0001,0.87,11.14,15.69,4.744656,6.395344000000001,0.9915,24.89,61.54,,oversold-rebound-recovery-candidates.report:OSR2-RET40,OSR2-RET40,oversold-rebound-recovery-candidates.report.csv,reversal40,"RANK(1 - RETURNS(CLOSE,40))",1,1,6a9e778fecb163ea7228ca64,6a9e7abba7f535324660b013,5,0.0731,0.0389,0.2718,0.0,0.88,13.25,40.41,12.219983999999998,1.0300160000000016,0.7374,40.2,58.33,,0.3663836320436754,0.3663836320436754,False,1211,0.12240170096882379,5368681,4433.262592898431,3620.0,5033.0
huatai-turn-bias-positive.report:HT13-TURN-BIAS-1M-POS,HT13-TURN-BIAS-1M-POS,huatai-turn-bias-positive.report.csv,turn_signal,"1 - MA(TURNOVER,21) / MA(TURNOVER,504)",1,1,6a9e9449a7f535324660b07d,6a9e944aa7f535324660b07e,5,0.0653,0.0369,0.3173,0.0001,0.87,11.14,15.69,4.744656,6.395344000000001,0.9915,24.89,61.54,,positive-cycle10-candidates.report:OSR2-RET40,OSR2-RET40,positive-cycle10-candidates.report.csv,reversal40,"RANK(1 - RETURNS(CLOSE,40))",1,1,6a9fcd2d6df2a192a47e765b,6a9fcd2e6df2a192a47e765c,10,0.0908,0.0512,0.3602,0.0001,0.91,13.35,55.02,8.319024,5.030975999999999,0.738,30.05,60.0,,0.3663836320436754,0.3663836320436754,False,1211,0.12240170096882379,5368681,4433.262592898431,3620.0,5033.0
huatai-series13-candidates.report:HT13-HIST-EP-2Q,HT13-HIST-EP-2Q,huatai-series13-candidates.report.csv,value_ep_tsrank126,"TS_RANK(ratio_ep_ttm,126)",1,1,6a9e8c64a7f535324660b059,6a9e8c643e7967143f8fa936,5,0.0211,0.0063,0.0957,0.1453,0.76,2.11,47.23,14.282351999999998,-12.172351999999998,0.4851,31.25,60.34,,huatai-series13-candidates.report:HT13-HIST-ROA-6Q,HT13-HIST-ROA-6Q,huatai-series13-candidates.report.csv,quality_roa_tsrank756,"TS_RANK(oper_roa_net_ttm,756)",1,1,6a9e8ca3a7f535324660b05a,6a9e8ca4a7f535324660b05b,5,-0.0008,-0.0004,-0.009,0.9249,0.08,-2.93,6.0,1.8144000000000002,-4.744400000000001,0.9946,18.7,66.67,,0.3656476796107506,0.3656476796107506,False,1211,0.14611285996764417,4268678,3524.9199009083404,9.0,4762.0
huatai-series13-candidates.report:HT13-HIST-ROA-6Q,HT13-HIST-ROA-6Q,huatai-series13-candidates.report.csv,quality_roa_tsrank756,"TS_RANK(oper_roa_net_ttm,756)",1,1,6a9e8ca3a7f535324660b05a,6a9e8ca4a7f535324660b05b,5,-0.0008,-0.0004,-0.009,0.9249,0.08,-2.93,6.0,1.8144000000000002,-4.744400000000001,0.9946,18.7,66.67,,report-backed-untested-candidates.report:HT13-NEW-HIST-GPM-6Q,HT13-NEW-HIST-GPM-6Q,report-backed-untested-candidates.report.csv,quality_gross_margin_tsrank756,"TS_RANK(oper_gross_margin_ttm,756)",1,1,6a9fa567a7f535324660b2ce,6a9fa568a7f535324660b2cf,5,-0.0002,-0.002,-0.0577,0.5509,0.34,-3.42,11.21,3.389904,-6.8099039999999995,0.985,21.63,62.96,,0.36558320064936256,0.36558320064936256,False,1211,0.08624852539470644,4171393,3444.585466556565,9.0,4661.0
alphaprobe-final-20260914-candidates.report:F-A18,F-A18,alphaprobe-final-20260914-candidates.report.csv,ma_reversion40,"0 - CLOSE / MA(CLOSE,40)",1,1,6aa7ac1c51cdfe29b2e0c5d6,6aa7ac1c5d52c44d2f55cad8,5,0.0674,0.0471,0.3188,0.0,0.71,8.1,39.54,11.956896,-3.8568960000000008,0.5736,41.09,56.67,,nonhuatai-factor-6-20260909.report:NONHT-MAX-LOW-21D,NONHT-MAX-LOW-21D,nonhuatai-factor-6-20260909.report.csv,max_return21_low,"RANK(-TS_MAX(RETURNS(CLOSE,1),21))",1,1,6aa0e8a76df2a192a47e781e,6aa0e8a8cffa1665a21011a8,10,0.0862,0.0351,0.2379,0.0103,0.78,1.91,51.71,7.818552,-5.908552,0.5569,20.9,61.67,,0.36546584290820333,0.36546584290820333,False,1211,0.17397451273799414,6004355,4958.179190751445,4379.0,5196.0
alphaprobe-gfn-platform-20260916-candidates.report:F-A18,F-A18,alphaprobe-gfn-platform-20260916-candidates.report.csv,ma_reversion40,"0 - CLOSE / MA(CLOSE,40)",1,1,6aaa43735d52c44d2f55ce57,6aaa43736df2a192a47e8d43,5,0.0646,0.0384,0.2892,0.0,0.67,3.51,38.73,11.711951999999998,-8.201951999999999,0.4393,43.66,53.33,,nonhuatai-factor-6-20260909.report:NONHT-MAX-LOW-21D,NONHT-MAX-LOW-21D,nonhuatai-factor-6-20260909.report.csv,max_return21_low,"RANK(-TS_MAX(RETURNS(CLOSE,1),21))",1,1,6aa0e8a76df2a192a47e781e,6aa0e8a8cffa1665a21011a8,10,0.0862,0.0351,0.2379,0.0103,0.78,1.91,51.71,7.818552,-5.908552,0.5569,20.9,61.67,,0.36546584290820333,0.36546584290820333,False,1211,0.17397451273799414,6004355,4958.179190751445,4379.0,5196.0
high-potential-5-20260910-candidates.report:NEW-GROWTH-REV-TTM,NEW-GROWTH-REV-TTM,high-potential-5-20260910-candidates.report.csv,growth_revenue,RANK(gr_revenue_ttm),1,1,6aa232daa7f535324660b6c8,6aa232da5d52c44d2f55c225,10,-0.0004,0.0,-0.0006,0.9935,0.37,-1.42,5.29,0.7998480000000001,-2.219848,0.2765,50.81,46.67,,report-backed-untested-candidates.report:HT13-NEW-HIST-GPM-6Q,HT13-NEW-HIST-GPM-6Q,report-backed-untested-candidates.report.csv,quality_gross_margin_tsrank756,"TS_RANK(oper_gross_margin_ttm,756)",1,1,6a9fa567a7f535324660b2ce,6a9fa568a7f535324660b2cf,5,-0.0002,-0.002,-0.0577,0.5509,0.34,-3.42,11.21,3.389904,-6.8099039999999995,0.985,21.63,62.96,,0.3639704553211065,0.3639704553211065,False,1211,0.022215322064726355,4830087,3988.511147811726,3286.0,4803.0
nonhuatai-factor-6-20260909.report:NONHT-MAX-LOW-21D,NONHT-MAX-LOW-21D,nonhuatai-factor-6-20260909.report.csv,max_return21_low,"RANK(-TS_MAX(RETURNS(CLOSE,1),21))",1,1,6aa0e8a76df2a192a47e781e,6aa0e8a8cffa1665a21011a8,10,0.0862,0.0351,0.2379,0.0103,0.78,1.91,51.71,7.818552,-5.908552,0.5569,20.9,61.67,,workflow-6aa40282-singles.report:WF6AA4-CLOSE20-MOM-20260911,WF6AA4-CLOSE20-MOM-20260911,workflow-6aa40282-singles.report.csv,momentum20,"RANK((CLOSE / DELAY(CLOSE, 20)) - 1)",1,1,6aa421e15d52c44d2f55c4f0,6aa421e35d52c44d2f55c4f1,10,-0.088,-0.0539,-0.4035,0.0,0.85,-33.42,62.26,9.413712,-42.833712000000006,-0.816,133.61,35.0,,-0.36264933510108655,0.36264933510108655,False,1211,0.16961723451176808,6022110,4972.840627580512,4419.0,5199.0
nonhuatai-factor-6-20260909.report:NONHT-MAX-LOW-21D,NONHT-MAX-LOW-21D,nonhuatai-factor-6-20260909.report.csv,max_return21_low,"RANK(-TS_MAX(RETURNS(CLOSE,1),21))",1,1,6aa0e8a76df2a192a47e781e,6aa0e8a8cffa1665a21011a8,10,0.0862,0.0351,0.2379,0.0103,0.78,1.91,51.71,7.818552,-5.908552,0.5569,20.9,61.67,,workflow-6aa40282-singles-d0.report:WF6AA4-D0-CLOSE20-MOM-20260912,WF6AA4-D0-CLOSE20-MOM-20260912,workflow-6aa40282-singles-d0.report.csv,momentum20,"RANK((CLOSE / DELAY(CLOSE, 20)) - 1)",0,0,6aa4de3351cdfe29b2e0be51,6aa4de353e7967143f8fb035,10,-0.088,-0.0539,-0.4035,0.0,0.85,10.61,70.85,10.71252,-0.10252000000000017,0.6722,33.25,61.67,,-0.36264933510108655,0.36264933510108655,False,1211,0.16961723451176808,6022110,4972.840627580512,4419.0,5199.0
dls2014-candidates.report:DLS14-STREV-20D,DLS14-STREV-20D,dls2014-candidates.report.csv,reversal20,"1 - RETURNS(CLOSE,20)",1,1,6a9e6545f8982abefd86e240,6a9e65459a167ed86a7f1b68,5,-0.0052,-0.0272,-0.1717,0.6001,0.95,-30.07,52.06,15.742944000000001,-45.812944,-1.3095,10.07,33.33,,nonhuatai-factor-6-20260909.report:NONHT-MAX-LOW-21D,NONHT-MAX-LOW-21D,nonhuatai-factor-6-20260909.report.csv,max_return21_low,"RANK(-TS_MAX(RETURNS(CLOSE,1),21))",1,1,6aa0e8a76df2a192a47e781e,6aa0e8a8cffa1665a21011a8,10,0.0862,0.0351,0.2379,0.0103,0.78,1.91,51.71,7.818552,-5.908552,0.5569,20.9,61.67,,0.36264932596692423,0.36264932596692423,False,1211,0.16961723081509006,6022110,4972.840627580512,4419.0,5199.0
dls2014-full-candidates.report:DLS14-STREV-20D,DLS14-STREV-20D,dls2014-full-candidates.report.csv,reversal20,"1 - RETURNS(CLOSE,20)",1,1,6a9e65c3fada315e619d3912,6a9e65c47f3a31832eb8bd17,5,0.0624,0.0459,0.3192,0.0,0.69,7.21,52.46,15.863903999999998,-8.653903999999997,0.5697,40.64,56.67,,nonhuatai-factor-6-20260909.report:NONHT-MAX-LOW-21D,NONHT-MAX-LOW-21D,nonhuatai-factor-6-20260909.report.csv,max_return21_low,"RANK(-TS_MAX(RETURNS(CLOSE,1),21))",1,1,6aa0e8a76df2a192a47e781e,6aa0e8a8cffa1665a21011a8,10,0.0862,0.0351,0.2379,0.0103,0.78,1.91,51.71,7.818552,-5.908552,0.5569,20.9,61.67,,0.36264932596692423,0.36264932596692423,False,1211,0.16961723081509006,6022110,4972.840627580512,4419.0,5199.0
huatai-series13-candidates.report:HT13-REVERSAL-20D,HT13-REVERSAL-20D,huatai-series13-candidates.report.csv,reversal20,"1 - RETURNS(CLOSE,20)",1,1,6a9e8a9a6df2a192a47e7390,6a9e8a9a6df2a192a47e7391,5,0.0624,0.0459,0.3192,0.0,0.69,7.21,52.46,15.863903999999998,-8.653903999999997,0.5696,40.64,56.67,,nonhuatai-factor-6-20260909.report:NONHT-MAX-LOW-21D,NONHT-MAX-LOW-21D,nonhuatai-factor-6-20260909.report.csv,max_return21_low,"RANK(-TS_MAX(RETURNS(CLOSE,1),21))",1,1,6aa0e8a76df2a192a47e781e,6aa0e8a8cffa1665a21011a8,10,0.0862,0.0351,0.2379,0.0103,0.78,1.91,51.71,7.818552,-5.908552,0.5569,20.9,61.67,,0.36264932596692423,0.36264932596692423,False,1211,0.16961723081509006,6022110,4972.840627580512,4419.0,5199.0
