name,raw_formula,formula,net_excess_pct,gross_excess_pct,turnover_pct,annual_cost_pct,coverage,max_abs_correlation,max_corr,closest_factor,closest_handler,closest_platform_net_excess_pct,below_threshold,existing_factor_count
F-NET01,Inv(contract_liabilities_lyr),(1/(CONTRACT_LIABILITIES_LYR)),5.325309761559815,5.6748816976903385,1.1559918522834778,0.3495719361305237,1.0,0.4299501186659846,-0.4299501186659846,HT13-VALUE-SP,value_sp,0.11094400000000004,True,64
F-NET02,Inv(net_profit_parent_company_ttm),(1/(NET_PROFIT_PARENT_COMPANY_TTM)),5.1743916608720895,6.078333834889519,2.9892267659306526,0.9039421740174294,1.0,0.2297702916115297,-0.2297702916115297,SIZE-ONLY-20260911,size_only,21.433287999999997,True,64
F-NET03,"Inv(Ref(ev_no_cash_ttm,10))","(1/(REF(EV_NO_CASH_TTM,10)))",3.914117085305487,4.9038873272812715,3.2730497419834137,0.9897702419757842,1.0,0.30198245906737886,-0.30198245906737886,SIZE-ONLY-20260911,size_only,21.433287999999997,True,64
F-NET04,"TsPctChange(contract_liabilities_lyr,30)","RETURNS(CONTRACT_LIABILITIES_LYR,30)",1.6149023561705205,4.2341274492968175,8.661458641290665,2.6192250931262966,1.0,0.05759054654278692,0.05759054654278692,paper-derived-asset-growth,asset_growth,0.76496,True,64
F-NET05,book_to_market_ratio_lf,BOOK_TO_MARKET_RATIO_LF,0.6755325039640006,1.8950652977243003,4.032846540212631,1.2195327937602998,1.0,0.9999999999813619,0.9999999999813619,HT13-VALUE-BP,value_bm,2.098992,False,64
F-NET06,"TsDiv(current_assets_lyr,50)","(CURRENT_ASSETS_LYR/MA(CURRENT_ASSETS_LYR,50))",-0.6303441581340253,2.2586140444664538,9.553433209657669,2.888958202600479,1.0,0.18032414571458213,0.18032414571458213,paper-derived-asset-growth,asset_growth,0.76496,True,64
