factor_id,factor_name,factor_handler,factor_formula,platform_net_excess_pct,platform_rank_ic,max_abs_correlation_to_representatives,nearest_representative,nearest_representative_handler,nearest_correlation,high_correlation_to_any_representative_at_0.80,all_representative_correlations
osr4-ret40-value-refine-candidates.report:OSR4-RET40-BP-CFP-MA63,OSR4-RET40-BP-CFP-MA63,reversal_bm_cfp_ma63,"(RANK(1 - RETURNS(CLOSE,40)) + RANK(MA(ratio_bm_ttm,63)) + RANK(MA(ratio_cfp_ttm,63))) / 3",2.589456,0.064,0.6449880554612504,OSR3-RET40-BP-CFP,reversal_bm_cfp,0.6449880554612504,False,SIZE-ONLY-20260911=+0.021811; T10-ADD-AGG-IMPACT-20260911=+0.253526; VERIFY-E260910-04=+0.380134; H03-T10-SINGLE=-0.015274; F-NET01-PLAT-20260914=+0.203559; COMBO-DIRECT-OSR2-CHIP-TURN-PAPER-EQ=+0.540184; HT13-TURN-BIAS-1M=-0.205162; OSR2-RET40=+0.576820; OSR2-DD120=+0.241509; NONHT-CHIP-COST-250=+0.369250; OSR3-RET40-BP-CFP=+0.644988; NEW-VALUE-EVEBITDA=-0.112258; NONHT-RESVOL-LOW=+0.282481
osr3-ret40-value-candidates.report:OSR3-RET40-BP-REV2,OSR3-RET40-BP-REV2,reversal_bm_rev2,"(2 * RANK(1 - RETURNS(CLOSE,40)) + RANK(ratio_bm_ttm)) / 3",2.477648000000002,0.0843,0.9077517390969769,OSR2-RET40,reversal40,0.9077517390969769,True,SIZE-ONLY-20260911=-0.054349; T10-ADD-AGG-IMPACT-20260911=+0.454345; VERIFY-E260910-04=+0.355215; H03-T10-SINGLE=+0.028102; F-NET01-PLAT-20260914=+0.217249; COMBO-DIRECT-OSR2-CHIP-TURN-PAPER-EQ=+0.774259; HT13-TURN-BIAS-1M=-0.328216; OSR2-RET40=+0.907752; OSR2-DD120=+0.483457; NONHT-CHIP-COST-250=+0.573916; OSR3-RET40-BP-CFP=+0.772391; NEW-VALUE-EVEBITDA=-0.074807; NONHT-RESVOL-LOW=+0.187610
osr4-ret40-value-refine-candidates.report:OSR4-RET40-BP-CFP-TSRANK756,OSR4-RET40-BP-CFP-TSRANK756,reversal_bm_cfp_tsrank756,"(RANK(1 - RETURNS(CLOSE,40)) + RANK(TS_RANK(ratio_bm_ttm,756)) + RANK(TS_RANK(ratio_cfp_ttm,756))) / 3",2.461280000000002,0.0652,0.6882838184052927,OSR2-RET40,reversal40,0.6882838184052927,False,SIZE-ONLY-20260911=+0.023065; T10-ADD-AGG-IMPACT-20260911=+0.402575; VERIFY-E260910-04=+0.148240; H03-T10-SINGLE=+0.034304; F-NET01-PLAT-20260914=+0.124802; COMBO-DIRECT-OSR2-CHIP-TURN-PAPER-EQ=+0.649272; HT13-TURN-BIAS-1M=-0.325004; OSR2-RET40=+0.688284; OSR2-DD120=+0.393282; NONHT-CHIP-COST-250=+0.608556; OSR3-RET40-BP-CFP=+0.547519; NEW-VALUE-EVEBITDA=-0.067861; NONHT-RESVOL-LOW=+0.252759
osr3-ret40-value-candidates.report:OSR3-RET40-BP-MA63,OSR3-RET40-BP-MA63,reversal_bm_ma63,"(RANK(1 - RETURNS(CLOSE,40)) + RANK(MA(ratio_bm_ttm,63))) / 2",2.4111200000000004,0.0793,0.8048051897741599,OSR3-RET40-BP-CFP,reversal_bm_cfp,0.8048051897741599,True,SIZE-ONLY-20260911=-0.058748; T10-ADD-AGG-IMPACT-20260911=+0.370477; VERIFY-E260910-04=+0.560986; H03-T10-SINGLE=+0.054162; F-NET01-PLAT-20260914=+0.327368; COMBO-DIRECT-OSR2-CHIP-TURN-PAPER-EQ=+0.689511; HT13-TURN-BIAS-1M=-0.248508; OSR2-RET40=+0.678170; OSR2-DD120=+0.285706; NONHT-CHIP-COST-250=+0.474412; OSR3-RET40-BP-CFP=+0.804805; NEW-VALUE-EVEBITDA=-0.145407; NONHT-RESVOL-LOW=+0.358114
osr4-ret40-value-refine-candidates.report:OSR4-RET40-BP-CFP-REV2,OSR4-RET40-BP-CFP-REV2,reversal_bm_cfp_rev2,"(2 * RANK(1 - RETURNS(CLOSE,40)) + RANK(ratio_bm_ttm) + RANK(ratio_cfp_ttm)) / 4",2.3675200000000007,0.0758,0.8093618775768019,OSR2-RET40,reversal40,0.8093618775768019,True,SIZE-ONLY-20260911=+0.011663; T10-ADD-AGG-IMPACT-20260911=+0.365825; VERIFY-E260910-04=+0.318258; H03-T10-SINGLE=-0.012288; F-NET01-PLAT-20260914=+0.192505; COMBO-DIRECT-OSR2-CHIP-TURN-PAPER-EQ=+0.695504; HT13-TURN-BIAS-1M=-0.291721; OSR2-RET40=+0.809362; OSR2-DD120=+0.394318; NONHT-CHIP-COST-250=+0.498805; OSR3-RET40-BP-CFP=+0.728649; NEW-VALUE-EVEBITDA=-0.083785; NONHT-RESVOL-LOW=+0.230298
ht13-momentum-120d-d0.report:HT13-MOMENTUM-120D-D0,HT13-MOMENTUM-120D-D0,momentum120,"RETURNS(CLOSE,120)",2.291336000000001,-0.0665,0.8376766833549193,NONHT-CHIP-COST-250,chip250,-0.8376766833549193,True,SIZE-ONLY-20260911=+0.090826; T10-ADD-AGG-IMPACT-20260911=-0.504114; VERIFY-E260910-04=-0.170455; H03-T10-SINGLE=-0.165009; F-NET01-PLAT-20260914=-0.218488; COMBO-DIRECT-OSR2-CHIP-TURN-PAPER-EQ=-0.673327; HT13-TURN-BIAS-1M=+0.391491; OSR2-RET40=-0.473151; OSR2-DD120=-0.493126; NONHT-CHIP-COST-250=-0.837677; OSR3-RET40-BP-CFP=-0.361698; NEW-VALUE-EVEBITDA=-0.027542; NONHT-RESVOL-LOW=-0.132408
huatai-series13-candidates.report:HT13-VALUE-BP,HT13-VALUE-BP,value_bm,ratio_bm_ttm,2.098992,0.0524,0.7157715722684427,VERIFY-E260910-04,book_to_market_lf_minus_size,0.7157715722684427,False,SIZE-ONLY-20260911=-0.042407; T10-ADD-AGG-IMPACT-20260911=+0.105633; VERIFY-E260910-04=+0.715772; H03-T10-SINGLE=+0.073134; F-NET01-PLAT-20260914=+0.383010; COMBO-DIRECT-OSR2-CHIP-TURN-PAPER-EQ=+0.323544; HT13-TURN-BIAS-1M=-0.039296; OSR2-RET40=+0.076353; OSR2-DD120=-0.113200; NONHT-CHIP-COST-250=+0.172868; OSR3-RET40-BP-CFP=+0.591848; NEW-VALUE-EVEBITDA=-0.221424; NONHT-RESVOL-LOW=+0.528753
oversold-rebound-recovery-candidates.report:OSR2-DD60,OSR2-DD60,drawdown60,"RANK(1 - CLOSE / TS_MAX(CLOSE,60))",1.9485279999999996,0.0303,0.7898705245634533,OSR2-DD120,drawdown120,0.7898705245634533,False,SIZE-ONLY-20260911=-0.081775; T10-ADD-AGG-IMPACT-20260911=+0.219037; VERIFY-E260910-04=-0.040604; H03-T10-SINGLE=-0.102131; F-NET01-PLAT-20260914=-0.141279; COMBO-DIRECT-OSR2-CHIP-TURN-PAPER-EQ=+0.366695; HT13-TURN-BIAS-1M=-0.027526; OSR2-RET40=+0.636222; OSR2-DD120=+0.789871; NONHT-CHIP-COST-250=+0.392368; OSR3-RET40-BP-CFP=+0.274770; NEW-VALUE-EVEBITDA=+0.079523; NONHT-RESVOL-LOW=-0.367956
literature-rankic-optimization-20260909-formula.report:NONHT-FSCORELIKE-REV40-INTERACT,NONHT-FSCORELIKE-REV40-INTERACT,fscore_interact,"RANK(1 - RETURNS(CLOSE,40)) * RANK((IF(oper_roa_net_ttm > 0,1,0) + IF(cfd_ocf_to_debt_ttm > 0,1,0) + IF(oper_roa_net_ttm > oper_roa_net_lyr,1,0) + IF(cfd_surplus_cash_multi_ttm > 1,1,0) + IF(fin_debt_to_asset_ttm < fin_debt_to_asset_lyr,1,0) + IF(fin_current_ratio_ttm > fin_current_ratio_lyr,1,0) + IF(oper_gross_margin_ttm > oper_gross_margin_lyr,1,0) + IF(oper_total_asset_turnover_ttm > oper_total_asset_turnover_lyr,1,0)) / 8)",1.8427599999999984,0.0743,0.6505918989064734,OSR2-RET40,reversal40,0.6505918989064734,False,SIZE-ONLY-20260911=+0.049231; T10-ADD-AGG-IMPACT-20260911=+0.256554; VERIFY-E260910-04=+0.061303; H03-T10-SINGLE=-0.053859; F-NET01-PLAT-20260914=+0.045170; COMBO-DIRECT-OSR2-CHIP-TURN-PAPER-EQ=+0.478341; HT13-TURN-BIAS-1M=-0.266135; OSR2-RET40=+0.650592; OSR2-DD120=+0.314583; NONHT-CHIP-COST-250=+0.325776; OSR3-RET40-BP-CFP=+0.457320; NEW-VALUE-EVEBITDA=-0.054078; NONHT-RESVOL-LOW=+0.101701
nonhuatai-factor-6-20260909.report:NONHT-FSCORELIKE-REV40,NONHT-FSCORELIKE-REV40,fscore_eq,"(RANK(1 - RETURNS(CLOSE,40)) + RANK((IF(oper_roa_net_ttm > 0,1,0) + IF(cfd_ocf_to_debt_ttm > 0,1,0) + IF(oper_roa_net_ttm > oper_roa_net_lyr,1,0) + IF(cfd_surplus_cash_multi_ttm > 1,1,0) + IF(fin_debt_to_asset_ttm < fin_debt_to_asset_lyr,1,0) + IF(fin_current_ratio_ttm > fin_current_ratio_lyr,1,0) + IF(oper_gross_margin_ttm > oper_gross_margin_lyr,1,0) + IF(oper_total_asset_turnover_ttm > oper_total_asset_turnover_lyr,1,0)) / 8)) / 2",1.8243760000000009,0.0697,0.688704126259376,OSR2-RET40,reversal40,0.688704126259376,False,SIZE-ONLY-20260911=+0.063636; T10-ADD-AGG-IMPACT-20260911=+0.237717; VERIFY-E260910-04=+0.029334; H03-T10-SINGLE=-0.085429; F-NET01-PLAT-20260914=+0.011268; COMBO-DIRECT-OSR2-CHIP-TURN-PAPER-EQ=+0.470694; HT13-TURN-BIAS-1M=-0.232748; OSR2-RET40=+0.688704; OSR2-DD120=+0.347232; NONHT-CHIP-COST-250=+0.318386; OSR3-RET40-BP-CFP=+0.460212; NEW-VALUE-EVEBITDA=-0.042344; NONHT-RESVOL-LOW=+0.048357
osr3-ret40-value-candidates.report:OSR3-RET40-BP-TSRANK756,OSR3-RET40-BP-TSRANK756,reversal_bm_tsrank756,"(RANK(1 - RETURNS(CLOSE,40)) + RANK(TS_RANK(ratio_bm_ttm,756))) / 2",1.6427359999999993,0.0715,0.8122658539916564,OSR2-RET40,reversal40,0.8122658539916564,True,SIZE-ONLY-20260911=+0.007613; T10-ADD-AGG-IMPACT-20260911=+0.479307; VERIFY-E260910-04=+0.184729; H03-T10-SINGLE=+0.051861; F-NET01-PLAT-20260914=+0.149785; COMBO-DIRECT-OSR2-CHIP-TURN-PAPER-EQ=+0.756363; HT13-TURN-BIAS-1M=-0.381947; OSR2-RET40=+0.812266; OSR2-DD120=+0.462120; NONHT-CHIP-COST-250=+0.691592; OSR3-RET40-BP-CFP=+0.621247; NEW-VALUE-EVEBITDA=-0.067581; NONHT-RESVOL-LOW=+0.261905
osr4-ret40-value-refine-candidates.report:OSR4-RET40-BP-CFP-REV3,OSR4-RET40-BP-CFP-REV3,reversal_bm_cfp_rev3,"(3 * RANK(1 - RETURNS(CLOSE,40)) + RANK(ratio_bm_ttm) + RANK(ratio_cfp_ttm)) / 5",1.6346559999999997,0.0773,0.9032762869202471,OSR2-RET40,reversal40,0.9032762869202471,True,SIZE-ONLY-20260911=-0.005273; T10-ADD-AGG-IMPACT-20260911=+0.413534; VERIFY-E260910-04=+0.254771; H03-T10-SINGLE=-0.009579; F-NET01-PLAT-20260914=+0.162331; COMBO-DIRECT-OSR2-CHIP-TURN-PAPER-EQ=+0.735589; HT13-TURN-BIAS-1M=-0.323802; OSR2-RET40=+0.903276; OSR2-DD120=+0.476820; NONHT-CHIP-COST-250=+0.543695; OSR3-RET40-BP-CFP=+0.718086; NEW-VALUE-EVEBITDA=-0.055793; NONHT-RESVOL-LOW=+0.158520
oversold-rebound-recovery-candidates.report:OSR2-RET40,OSR2-RET40,reversal40,"RANK(1 - RETURNS(CLOSE,40))",1.0300160000000016,0.0731,1.0,OSR2-RET40,reversal40,1.0,True,SIZE-ONLY-20260911=-0.051687; T10-ADD-AGG-IMPACT-20260911=+0.480305; VERIFY-E260910-04=+0.084895; H03-T10-SINGLE=+0.008966; F-NET01-PLAT-20260914=+0.085632; COMBO-DIRECT-OSR2-CHIP-TURN-PAPER-EQ=+0.735973; HT13-TURN-BIAS-1M=-0.366384; OSR2-RET40=+1.000000; OSR2-DD120=+0.602495; NONHT-CHIP-COST-250=+0.584823; OSR3-RET40-BP-CFP=+0.602409; NEW-VALUE-EVEBITDA=+0.016487; NONHT-RESVOL-LOW=-0.014801
paper-derived-full.report:paper-derived-asset-growth,paper-derived-asset-growth,asset_growth,RANK(gr_total_asset_lyr),0.76496,-0.0115,0.2789355672575078,F-NET01-PLAT-20260914,wma_low_volume40,-0.2789355672575078,False,SIZE-ONLY-20260911=+0.199605; T10-ADD-AGG-IMPACT-20260911=-0.145379; VERIFY-E260910-04=-0.199065; H03-T10-SINGLE=-0.090312; F-NET01-PLAT-20260914=-0.278936; COMBO-DIRECT-OSR2-CHIP-TURN-PAPER-EQ=-0.154924; HT13-TURN-BIAS-1M=-0.040910; OSR2-RET40=+0.025335; OSR2-DD120=+0.010960; NONHT-CHIP-COST-250=+0.007566; OSR3-RET40-BP-CFP=+0.167124; NEW-VALUE-EVEBITDA=-0.130751; NONHT-RESVOL-LOW=+0.028842
osr3-ret40-value-candidates.report:OSR3-RET40-BP-EP-CFP,OSR3-RET40-BP-EP-CFP,reversal_bm_ep_cfp,"(RANK(1 - RETURNS(CLOSE,40)) + RANK(ratio_bm_ttm) + RANK(ratio_ep_ttm) + RANK(ratio_cfp_ttm)) / 4",0.13803199999999993,0.0605,0.6807040273242677,OSR3-RET40-BP-CFP,reversal_bm_cfp,0.6807040273242677,False,SIZE-ONLY-20260911=+0.154207; T10-ADD-AGG-IMPACT-20260911=+0.107389; VERIFY-E260910-04=+0.367700; H03-T10-SINGLE=-0.079851; F-NET01-PLAT-20260914=+0.166196; COMBO-DIRECT-OSR2-CHIP-TURN-PAPER-EQ=+0.460875; HT13-TURN-BIAS-1M=-0.169653; OSR2-RET40=+0.414813; OSR2-DD120=+0.065301; NONHT-CHIP-COST-250=+0.268658; OSR3-RET40-BP-CFP=+0.680704; NEW-VALUE-EVEBITDA=-0.248869; NONHT-RESVOL-LOW=+0.457601
huatai-series13-candidates.report:HT13-VALUE-SP,HT13-VALUE-SP,value_sp,ratio_sp_ttm,0.11094400000000004,0.0333,0.3649803511123667,VERIFY-E260910-04,book_to_market_lf_minus_size,0.3649803511123667,False,SIZE-ONLY-20260911=+0.026037; T10-ADD-AGG-IMPACT-20260911=+0.022303; VERIFY-E260910-04=+0.364980; H03-T10-SINGLE=-0.048255; F-NET01-PLAT-20260914=+0.247864; COMBO-DIRECT-OSR2-CHIP-TURN-PAPER-EQ=+0.183877; HT13-TURN-BIAS-1M=-0.013241; OSR2-RET40=+0.053851; OSR2-DD120=-0.079204; NONHT-CHIP-COST-250=+0.102639; OSR3-RET40-BP-CFP=+0.355740; NEW-VALUE-EVEBITDA=-0.314097; NONHT-RESVOL-LOW=+0.343844
