id,name,report,formula,handler,platform_factor_id,platform_run_id,platform_net_excess_pct,platform_direction,configured_cycle,correlation,abs_correlation,mean,median,std,min,max,days,pair_rows,common_stocks_mean,common_stocks_min,common_stocks_max
t10-additions-20260911-candidates.report:T10-ADD-DD120-20260911,T10-ADD-DD120-20260911,t10-additions-20260911-candidates.report.csv,"(RANK(1-RETURNS(CLOSE,40)) + RANK((SUM(VOLUME*(OPEN+CLOSE)/2,250)/SUM(VOLUME,250))/CLOSE-1) + RANK(1-MA(TURNOVER,21)/MA(TURNOVER,504)) + RANK(-ZSCORE(RANK(MARKET_CAP))) + RANK(SUM((HIGH-LOW)/(DELAY(CLOSE,1)+0.000001),60)/(SUM(AMOUNT,60)+1)) + RANK(1-CLOSE/TS_MAX(CLOSE,120))) / 6",t10_size_plus_impact_dd120,6aa3c66cecb163ea7228d075,6aa3c66d6df2a192a47e7d28,16.834384,1,,0.4875095424483749,0.4875095424483749,0.4875095424483749,0.4935773179864312,0.11487455057043253,0.18405210233617555,0.7492199066357413,1211,5368681,4433.262592898431,3620,5033
t10-nomcap-plus-impact-20260911-candidates.report:T10-NOMCAP-PLUS-IMPACT,T10-NOMCAP-PLUS-IMPACT,t10-nomcap-plus-impact-20260911-candidates.report.csv,"(RANK(1-RETURNS(CLOSE,40)) + RANK((SUM(VOLUME*(OPEN+CLOSE)/2,250)/SUM(VOLUME,250))/CLOSE-1) + RANK(1-MA(TURNOVER,21)/MA(TURNOVER,504)) + RANK(SUM((HIGH-LOW)/(DELAY(CLOSE,1)+0.000001),60)/(SUM(AMOUNT,60)+1))) / 4",t10_nomcap_plus_impact,6aa3c06bd5536b11c13ee096,6aa3c06cd5536b11c13ee097,14.225216,1,,0.47642865509373644,0.47642865509373644,0.47642865509373644,0.47907112963521026,0.12134509731567242,0.1765201047963252,0.7614813546384332,1211,5368681,4433.262592898431,3620,5033
osr2-ret40-turn-bias-paper-2026-ytd-candidates.report:OSR2-RET40-TURN-BIAS-PAPER-EQ-2026-YTD,OSR2-RET40-TURN-BIAS-PAPER-EQ-2026-YTD,osr2-ret40-turn-bias-paper-2026-ytd-candidates.report.csv,"(RANK(1 - RETURNS(CLOSE,40)) + RANK(1 - MA(TURNOVER,21) / MA(TURNOVER,504)) + RANK(ZSCORE(RANK(book_to_market_ratio_lyr)) + ZSCORE(RANK(oper_roe_lyr)) - ZSCORE(RANK(gr_total_asset_lyr)) - ZSCORE(RANK(MARKET_CAP)))) / 3",reversal_turn_paper,6aa0c7b56df2a192a47e77e2,6aa0c7b55d52c44d2f55c0c0,7.699328,1,,0.46940040571159397,0.46940040571159397,0.46940040571159397,0.47115231909083444,0.11376566685745237,0.1494114390268627,0.7416591712561391,1211,5229497,4318.329479768786,3509,4915
osr2-ret40-turn-bias-paper-composite-cycle10-candidates.report:OSR2-RET40-TURN-BIAS-PAPER-EQ,OSR2-RET40-TURN-BIAS-PAPER-EQ,osr2-ret40-turn-bias-paper-composite-cycle10-candidates.report.csv,"(RANK(1 - RETURNS(CLOSE,40)) + RANK(1 - MA(TURNOVER,21) / MA(TURNOVER,504)) + RANK(ZSCORE(RANK(book_to_market_ratio_lyr)) + ZSCORE(RANK(oper_roe_lyr)) - ZSCORE(RANK(gr_total_asset_lyr)) - ZSCORE(RANK(MARKET_CAP)))) / 3",reversal_turn_paper,6a9fe1363e7967143f8fab47,6a9fe1366df2a192a47e76a5,11.643647999999999,1,,0.46940040571159397,0.46940040571159397,0.46940040571159397,0.47115231909083444,0.11376566685745237,0.1494114390268627,0.7416591712561391,1211,5229497,4318.329479768786,3509,4915
combo-direct-4factor-size-2026-ytd-candidates.report:COMBO-DIRECT-OSR2-CHIP-TURN-SIZE-EQ-2026YTD,COMBO-DIRECT-OSR2-CHIP-TURN-SIZE-EQ-2026YTD,combo-direct-4factor-size-2026-ytd-candidates.report.csv,"(RANK(1-RETURNS(CLOSE,40)) + RANK((SUM(VOLUME*(OPEN+CLOSE)/2,250)/SUM(VOLUME,250))/CLOSE-1) + RANK(1-MA(TURNOVER,21)/MA(TURNOVER,504)) + RANK(-ZSCORE(RANK(MARKET_CAP)))) / 4",reversal_chip_turn_size_eq,6aa159b851cdfe29b2e0b84f,6aa159b851cdfe29b2e0b850,10.726920000000002,1,,0.439997839008615,0.439997839008615,0.439997839008615,0.4451474786661266,0.127727792865681,0.12007437716041781,0.736168113665215,1211,5368681,4433.262592898431,3620,5033
combo-direct-4factor-size-20260909-candidates.report:COMBO-DIRECT-OSR2-CHIP-TURN-SIZE-EQ,COMBO-DIRECT-OSR2-CHIP-TURN-SIZE-EQ,combo-direct-4factor-size-20260909-candidates.report.csv,"(RANK(1-RETURNS(CLOSE,40)) + RANK((SUM(VOLUME*(OPEN+CLOSE)/2,250)/SUM(VOLUME,250))/CLOSE-1) + RANK(1-MA(TURNOVER,21)/MA(TURNOVER,504)) + RANK(-ZSCORE(RANK(MARKET_CAP)))) / 4",reversal_chip_turn_size_eq,6aa150cb3e7967143f8face0,6aa150cbcffa1665a21012bd,16.383983999999998,1,,0.439997839008615,0.439997839008615,0.439997839008615,0.4451474786661266,0.127727792865681,0.12007437716041781,0.736168113665215,1211,5368681,4433.262592898431,3620,5033
combo-direct-4factor-paper-20260909-candidates.report:COMBO-DIRECT-OSR2-CHIP-TURN-PAPER-EQ,COMBO-DIRECT-OSR2-CHIP-TURN-PAPER-EQ,combo-direct-4factor-paper-20260909-candidates.report.csv,"(RANK(1-RETURNS(CLOSE,40)) + RANK((SUM(VOLUME*(OPEN+CLOSE)/2,250)/SUM(VOLUME,250))/CLOSE-1) + RANK(1-MA(TURNOVER,21)/MA(TURNOVER,504)) + RANK(ZSCORE(RANK(book_to_market_ratio_lyr)) + ZSCORE(RANK(oper_roe_lyr)) - ZSCORE(RANK(gr_total_asset_lyr)) - ZSCORE(RANK(MARKET_CAP)))) / 4",reversal_chip_turn_paper,6aa15326a7f535324660b5d5,6aa15327cffa1665a21012d2,12.774432000000001,1,,0.4250442254146204,0.4250442254146204,0.4250442254146204,0.430476832741465,0.12743103810339976,0.10568459943914056,0.7298507520207367,1211,5229497,4318.329479768786,3509,4915
t10-newdirections-20260911-candidates.report:T10-SIZE-PLUS-WC-MCAP,T10-SIZE-PLUS-WC-MCAP,t10-newdirections-20260911-candidates.report.csv,"(RANK(1-RETURNS(CLOSE,40)) + RANK((SUM(VOLUME*(OPEN+CLOSE)/2,250)/SUM(VOLUME,250))/CLOSE-1) + RANK(1-MA(TURNOVER,21)/MA(TURNOVER,504)) + RANK(-ZSCORE(RANK(MARKET_CAP))) + RANK((CURRENT_ASSETS-INVENTORY-CURRENT_LIABILITIES)/(ABS(MARKET_CAP)+1))) / 5",t10_size_plus_wc_mcap,6aa368b9ecb163ea7228cff9,6aa368baa7f535324660b9a5,14.581016,1,,0.40817981608453957,0.40817981608453957,0.40817981608453957,0.41460911339689943,0.12416033762007297,0.09572097129510661,0.703909939982275,1211,5261077,4344.4071015689515,3542,4944
huatai-series13-candidates.report:HT13-VALUE-BP,HT13-VALUE-BP,huatai-series13-candidates.report.csv,ratio_bm_ttm,value_bm,6a9e891a0f6165ec8f7f33d9,6a9e891acffa1665a2100bcd,2.098992,1,,0.40234058166181647,0.40234058166181647,0.40234058166181647,0.4024556066861935,0.04218459880612549,0.27300421072011044,0.5346129814611976,1211,5891853,4865.279108175062,4288,5106
osr3-ret40-value-candidates.report:OSR3-RET40-BP-VAL2,OSR3-RET40-BP-VAL2,osr3-ret40-value-candidates.report.csv,"(RANK(1 - RETURNS(CLOSE,40)) + 2 * RANK(ratio_bm_ttm)) / 3",reversal_bm_val2,6a9f725e5d52c44d2f55bf62,6a9f725e5d52c44d2f55bf63,3.1676159999999998,1,,0.38683765177698043,0.38683765177698043,0.38683765177698043,0.38197123201366145,0.08203764186786734,0.18563342355020876,0.6123099322142069,1211,5890853,4864.4533443435175,4288,5106
