cycle,factor_count,components,component_names,component_handlers,max_pair_abs_correlation,mean_pair_abs_correlation,train_net_excess_pct,test_net_excess_pct,full_net_excess_pct,train_delta_vs_best_component_pct,test_delta_vs_best_component_pct,full_delta_vs_best_component_pct,train_gross_excess_pct,test_gross_excess_pct,full_gross_excess_pct,train_turnover_pct,test_turnover_pct,full_turnover_pct,train_sharpe_after_cost,test_sharpe_after_cost,full_sharpe_after_cost,train_periods,test_periods,full_periods,eligible_0.70,eligible_0.80,eligible_0.85
5,2,"C5-011,C5-012",VERIFY-F260910-12 | VERIFY-E260910-04,book_to_market_lf_plus_impact | book_to_market_lf_minus_size,0.9005441068414489,0.9005441068414489,18.16923876818778,11.020239020063205,15.351413669455157,0.6124503796078855,-0.3387404001211465,0.23755988835777941,20.066969408044624,12.768595485758619,17.19001703203977,6.275564285240895,5.781602069098592,6.0800375746845665,0.42961000467754534,1.7191026376341396,0.9371713211012339,146,95,241,False,False,False
5,2,"C5-011,C5-014",VERIFY-F260910-12 | paper-derived-composite,book_to_market_lf_plus_impact | paper_composite,0.7506976923091603,0.7506976923091603,17.149726812841255,6.6422873024505185,13.007988558212347,1.774791994839953,-2.356454163644341,0.14631771965598617,18.965120332876563,8.33683672593069,14.775547956694579,6.003285449852206,5.60366872843972,5.845103830959764,0.4125657795458868,1.6363284999903691,0.8948379552542555,146,95,241,False,True,True
5,2,"C5-012,C5-014",VERIFY-E260910-04 | paper-derived-composite,book_to_market_lf_minus_size | paper_composite,0.8165008154956845,0.8165008154956845,17.017369658079584,8.610732318999853,13.70361448565781,-0.5394187305003086,-2.748247101184498,-1.4102392954395668,19.0505533757092,10.604630161442799,15.72124754435937,6.7234911297275675,6.593577521306036,6.67206699306071,0.3898670639106361,1.665926830704077,0.8915585555593281,146,95,241,False,False,True
5,2,"C5-006,C5-012",F-GFN-N02-20260916 | VERIFY-E260910-04,book_to_market_lf_div_oper_main_profit_ttm | book_to_market_lf_minus_size,0.6434530694446723,0.6434530694446723,15.625637066251308,13.11738088953719,14.636827720083003,-1.931151322328585,1.7584014693528385,-0.4770260610143744,17.399531119454046,14.938556556348233,16.429437412005697,5.866051763236565,6.022406305592083,5.927942102918958,0.33027349195039496,1.709238239503894,0.8744493478959925,146,95,241,True,True,True
5,2,"C5-006,C5-014",F-GFN-N02-20260916 | paper-derived-composite,book_to_market_lf_div_oper_main_profit_ttm | paper_composite,0.44778628071506493,0.44778628071506493,15.337048080010817,11.46387167630723,13.810170527197476,1.3436718371144227,0.882903248615472,4.265920363476182,17.03645687194087,13.22828731331004,15.535311195302162,5.619738068551763,5.834707794321458,5.704830251668935,0.32787235949312715,1.6938600265081745,0.8659368526375494,146,95,241,True,True,True
5,2,"C5-006,C5-011",F-GFN-N02-20260916 | VERIFY-F260910-12,book_to_market_lf_div_oper_main_profit_ttm | book_to_market_lf_plus_impact,0.5534398351114147,0.5534398351114147,14.86500227017735,13.629947392103913,14.378231602834479,-0.5099325478239525,3.0489789644121554,1.5165607642781183,16.44574141210904,15.163993681799182,15.940488157422585,5.227311977287339,5.072904397140434,5.166192310145857,0.3112270628678909,1.7544324152155442,0.8810597173133385,146,95,241,True,True,True
5,2,"C5-002,C5-011",OSR3-RET40-BP-VAL2 | VERIFY-F260910-12,reversal_bm_val2 | book_to_market_lf_plus_impact,0.6448566438499181,0.6448566438499181,13.803927061041273,4.066987739862853,9.96567071223248,-1.5710077569600287,-4.931753726232007,-2.89600012632388,18.216013149049278,8.505712693477195,14.388301351209659,14.59023177251324,14.678323259306685,14.62510131936898,0.30154695563173844,1.5234686108003994,0.7966260464173273,146,95,241,True,True,True
5,2,"C5-005,C5-012",HT13-TURN-BIAS-1M-POS | VERIFY-E260910-04,turn_signal | book_to_market_lf_minus_size,0.08089431535091109,0.08089431535091109,13.591296599811475,9.946853705724607,12.154340588980597,-3.965491788768418,-1.4121257144597443,-2.9595131921167805,17.470847112874996,14.039432442761187,16.118214774033454,12.829201432088361,13.533659844697693,13.10804955374622,0.33487379725260913,1.7844153407680383,0.9076321343930144,146,95,241,True,True,True
5,2,"C5-002,C5-012",OSR3-RET40-BP-VAL2 | VERIFY-E260910-04,reversal_bm_val2 | book_to_market_lf_minus_size,0.6622423554556012,0.6622423554556012,13.25903005767834,4.57666905951429,9.836646505264177,-4.297758330901553,-6.782310360670061,-5.2772072758332005,18.040417967906393,9.282624480214045,14.588175721720612,15.81146795710335,15.562021893848396,15.712728890398264,0.2705386909429072,1.5364643902170416,0.7724867341033197,146,95,241,True,True,True
5,2,"C5-005,C5-014",HT13-TURN-BIAS-1M-POS | paper-derived-composite,turn_signal | paper_composite,0.080050195728542,0.080050195728542,13.131282540610442,5.58492949708331,10.156235645596427,-0.8620937022859518,-0.8868132368797301,0.6119854818751325,17.026424585465683,9.689155912383454,14.134140253752776,12.880760730341406,13.572177299272964,13.15444645554348,0.3348028530951302,1.6823282274791207,0.8722376138898363,146,95,241,True,True,True
5,2,"C5-005,C5-011",HT13-TURN-BIAS-1M-POS | VERIFY-F260910-12,turn_signal | book_to_market_lf_plus_impact,0.13853587167208106,0.13853587167208106,13.019659056313825,9.55366726665429,11.65310424058634,-2.3552757616874764,0.5549258005594311,-1.2085665979700213,16.70791841273863,13.420008069819527,15.411854169679232,12.196624855902124,12.785518528985573,12.429728601497656,0.3305450269080055,1.8052170033026471,0.9241348298759124,146,95,241,True,True,True
5,2,"C5-002,C5-006",OSR3-RET40-BP-VAL2 | F-GFN-N02-20260916,reversal_bm_val2 | book_to_market_lf_div_oper_main_profit_ttm,0.2001863967675153,0.2001863967675153,12.435741130946365,7.182305192303009,10.364973979831966,4.210108738444617,-3.3986632353887494,1.2108736155393682,16.94153688963091,11.633707470864705,14.849238985967883,14.900118249618199,14.720245630164344,14.828918671084383,0.24008342034170962,1.5532642345982253,0.7681942661550004,146,95,241,True,True,True
5,2,"C5-005,C5-006",HT13-TURN-BIAS-1M-POS | F-GFN-N02-20260916,turn_signal | book_to_market_lf_div_oper_main_profit_ttm,0.04815737689829466,0.04815737689829466,11.828456149734667,12.355992166821942,12.03615908732335,3.602823757232919,1.7750237391301837,2.8820587230307524,15.531377694511693,16.20926402170983,15.79859429651926,12.245110928495466,12.742301107433502,12.441915374325104,0.2550991482992496,1.7656089345282888,0.8554871491604205,146,95,241,True,True,True
5,2,"C5-003,C5-011",OSR3-RET40-BP-MA63 | VERIFY-F260910-12,reversal_bm_ma63 | book_to_market_lf_plus_impact,0.5363746064755177,0.5363746064755177,11.784271529946208,5.056002922000326,9.132075104809662,-3.5906632880550937,-3.9427385440945333,-3.7295957337466987,17.75125212434411,11.00737266094249,15.092876402256334,19.732078685178248,19.680455485919854,19.711644502138466,0.22018090887534975,1.5550582620991247,0.7530152462501309,146,95,241,True,True,True
5,2,"C5-004,C5-011",OSR3-RET40-BP-EQ | VERIFY-F260910-12,reversal_bm_eq | book_to_market_lf_plus_impact,0.5076303269693935,0.5076303269693935,11.598001698991514,4.526656967415913,8.81061981526748,-3.7769331190097883,-4.472084498678947,-4.051051023288881,17.853163303235036,10.734537252442909,15.047065897321128,20.68505821509102,20.528704646253292,20.623168260759417,0.2113805406725238,1.537169025518717,0.7372308707877814,146,95,241,True,True,True
5,2,"C5-003,C5-012",OSR3-RET40-BP-MA63 | VERIFY-E260910-04,reversal_bm_ma63 | book_to_market_lf_minus_size,0.5630906573307303,0.5630906573307303,11.590231231067168,5.51943329346665,9.197173606656975,-5.9665571575127245,-5.839546126717701,-5.916680174440403,17.8212297927348,11.753168892962803,15.429255579131732,20.605153973768633,20.614205024788866,20.608736681464144,0.20552855236035542,1.5472668402540768,0.7345099734615091,146,95,241,True,True,True
5,2,"C5-004,C5-012",OSR3-RET40-BP-EQ | VERIFY-E260910-04,reversal_bm_eq | book_to_market_lf_minus_size,0.5379633416446498,0.5379633416446498,11.419325725600187,5.621744957852931,9.133983717384602,-6.137462662979706,-5.73723446233142,-5.9798700637127755,17.901224765783475,12.09669926700551,15.6131338015349,21.434851323357435,21.41188594296488,21.42576086028538,0.1980594919340421,1.547281147603088,0.7274355812298033,146,95,241,True,True,True
5,2,"C5-007,C5-012",OSR2-DD120 | VERIFY-E260910-04,drawdown120 | book_to_market_lf_minus_size,0.013590277227576152,0.013590277227576152,11.408935549063512,6.3764361628851685,9.423825562688863,-6.14785283951638,-4.982543257299183,-5.690028218408514,16.415407215920734,12.201598430202068,14.754362258894707,16.555792549131024,19.26310273583631,17.627436164701866,0.18936393098230683,1.450153121026111,0.6869115332942805,146,95,241,True,True,True
5,2,"C5-002,C5-014",OSR3-RET40-BP-VAL2 | paper-derived-composite,reversal_bm_val2 | paper_composite,0.5831497612724252,0.5831497612724252,10.990492167204668,-0.1490697196307754,6.599290276085173,-3.0028840756917266,-2.855205934786872,-2.944959887636121,15.64469569214558,4.558884989558167,11.274770311457596,15.390884672423647,15.56863329758248,15.461243503215682,0.20404393492765271,1.4326959137160085,0.6993678630081341,146,95,241,True,True,True
5,2,"C5-003,C5-006",OSR3-RET40-BP-MA63 | F-GFN-N02-20260916,reversal_bm_ma63 | book_to_market_lf_div_oper_main_profit_ttm,0.17143468561524894,0.17143468561524894,10.867645842762023,8.446102782241576,9.913121137076358,2.6420134502602757,-2.1348656454501818,0.7590207727837601,17.124011354400523,14.686965104331598,16.163349969518585,20.68903939033895,20.637772229133663,20.668746139028524,0.18012478421013123,1.579454212283992,0.7370496710393362,146,95,241,True,True,True
5,2,"C5-004,C5-006",OSR3-RET40-BP-EQ | F-GFN-N02-20260916,reversal_bm_eq | book_to_market_lf_div_oper_main_profit_ttm,0.16362094365795937,0.16362094365795937,10.614029546489027,7.929060236307634,9.555554826305276,2.3883971539872793,-2.6519081913841243,0.4014544620126781,17.0660842901805,14.432457540970747,16.027932667048024,21.336159866704605,21.5059434678013,21.40336587547205,0.1705552648745414,1.5507121541252566,0.7187612422150981,146,95,241,True,True,True
5,2,"C5-007,C5-014",OSR2-DD120 | paper-derived-composite,drawdown120 | paper_composite,0.056951782217131756,0.056951782217131756,10.36799029536871,1.934293227341094,7.042269066410641,-3.6253859475276844,-0.7718429878150028,-2.5019810973106535,15.420535892167903,7.738657054719244,12.39240937948067,16.70815342856876,19.194324825985948,17.692262940046398,0.16164296892200136,1.346248682948588,0.6302295807395858,146,95,241,True,True,True
5,2,"C5-007,C5-011",OSR2-DD120 | VERIFY-F260910-12,drawdown120 | book_to_market_lf_plus_impact,0.08432372605202362,0.08432372605202362,10.158874279292457,4.18269754648653,7.8017413475498065,-5.216060538708845,-4.81604391960833,-5.059929491006554,15.06710766778521,9.930291608874581,13.042221669459447,16.230930517502486,19.00659412165361,17.32963069414564,0.15224233557955713,1.4056726620441753,0.6477033301160591,146,95,241,True,True,True
5,2,"C5-003,C5-014",OSR3-RET40-BP-MA63 | paper-derived-composite,reversal_bm_ma63 | paper_composite,0.49235257688039163,0.49235257688039163,9.936903498663197,0.310539105545108,6.14238253838963,-4.056472744233197,-2.3955971096109887,-3.401867625331664,16.18630185581097,6.496613032489414,12.36671497524853,20.665999858292906,20.456593673757624,20.58310991024769,0.15801317331460818,1.4387770255913164,0.6667796452706328,146,95,241,True,True,True
5,2,"C5-004,C5-014",OSR3-RET40-BP-EQ | paper-derived-composite,reversal_bm_eq | paper_composite,0.4685379304775262,0.4685379304775262,9.757052541511928,0.26316717727909583,6.014715161225988,-4.236323701384466,-2.442969037877001,-3.5295350024953063,16.215634953819208,6.681831392010309,12.457496620326076,21.357746072444712,21.225741450830732,21.305494243055847,0.15100950191903392,1.4287824618182572,0.6586808395976453,146,95,241,True,True,True
5,2,"C5-013,C5-014",paper-derived-asset-growth | paper-derived-composite,asset_growth | paper_composite,0.4774985988073121,0.4774985988073121,9.746436554426648,2.25495748360186,6.793499932202102,-4.246939688469746,-0.7375222698902046,-2.7507502315191923,11.652123706900444,4.077817421997811,8.66640131243675,6.301875504212287,6.027975986759098,6.193456945220399,0.13935180245278025,1.4990040128816584,0.6756877036314733,146,95,241,True,True,True
5,2,"C5-012,C5-013",VERIFY-E260910-04 | paper-derived-asset-growth,book_to_market_lf_minus_size | asset_growth,0.19884821398491148,0.19884821398491148,9.449298409466655,6.180826352937248,8.160894882979147,-8.107489979113238,-5.178153067247103,-6.952958898118231,11.250954005051678,7.983503876595946,9.96295499176,5.957855805506025,5.961235197284056,5.959193481418161,0.12044910556305125,1.5367339405733047,0.6804217264872509,146,95,241,True,True,True
5,2,"C5-001,C5-012",OSR3-RET40-BP-REV2 | VERIFY-E260910-04,reversal_bm_rev2 | book_to_market_lf_minus_size,0.35813058152648686,0.35813058152648686,8.800946920833725,5.898083119380007,7.656429404586426,-8.755841467746167,-5.460896300804344,-7.457424376510952,16.76564246445308,14.005920416675705,15.677785225702664,26.338278914085162,26.811631274125986,26.525647556601317,0.10506631692574514,1.5227333229230675,0.661085576217506,146,95,241,True,True,True
5,2,"C5-010,C5-012",OSR3-RET40-BP-INTERACT | VERIFY-E260910-04,reversal_bm_interact | book_to_market_lf_minus_size,0.290326294305791,0.290326294305791,8.600378363415958,6.178270070475654,7.645369830989229,-8.956410025163935,-5.180709349708697,-7.468483950108149,16.783510626046695,14.504817454400259,15.885270579132124,27.060622561609588,27.534878915094595,27.248349034864074,0.09792478242559785,1.5262332623052137,0.6581113896070547,146,95,241,True,True,True
5,2,"C5-001,C5-011",OSR3-RET40-BP-REV2 | VERIFY-F260910-12,reversal_bm_rev2 | book_to_market_lf_plus_impact,0.3172683590629513,0.3172683590629513,8.5740084085188,4.401328322210693,6.928963119643406,-6.800926409482502,-4.597413143884166,-5.932707718912955,16.36656183367778,12.323497965559067,14.772822964502353,25.769025876848474,26.19765093699859,25.938689963157895,0.09926086687161081,1.5021893502702575,0.650694106495637,146,95,241,True,True,True
5,2,"C5-010,C5-011",OSR3-RET40-BP-INTERACT | VERIFY-F260910-12,reversal_bm_interact | book_to_market_lf_plus_impact,0.24580913880429767,0.24580913880429767,8.208680309333202,4.821481800582883,6.873176020684886,-7.1662545086681,-4.1772596655119765,-5.988494817871475,16.212363383190382,13.008765462979996,14.94953432750579,26.467205932067394,27.074350735440188,26.707534083402457,0.08599231261241883,1.5070242293941478,0.6442921336168104,146,95,241,True,True,True
5,2,"C5-009,C5-012",OSR2-RET40 | VERIFY-E260910-04,reversal40 | book_to_market_lf_minus_size,0.08777608807506505,0.08777608807506505,8.061357645488897,6.991001349626709,7.638826727924003,-9.495430743090996,-4.367978070557642,-7.475027053173375,17.135951404468138,16.4346974906638,16.859523513134477,30.008577245301716,31.229153905545935,30.491722173315054,0.07714854556650083,1.516522305932944,0.6380304071148182,146,95,241,True,True,True
5,2,"C5-006,C5-007",F-GFN-N02-20260916 | OSR2-DD120,book_to_market_lf_div_oper_main_profit_ttm | drawdown120,0.051585964463673147,0.051585964463673147,7.971811845592944,4.99516787681403,6.797342001457718,-0.25382054690880373,-5.585800550877728,-2.3567583628348796,12.608215819191193,10.303711814855031,11.69980137764789,15.332023722216432,17.55470878981813,16.211836561475437,0.07628986546380935,1.339110443627421,0.5780046649082148,146,95,241,True,True,True
5,2,"C5-001,C5-014",OSR3-RET40-BP-REV2 | paper-derived-composite,reversal_bm_rev2 | paper_composite,0.30751961773100894,0.30751961773100894,7.703465841223663,0.05636209742234943,4.688955010475338,-6.289910401672731,-2.6497741177337475,-4.855295153245956,15.690638252602106,8.09975652788726,12.69838197107551,26.412607180484276,26.598526555770206,26.486200266534958,0.07212810994499863,1.396885410279656,0.591569969194116,146,95,241,True,True,True
5,2,"C5-010,C5-014",OSR3-RET40-BP-INTERACT | paper-derived-composite,reversal_bm_interact | paper_composite,0.24702180380318278,0.24702180380318278,7.698162062713462,0.8498660521774102,4.99855031066772,-6.295214180182932,-1.8562701629786866,-4.545699853053574,15.879924465678542,9.07788843518128,13.198623955731486,27.056092602397747,27.20906872686465,27.1166456516659,0.0714784835634315,1.419837824015769,0.5990795199910612,146,95,241,True,True,True
5,2,"C5-011,C5-013",VERIFY-F260910-12 | paper-derived-asset-growth,book_to_market_lf_plus_impact | asset_growth,0.13650507738933956,0.13650507738933956,7.549761014752576,5.204584387679935,6.625384453606004,-7.825173803248726,-3.7941570784149246,-6.236286384950357,9.105306370174969,6.717110790064999,8.163901473451121,5.143999191211616,5.001740748627858,5.087688557688879,0.0637773670363265,1.5617574522490913,0.6541726630618622,146,95,241,True,True,True
5,2,"C5-009,C5-011",OSR2-RET40 | VERIFY-F260910-12,reversal40 | book_to_market_lf_plus_impact,0.038506977250885706,0.038506977250885706,7.279876595480965,5.443189230035681,6.5551644483426585,-8.095058222520336,-3.555552236059179,-6.306506390213702,16.074049703160377,14.667664004316183,15.519665299051669,29.08126027671763,30.504215523414363,29.644513395201756,0.05233792690055828,1.4922490043941852,0.6149667425692348,146,95,241,True,True,True
