index,depth,sequence,path,parent_index,scale,label
0,0,,ROOT,,1.0,market
1,1,LME,L,0.0,0.7071067811865476,LME [L]
2,1,LME,H,0.0,0.7071067811865476,LME [H]
3,1,OP,L,0.0,0.7071067811865476,OP [L]
4,1,OP,H,0.0,0.7071067811865476,OP [H]
5,1,Investment,L,0.0,0.7071067811865476,Investment [L]
6,1,Investment,H,0.0,0.7071067811865476,Investment [H]
7,2,LME>LME,L>L,1.0,0.5,LME>LME [L>L]
8,2,LME>LME,L>H,1.0,0.5,LME>LME [L>H]
9,2,LME>LME,H>L,2.0,0.5,LME>LME [H>L]
10,2,LME>LME,H>H,2.0,0.5,LME>LME [H>H]
11,2,LME>OP,L>L,1.0,0.5,LME>OP [L>L]
12,2,LME>OP,L>H,1.0,0.5,LME>OP [L>H]
13,2,LME>OP,H>L,2.0,0.5,LME>OP [H>L]
14,2,LME>OP,H>H,2.0,0.5,LME>OP [H>H]
15,2,LME>Investment,L>L,1.0,0.5,LME>Investment [L>L]
16,2,LME>Investment,L>H,1.0,0.5,LME>Investment [L>H]
17,2,LME>Investment,H>L,2.0,0.5,LME>Investment [H>L]
18,2,LME>Investment,H>H,2.0,0.5,LME>Investment [H>H]
19,2,OP>LME,L>L,3.0,0.5,OP>LME [L>L]
20,2,OP>LME,L>H,3.0,0.5,OP>LME [L>H]
21,2,OP>LME,H>L,4.0,0.5,OP>LME [H>L]
22,2,OP>LME,H>H,4.0,0.5,OP>LME [H>H]
23,2,OP>OP,L>L,3.0,0.5,OP>OP [L>L]
24,2,OP>OP,L>H,3.0,0.5,OP>OP [L>H]
25,2,OP>OP,H>L,4.0,0.5,OP>OP [H>L]
26,2,OP>OP,H>H,4.0,0.5,OP>OP [H>H]
27,2,OP>Investment,L>L,3.0,0.5,OP>Investment [L>L]
28,2,OP>Investment,L>H,3.0,0.5,OP>Investment [L>H]
29,2,OP>Investment,H>L,4.0,0.5,OP>Investment [H>L]
30,2,OP>Investment,H>H,4.0,0.5,OP>Investment [H>H]
31,2,Investment>LME,L>L,5.0,0.5,Investment>LME [L>L]
32,2,Investment>LME,L>H,5.0,0.5,Investment>LME [L>H]
33,2,Investment>LME,H>L,6.0,0.5,Investment>LME [H>L]
34,2,Investment>LME,H>H,6.0,0.5,Investment>LME [H>H]
35,2,Investment>OP,L>L,5.0,0.5,Investment>OP [L>L]
36,2,Investment>OP,L>H,5.0,0.5,Investment>OP [L>H]
37,2,Investment>OP,H>L,6.0,0.5,Investment>OP [H>L]
38,2,Investment>OP,H>H,6.0,0.5,Investment>OP [H>H]
39,2,Investment>Investment,L>L,5.0,0.5,Investment>Investment [L>L]
40,2,Investment>Investment,L>H,5.0,0.5,Investment>Investment [L>H]
41,2,Investment>Investment,H>L,6.0,0.5,Investment>Investment [H>L]
42,2,Investment>Investment,H>H,6.0,0.5,Investment>Investment [H>H]
43,3,LME>LME>LME,L>L>L,7.0,0.3535533905932738,LME>LME>LME [L>L>L]
44,3,LME>LME>LME,L>L>H,7.0,0.3535533905932738,LME>LME>LME [L>L>H]
45,3,LME>LME>LME,L>H>L,8.0,0.3535533905932738,LME>LME>LME [L>H>L]
46,3,LME>LME>LME,L>H>H,8.0,0.3535533905932738,LME>LME>LME [L>H>H]
47,3,LME>LME>LME,H>L>L,9.0,0.3535533905932738,LME>LME>LME [H>L>L]
48,3,LME>LME>LME,H>L>H,9.0,0.3535533905932738,LME>LME>LME [H>L>H]
49,3,LME>LME>LME,H>H>L,10.0,0.3535533905932738,LME>LME>LME [H>H>L]
50,3,LME>LME>LME,H>H>H,10.0,0.3535533905932738,LME>LME>LME [H>H>H]
51,3,LME>LME>OP,L>L>L,7.0,0.3535533905932738,LME>LME>OP [L>L>L]
52,3,LME>LME>OP,L>L>H,7.0,0.3535533905932738,LME>LME>OP [L>L>H]
53,3,LME>LME>OP,L>H>L,8.0,0.3535533905932738,LME>LME>OP [L>H>L]
54,3,LME>LME>OP,L>H>H,8.0,0.3535533905932738,LME>LME>OP [L>H>H]
55,3,LME>LME>OP,H>L>L,9.0,0.3535533905932738,LME>LME>OP [H>L>L]
56,3,LME>LME>OP,H>L>H,9.0,0.3535533905932738,LME>LME>OP [H>L>H]
57,3,LME>LME>OP,H>H>L,10.0,0.3535533905932738,LME>LME>OP [H>H>L]
