signal_month,sdf_k10,sample_k10,sdf_k40,sample_k40
2015-03,0.20128809454061855,train,0.3613257903224809,train
2015-04,2.0465689861042438,train,1.6222898234477812,train
2015-05,1.424930513522891,train,1.1598252798605637,train
2015-06,1.440638013880309,train,1.0788336356926895,train
2015-07,1.3764545502455363,train,1.1184787992496117,train
2015-08,1.1074987039158808,train,0.796818740452294,train
2015-09,-0.049036925311131754,train,0.002637011910249634,train
2015-10,-0.5767566838308176,train,-0.2190218102783345,train
2015-11,0.8354023787375982,train,0.5219115128560516,train
2015-12,0.7419044735422698,train,0.8567604574801415,train
2016-01,0.2744232591572258,train,0.3514480698698253,train
2016-02,0.42914993438227483,train,0.3592548711475667,train
2016-03,1.3083046844418051,train,0.9548914385313371,train
2016-04,0.771588425688281,train,0.5764859629570536,train
2016-05,0.10132785585803987,train,0.14708951203509624,train
2016-06,0.5499601940597988,train,0.5004105904505902,train
2016-07,0.4552408640958996,train,0.4361637688170596,train
2016-08,1.0383929214060863,train,0.8796675385845472,train
2016-09,0.28313372123649977,train,0.24028656761585976,train
2016-10,0.6006121288064092,train,0.5517201865174999,train
2016-11,0.7914737470472425,train,0.6661071105938438,train
2016-12,0.22497157328035736,train,0.1626794088925685,train
2017-01,0.27701228635902486,train,0.21828208127035037,train
2017-02,0.2085398960391502,train,0.17359912498914404,train
2017-03,0.7200530042553134,train,0.500448408144708,train
2017-04,-0.020628557664664048,train,0.016457911263221173,train
2017-05,0.5229805113576013,train,0.36927923886583774,train
2017-06,-0.0002093792623575131,train,0.04546014804945528,train
2017-07,0.5077170357419875,train,0.4189061596307727,train
2017-08,0.007993155532197038,train,0.02289517134854932,train
2017-09,-0.04861278387239895,train,-0.05649002846623211,train
2017-10,0.34131692041986245,train,0.1924728267607459,train
2017-11,0.21745827156590947,train,0.20041157247321464,train
2017-12,0.16498414428876573,train,0.12344825053533953,train
2018-01,0.19854339354155978,train,0.09805224777436064,train
2018-02,0.11366478463962222,train,0.1305257232803961,train
2018-03,0.46550419030155865,train,0.3567154363884212,train
2018-04,0.5269319331633087,train,0.42423879543005816,train
2018-05,0.22918102375824406,train,0.14024072285177583,train
2018-06,0.719756053732463,train,0.596637924129438,train
2018-07,0.34944532656444033,train,0.2697627883014278,train
2018-08,-0.08869633351604292,train,-0.0787697409618133,train
2018-09,0.6917034093559743,train,0.5195721049226041,train
2018-10,0.6062339362950382,train,0.46796686908691526,train
2018-11,0.5118851582365918,train,0.33510259217049354,train
2018-12,-0.00041174556464035903,train,-0.0020631285969113164,train
2019-01,-0.24845699680214856,train,-0.14263033194840546,train
2019-02,0.22563593694497153,train,0.19097412741793668,train
2019-03,0.8160182221703159,train,0.6222761556316678,train
2019-04,0.4205883797090236,train,0.32936622729731824,train
2019-05,0.7412186409234717,train,0.5698724841036136,train
2019-06,0.7725815362322318,train,0.5353374159760079,train
