name,direction,status,factor_id,run_id,rank_ic,ic_mean,ic_ir,ic_p_value,monotonicity,long_excess_pct,turnover_pct,annual_cost_pct,net_excess_pct,long_sharpe,long_max_drawdown_pct,long_monthly_win_rate_pct,raw_result,error
F-NET01-PLAT-20260916,1,failed,6aa9fe126df2a192a47e8cd1,6aa9fe6b51cdfe29b2e0cc21,,,,,,,,,,,,,,run: 因子分析执行失败（无详细错误信息）
F-NET02-PLAT-20260916,1,failed,6aa9fe1351cdfe29b2e0cc1c,6aa9fe6e8b01f62dc5147113,,,,,,,,,,,,,,run: 因子分析执行失败（无详细错误信息）
F-NET03-PLAT-20260916,1,completed,6aa9fe1351cdfe29b2e0cc1d,6aa9fe713e7967143f8fb8ea,0.0305,0.0271,0.2449,0.0002,0.93,16.0,43.67,13.205808000000001,2.794191999999999,0.8177,45.56,63.33,pandaai-orthogonal-net-20260916-candidates.results/6aa9fe713e7967143f8fb8ea.json,
