name,direction,status,factor_id,run_id,rank_ic,ic_mean,ic_ir,ic_p_value,monotonicity,long_excess_pct,turnover_pct,annual_cost_pct,net_excess_pct,long_sharpe,long_max_drawdown_pct,long_monthly_win_rate_pct,raw_result,error
T10-ADD-G13-20260911,1,completed,6aa3c613ecb163ea7228d06e,6aa3c61451cdfe29b2e0bcdd,0.1043,0.0690,0.4295,0.0000,1.00,23.64,26.57,4.017384,19.622616,1.0722,30.32,61.67,t10-additions-20260911-candidates.results/6aa3c61451cdfe29b2e0bcdd.json,
T10-ADD-DD120-20260911,1,completed,6aa3c66cecb163ea7228d075,6aa3c66d6df2a192a47e7d28,0.1052,0.0687,0.4312,0.0000,0.99,21.7,32.18,4.865616,16.834384,0.9897,30.19,61.67,t10-additions-20260911-candidates.results/6aa3c66d6df2a192a47e7d28.json,
T10-ADD-BM-20260911,1,completed,6aa3c6d1a7f535324660ba70,6aa3c6d25d52c44d2f55c45b,0.1192,0.0739,0.4465,0.0000,1.00,22.53,29.35,4.43772,18.092280000000002,1.0813,27.72,63.33,t10-additions-20260911-candidates.results/6aa3c6d25d52c44d2f55c45b.json,
