date,stock_count,pearson,spearman
2021-09-07,3624,0.5343633795344853,0.5260888105647126
2021-09-08,3625,0.5311573236593987,0.5218510448315035
2021-09-09,3626,0.5164114708185107,0.5060749806581684
2021-09-10,3626,0.5282959847714965,0.5189231419582604
2021-09-13,3628,0.5120787307680397,0.5016381220944518
2021-09-14,3629,0.515387260646442,0.505346252893592
2021-09-15,3628,0.5031897078327194,0.49236027284085
2021-09-16,3626,0.4824911387303189,0.4716272599863892
2021-09-17,3627,0.4823736675421662,0.4723554347117113
2021-09-22,3622,0.47373733845422683,0.4635377750610757
2021-09-23,3623,0.48551450401121515,0.4747376925217674
2021-09-24,3622,0.49083562428568045,0.48117196113120253
2021-09-27,3620,0.5008305103921997,0.49481734521033033
2021-09-28,3622,0.49157544343197546,0.4857896021800626
2021-09-29,3624,0.48271873732242615,0.4773300140175456
2021-09-30,3624,0.4819917212771948,0.47565842067222075
2021-10-08,3628,0.4560422528804456,0.449927027901069
2021-10-11,3629,0.457060591172805,0.4511520586630043
2021-10-12,3633,0.43740531705587926,0.43151558828010644
2021-10-13,3633,0.4556489593973267,0.4494164541728421
2021-10-14,3633,0.4561522896891698,0.4500640307368118
2021-10-15,3633,0.4684918440531727,0.46339947125520564
2021-10-18,3635,0.4602348800999094,0.45455643253201355
2021-10-19,3636,0.47704261882768323,0.472838184809707
2021-10-20,3635,0.4905362862846853,0.4859713676315325
2021-10-21,3636,0.5009830676461349,0.4968562069725831
2021-10-22,3636,0.5075041477451792,0.5044441467684843
2021-10-25,3633,0.5214021147154733,0.5186516794525666
2021-10-26,3633,0.5325796506940785,0.5304898315454316
2021-10-27,3636,0.5392740904128737,0.5379275145523408
2021-10-28,3640,0.5315109094461236,0.5306585868235469
2021-10-29,3641,0.5351620265941225,0.534620173596965
2021-11-01,3642,0.5523313212907377,0.5520712970850973
2021-11-02,3644,0.5578747450975148,0.5579390575478922
2021-11-03,3643,0.5543317425375046,0.5548961679810118
2021-11-04,3644,0.5527320726505355,0.5529484697663419
2021-11-05,3644,0.5445387356836774,0.5438359664281648
2021-11-08,3645,0.5377829949947336,0.5377566298022595
