name,direction,status,factor_id,run_id,rank_ic,ic_mean,ic_ir,ic_p_value,monotonicity,long_excess_pct,turnover_pct,annual_cost_pct,net_excess_pct,long_sharpe,long_max_drawdown_pct,long_monthly_win_rate_pct,raw_result,error
F-C260921-01,1,completed,6ab0ddac5d52c44d2f55d387,6ab0ddad5d52c44d2f55d388,0.0900,0.0529,0.3709,0.0001,0.99,16.6,35.85,5.42052,11.179480000000002,0.8575,26.01,55.0,cluster-blends-20260921-candidates.results/6ab0ddad5d52c44d2f55d388.json,
F-C260921-02,1,completed,6ab0ddfca7f535324660d4db,6ab0ddfd8b01f62dc5147b3a,0.0815,0.0496,0.3398,0.0003,0.99,15.73,34.81,5.263272000000001,10.466728,0.8039,27.62,55.0,cluster-blends-20260921-candidates.results/6ab0ddfd8b01f62dc5147b3a.json,
F-C260921-03,1,completed,6ab0de466df2a192a47e9697,6ab0de475d52c44d2f55d38b,0.0726,0.0459,0.3353,0.0004,0.99,14.02,35.58,5.379696,8.640304,0.7535,27.62,55.0,cluster-blends-20260921-candidates.results/6ab0de475d52c44d2f55d38b.json,
