name,direction,status,factor_id,run_id,rank_ic,ic_mean,ic_ir,ic_p_value,monotonicity,long_excess_pct,turnover_pct,annual_cost_pct,net_excess_pct,long_sharpe,long_max_drawdown_pct,long_monthly_win_rate_pct,raw_result,error
OSR2-RET40,1,completed,6a9fcd2d6df2a192a47e765b,6a9fcd2e6df2a192a47e765c,0.0908,0.0512,0.3602,0.0001,0.91,13.35,55.02,8.319024,5.030975999999999,0.738,30.05,60.0,positive-cycle10-candidates.results/6a9fcd2e6df2a192a47e765c.json,
OSR2-DD120,1,completed,6a9fcd73ecb163ea7228cbed,6a9fcd73ecb163ea7228cbee,0.0405,0.0285,0.2085,0.0241,0.90,8.69,29.39,4.4437679999999995,4.246232,0.5506,28.55,55.0,positive-cycle10-candidates.results/6a9fcd73ecb163ea7228cbee.json,
HT13-TURN-BIAS-1M,0,completed,6a9fcdb251cdfe29b2e0b56b,6a9fcdb23e7967143f8faaee,-0.0737,-0.0442,-0.3612,0.0019,0.86,9.04,26.97,4.077864,4.962135999999999,0.9491,22.94,58.97,positive-cycle10-candidates.results/6a9fcdb23e7967143f8faaee.json,
