name,direction,status,factor_id,run_id,rank_ic,ic_mean,ic_ir,ic_p_value,monotonicity,long_excess_pct,turnover_pct,annual_cost_pct,net_excess_pct,long_sharpe,long_max_drawdown_pct,long_monthly_win_rate_pct,raw_result,error
WASHOUT-RECOVERY-10D,1,failed,6aa0d1186df2a192a47e77fe,,,,,,,,,,,,,,,run: 因子分析执行失败（无详细错误信息）
DISTRIBUTION-RISK-10D,0,completed,6aa0d12ba7f535324660b4a2,6aa0d12b6df2a192a47e7801,-0.0375,-0.0229,-0.2708,0.0036,0.85,6.03,78.01,11.795112,-5.765111999999999,0.55,28.78,53.33,market-behavior-washout-distribution-cycle10-candidates.results/6aa0d12b6df2a192a47e7801.json,
INTRADAY-ABSORPTION-10D,1,failed,6aa0d18a5d52c44d2f55c0db,,,,,,,,,,,,,,,run: 因子分析执行失败（无详细错误信息）
