name,direction,status,factor_id,run_id,rank_ic,ic_mean,ic_ir,ic_p_value,monotonicity,long_excess_pct,turnover_pct,annual_cost_pct,net_excess_pct,long_sharpe,long_max_drawdown_pct,long_monthly_win_rate_pct,raw_result,error
F-3M-C08,1,completed,6ab3b1386df2a192a47e9b73,6ab3b1395d52c44d2f55d5ab,0.1733,0.1388,0.5793,0.2151,0.99,45.76,11.09,1.676808,44.083192,1.2631,8.6,66.67,pool-3win-3m-20260923-candidates.results/6ab3b1395d52c44d2f55d5ab.json,
F-3M-C02,1,completed,6ab3b1473e7967143f8fc053,6ab3b14751cdfe29b2e0d907,0.1618,0.1284,0.5669,0.2236,0.99,45.16,8.2,1.2398399999999998,43.920159999999996,1.2688,8.77,66.67,pool-3win-3m-20260923-candidates.results/6ab3b14751cdfe29b2e0d907.json,
F-3M-G03,1,completed,6ab3b1553e7967143f8fc054,6ab3b1563e7967143f8fc055,0.1607,0.1325,0.5637,0.2258,0.99,50.06,13.22,1.998864,48.061136000000005,1.2232,10.48,66.67,pool-3win-3m-20260923-candidates.results/6ab3b1563e7967143f8fc055.json,
