date,close
2020-01-02,6205.3545
2020-01-03,6171.3807
2020-01-06,6221.1639
2020-01-07,6162.0405
2020-01-08,6005.8131
2020-01-09,6193.3709
2020-01-10,6446.6582
2020-01-13,6817.8489
2020-01-14,6746.0717
2020-01-15,6986.7871
2020-01-16,6999.6352
2020-01-17,7007.2459
2020-01-20,7425.34
2020-01-21,7423.3879
2020-01-22,7841.5006
2020-01-23,7688.8296
2020-02-03,6920.0014
2020-02-04,7365.7646
2020-02-05,7361.8106
2020-02-06,7544.4013
2020-02-07,7828.5899
2020-02-10,7617.4652
2020-02-11,7698.8552
2020-02-12,7937.4522
2020-02-13,8153.1604
2020-02-14,8184.7117
2020-02-17,8395.1778
2020-02-18,8783.2885
2020-02-19,8920.8708
2020-02-20,9289.5458
2020-02-21,9505.5131
2020-02-24,10042.2271
2020-02-25,10378.4167
2020-02-26,9460.0387
2020-02-27,9051.5656
2020-02-28,8530.7854
2020-03-02,8575.5224
2020-03-03,8624.3953
2020-03-04,8287.3606
2020-03-05,8369.8426
2020-03-06,8254.8278
2020-03-09,7546.371
2020-03-10,8112.235
2020-03-11,7767.1473
2020-03-12,7803.3259
2020-03-13,8034.0836
2020-03-16,7526.5879
2020-03-17,7687.7331
2020-03-18,7581.0016
2020-03-19,7840.9185
2020-03-20,7737.7741
2020-03-23,7130.7191
2020-03-24,7136.9051
2020-03-25,7283.1065
2020-03-26,7044.9268
2020-03-27,6950.6067
2020-03-30,6771.3948
2020-03-31,6697.8805
2020-04-01,6794.3324
2020-04-02,7312.7044
2020-04-03,7224.9904
2020-04-07,7409.8887
2020-04-08,7451.2105
2020-04-09,7342.3029
2020-04-10,6981.3261
2020-04-13,6752.3872
2020-04-14,7022.6519
2020-04-15,7105.8276
2020-04-16,7201.7631
2020-04-17,7388.3126
2020-04-20,7431.3808
2020-04-21,7237.0115
2020-04-22,7286.8559
2020-04-23,7134.4377
2020-04-24,6968.5088
2020-04-27,6907.5708
2020-04-28,7203.015
2020-04-29,7125.2155
2020-04-30,7656.9389
2020-05-06,8125.9625
2020-05-07,8071.5675
2020-05-08,8110.0135
2020-05-11,8068.2265
2020-05-12,8197.2967
2020-05-13,8227.3533
2020-05-14,8205.1375
2020-05-15,8526.2489
2020-05-18,8147.2546
2020-05-19,8578.9775
2020-05-20,8414.7037
2020-05-21,8109.7977
2020-05-22,7922.9932
2020-05-25,7790.461
2020-05-26,8000.3374
2020-05-27,7774.1307
2020-05-28,7722.7024
2020-05-29,7693.8683
2020-06-01,8105.425
2020-06-02,8161.6813
2020-06-03,8177.2405
2020-06-04,8112.6096
2020-06-05,8282.4452
2020-06-08,8170.16
2020-06-09,8265.2575
2020-06-10,8199.206
