date,stock_count,benchmark_return,selected_return,selected_excess,turnover,universe_source
2020-01-02,3667,0.0194316888053663,0.02070862802541846,0.0012769392200521583,,full_a_factor_valid
2020-01-09,3667,-0.00201259895355601,0.008980798808037418,0.01099339776159343,0.26430517711171664,full_a_factor_valid
2020-01-16,3667,-0.11973226367040893,-0.11367543550796984,0.00605682816243909,0.17711171662125336,full_a_factor_valid
2020-01-23,3687,0.07674545526112624,0.09870529459884111,0.02195983933771488,0.29268292682926833,full_a_factor_valid
2020-02-07,3700,0.03661052806809567,0.049379386541129375,0.012768858473033703,0.4486486486486486,full_a_factor_valid
2020-02-14,3706,0.0540658084072191,0.06817588728952109,0.014110078882301993,0.19407008086253374,full_a_factor_valid
2020-02-21,3714,-0.027785612703907548,-0.07033597256068828,-0.04255035985678074,0.14784946236559138,full_a_factor_valid
2020-02-28,3718,0.006942523384646966,-0.03731246765117759,-0.04425499103582456,0.16935483870967738,full_a_factor_valid
2020-03-06,3720,-0.05563429430652768,-0.0703965714363396,-0.014762277129811915,0.23118279569892475,full_a_factor_valid
2020-03-13,3722,-0.034972460309361346,-0.05240703652147811,-0.017434576212116762,0.29222520107238603,full_a_factor_valid
2020-03-20,3729,0.007577636476598827,0.013666865265415842,0.0060892287888170155,0.4182305630026809,full_a_factor_valid
2020-03-27,3736,0.04171030611908092,0.035514685179331464,-0.006195620939749458,0.29144385026737973,full_a_factor_valid
2020-04-03,3741,-0.0005977510339452549,-0.0021356192737948506,-0.0015378682398495957,0.2426666666666667,full_a_factor_valid
2020-04-13,3739,0.004287528409302377,-0.001161201037720544,-0.0054487294470229215,0.21657754010695185,full_a_factor_valid
2020-04-20,3745,-0.038931674472394255,-0.02893120704193466,0.010000467430459594,0.28800000000000003,full_a_factor_valid
2020-04-27,3750,0.04547805998113861,0.03524771186717382,-0.01023034811396479,0.2613333333333333,full_a_factor_valid
2020-05-07,3749,-0.0015506878866103219,-0.007724654892631754,-0.006173967006021432,0.3973333333333333,full_a_factor_valid
2020-05-14,3761,-0.0263820004695908,-0.02759867206808598,-0.0012166715984951795,0.38196286472148544,full_a_factor_valid
2020-05-21,3763,0.02252100074166456,0.030142362305892928,0.007621361564228369,0.24668435013262602,full_a_factor_valid
2020-05-28,3761,0.03887538702912242,0.04797129817067185,0.00909591114154943,0.21485411140583555,full_a_factor_valid
2020-06-04,3762,-0.002185569065771581,0.0037684491013952512,0.005954018167166833,0.2970822281167109,full_a_factor_valid
2020-06-11,3766,0.023170290552600233,0.032303399657677014,0.009133109105076781,0.3925729442970822,full_a_factor_valid
2020-06-18,3775,0.008287500755651874,0.03707739557312402,0.028789894817472145,0.2566137566137566,full_a_factor_valid
2020-06-29,3775,0.08215162854935594,0.052191884705622235,-0.029959743843733705,0.22486772486772488,full_a_factor_valid
2020-07-06,3779,0.06952367138816835,0.07169874591043018,0.00217507452226183,0.20370370370370372,full_a_factor_valid
2020-07-13,3782,-0.030756914728742295,-0.03200818943884812,-0.0012512747101058215,0.22427440633245388,full_a_factor_valid
2020-07-20,3787,-0.027039556683324355,-0.024511430228084587,0.002528126455239768,0.2216358839050132,full_a_factor_valid
2020-07-27,3795,0.06165683260736283,0.06617052477521392,0.004513692167851087,0.2894736842105263,full_a_factor_valid
2020-08-03,3802,-0.013389563659216355,-0.022134270906797274,-0.008744707247580918,0.22047244094488194,full_a_factor_valid
2020-08-10,3807,0.03464286312759966,0.02400619110488875,-0.010636672022710913,0.26771653543307083,full_a_factor_valid
2020-08-17,3812,-0.012639165207457781,-0.020127184386083647,-0.007488019178625866,0.3691099476439791,full_a_factor_valid
2020-08-24,3814,0.009028455147259437,0.021793718297147026,0.012765263149887589,0.2801047120418848,full_a_factor_valid
2020-08-31,3821,0.0009527642435953481,-0.03140329685633036,-0.032356061099925705,0.2898172323759791,full_a_factor_valid
2020-09-07,3823,-0.032905757917020266,-0.02653800571917266,0.006367752197847607,0.216710182767624,full_a_factor_valid
2020-09-14,3823,-0.007456227195399312,-0.009314526834466893,-0.0018582996390675809,0.33159268929503916,full_a_factor_valid
2020-09-21,3838,-0.03155662958579629,-0.034028609963862526,-0.0024719803780662367,0.29947916666666663,full_a_factor_valid
2020-09-28,3843,0.05458235544437522,0.0590746396495184,0.004492284205143179,0.425974025974026,full_a_factor_valid
2020-10-13,3862,-0.012894699175263242,-0.0210078120394755,-0.008113112864212258,0.24547803617571062,full_a_factor_valid
2020-10-20,3872,-0.012199076260273093,-0.021304838737199242,-0.00910576247692615,0.26546391752577314,full_a_factor_valid
2020-10-27,3885,-0.010129190137263397,-0.01297508229796172,-0.0028458921606983236,0.32390745501285345,full_a_factor_valid
2020-11-03,3894,0.00776398131879452,0.01920589738878427,0.011441916069989752,0.3153846153846154,full_a_factor_valid
2020-11-10,3910,0.008842030245514311,0.013731432004685991,0.00488940175917168,0.25831202046035806,full_a_factor_valid
2020-11-17,3924,-0.0005958907422203861,0.00419995630324992,0.004795847045470306,0.3435114503816794,full_a_factor_valid
2020-11-24,3947,0.007811918076287007,0.013945366842520152,0.006133448766233144,0.2860759493670886,full_a_factor_valid
2020-12-01,3958,-0.024359560344365493,-0.01895596631893289,0.005403594025432602,0.3005050505050505,full_a_factor_valid
2020-12-08,3965,-0.022560845149323057,-0.01942837989122431,0.003132465258098748,0.2896725440806045,full_a_factor_valid
2020-12-15,3977,-0.00044410570414650307,0.0029700925989659286,0.0034141983031124317,0.2587939698492462,full_a_factor_valid
2020-12-22,3993,-0.018198363031850913,-0.019502883611413682,-0.0013045205795627693,0.17500000000000004,full_a_factor_valid
2020-12-29,4015,-0.010006622837658838,-0.01220603199228299,-0.0021994091546241514,0.2587064676616916,full_a_factor_valid
2021-01-06,4020,-0.025484233929027544,-0.020657234604299902,0.0048269993247276426,0.3383084577114428,full_a_factor_valid
2021-01-13,4029,0.04321653197930492,0.06835552231933394,0.02513899034002902,0.2456575682382134,full_a_factor_valid
