bitmask,components,factor_count,full_period_label,full_periods,full_first_signal_date,full_last_signal_date,full_mean_stock_count,full_rank_ic,full_ic_mean,full_gross_excess_pct,full_turnover_pct,full_annual_cost_pct,full_net_excess_pct,full_sharpe_after_cost,full_max_drawdown_pct,full_monthly_win_rate_pct,train_period_label,train_periods,train_first_signal_date,train_last_signal_date,train_mean_stock_count,train_rank_ic,train_ic_mean,train_gross_excess_pct,train_turnover_pct,train_annual_cost_pct,train_net_excess_pct,train_sharpe_after_cost,train_max_drawdown_pct,train_monthly_win_rate_pct,test_period_label,test_periods,test_first_signal_date,test_last_signal_date,test_mean_stock_count,test_rank_ic,test_ic_mean,test_gross_excess_pct,test_turnover_pct,test_annual_cost_pct,test_net_excess_pct,test_sharpe_after_cost,test_max_drawdown_pct,test_monthly_win_rate_pct,recent_period_label,recent_periods,recent_first_signal_date,recent_last_signal_date,recent_mean_stock_count,recent_rank_ic,recent_ic_mean,recent_gross_excess_pct,recent_turnover_pct,recent_annual_cost_pct,recent_net_excess_pct,recent_sharpe_after_cost,recent_max_drawdown_pct,recent_monthly_win_rate_pct,platform_A_raw_mean,A_newcomer_no_decay_proxy,full_min_member_addition_pp,full_vs_best_single_pp,train_min_member_addition_pp,train_vs_best_single_pp,test_min_member_addition_pp,test_vs_best_single_pp,recent_min_member_addition_pp,recent_vs_best_single_pp,contains_new_proxy,same_B01_pair
595,SIZE+H03+CHIP250+ASSET_GROWTH+C03,5,full,120,2021-09-07,2026-08-10,4283.175,,,24.38426641454845,24.234805250241884,3.6643025538365728,20.719963860711875,0.9815369066563271,28.649057247156186,76.66666666666667,train,73,2021-09-07,2024-08-28,3985.945205479452,,,22.541367434227045,23.55778867622791,3.56193764784566,18.979429786381385,0.515792629583104,28.649057247156186,86.11111111111111,test,47,2024-09-11,2026-08-10,4744.829787234043,,,27.215811153063353,25.27193702319946,3.8211168779077576,23.394694275155594,1.7298780772484355,20.031660814968955,62.5,recent,15,2026-01-09,2026-08-10,4822.8,,,9.170603999713379,22.777486623262327,3.443955977437264,5.726648022276114,-0.10539890664641267,20.031660814968923,62.5,0.0101342066028,0.126677582535,-1.3648137917002572,-1.054546902415769,-0.3934882734634684,-0.9075417743445939,-5.468931676371689,-1.3665755997998765,-4.65251778403398,-9.288340993117407,True,True
211,SIZE+H03+CHIP250+ASSET_GROWTH+C01,5,full,120,2021-09-07,2026-08-10,4283.175,,,24.439817949391806,23.34561721918444,3.5298573235406874,20.90996062585112,0.9918327905137077,28.282583601440248,73.33333333333333,train,73,2021-09-07,2024-08-28,3985.945205479452,,,22.302045818843975,23.000850423826762,3.4777285840826058,18.824317234761367,0.5137861297309289,28.282583601440248,86.11111111111111,test,47,2024-09-11,2026-08-10,4744.829787234043,,,27.934613566685094,23.873770607817484,3.6097141159020034,24.324899450783093,1.75480721874086,20.002906130575116,54.166666666666664,recent,15,2026-01-09,2026-08-10,4822.8,,,9.246227179041211,21.495211765486236,3.250076018941519,5.996151160099692,-0.10203131990198852,20.002906130575127,50.0,0.011289876528,0.1411234566,-2.0405540854450557,-0.8645501372765239,-0.8400747972225773,-1.062654325964612,-4.733147253526411,-0.43637042417237737,-4.011152349967783,-9.018837855293828,True,True
339,SIZE+H03+CHIP250+ASSET_GROWTH+C02,5,full,120,2021-09-07,2026-08-10,4283.175,,,24.05211954078139,23.623818541036073,3.5719213634046545,20.48019817737674,0.9749798602341178,28.439777699944457,76.66666666666667,train,73,2021-09-07,2024-08-28,3985.945205479452,,,22.095725735287363,22.985756908436166,3.475446444555548,18.620279290731816,0.5058763904142591,28.439777699944457,86.11111111111111,test,47,2024-09-11,2026-08-10,4744.829787234043,,,27.156944617973842,24.601274659061463,3.7197127284500935,23.43723188952375,1.7258432004684388,20.724237694812498,62.5,recent,15,2026-01-09,2026-08-10,4822.8,,,7.13002202033225,21.938353009444633,3.317078975028029,3.8129430453042206,-0.1835620089448068,20.72423769481252,50.0,0.010495907988,0.13119884985,-1.6045794750353934,-1.2943125857509052,-0.7526387691130374,-1.266692269994163,-4.543645876464669,-1.324037985431719,-6.394011818003881,-11.202045970089301,True,True
87,SIZE+H03+RET40+CHIP250+ASSET_GROWTH,5,full,120,2021-09-07,2026-08-10,4283.175,,,26.262372036740867,29.847758862316624,4.512981139982274,21.74939089675859,1.0050181954111645,29.10017514979608,76.66666666666667,train,73,2021-09-07,2024-08-28,3985.945205479452,,,22.967181771035904,29.28519986029887,4.427922218877189,18.539259552158715,0.5011360781369584,29.10017514979608,86.11111111111111,test,47,2024-09-11,2026-08-10,4744.829787234043,,,32.30351593306311,30.70955137604596,4.64328416805815,27.660231765004962,1.8255583997506062,20.21724556414911,62.5,recent,15,2026-01-09,2026-08-10,4822.8,,,12.481915879599825,28.58975142467231,4.322770415410453,8.159145464189372,-0.009177028431301224,20.217245564149124,50.0,0.0110431109624,0.13803888703,-0.33538675565354126,-0.025119866369053057,-0.8336585076861383,-1.3477120085672638,-1.6571892345463617,2.898961890049492,-4.680503039329258,-6.855843551204149,False,True
91,SIZE+H03+DD120+CHIP250+ASSET_GROWTH,5,full,120,2021-09-07,2026-08-10,4283.175,,,23.601816109099993,23.89421868236997,3.61280586477434,19.98901024432565,0.9553116687696056,28.463560806662656,71.66666666666667,train,73,2021-09-07,2024-08-28,3985.945205479452,,,21.490710550055947,22.62296189230494,3.4205918381165072,18.07011871193944,0.48857062942108154,28.463560806662656,83.33333333333334,test,47,2024-09-11,2026-08-10,4744.829787234043,,,27.081069018758754,25.841675892682346,3.9072613949735713,23.17380762378518,1.7041757706252643,20.714085391249547,54.166666666666664,recent,15,2026-01-09,2026-08-10,4822.8,,,7.144426786029811,22.95766174505864,3.4711984558528663,3.6732283301769453,-0.1850964260420297,20.714085391249537,50.0,0.007946663943,0.09933329928750001,-2.0957674080864805,-1.7855005188019923,-1.3027993479054132,-1.8168528487865387,-3.750946579660507,-1.5874622511702903,-5.948051335934558,-11.341760685216576,False,True
115,SIZE+H03+CHIP250+DD60+ASSET_GROWTH,5,full,120,2021-09-07,2026-08-10,4283.175,,,25.19855128738735,28.869878156288664,4.365125577230846,20.833425710156504,0.973195013732347,29.215020495718846,73.33333333333333,train,73,2021-09-07,2024-08-28,3985.945205479452,,,22.227496904992805,27.803219231669324,4.203846747828402,18.023650157164404,0.48580092761731913,29.215020495718846,83.33333333333334,test,47,2024-09-11,2026-08-10,4744.829787234043,,,30.554675665461172,30.50390884932255,4.61219101801757,25.942484647443603,1.7542378740004774,20.217669922269277,58.333333333333336,recent,15,2026-01-09,2026-08-10,4822.8,,,10.923338630788226,27.36761426333414,4.137983276616121,6.785355354172104,-0.059231997334758625,20.217669922269287,50.0,0.007657222557600001,0.09571528197000001,-1.2513519422556278,-0.9410850529711396,-1.3492679026804488,-1.8633214035615744,-2.6492073039979793,1.1812147724881328,-4.4208566453535685,-8.229633661221417,False,True
451,SIZE+H03+ASSET_GROWTH+C01+C02,5,full,120,2021-09-07,2026-08-10,4283.175,,,23.979706428625104,26.06951156626559,3.9417101488193573,20.037996279805746,0.9677562961532783,29.24094103231737,78.33333333333333,train,73,2021-09-07,2024-08-28,3985.945205479452,,,21.76034417878544,25.590336078612825,3.8692588150862592,17.89108536369918,0.486310302627193,29.24094103231737,86.11111111111111,test,47,2024-09-11,2026-08-10,4744.829787234043,,,27.684477892942216,26.803567632457064,4.052699426027508,23.631778466914707,1.7384934695545688,19.121715588490762,66.66666666666666,recent,15,2026-01-09,2026-08-10,4822.8,,,10.774116890964013,23.964666244999602,3.6234575362439396,7.150659354720074,-0.04885572162976075,19.12171558849075,62.5,0.0127590068172,0.159487585215,-1.926194079369136,-1.7365144833218977,-1.3453691120303581,-1.995886197026799,-5.749740501312083,-1.1294914080407636,-3.056295508588028,-7.864329660673447,True,True
203,SIZE+H03+DD120+ASSET_GROWTH+C01,5,full,120,2021-09-07,2026-08-10,4283.175,,,23.389308186700752,25.14939952450978,3.8025892081058785,19.586718978594874,0.9487370155012477,29.0542485203921,76.66666666666667,train,73,2021-09-07,2024-08-28,3985.945205479452,,,21.39054618630477,24.349189684279647,3.6815974802630826,17.70894870604169,0.4789886130433734,29.0542485203921,86.11111111111111,test,47,2024-09-11,2026-08-10,4744.829787234043,,,26.625092804196914,26.375252896777223,3.9879382379927155,22.6371545662042,1.7045869317889983,19.719662725866137,62.5,recent,15,2026-01-09,2026-08-10,4822.8,,,9.140686633849382,24.40461838528165,3.6899782998545856,5.450708333994796,-0.11395946703391512,19.719662725866137,62.5,0.010209762772199999,0.1276220346525,-2.222830491166306,-2.18779178453277,-1.5275057696878491,-2.17802285468429,-4.451246505470053,-2.1241153087512714,-4.556595176072679,-9.564280681398724,True,True
707,SIZE+H03+ASSET_GROWTH+C01+C03,5,full,120,2021-09-07,2026-08-10,4283.175,,,23.67190529012211,26.729989515198454,4.041574414698006,19.6303308754241,0.9576110061982721,29.713247743959016,76.66666666666667,train,73,2021-09-07,2024-08-28,3985.945205479452,,,21.09142818379822,26.282855926406445,3.9739678160726544,17.117460367725567,0.46493564980043933,29.713247743959016,83.33333333333334,test,47,2024-09-11,2026-08-10,4744.829787234043,,,28.218573753128485,27.41496011930535,4.145141970038969,24.073431783089518,1.7407732930378548,18.736910112794646,66.66666666666666,recent,15,2026-01-09,2026-08-10,4822.8,,,11.324334948309843,25.232990310301506,3.815228134917587,7.509106813392258,-0.035560806275207475,18.736910112794614,75.0,0.012397305431999999,0.15496631789999998,-2.1792185943370797,-2.144179887703544,-2.118994108003971,-2.7695111930004117,-3.2811059647411653,-0.6878380918659524,-2.870058992917837,-7.505882202001263,True,True
331,SIZE+H03+DD120+ASSET_GROWTH+C02,5,full,120,2021-09-07,2026-08-10,4283.175,,,22.41260278243864,25.378342157730888,3.8372053342489103,18.57539744818973,0.9228602885143288,29.051379133093526,73.33333333333333,train,73,2021-09-07,2024-08-28,3985.945205479452,,,20.714417570020693,24.312709913748463,3.6760817389587674,17.038335831061925,0.4598731933077345,29.051379133093526,86.11111111111111,test,47,2024-09-11,2026-08-10,4744.829787234043,,,25.0199342209773,27.010800063406105,4.084032969587003,20.9359012513903,1.6687684315980487,20.341017758850487,54.166666666666664,recent,15,2026-01-09,2026-08-10,4822.8,,,7.084594284913104,24.653704029240853,3.727640049221217,3.356954235691887,-0.19794948387928374,20.341017758850498,37.5,0.0094157942322,0.1176974279025,-2.9698126819998123,-3.1991133149379145,-2.1038724861066846,-2.8486357296640534,-4.763047926503678,-3.825368623565172,-6.850000627616215,-11.658034779701634,True,True
