bitmask,components,factor_count,full_period_label,full_periods,full_first_signal_date,full_last_signal_date,full_mean_stock_count,full_rank_ic,full_ic_mean,full_gross_excess_pct,full_turnover_pct,full_annual_cost_pct,full_net_excess_pct,full_sharpe_after_cost,full_max_drawdown_pct,full_monthly_win_rate_pct,train_period_label,train_periods,train_first_signal_date,train_last_signal_date,train_mean_stock_count,train_rank_ic,train_ic_mean,train_gross_excess_pct,train_turnover_pct,train_annual_cost_pct,train_net_excess_pct,train_sharpe_after_cost,train_max_drawdown_pct,train_monthly_win_rate_pct,test_period_label,test_periods,test_first_signal_date,test_last_signal_date,test_mean_stock_count,test_rank_ic,test_ic_mean,test_gross_excess_pct,test_turnover_pct,test_annual_cost_pct,test_net_excess_pct,test_sharpe_after_cost,test_max_drawdown_pct,test_monthly_win_rate_pct,recent_period_label,recent_periods,recent_first_signal_date,recent_last_signal_date,recent_mean_stock_count,recent_rank_ic,recent_ic_mean,recent_gross_excess_pct,recent_turnover_pct,recent_annual_cost_pct,recent_net_excess_pct,recent_sharpe_after_cost,recent_max_drawdown_pct,recent_monthly_win_rate_pct,platform_A_raw_mean,A_newcomer_no_decay_proxy,full_min_member_addition_pp,full_vs_best_single_pp,train_min_member_addition_pp,train_vs_best_single_pp,test_min_member_addition_pp,test_vs_best_single_pp,recent_min_member_addition_pp,recent_vs_best_single_pp
1,SIZE,1,full,120,2021-09-07,2026-08-10,4602.416666666667,,,23.080499960525014,8.637494691781553,1.3059891973973707,21.774510763127644,1.0055295025762443,33.20967731384196,71.66666666666667,train,73,2021-09-07,2024-08-28,4410.86301369863,,,21.189283808311977,8.613176240648134,1.3023122475859978,19.88697156072598,0.5314211610914368,33.20967731384196,80.55555555555556,test,47,2024-09-11,2026-08-10,4899.936170212766,,,26.072891846531967,8.67474848926253,1.3116219715764943,24.76126987495547,1.7794626508538616,23.02326076926705,58.333333333333336,recent,15,2026-01-09,2026-08-10,4913.6,,,11.930579072931346,8.882274396537438,1.342999888756461,10.587579184174887,0.08885841542460765,23.023260769267083,50.0,0.010244872746,0.128060909325,,,,,,,,
2,H03,1,full,120,2021-09-07,2026-08-10,4529.666666666667,,,19.69255454397527,10.539783463410227,1.5936152596676263,18.098939284307644,0.9912540585773629,28.1722983347356,73.33333333333333,train,73,2021-09-07,2024-08-28,4309.315068493151,,,16.316689708344413,10.423066005251405,1.5759675799940125,14.7407221283504,0.39454353402370346,28.1722983347356,75.0,test,47,2024-09-11,2026-08-10,4871.914893617021,,,26.346510956074653,10.718584675908856,1.620650002997419,24.725860953077234,1.9627750795583305,19.89740695475728,70.83333333333334,recent,15,2026-01-09,2026-08-10,4885.133333333333,,,16.691622558103024,11.088846181941173,1.6766335427095054,15.014989015393521,0.24206006656629545,19.89740695475729,75.0,0.015785968169999998,0.19732460212499997,,,,,,,,
3,SIZE+H03,2,full,120,2021-09-07,2026-08-10,4529.666666666667,,,24.81406770355936,8.712669831267519,1.317355678487649,23.496712025071712,1.0764001688165081,31.92889465586415,75.0,train,73,2021-09-07,2024-08-28,4309.315068493151,,,21.48457593473685,8.758528875066116,1.3242895659099967,20.160286368826853,0.5462975795230551,31.92889465586415,83.33333333333334,test,47,2024-09-11,2026-08-10,4871.914893617021,,,31.01792185382022,8.642417679065414,1.3067335530746906,29.711188300745526,1.9548281588208114,21.87453130373789,62.5,recent,15,2026-01-09,2026-08-10,4885.133333333333,,,17.197425048005755,8.430552518256935,1.2746995407604487,15.922725507245305,0.27274710278940995,21.8745313037379,62.5,0.013015420457999999,0.16269275572499997,1.7222012619440683,1.7222012619440683,0.2733148081008743,0.2733148081008743,4.949918425790056,4.949918425790056,0.9077364918517841,0.9077364918517841
4,RET40,1,full,120,2021-09-07,2026-08-10,4554.45,,,12.428185589829678,54.91698877495641,8.30344870277341,4.124736887056267,0.5270617044758943,29.91317258826668,63.33333333333333,train,73,2021-09-07,2024-08-28,4343.506849315068,,,10.755002879150965,53.59343568589,8.10332747570657,2.6516754034443966,-0.008565077248794213,29.91317258826668,66.66666666666666,test,47,2024-09-11,2026-08-10,4882.085106382979,,,15.547528426771006,56.94455946459005,8.610017391046016,6.937511035724992,1.3486245698291262,21.06936940461224,58.333333333333336,recent,15,2026-01-09,2026-08-10,4894.266666666666,,,5.629856044322745,56.07767470999472,8.4789444161512,-2.8490883718284565,-0.5015095831867675,21.069369404612225,50.0,0.019352234872000003,0.24190293590000003,,,,,,,,
5,SIZE+RET40,2,full,120,2021-09-07,2026-08-10,4554.45,,,23.604211306090562,42.92566798537168,6.490360999388198,17.113850306702364,0.8631448433460205,31.23323331391997,78.33333333333333,train,73,2021-09-07,2024-08-28,4343.506849315068,,,19.300822356651317,42.18419937235928,6.378250945100723,12.922571411550592,0.32058459650638216,31.23323331391997,80.55555555555556,test,47,2024-09-11,2026-08-10,4882.085106382979,,,32.19514104742407,44.06153479679492,6.662104061275394,25.533036986148677,1.7693397080875233,21.195947686543615,75.0,recent,15,2026-01-09,2026-08-10,4894.266666666666,,,12.05041679239952,41.89541533897303,6.334586799252722,5.7158299931468,-0.09230993998039799,21.195947686543615,75.0,0.014798553809000001,0.18498192261250002,-4.66066045642528,-4.66066045642528,-6.964400149175386,-6.964400149175386,0.7717671111932063,0.7717671111932063,-4.871749191028087,-4.871749191028087
6,H03+RET40,2,full,120,2021-09-07,2026-08-10,4529.666666666667,,,21.466520913346955,41.230635432706656,6.234072077425247,15.232448835921709,0.841321510100592,28.65952348714077,75.0,train,73,2021-09-07,2024-08-28,4309.315068493151,,,16.653065374259747,40.14595674296122,6.070068659535736,10.58299671472401,0.25119665414469616,28.65952348714077,75.0,test,47,2024-09-11,2026-08-10,4871.914893617021,,,31.45587742973548,42.8922708723167,6.485311355894286,24.970566073841194,1.813651720798348,19.61152154188226,75.0,recent,15,2026-01-09,2026-08-10,4885.133333333333,,,15.666808720910186,41.26676496202759,6.239534862258571,9.427273858651615,0.03801998525139287,19.61152154188226,75.0,0.017569101521,0.2196137690125,-2.8664904483859353,-2.8664904483859353,-4.157725413626391,-4.157725413626391,0.24470512076396034,0.24470512076396034,-5.587715156741906,-5.587715156741906
7,SIZE+H03+RET40,3,full,120,2021-09-07,2026-08-10,4529.666666666667,,,25.998578952130824,33.41097613540937,5.051739591673896,20.946839360456927,0.9761924019097827,31.292817535758978,83.33333333333334,train,73,2021-09-07,2024-08-28,4309.315068493151,,,20.94954610628288,32.63714600091007,4.934736475337603,16.014809630945276,0.4132317775822877,31.292817535758978,86.11111111111111,test,47,2024-09-11,2026-08-10,4871.914893617021,,,36.20712581797933,34.596418043578524,5.230978408189073,30.97614740979026,1.9277663192780201,20.867221114473033,79.16666666666666,recent,15,2026-01-09,2026-08-10,4885.133333333333,,,17.441739670469257,32.93625867635279,4.979962311864542,12.461777358604717,0.15199391306013937,20.867221114473033,75.0,0.015127691929333333,0.18909614911666667,-2.549872664614785,-0.8276714026707168,-4.145476737881577,-3.8721619297807024,1.2649591090447352,6.214877534834791,-3.460948148640588,-2.553211656788804
8,DD120,1,full,120,2021-09-07,2026-08-10,4455.15,,,8.45841964179126,27.36714893078262,4.137912918334332,4.320506723456927,0.5436529039321127,29.322099811517035,58.333333333333336,train,73,2021-09-07,2024-08-28,4208.575342465753,,,9.178371208221868,26.133376471836666,3.9513665225417034,5.227004685680166,0.09524363487131846,29.322099811517035,66.66666666666666,test,47,2024-09-11,2026-08-10,4838.127659574468,,,6.324987607051757,29.257183335976432,4.423686120399636,1.901301486652121,1.2101026498387442,23.232600261880876,45.83333333333333,recent,15,2026-01-09,2026-08-10,4862.133333333333,,,-6.410567309836656,27.65755470770545,4.181822271805064,-10.59238958164172,-0.8244995858343538,22.5442764170227,25.0,0.003869999775,0.048374997187500005,,,,,,,,
9,SIZE+DD120,2,full,120,2021-09-07,2026-08-10,4455.15,,,19.28672754366052,25.112472651503293,3.7970058649072977,15.48972167875322,0.8329676240908136,28.92961610129361,75.0,train,73,2021-09-07,2024-08-28,4208.575342465753,,,18.108753086527997,23.962733392792078,3.623165288990162,14.485587797537832,0.37832066680684107,28.92961610129361,83.33333333333334,test,47,2024-09-11,2026-08-10,4838.127659574468,,,20.869807720883028,26.87377534569919,4.063314832269717,16.80649288861331,1.5762410637684696,21.73878432788522,62.5,recent,15,2026-01-09,2026-08-10,4862.133333333333,,,2.7865236679956773,23.82555195514392,3.602423455617761,-0.8158997876220833,-0.3662729685375567,21.738784327885174,50.0,0.0070574362605,0.08821795325625,-6.284789084374424,-6.284789084374424,-5.4013837631881465,-5.4013837631881465,-7.954776986342161,-7.954776986342161,-11.40347897179697,-11.40347897179697
10,H03+DD120,2,full,120,2021-09-07,2026-08-10,4455.15,,,19.646829838944612,25.535163815727508,3.860916768937999,15.785913070006613,0.8593405429873635,28.098264242469483,75.0,train,73,2021-09-07,2024-08-28,4208.575342465753,,,17.22470720105508,24.00639398337044,3.6297667702856105,13.594940430769467,0.35225549787668803,28.098264242469483,72.22222222222221,test,47,2024-09-11,2026-08-10,4838.127659574468,,,24.061030294025866,27.877109090827705,4.2150188945331495,19.846011399492717,1.692957220661821,20.22030766003241,79.16666666666666,recent,15,2026-01-09,2026-08-10,4862.133333333333,,,5.63762378465098,24.368288317309737,3.684485193577232,1.9531385910737484,-0.2555481846633332,20.220307660032375,50.0,0.0098279839725,0.12284979965624998,-2.313026214301031,-2.313026214301031,-1.145781697580933,-1.145781697580933,-4.879849553584517,-4.879849553584517,-13.061850424319772,-13.061850424319772
11,SIZE+H03+DD120,3,full,120,2021-09-07,2026-08-10,4455.15,,,25.456609905846726,23.932619826034657,3.6186121176964403,21.837997788150286,0.9984823407696559,29.991352943302218,80.0,train,73,2021-09-07,2024-08-28,4208.575342465753,,,22.47310937570215,22.508059752508153,3.4032186345792326,19.069890741122915,0.5057893504249761,29.991352943302218,83.33333333333334,test,47,2024-09-11,2026-08-10,4838.127659574468,,,30.820244041208422,26.114924619522046,3.948576602471734,26.87166743873669,1.8212062066381347,20.12822741289647,75.0,recent,15,2026-01-09,2026-08-10,4862.133333333333,,,12.739709622408258,23.51989560321349,3.5562082152058805,9.183501407202376,0.03791750140223322,20.12822741289646,62.5,0.009966946897,0.1245868362125,-1.6587142369214263,0.06348702502264203,-1.0903956277039377,-0.8170808196030634,-2.839520862008836,2.11039756378122,-6.739224100042929,-5.831487608191145
12,RET40+DD120,2,full,120,2021-09-07,2026-08-10,4455.15,,,12.22378178895498,42.30485691648288,6.396494365772212,5.827287423182767,0.5758185160905892,29.409546085383486,61.66666666666667,train,73,2021-09-07,2024-08-28,4208.575342465753,,,10.15695385908495,40.765901383381944,6.163804289167351,3.9931495699175987,0.054781299545816155,29.409546085383486,63.888888888888886,test,47,2024-09-11,2026-08-10,4838.127659574468,,,16.283997688175678,44.66240581825455,6.752955759720088,9.53104192845559,1.3637566720031638,20.71165945827971,58.333333333333336,recent,15,2026-01-09,2026-08-10,4862.133333333333,,,3.5345088642838474,44.20187125949134,6.683322934435091,-3.148814070151243,-0.4961685979494781,20.71165945827972,50.0,0.011611117323500002,0.14513896654375003,1.50678069972584,1.50678069972584,-1.2338551157625672,-1.2338551157625672,2.5935308927305982,2.5935308927305982,-0.2997256983227863,-0.2997256983227863
13,SIZE+RET40+DD120,3,full,120,2021-09-07,2026-08-10,4455.15,,,20.225554704170623,38.378779067097824,5.802871394945191,14.422683309225432,0.7972563328972001,29.19471811130495,71.66666666666667,train,73,2021-09-07,2024-08-28,4208.575342465753,,,17.520879345131092,37.36556933895683,5.649674084050272,11.871205261080819,0.2992105671669605,29.19471811130495,75.0,test,47,2024-09-11,2026-08-10,4838.127659574468,,,25.26181136921859,39.93093013999466,6.037556637167192,19.2242547320514,1.6236957821922209,20.87677024680247,66.66666666666666,recent,15,2026-01-09,2026-08-10,4862.133333333333,,,6.95907130794442,37.92823259050684,5.734748767684634,1.2243225402597862,-0.27591656769220646,20.876770246802423,50.0,0.011155702464333334,0.13944628080416668,-2.691166997476932,-7.351827453902212,-2.614382536457013,-8.01576629964516,-6.308782254097277,-5.537015142904071,-4.491507452887014,-9.3632566439151
