formula,gp_neutralised_net,raw_rank_ic,raw_ic_ir,raw_ic_win,raw_turnover,raw_gross,raw_net,raw_net_flipped,raw_gross_flipped,raw_turnover_flipped,raw_best_net,raw_best_dir,neu_rank_ic,neu_ic_ir,neu_ic_win,neu_turnover,neu_gross,neu_net,neu_net_flipped,neu_gross_flipped,neu_turnover_flipped,neu_best_net,neu_best_dir,raw_dir,neu_dir,raw_corr_size,neu_corr_size,raw_corr_neu
"TsMean(TsMean(Less(oper_du_roe_lyr,TsMaxDiff(Ref(Less(oper_du_roe_lyr,",0.1322347044467926,0.003742005121868125,0.11545937320135281,0.25,0.26176209081905877,-0.00578106714747606,-0.04535949527931774,-0.014647529946314037,-0.010404447107155157,0.028062717190204235,-0.014647529946314037,0,0.042426240544336406,0.29085592045772224,0.3,0.34140164369550374,0.19837499865085517,0.146755070124095,-0.03773324007326739,-0.02964554892187321,0.0534900208425541,0.146755070124095,1,-1,1,0.1729589942592031,0.514503187386589,0.5116509974415993
"TsMean(TsMean(TsMean(Less(oper_du_roe_lyr,TsMaxDiff(Ref(TsMean(TsMean(",0.13195299839973448,0.0025478754813285823,0.11057238096719932,0.25833333333333336,0.1717988487677379,-0.01529058392536764,-0.04126656985904961,-0.018218612638205033,-0.014196921026823572,0.02659848949326362,-0.018218612638205033,0,0.043118049042293514,0.30603581228075377,0.325,0.33884651403711163,0.1962020696819129,0.1449684767595016,-0.049454393473895894,-0.0415585269857921,0.0522213392070357,0.1449684767595016,1,-1,1,0.1672505951362499,0.529680746570064,0.4642598709759709
"TsMean(TsMean(TsMean(Less(oper_du_roe_lyr,TsMaxDiff(Less(oper_du_roe_l",0.1316398411989212,0.0038139312461177434,0.09895220563703223,0.2833333333333333,0.21927813939370155,-0.012641876185731649,-0.04579673086205933,-0.0181008886257008,-0.01403509301919037,0.02689018258274094,-0.0181008886257008,0,0.043758712630221595,0.305131397376915,0.31666666666666665,0.34027297261299205,0.1980546001969805,0.1466053267378961,-0.04132545989891404,-0.03343983393147032,0.05215361089579183,0.1466053267378961,1,-1,1,0.17999008022710813,0.5147983985481098,0.49704720708418415
"TsMean(TsMean(TsMean(Less(oper_du_roe_lyr,TsMaxDiff(TsMaxDiff(Ref(TsMe",0.1316206882238388,0.0037606358904815483,0.09868115096265251,0.2833333333333333,0.21893892062610004,-0.012534299014228978,-0.0456378638128953,-0.018064406628414145,-0.014009029511856008,0.02682127722591361,-0.018064406628414145,0,0.04375583035971586,0.30501633399227246,0.31666666666666665,0.34014653955954505,0.1976349026517652,0.14620474587036197,-0.041028387911017324,-0.03312357129318122,0.052280533186746726,0.14620474587036197,1,-1,1,0.1815182006688915,0.5138620318468978,0.49754135361054297
"TsMean(TsMean(TsMean(Less(oper_du_roe_lyr,TsMaxDiff(TsMean(Less(oper_d",0.13160159282684328,0.003805763815722371,0.10039060852459841,0.275,0.21397904124106018,-0.014023022439689115,-0.04637665347533741,-0.018282760109341514,-0.014305431315108752,0.02630508461794154,-0.018282760109341514,0,0.04376054059221408,0.31240147334134516,0.325,0.34423000399047277,0.1989678985961718,0.14692032199281232,-0.04368010226162932,-0.03587999436664013,0.05158801517849991,0.14692032199281232,1,-1,1,0.18623260473416786,0.5271105189729567,0.4631843327266845
"TsMean(TsMean(Less(oper_du_roe_lyr,TsMean(Less(oper_du_roe_lyr,TsMaxDi",0.13144398407936098,0.003952910474246709,0.1009449190383542,0.26666666666666666,0.2104342452968959,-0.005895568921886696,-0.03771322681077736,-0.012756457265610317,-0.008454550737985178,0.02845176274884351,-0.012756457265610317,0,0.04291005093354282,0.29793505872576737,0.325,0.33736658984567197,0.19740564474935396,0.14639581636468835,-0.04101705756316233,-0.032821084105457254,0.05420617366207062,0.14639581636468835,1,-1,1,0.18227595485104467,0.5066314500451554,0.514851379652183
