formula,variant,rank_ic,turnover,gross,net,best_dir,corr_size,corr_size_within_bucket
"TsMean(TsMean(Less(oper_du_roe_lyr,TsMaxDiff(Ref",V0 none,0.003742005121868125,0.028062717190204235,-0.010404447107155157,-0.014647529946314037,0,0.17296737274761032,-0.09877410792807048
"TsMean(TsMean(Less(oper_du_roe_lyr,TsMaxDiff(Ref",V1 b20,0.04242625554308558,0.34140164369550374,0.19837499865085517,0.146755070124095,1,0.5144963241605469,0.24540901732098822
"TsMean(TsMean(Less(oper_du_roe_lyr,TsMaxDiff(Ref",V2 b40,0.04026431987283256,0.4789564805900533,0.16628218640589054,0.09386396654067448,1,0.47619273110177934,0.21599601870022847
"TsMean(TsMean(Less(oper_du_roe_lyr,TsMaxDiff(Ref",V3 b100,0.035610302901691544,0.6297554136995328,0.12699191145590683,0.031772892904537456,1,0.40122506778514155,0.16098689340741199
"TsMean(TsMean(Less(oper_du_roe_lyr,TsMaxDiff(Ref",V4 b20 + daily OLS on size,0.04239099291349356,0.34098272947911995,0.19979529857930678,0.14823870988206383,1,0.5156987036498547,0.2465945110367584
"TsMean(TsMean(Less(oper_du_roe_lyr,TsMaxDiff(Ref",V5 b20 + within-bucket OLS on size,0.04312546852894761,0.33561568116936996,0.19439250025783283,0.1436474092650241,1,0.5481214905184613,0.28906807230512216
"TsMean(TsMean(TsMean(Less(oper_du_roe_lyr,TsMaxD",V0 none,0.0025478754813285823,0.02659848949326362,-0.014196921026823572,-0.018218612638205033,0,0.16726092246037638,-0.09710443820397123
"TsMean(TsMean(TsMean(Less(oper_du_roe_lyr,TsMaxD",V1 b20,0.04311805080177168,0.33884651403711163,0.1962020696819129,0.1449684767595016,1,0.5296761162991764,0.27866271461587794
"TsMean(TsMean(TsMean(Less(oper_du_roe_lyr,TsMaxD",V2 b40,0.04169162636291111,0.4605802707229895,0.16967243717240832,0.1000327002390923,1,0.4928227842592061,0.24291069770861706
"TsMean(TsMean(TsMean(Less(oper_du_roe_lyr,TsMaxD",V3 b100,0.03774437374174579,0.6128856612842861,0.13803771232273254,0.04536940033654849,1,0.4159210168942151,0.18415650912146977
"TsMean(TsMean(TsMean(Less(oper_du_roe_lyr,TsMaxD",V4 b20 + daily OLS on size,0.04308573564457877,0.3385699298195501,0.1965517780490924,0.14536000466037644,1,0.5308006020307597,0.2801146647117565
"TsMean(TsMean(TsMean(Less(oper_du_roe_lyr,TsMaxD",V5 b20 + within-bucket OLS on size,0.04355531992431739,0.3356369472050926,0.19870281366995646,0.14795450725254647,1,0.5439933177579396,0.29800409516941107
"TsMean(TsMean(TsMean(Less(oper_du_roe_lyr,TsMaxD",V0 none,0.0038139312461177434,0.02689018258274094,-0.01403509301919037,-0.0181008886257008,0,0.1799984372030819,-0.09684195391728413
"TsMean(TsMean(TsMean(Less(oper_du_roe_lyr,TsMaxD",V1 b20,0.043758690409794125,0.34027297261299205,0.1980546001969805,0.1466053267378961,1,0.5147915045361393,0.2518173852734133
"TsMean(TsMean(TsMean(Less(oper_du_roe_lyr,TsMaxD",V2 b40,0.04182716417053202,0.477930461878299,0.1652809344150059,0.09301784857900709,1,0.4773138379476158,0.2216142009106201
"TsMean(TsMean(TsMean(Less(oper_du_roe_lyr,TsMaxD",V3 b100,0.03708541864785604,0.6319476147561908,0.1268581113358873,0.03130763198475127,1,0.40302967403410733,0.16578822561293868
"TsMean(TsMean(TsMean(Less(oper_du_roe_lyr,TsMaxD",V4 b20 + daily OLS on size,0.0437193706546189,0.34022999833799017,0.19776985659748791,0.14632708084878382,1,0.5159585785310029,0.252966331410868
"TsMean(TsMean(TsMean(Less(oper_du_roe_lyr,TsMaxD",V5 b20 + within-bucket OLS on size,0.044452508749505994,0.3338655539584771,0.19117193750469919,0.14069146574617744,1,0.547157296832929,0.29289710531404345
