formula,fitness,net_excess,gross_excess,turnover,annual_cost,absolute_max_drawdown,excess_max_drawdown,risk_adjusted_score,absolute_dd_target_pass,excess_dd_target_pass,rank_ic,ic_mean,ic_ir,ic_win,ic_periods,ic_direction,s_i,efficiency,turnover_cap_pass,net_floor_pass,periods,coverage,run
"Mul(Mul(Add(TsDiv(book_to_market_ratio_lf,20),TsMean(Constant(-10.0),30)),market_cap),market_cap)",0.20506232932806018,0.20506232932806018,0.2184081530570984,0.0882660299539566,0.013345823729038237,0.331356406211853,0.18237096071243286,,,,,,,,,,,,,,120,1.0,net_scale_s305_20260923
"Mul(Add(Mul(Add(TsDiv(book_to_market_ratio_lf,20),Constant(-10.0)),market_cap),TsMean(Constant(-10.0),30)),market_cap)",0.20506232932806018,0.20506232932806018,0.2184081530570984,0.0882660299539566,0.013345823729038237,0.331356406211853,0.18237096071243286,,,,,,,,,,,,,,120,1.0,net_scale_s305_20260923
"Mul(Add(TsDiv(book_to_market_ratio_lf,20),Mul(Add(TsDiv(book_to_market_ratio_lf,20),Constant(-10.0)),market_cap)),market_cap)",0.20506232932806018,0.20506232932806018,0.2184081530570984,0.0882660299539566,0.013345823729038237,0.331356406211853,0.18237096071243286,,,,,,,,,,,,,,120,1.0,net_scale_s305_20260923
"Mul(Mul(Add(TsDiv(book_to_market_ratio_lf,20),Constant(-10.0)),market_cap),market_cap)",0.20506232932806018,0.20506232932806018,0.2184081530570984,0.0882660299539566,0.013345823729038237,0.331356406211853,0.18237096071243286,,,,,,,,,,,,,,120,1.0,net_scale_s305_20260923
"Mul(Add(Mul(Add(TsDiv(book_to_market_ratio_lf,20),TsMean(Constant(-10.0),30)),market_cap),Constant(-10.0)),market_cap)",0.20506232932806018,0.20506232932806018,0.2184081530570984,0.0882660299539566,0.013345823729038237,0.331356406211853,0.18237096071243286,,,,,,,,,,,,,,120,1.0,net_scale_s305_20260923
"Mul(Add(Add(TsDiv(book_to_market_ratio_lf,20),TsMean(Constant(-10.0),30)),TsMean(Constant(-10.0),30)),market_cap)",0.2049479840040207,0.2049479840040207,0.21826390743255616,0.08806827664375305,0.013315923428535463,0.3313747048377991,0.1823708415031433,,,,,,,,,,,,,,120,1.0,net_scale_s305_20260923
"Mul(Add(Add(TsDiv(book_to_market_ratio_lf,20),Constant(-10.0)),TsMean(Constant(-10.0),30)),market_cap)",0.2049479840040207,0.2049479840040207,0.21826390743255616,0.08806827664375305,0.013315923428535463,0.3313747048377991,0.1823708415031433,,,,,,,,,,,,,,120,1.0,net_scale_s305_20260923
"Mul(Add(Add(TsDiv(book_to_market_ratio_lf,20),TsMean(Constant(-10.0),30)),Constant(-10.0)),market_cap)",0.2049479840040207,0.2049479840040207,0.21826390743255616,0.08806827664375305,0.013315923428535463,0.3313747048377991,0.1823708415031433,,,,,,,,,,,,,,120,1.0,net_scale_s305_20260923
"Sub(Add(TsDiv(book_to_market_ratio_lf,20),TsMean(Constant(-10.0),30)),market_cap)",0.20468795147538185,0.20468795147538185,0.21754433155059816,0.08502896875143051,0.012856380075216294,0.331429123878479,0.18243736028671265,,,,,,,,,,,,,,120,1.0,net_scale_s305_20260923
"Mul(Add(TsDiv(book_to_market_ratio_lf,20),Sub(Constant(0.5),Constant(30.0))),market_cap)",0.20450780991911888,0.20450780991911888,0.21766547083854676,0.08702156692743301,0.01315766091942787,0.33127450942993164,0.1822482943534851,,,,,,,,,,,,,,120,1.0,net_scale_s305_20260923
"Mul(Add(TsDiv(book_to_market_ratio_lf,20),Sub(ratio_bm_ttm,market_cap)),market_cap)",0.20419615225195886,0.20419615225195886,0.217163565158844,0.08576331287622452,0.012967412906885146,0.3322042226791382,0.1826687455177307,,,,,,,,,,,,,,120,1.0,net_scale_s305_20260923
"Mul(Add(TsDiv(market_cap,20),TsMean(Constant(-10.0),30)),market_cap)",0.20409830017089842,0.20409830017089842,0.21610139966011047,0.07938557863235474,0.012003099489212035,0.3317117691040039,0.18284469842910767,,,,,,,,,,,,,,120,1.0,net_scale_s305_20260923
"Sub(Log(TsEMA(book_to_market_ratio_lyr,10)),market_cap)",0.2039827241778374,0.2039827241778374,0.2169770622253418,0.0859413892030716,0.012994338047504423,0.331454336643219,0.18256181478500366,,,,,,,,,,,,,,120,1.0,net_scale_s305_20260923
"Mul(Add(TsDiv(Sub(ratio_bm_ttm,market_cap),20),TsMean(Constant(-10.0),30)),market_cap)",0.20386589223146437,0.20386589223146437,0.21586452841758727,0.07935605943202972,0.011998636186122895,0.33157074451446533,0.18263447284698486,,,,,,,,,,,,,,120,1.0,net_scale_s305_20260923
