rank,pool_name,display_name,style_tag,score,na,nb,nc,annual_rex,annual_sr,turn,max_dd,active_factors,pool_age_months
176,\"韭韭为功\",\"超绝韭菜子\",\"综合型\",2233.7459,0.25383,0.00000,0.00000,-0.03021,-1.01040,1.01497,0.03756,10,1
177,\"test\",\"炒股养老婆\",\"动量技术型\",2219.9149,0.14435,0.00000,0.04796,0.09026,0.28472,0.82168,0.06658,6,1
178,\"呜呼啦呼\",\"巴拉拉黑魔仙\",\"精选质量型\",2168.7775,0.23925,0.00411,0.00000,-0.26661,-3.14414,3.89136,0.05067,6,1
179,\"bill\",\"bill\",\"低波动型\",2167.6522,0.24632,0.00000,0.00000,-0.15378,0.18803,1.48972,0.06081,7,0
180,\"量化交易\",\"GuoXIze\",\"Agent均衡\",2167.2098,0.13998,0.00000,0.04724,0.04014,0.74760,0.98616,0.05712,50,0
181,\"十渠\",\"十渠\",\"价值质量型\",2157.1432,0.24513,0.00000,0.00000,-0.17187,0.12947,0.54591,0.06476,5,0
182,\"增强\",\"超骁\",\"综合型\",2151.3979,0.24448,0.00000,0.00000,-0.24213,-0.55113,1.02590,0.03446,6,0
183,\"风云一号\",\"试试水战队\",\"综合型\",2147.2715,0.24401,0.00000,0.00000,-0.13684,1.13066,1.16068,0.04407,6,0
184,\"无助的挖因子的我\",\"无助的我\",\"综合型\",2115.3079,0.24038,0.00000,0.00000,-0.05658,0.76999,1.41018,0.04836,35,0
185,\"传统综合多因子\",\"蛟隆号\",\"综合型\",2075.8677,0.23589,0.00000,0.00000,0.02219,-0.03527,1.04691,0.04716,10,0
186,\"晚安熊大战泡菜鱼\",\"677\",\"稳定\",2033.0361,0.23103,0.00000,0.00000,0.10578,-0.04876,0.96215,0.04648,16,1
187,\"A股动量探索\",\"α探索者\",\"动量技术型\",1900.2351,0.21594,0.00000,0.00000,-0.16371,0.12174,0.99501,0.05003,6,0
188,\"Agamemnon 五维 Alpha\",\"动动熊\",\"Agent均衡\",1884.5282,0.21415,0.00000,0.00000,-0.08198,-1.02294,0.92346,0.02886,5,0
189,\"Alpha因子工坊\",\"全1216\",\"价值质量型\",1870.0398,0.21250,0.00000,0.00000,-0.18725,0.64265,0.59562,0.05864,6,0
190,\"正交稳健 Alpha\",\"zy权\",\"综合型\",1863.2374,0.07295,0.07931,0.00000,-0.17107,0.09838,0.88323,0.03720,6,0
191,\"我用AI上榜单\",\"赚钱养家\",\"综合型\",1849.5703,0.18643,0.01357,0.00000,-0.20266,-0.01752,0.78681,0.06392,5,0
192,\"ying\",\"ying\",\"价值质量型\",1849.5372,0.21017,0.00000,0.00000,-0.01992,1.26286,0.57952,0.06639,6,0
193,\"达尔文因子\",\"进化论\",\"低波动型\",1822.9607,0.20715,0.00000,0.00000,-0.22370,-0.44310,0.94511,0.03314,5,0
194,\"拐点\",\"东方主升\",\"动量技术型\",1809.6955,0.20565,0.00000,0.00000,-0.16937,0.99413,0.91317,0.03489,10,0
195,\"综合型阿尔法\",\"组百搭\",\"价值质量型\",1763.2804,0.20037,0.00000,0.00000,-0.18824,-0.00471,1.18663,0.04659,5,0
196,\"三亿少女的梦\",\"MC\",\"价值质量型\",1735.0383,0.19716,0.00000,0.00000,-0.08770,0.50800,0.53792,0.06087,10,0
197,\"TEST\",\"TEST\",\"动量技术型\",1696.8681,0.05513,0.07868,0.00000,-0.16320,0.11826,1.82799,0.03997,5,0
198,\"baseline\",\"view\",\"Agent均衡\",1688.3976,0.04044,0.08653,0.00000,-0.46824,-2.85730,4.38752,0.04400,30,0
199,\"Meeg's\",\"Meeg\",\"动量技术型\",1684.6682,0.19144,0.00000,0.00000,-0.00792,6.39095,0.70559,0.01367,5,0
200,\"AI因子挖掘池\",\"一只阿猫阿狗而已\",\"综合型\",1668.9224,0.10991,0.00000,0.03544,0.02580,0.93042,1.08084,0.03559,12,0
201,\"价值质量筛选\",\"清风\",\"价值质量型\",1662.2555,0.18889,0.00000,0.00000,-0.01624,4.99041,0.90557,0.02166,8,0
202,\"大力严选\",\"Alpha大力\",\"综合型\",1658.7732,0.13982,0.00000,0.02163,0.06901,0.22021,1.12049,0.03586,8,1
203,\"Pool1\",\"Alex\",\"价值质量型\",1649.1106,0.18740,0.00000,0.00000,-0.22858,4.10126,0.89721,0.01963,9,0
204,\"技术\",\"超级无敌大橙子\",\"Agent均衡\",1631.3498,0.04174,0.08208,0.00000,-0.25105,-1.75475,7.31958,0.05613,43,0
205,\"价值质量精选\",\"0sec\",\"价值质量型\",1614.5433,0.16548,0.00000,0.00799,0.05508,0.13195,1.45306,0.03424,21,0
206,\"初阳\",\"初阳\",\"综合型\",1600.0479,0.18182,0.00000,0.00000,-0.38178,-2.58446,2.20179,0.06433,33,0
207,\"摩璞熔金\",\"摩璞熔金\",\"价值炼金\",1591.3318,0.18083,0.00000,0.00000,-0.23277,-2.36178,0.64770,0.03345,28,0
208,\"量化实证多源Alpha\",\"量化实证\",\"综合型\",1551.9958,0.17636,0.00000,0.00000,-0.23011,-0.20492,0.96614,0.05775,6,0
209,\"价值\",\"不知所云队\",\"价值质量型\",1534.7995,0.17441,0.00000,0.00000,-0.07531,5.93586,0.79940,0.01635,5,0
210,\"价值质量型\",\"qingchen\",\"Agent均衡\",1479.1830,0.16809,0.00000,0.00000,-0.03657,-0.58519,1.20317,0.03212,6,0
211,\"OnlyAlpha·正交诱惑\",\"三条onlyfans\",\"多源低相关\",1470.7976,0.16714,0.00000,0.00000,-0.17550,-1.11942,0.94511,0.05610,5,1
212,\"Alpha翻转\",\"Csrnbk\",\"综合型\",1464.6000,0.16643,0.00000,0.00000,-0.18270,-0.05699,0.91916,0.03134,47,0
213,\"因子1\",\"andymry\",\"动量技术型\",1451.0066,0.16489,0.00000,0.00000,-0.25124,0.32869,1.47643,0.04640,49,0
214,\"玄股\",\"孤舟\",\"综合型\",1444.7236,0.16417,0.00000,0.00000,-0.04757,1.66762,1.58064,0.04330,29,0
215,\"因子111\",\"xiaotangseng~\",\"价值质量型\",1422.2658,0.00350,0.09035,0.00000,-0.77856,-5.20819,11.63725,0.09459,5,0
216,\"调仓周期务必选\",\"唐曦\",\"价值质量型\",1417.8612,0.05380,0.06133,0.00000,-0.01889,-0.89988,0.75712,0.03882,8,1
217,\"竹隐·多源Alpha\",\"Nerya天下第一\",\"综合型\",1412.3721,0.16050,0.00000,0.00000,-0.20628,-0.49146,0.83134,0.04441,5,0
218,\"长期有效因子\",\"alpha001.cloud\",\"综合型\",1407.6571,0.15996,0.00000,0.00000,-0.15585,0.17082,0.56188,0.04423,5,0
219,\"动量因子\",\"西亚斯小牛\",\"Agent均衡\",1393.3484,0.15834,0.00000,0.00000,-0.11648,5.03561,0.98509,0.01770,9,0
220,\"五日多维精选\",\"shawn\",\"综合型\",1361.5784,0.15472,0.00000,0.00000,-0.24425,-1.68435,1.51284,0.05339,5,0
221,\"METAANA\",\"boge\",\"价值质量型\",1358.6483,0.15439,0.00000,0.00000,-0.14490,0.25922,1.05289,0.03763,50,0
222,\"综合\",\"FrankFang\",\"综合型\",1340.2393,0.15230,0.00000,0.00000,-0.29696,-1.00545,0.90837,0.03858,8,0
223,\"小白勇闯因子库\",\"陈死狗\",\"低波动型\",1334.5033,0.15165,0.00000,0.00000,-0.21357,-0.15902,1.22854,0.05553,25,0
224,\"牛来\",\"牛来\",\"综合型\",1294.9149,0.14715,0.00000,0.00000,-0.73819,0.00000,0.50000,0.00504,9,0
225,\"均衡一号\",\"AIpha门外汉\",\"价值质量型\",1243.6186,0.14132,0.00000,0.00000,-0.09854,0.62726,1.08418,0.03869,5,0
226,\"高频\",\"塞弥尔\",\"高频Alpha\",1229.6647,0.13973,0.00000,0.00000,-0.10437,0.48400,1.68962,0.05140,5,0
227,\"最优盈亏比\",\"msod\",\"综合型\",1193.4724,0.13562,0.00000,0.00000,-0.17604,5.67636,0.70319,0.01211,5,0
228,\"jb猛攻大A\",\"Jingbenllq\",\"动量技术型\",1182.7081,0.13440,0.00000,0.00000,-0.01064,1.81347,1.18663,0.03088,11,0
229,\"陈穿多因子\",\"陈穿\",\"综合型\",1182.2273,0.13434,0.00000,0.00000,-0.34173,12.70581,0.50000,0.00025,5,0
230,\"αgo·小市值质量优选\",\"αgo\",\"价值质量型\",1160.3245,0.12337,0.00000,0.00377,0.03263,0.06926,0.91706,0.06846,9,1
231,\"zzxx\",\"zzxxyyds毕设帮手——代码部分\",\"Agent均衡\",1147.9031,0.13044,0.00000,0.00000,-0.15215,0.19365,0.74351,0.04957,5,0
232,\"小市值低波红利\",\"star_coin_prediction\",\"低波动型\",1133.6111,0.12882,0.00000,0.00000,-0.04959,1.01376,1.00898,0.03127,10,0
233,\"First_alpha\",\"BlazingAngel\",\"综合型\",1131.7153,0.12860,0.00000,0.00000,-0.20066,-1.63143,0.85361,0.04250,6,0
234,\"1111\",\"123321\",\"价值质量型\",1125.2090,0.12786,0.00000,0.00000,-0.35065,4.31759,0.73353,0.01094,20,0
235,\"nayuta\",\"algerno\",\"综合型\",1108.0124,0.12591,0.00000,0.00000,-0.00322,5.85890,0.78743,0.01372,6,0
236,\"市场平均收益精选\",\"威震天\",\"综合型\",1072.4123,0.12187,0.00000,0.00000,-0.21362,-1.82023,1.02295,0.04230,11,1
237,\"动量1\",\"小晨\",\"动量技术型\",1063.0924,0.05735,0.00000,0.02820,0.03452,0.70016,1.32236,0.06190,6,0
238,\"zzyy\",\"alpha射手\",\"Agent均衡\",1057.3794,0.12016,0.00000,0.00000,-0.19946,-0.10013,0.69960,0.05358,6,0
239,\"阔落\",\"阔落\",\"Agent均衡\",1033.3047,0.11742,0.00000,0.00000,-0.09870,-0.89919,0.79693,0.04120,6,0
240,\"守正出奇\",\"自行车\",\"Agent均衡\",1030.6875,0.11712,0.00000,0.00000,-0.23234,0.45181,0.71713,0.04946,6,0
241,\"小市值价值的鳄鱼\",\"前辈早晨\",\"小市值价值\",1013.9229,0.11522,0.00000,0.00000,-0.13623,-0.98157,0.54391,0.04552,5,1
242,\"价值质量型\",\"grep\",\"价值质量型\",994.3867,0.11300,0.00000,0.00000,-0.24338,-1.73050,1.17949,0.05208,14,0
243,\"动量技术型\",\"SphericalChicken\",\"Agent均衡\",983.0878,0.11171,0.00000,0.00000,-0.10207,-0.79198,0.85176,0.04528,6,0
244,\"量子均衡精选\",\"CERN\",\"综合型\",965.7850,0.10975,0.00000,0.00000,-0.02703,0.90868,0.80938,0.04722,7,0
245,\"贵金属精选\",\"嚯哈哈也有春天\",\"价值质量型\",944.8528,0.10737,0.00000,0.00000,-0.04949,0.44461,0.92515,0.02999,5,0
246,\"宇麓量化池\",\"宇麓量化\",\"动量技术型\",940.6066,0.10689,0.00000,0.00000,-0.00785,0.97913,0.82136,0.04760,6,0
247,\"尾盘跟踪\",\"新手小奇\",\"综合型\",938.3139,0.02597,0.04609,0.00000,-0.39521,-0.87172,5.00641,0.04207,5,0
248,\"wqimproved\",\"loran\",\"价值质量型\",922.8214,0.10487,0.00000,0.00000,-0.11180,0.08033,1.10679,0.04311,19,0
249,\"多喝热水\",\"多喝热水\",\"综合型\",863.2438,0.09810,0.00000,0.00000,-0.02367,0.87713,1.35429,0.05412,50,0
250,\"15后韭菜炒包菜\",\"雪原上的柯东\",\"低波动型\",861.5534,0.09790,0.00000,0.00000,-0.60785,-4.19913,1.05666,0.04993,6,0
251,\"zmx\",\"zmx-sjtu\",\"Agent均衡\",856.9620,0.09738,0.00000,0.00000,-0.27402,0.15747,0.73928,0.04860,6,0
252,\"aaa\",\"djih\",\"Agent均衡\",856.6521,0.09735,0.00000,0.00000,-0.14548,0.23631,0.75549,0.04904,6,0
253,\"五行量能\",\"郭相山\",\"综合型\",829.8576,0.09430,0.00000,0.00000,-0.33228,-0.66228,1.42334,0.07726,6,0
254,\"新人第一次\",\"我不会啊\",\"动量技术型\",818.6433,0.09303,0.00000,0.00000,-0.18724,-1.21566,1.46699,0.05410,28,0
255,\"day0\",\"小马珍珠\",\"价值质量型\",793.5744,0.09018,0.00000,0.00000,-0.01040,0.83773,0.71825,0.05966,5,0
256,\"缠缠论也\",\"Alpha_Fits_Dragon_SJTU\",\"Agent均衡\",782.0092,0.08886,0.00000,0.00000,-0.17858,0.07509,0.75447,0.05544,5,0
257,\"小智多源Alpha因子池\",\"小智\",\"综合型\",776.6688,0.08826,0.00000,0.00000,-0.04938,0.77099,1.74152,0.04778,7,0
258,\"发呆池\",\"发呆魔王\",\"价值质量型\",750.2669,0.08526,0.00000,0.00000,-0.11096,-1.27534,0.78942,0.03177,5,0
259,\"JH12\",\"gjh\",\"综合型\",715.8925,0.08135,0.00000,0.00000,-0.32479,-0.29230,1.48897,0.04116,13,0
260,\"测试\",\"天命\",\"价值质量型\",665.4989,0.07562,0.00000,0.00000,-0.19474,-1.89080,0.56992,0.03318,5,0
261,\"test\",\"我就不想盈利\",\"价值质量型\",646.2984,0.07344,0.00000,0.00000,-0.28788,0.02356,1.23506,0.03503,6,0
262,\"化粪池\",\"我吐了再吃回去\",\"Agent均衡\",618.7405,0.07031,0.00000,0.00000,-0.15721,-0.70889,1.49008,0.08265,43,0
263,\"浪里个浪\",\"想学知识的小白\",\"动量技术型\",582.1658,0.06616,0.00000,0.00000,-0.38080,-0.66777,0.55389,0.04572,5,0
264,\"PA\",\"忧郁小胖\",\"pa\",575.9537,0.06545,0.00000,0.00000,-0.21466,-0.26782,0.87293,0.03793,24,0
265,\"动量阿尔法\",\"何曼\",\"动量技术型\",552.3681,0.06277,0.00000,0.00000,-0.09224,0.64361,0.84064,0.03860,5,0
266,\"化粪池\",\"不抵灼灼目光\",\"高频Alpha\",542.0276,0.06159,0.00000,0.00000,-0.35355,4.24406,1.02096,0.01073,27,0
267,\"EMA89205\",\"大福\",\"动量技术型\",480.9998,0.05466,0.00000,0.00000,-0.04487,0.85716,1.87352,0.04323,5,0
268,\"小白1\",\"ChenQiLong\",\"价值质量型\",454.5714,0.05166,0.00000,0.00000,-0.26860,8.86841,0.50000,0.00106,5,0
269,\"A股周频多风格_v1\",\"FIFA战队\",\"综合型\",441.6582,0.05019,0.00000,0.00000,-0.39761,-0.95671,0.56387,0.03959,5,0
270,\"junesfactor\",\"junesbigger\",\"综合型\",383.7966,0.04361,0.00000,0.00000,-0.45917,-2.96791,2.08814,0.07625,7,0
271,\"Jimmy价值池\",\"Jimmy\",\"价值质量型\",328.4362,0.03732,0.00000,0.00000,-0.01665,7.55374,0.50000,0.00252,14,0
272,\"激进选股\",\"莱茵算盘\",\"动量技术型\",317.6285,0.03609,0.00000,0.00000,-0.21767,-0.26566,0.62974,0.04532,11,0
273,\"初浅尝试\",\"Neil\",\"综合型\",307.6369,0.03496,0.00000,0.00000,0.20875,0.00000,0.50000,0.00000,22,0
274,\"魔王精选\",\"发狂魔王\",\"价值质量型\",297.6301,0.03382,0.00000,0.00000,-0.10942,-1.34547,0.58184,0.03350,5,0
275,\"价值质量\",\"Thielke\",\"价值质量型\",296.1022,0.03365,0.00000,0.00000,-0.30585,-1.19982,0.54790,0.03787,12,0
276,\"下雨不打伞1\",\"下雨不打伞\",\"价值质量型\",154.8804,0.01760,0.00000,0.00000,-0.35790,-0.56226,0.85329,0.04630,6,0

