rank,pool_name,display_name,style_tag,score,na,nb,nc,annual_rex,annual_sr,turn,max_dd,active_factors,pool_age_months
36,\"低波资金流精选\",\"衍神\",\"低波动型\",21221.0555,0.16148,0.00000,1.00000,0.58968,4.67520,1.02295,0.01816,17,0
37,\"价值回归\",\"蜡笔小新\",\"价值质量型\",21175.1393,0.15627,0.00000,1.00000,1.11878,5.74011,0.91833,0.03046,11,0
38,\"另外，你能来北京吗，我沉默了，她以为我不想\",\"海子\",\"综合型\",21160.0478,0.15455,0.00000,1.00000,0.42340,2.23733,0.92116,0.04274,50,0
39,\"情绪动量\",\"我悟道了\",\"动量技术型\",21107.2294,0.14855,0.00000,1.00000,1.95207,13.76233,0.61377,0.00370,5,0
40,\"价值质量精选\",\"cc\",\"价值质量型\",21103.9021,0.14817,0.00000,1.00000,0.55707,2.90701,0.56175,0.04055,5,0
41,\"风铃草\",\"风铃\",\"价值质量型\",21005.3810,0.13698,0.00000,1.00000,2.81533,12.56647,0.86926,0.00340,21,0
42,\"follow\",\"follow\",\"反转 + 非流动性 + 价值\",20981.8920,0.13431,0.00000,1.00000,1.14234,9.22699,0.75948,0.01596,6,0
43,\"低换手反转\",\"国羽长虹\",\"反转增强\",20981.1121,0.13422,0.00000,1.00000,0.82468,2.79733,1.04291,0.03071,5,0
44,\"综合1\",\"mk13579\",\"综合型\",20969.8486,0.13294,0.00000,1.00000,0.72836,2.74332,0.93751,0.03820,49,0
45,\"加油啊，小老弟\",\"Jane Street\",\"综合型\",20966.3678,0.13254,0.00000,1.00000,1.03567,24.01022,0.50000,0.00000,5,0
46,\"wqskill_finaltest\",\"ladykiller\",\"Agent均衡\",20956.9269,0.13147,0.00000,1.00000,1.71498,15.56897,0.50000,0.00000,7,0
47,\"地板也是板\",\"抄底抄进ICU\",\"综合型\",20947.9434,0.13045,0.00000,1.00000,0.82172,6.80314,0.78287,0.02326,6,0
48,\"价值质量精选\",\"静舟观云\",\"价值质量型\",20906.7598,0.12577,0.00000,1.00000,3.10276,11.47684,0.72754,0.01620,5,0
49,\"王者归来\",\"量化甫子君\",\"价值质量型\",20860.4473,0.12051,0.00000,1.00000,0.93277,6.63957,0.50000,0.02583,6,0
50,\"稳健多因子Alpha\",\"Lavine X\",\"综合型\",20847.0553,0.11898,0.00000,1.00000,6.21916,20.27836,0.50000,0.00000,5,0
51,\"隔夜动量确认因子\",\"云淡风轻\",\"综合型\",20809.0353,0.11466,0.00000,1.00000,2.87716,8.70978,1.16267,0.01590,36,0
52,\"价值改善\",\"发际线和我作队\",\"价值质量型\",20800.6627,0.11371,0.00000,1.00000,0.40109,1.44843,0.78543,0.03138,5,1
53,\"随机漫步者\",\"随机漫步者\",\"综合型\",20707.8327,0.10316,0.00000,1.00000,2.68600,11.58442,0.50000,0.00991,5,0
54,\"11\",\"指数爆炸\",\"价值质量型\",20696.2781,0.10185,0.00000,1.00000,0.20494,13.30273,0.50000,0.00000,10,0
55,\"白菜池\",\"QuantLink\",\"价值质量型\",20687.1997,0.10082,0.00000,1.00000,0.84260,11.33156,1.00898,0.00991,27,0
56,\"火箭\",\"瑞瑞\",\"价值质量型\",20672.3888,0.09914,0.00000,1.00000,2.07613,7.85485,0.89122,0.01309,7,0
57,\"规模价值稳健Alpha\",\"温标林\",\"价值质量型\",20656.4237,0.09732,0.00000,1.00000,1.51422,18.93352,0.50000,0.00000,5,0
58,\"价值型\",\"Kane Chou\",\"价值质量型\",20646.0137,0.09614,0.00000,1.00000,0.17497,14.48426,0.50000,0.00000,5,0
59,\"价值高质量精选1\",\"筱幽梦\",\"价值质量型\",20628.7594,0.09418,0.00000,1.00000,1.41923,12.28079,1.35629,0.00748,24,0
60,\"低波动型\",\"阿里木\",\"低波动型\",20609.3807,0.09198,0.00000,1.00000,0.37145,2.47822,1.19062,0.04258,5,0
61,\"123\",\"歪比巴卜\",\"价值质量型\",20544.6691,0.08462,0.00000,1.00000,1.88854,13.34197,1.04890,0.00810,17,0
62,\"1\",\"南大\",\"精选质量型\",20522.1982,0.08207,0.00000,1.00000,1.51847,5.62717,0.84531,0.03143,50,0
63,\"测试\",\"ljyinvader\",\"动量技术型\",20505.4317,0.08016,0.00000,1.00000,1.37754,3.94128,0.71756,0.03623,7,0
64,\"傅浙凯的因子池\",\"Siuuuuuuuu\",\"Agent均衡\",20487.9989,0.07818,0.00000,1.00000,0.41084,3.47483,0.62974,0.02453,6,0
65,\"Sunny大王\",\"Sunny Yu\",\"综合型\",20465.6809,0.07565,0.00000,1.00000,1.20103,13.30113,0.50000,0.00000,5,0
66,\"趋势滚动回归因子\",\"瑞阳量化\",\"高频Alpha\",20436.3468,0.07231,0.00000,1.00000,0.06528,12.83356,0.50000,0.00000,8,0
67,\"招财猫\",\"招财猫\",\"综合型\",20429.6389,0.21144,0.00000,0.93783,0.29644,2.30959,1.15269,0.04387,5,0
68,\"实践测试\",\"量化实践\",\"高频Alpha\",20385.9430,0.06658,0.00000,1.00000,5.94643,26.94890,0.70916,0.00000,10,0
69,\"价值质量精选\",\"燕雀\",\"价值质量型\",20224.1136,0.04819,0.00000,1.00000,2.40877,17.69279,0.75150,0.00000,45,0
70,\"金猪珠\",\"GGbond\",\"干就完了\",20142.4469,0.03891,0.00000,1.00000,0.27459,3.36144,0.92515,0.03361,49,0
71,\"OX Alpha\",\"Yur0918\",\"价值质量型\",20067.2242,0.03037,0.00000,1.00000,1.61799,17.92512,0.50000,0.00000,8,0
72,\"sakura\",\"sakuraly\",\"综合型\",20036.5757,0.07163,0.00000,0.98011,0.39872,2.86957,1.81673,0.05521,5,0
73,\"小白0\",\"joe\",\"价值质量型\",19916.3598,0.01322,0.00000,1.00000,1.52598,22.95490,0.50000,0.00000,5,0
74,\"价值精选因子\",\"Susie\",\"价值质量型\",19909.1639,0.01240,0.00000,1.00000,0.50964,10.05811,1.43426,0.00939,5,0
75,\"ESG质量共振\",\"sddham\",\"价值质量型\",19863.6728,0.00724,0.00000,1.00000,1.12028,12.75829,0.50000,0.00743,24,0
76,\"QuantStone精选\",\"QuantStone\",\"价值质量型\",19816.6068,0.00189,0.00000,1.00000,0.61070,2.12049,0.82997,0.04700,5,1
77,\"joinlearn.com\",\"dfkai\",\"精选质量型\",19614.5374,0.19650,0.18149,0.76214,0.46832,1.20883,1.14413,0.06318,5,1
78,\"测试池子\",\"SSS\",\"Agent均衡\",18829.3140,0.05520,0.42770,0.59379,0.72509,2.15954,4.17016,0.04265,5,1
79,\"大哥要喝茶\",\"超级超级super\",\"价值质量型\",18255.7296,0.06137,0.45625,0.53987,0.64872,2.27724,4.30938,0.04591,5,0
80,\"自动因子池\",\"Wild Bee Squad\",\"Agent均衡\",18197.2408,0.13941,0.00000,0.85709,0.33847,1.09043,0.66436,0.06192,9,0
81,\"趋势跟踪\",\"Alpha战狼\",\"价值质量型\",17853.7982,0.33993,0.00000,0.75063,0.04193,5.51031,0.50000,0.02113,19,0
82,\"wqfinedimproved\",\"feee1\",\"价值质量型\",17380.9674,0.12433,0.00000,0.82257,0.15646,2.39791,0.73307,0.02971,21,0
83,\"32年坚持波动\",\"留白\",\"综合型\",17179.3250,0.04333,0.00000,0.84839,0.38448,1.32452,0.93313,0.05605,5,0
84,\"希尔夫（Fei.H）\",\"The Alpha (SCAU)\",\"胡飞\",15389.6979,0.32108,0.00000,0.63456,0.25386,2.80468,1.75749,0.05018,24,0
85,\"多因子精选\",\"阿里\",\"综合型\",14540.6384,0.16007,0.80449,0.03752,0.02943,1.67197,2.04167,0.05488,5,0
86,\"大赛冠军\",\"福建医科大学\",\"综合型\",14312.2609,0.16658,0.00000,0.64880,0.29104,1.34184,0.95509,0.03996,11,0
87,\"价值因子质量\",\"小黑盒\",\"价值质量型\",13481.2155,0.10612,0.00000,0.63371,0.29226,2.61518,1.89716,0.04686,49,0
88,\"守拙Alpha\",\"cybergeek\",\"综合型\",13199.1243,0.28962,0.00000,0.53790,0.28341,1.11338,0.91717,0.05159,7,0
89,\"CC策略\",\"了不起de阿斗\",\"动量技术型\",12880.0215,0.70000,0.00000,0.33940,0.12356,1.43546,0.81213,0.05634,7,0
90,\"陈玲玲\",\"陈玲玲\",\"价值质量型\",12363.5466,0.05789,0.38070,0.30259,0.48590,1.83980,4.65571,0.04538,5,0
91,\"价值质量型\",\"白嫖王\",\"价值质量型\",12356.5364,0.12908,0.00000,0.56670,0.16662,1.41877,0.64115,0.06485,5,0
92,\"Titutu\",\"云飞杨\",\"动量技术型\",12190.2873,0.04722,0.76459,0.00000,-0.49167,-3.08276,3.43543,0.05277,10,0
93,\"静水一号\",\"蓝天之上\",\"综合型\",12075.2002,0.41944,0.00000,0.42344,0.23922,1.15751,1.04582,0.03370,5,0
94,\"分时罗盘\",\"MitziTung\",\"综合型\",11771.5566,0.01131,0.75792,0.00000,-0.30505,-2.92618,3.36903,0.04114,20,0
95,\"小海豚\",\"小海豚Buddy\",\"价值质量型\",11580.3308,0.09830,0.00000,0.54118,0.18204,1.86432,0.99900,0.03682,10,0
96,\"金豚网\",\"金豚\",\"精选质量型\",11475.8530,0.15295,0.65778,0.00000,0.10890,-0.05512,0.92515,0.03353,7,1
97,\"综合TOP5\",\"璇天凤舞\",\"综合型\",11445.9236,0.45652,0.00000,0.37518,0.26581,0.70110,0.77745,0.05076,5,1
98,\"JY01\",\"京云\",\"价值质量型\",11087.4716,0.16789,0.00000,0.48535,0.16741,1.11751,0.59325,0.06378,5,0
99,\"我要得第一\",\"我要得第一\",\"价值质量型\",9928.9854,0.15353,0.00000,0.43323,0.13632,1.45544,0.71429,0.05351,5,0
100,\"24\",\"654\",\"价值质量型\",9537.6826,0.05211,0.24903,0.26485,0.31094,2.27592,4.23211,0.04138,5,0
101,\"低频alpha策略\",\"史提分\",\"Agent均衡\",9510.8221,0.16769,0.00000,0.40581,0.22298,0.77948,0.66135,0.06125,5,0
102,\"0805\",\"shimo\",\"价值质量型\",9379.3810,0.18300,0.00000,0.39237,0.13070,1.58921,0.83068,0.04874,13,0
103,\"主力启动战法\",\"退工学量化\",\"价值质量型\",9353.2556,0.06167,0.23611,0.26133,0.07493,1.93874,0.87050,0.05039,6,0
104,\"新手综合因子池\",\"Alpha猎手\",\"综合型\",9084.0053,0.14253,0.47744,0.02410,0.09657,0.36327,2.29840,0.04385,13,1
105,\"空白因子池\",\"空白\",\"综合型\",8794.7889,0.07209,0.00000,0.41214,0.09443,1.67641,0.58964,0.06579,5,0
106,\"低波动红利策略\",\"萌着脸会变强\",\"低波动型\",8570.9141,0.17916,0.00000,0.35325,0.13109,1.61297,0.94711,0.04222,5,0
107,\"里昂\",\"xiaobai\",\"价值质量型\",8248.2658,0.07338,0.49367,0.00000,-0.29841,-1.22958,2.82429,0.03415,5,0
108,\"无处可寻\",\"无处可寻\",\"价值质量型\",8167.1161,0.05142,0.31740,0.14276,0.32459,1.30184,4.66473,0.04536,6,0
109,\"藏锋\",\"藏锋者\",\"综合型\",7977.1652,0.17526,0.00000,0.32499,0.18835,0.62865,0.55788,0.06773,6,0
110,\"24\",\"24\",\"价值质量型\",7921.4003,0.04515,0.22223,0.20716,0.29426,2.17545,4.87814,0.04402,5,0
111,\"特特\",\"345w\",\"价值质量型\",7918.8027,0.04556,0.21430,0.21301,0.30366,2.18490,4.92002,0.04353,5,0
112,\"5日反转因子\",\"Gavin\",\"动量技术型\",7851.3313,0.00793,0.00000,0.39301,0.19385,1.51404,1.17984,0.04340,13,0
113,\"新手第一\",\"陈博杨\",\"价值质量型\",7590.8320,0.21478,0.25240,0.09161,0.20717,0.48906,1.73952,0.04694,11,1
114,\"Gogo101\",\"Gogo\",\"综合型\",6955.5078,0.22409,0.00000,0.25169,0.17025,0.75145,0.79940,0.04701,25,0
115,\"奕星系\",\"弈星\",\"Agent均衡\",6769.9007,0.68973,0.01870,0.02082,0.13964,0.13302,1.40758,0.04442,7,1
116,\"低波动\",\"Alpha\",\"Agent均衡\",6597.6755,0.15630,0.13786,0.15652,0.22739,0.60561,1.39693,0.03944,5,1
117,\"动量趋势\",\"全能老登\",\"动量技术型\",6570.2790,0.17203,0.00000,0.25537,0.22984,0.45364,0.62055,0.07338,6,1
118,\"12的奇思妙想\",\"关注塔菲喵\",\"价值质量型\",6562.8367,0.13245,0.00000,0.27259,0.07948,1.86764,0.84861,0.05419,6,0
119,\"谦益期割\",\"谦益期割\",\"综合型\",6316.1857,0.41136,0.00000,0.13617,0.13996,0.53259,0.85458,0.05273,8,1
120,\"疯猫子实验体\",\"疯猫子\",\"量价相关反转\",6160.0000,0.70000,0.00000,0.00000,-0.09727,0.56020,1.14870,0.04396,9,0
121,\"静雯\",\"静雯\",\"综合型\",6129.8061,0.28372,0.00000,0.18349,0.21830,0.90501,1.70359,0.04224,7,1
122,\"帝豪\",\"Little bird gaga\",\"价值质量型\",6099.5052,0.11194,0.00000,0.25831,0.17983,0.82605,0.90719,0.04460,13,0
123,\"经营现金流增长率\",\"无穷测试\",\"价值质量型\",6011.2092,0.07090,0.00000,0.27209,0.11615,1.46564,0.98104,0.04933,9,0
124,\"Supine-Ultra\",\"陈俞杰\",\"Agent均衡\",5453.4192,0.08693,0.30444,0.00000,-0.38748,-1.77360,3.06750,0.04685,39,0
125,\"大红大紫\",\"Phoebe\",\"动量技术型\",5433.2383,0.19373,0.00000,0.18830,0.22709,1.01771,1.94365,0.04152,8,1
126,\"盖亚的复仇\",\"挖完因子就打瓦_傍上大佬叫mama\",\"Agent均衡\",5397.0433,0.32249,0.00000,0.12925,0.14072,0.56373,0.96707,0.04556,5,1
127,\"AGENT全周期\",\"yang yang\",\"Agent均衡\",5366.5879,0.36933,0.00000,0.10689,0.12852,0.55242,1.05489,0.03920,14,0
128,\"pandaai\",\"dwdk5858\",\"价值质量型\",4743.2791,0.05206,0.26997,0.00645,0.08035,0.26393,5.16278,0.04844,5,0
129,\"量石精选\",\"量石量化\",\"价值质量型\",4712.8014,0.52454,0.00000,0.00489,0.03674,0.05590,0.65170,0.05699,5,1
130,\"逻辑大使alpha\",\"侯帅\",\"Agent均衡\",4691.1266,0.11120,0.05559,0.14427,0.16767,0.64848,1.17567,0.05335,7,1
131,\"略.\",\"Vuslat\",\"综合型\",4572.7423,0.51963,0.00000,0.00000,-0.17849,0.08685,0.85928,0.05921,10,0
132,\"Ctest2223\",\"Ctest\",\"低波动型\",4556.8625,0.04707,0.26900,0.00000,-0.26907,-2.33604,2.54919,0.04112,43,0
133,\"逐枫\",\"日月逐枫\",\"综合型\",4441.0829,0.15171,0.00000,0.15687,0.07301,1.24985,0.90918,0.05181,5,0
