selection,size,members,5y_periods,5y_first_signal_date,5y_last_signal_date,5y_mean_stock_count,5y_rank_ic,5y_ic_mean,5y_gross_excess_pct,5y_turnover_pct,5y_annual_cost_pct,5y_net_excess_pct,5y_sharpe_after_cost,5y_max_drawdown_pct,5y_monthly_win_rate_pct,5y_ic_ir,5y_win,5y_s_i,5y_direction,recent_periods,recent_first_signal_date,recent_last_signal_date,recent_mean_stock_count,recent_rank_ic,recent_ic_mean,recent_gross_excess_pct,recent_turnover_pct,recent_annual_cost_pct,recent_net_excess_pct,recent_sharpe_after_cost,recent_max_drawdown_pct,recent_monthly_win_rate_pct,recent_ic_ir,recent_win,recent_s_i,recent_direction
t10_size_plus_impact_downside+t10_size_plus_impact_bm,2,t10_size_plus_impact_downside|t10_size_plus_impact_bm,120,2021-09-07,2026-08-10,3919.575,0.11773825971727504,0.07500469091908395,25.384669143113147,29.060110171576557,4.393888657942376,20.990780485170774,1.0382363457912696,25.344613493550106,75.0,0.4395118730434554,0.7,0.03622315414005146,1,15,2026-01-09,2026-08-10,4609.8,0.07688808896663892,0.027852734064973884,11.785355730409886,28.21295310015114,4.2657985087428525,7.519557221667034,-0.07418408755703243,20.448580592446607,50.0,0.11357303582957758,0.4666666666666667,0.004075126385435388,1
t10_size_plus_impact_bm+weighted_reversal_lowturn,2,t10_size_plus_impact_bm|weighted_reversal_lowturn,120,2021-09-07,2026-08-10,3919.575,0.1208116520892852,0.07118218012680329,21.043926693111437,41.95345661006284,6.343362639441501,14.700564053669934,0.9007403572291464,24.172409120366755,75.0,0.4640721437259723,0.6916666666666667,0.03877851464073771,1,15,2026-01-09,2026-08-10,4609.8,0.08545047958398991,0.0323173715490556,7.211063882614843,41.102560169003624,6.214707097553348,0.9963567850614946,-0.3677547923603067,20.649002796468196,50.0,0.1337708782289062,0.4666666666666667,0.005334366659548057,1
t10_size_plus_impact_bm+reversal_chip_eq,2,t10_size_plus_impact_bm|reversal_chip_eq,120,2021-09-07,2026-08-10,3919.575,0.11289870150199902,0.06857206885048749,21.279301985680377,39.168835658214235,5.922327951521992,15.356974034158386,0.8662687972165248,25.139528356516294,71.66666666666667,0.40693081524033525,0.6583333333333333,0.03024512408917428,1,15,2026-01-09,2026-08-10,4609.8,0.07315818372691664,0.019916034225323155,12.723098634891638,40.042471077465606,6.0544216269127995,6.668677007978839,-0.11624184307702434,19.31791705849355,62.5,0.07610481570267734,0.4666666666666667,0.0025982553751838127,1
t10_size_plus_impact_bm+chip250,2,t10_size_plus_impact_bm|chip250,120,2021-09-07,2026-08-10,3919.575,0.10598797507098995,0.06456445216873605,20.23659831613425,29.30114837215759,4.430333633870228,15.806264682264018,0.8912928411127498,24.35126119252655,70.0,0.38151998225947703,0.65,0.02628374473972129,1,15,2026-01-09,2026-08-10,4609.8,0.059105556477633554,0.008785252375689749,7.482714927579337,29.322774749510756,4.433603542126026,3.049111385453311,-0.2812272535907701,20.914910644098107,50.0,0.0332695266811903,0.4666666666666667,0.0009176598145116406,1
t10_size_plus_impact_bm+rsi14,2,t10_size_plus_impact_bm|rsi14,120,2021-09-07,2026-08-10,3919.575,0.10857638206726891,0.06399185603391608,18.051357876510043,56.5984790149856,8.557690027065822,9.49366784944422,0.7174516350841682,26.750389594873567,73.33333333333333,0.4060398818155071,0.6333333333333333,0.027921349516947833,1,15,2026-01-09,2026-08-10,4609.8,0.07841197501629778,0.02591700458824794,11.307982998523258,57.10142617719871,8.633735637992446,2.6742473605308126,-0.2707151935133205,20.17245751090586,62.5,0.10697497701938308,0.4666666666666667,0.0039144556385260175,1
t10_size_plus_impact_bm+paper_composite_nomcap,2,t10_size_plus_impact_bm|paper_composite_nomcap,120,2021-09-07,2026-08-10,3915.3166666666666,0.09925849426174678,0.05294840442483699,14.316730561768454,22.20638518000106,3.357605439216161,10.959125122552294,0.862478353416471,19.052146160178353,63.33333333333333,0.32224710854843835,0.6083333333333333,0.019458005687954458,1,15,2026-01-09,2026-08-10,4604.6,0.07247283186041106,0.013570034128874205,8.655169305171261,20.677501407199575,3.126438212768576,5.528731092402686,-0.24211304660336724,19.052146160178363,50.0,0.04908524652844879,0.4666666666666667,0.0016600951819587776,1
t10_size_plus_impact_bm+growth_revenue,2,t10_size_plus_impact_bm|growth_revenue,120,2021-09-07,2026-08-10,3919.575,0.09016583104829637,0.05640337305057532,18.65934344550384,26.09541191816106,3.945626282025952,14.713717163477888,0.9309706779409264,22.334186296249893,71.66666666666667,0.46791181688262307,0.65,0.027423277587250987,1,15,2026-01-09,2026-08-10,4609.8,0.06780052482122843,0.030957667664957316,6.656132806259485,22.475505303574845,3.398296401900517,3.257836404358968,-0.27418160541660064,19.72641074982393,62.5,0.175770347119993,0.4666666666666667,0.005561416831947678,1
t10_size_plus_impact_wc+t10_size_plus_wc_mcap,2,t10_size_plus_impact_wc|t10_size_plus_wc_mcap,120,2021-09-07,2026-08-10,3919.575,0.11266333105205434,0.06966099070016203,22.94786976672052,30.238374778407902,4.5720422664952745,18.375827500225245,0.9705876989804567,25.07509490390745,86.66666666666667,0.4402612288910462,0.6833333333333333,0.033894219329623075,1,15,2026-01-09,2026-08-10,4609.8,0.06811189835567916,0.021597872609859414,9.348730808471084,28.723323342027452,4.342966489314551,5.005764319156533,-0.18978416269059006,20.058997610943287,62.5,0.09371925190939588,0.4666666666666667,0.0029789182080107624,1
t10_size_plus_impact_wc+weighted_reversal,2,t10_size_plus_impact_wc|weighted_reversal,120,2021-09-07,2026-08-10,3919.575,0.11895214959189532,0.07163864185052107,22.200401702685202,52.59723240089594,7.952701539015466,14.247700163669736,0.8490293718381019,25.528728163275904,78.33333333333333,0.4855273600387496,0.6666666666666666,0.0385030154415249,1,15,2026-01-09,2026-08-10,4609.8,0.08855771724282199,0.035883863257293876,9.366075913534411,52.07948847642248,7.874418657635079,1.4916572558993313,-0.3098693307153142,21.26031764557611,50.0,0.16013565719754416,0.4666666666666667,0.006617915850277008,1
t10_size_plus_impact_wc+turn_bias,2,t10_size_plus_impact_wc|turn_bias,120,2021-09-07,2026-08-10,3919.575,0.10875738563096893,0.06874139425318711,21.510548023329545,27.822247593518888,4.206723836140056,17.30382418718949,0.9730805738914615,24.175976740121563,78.33333333333333,0.4736173209289958,0.65,0.033481098048957755,1,15,2026-01-09,2026-08-10,4609.8,0.06899305278569096,0.03169558170910006,4.291469234830547,25.2873142599675,3.8234419161070856,0.46802731872346154,-0.4129911797706011,20.599130332387094,37.5,0.14304071687291164,0.4666666666666667,0.004605447340534072,1
