selection,size,members,5y_periods,5y_first_signal_date,5y_last_signal_date,5y_mean_stock_count,5y_rank_ic,5y_ic_mean,5y_gross_excess_pct,5y_turnover_pct,5y_annual_cost_pct,5y_net_excess_pct,5y_sharpe_after_cost,5y_max_drawdown_pct,5y_monthly_win_rate_pct,5y_ic_ir,5y_win,5y_s_i,5y_direction,recent_periods,recent_first_signal_date,recent_last_signal_date,recent_mean_stock_count,recent_rank_ic,recent_ic_mean,recent_gross_excess_pct,recent_turnover_pct,recent_annual_cost_pct,recent_net_excess_pct,recent_sharpe_after_cost,recent_max_drawdown_pct,recent_monthly_win_rate_pct,recent_ic_ir,recent_win,recent_s_i,recent_direction
t10_size_plus_impact_bm+t10_size_plus_wc_mcap,2,t10_size_plus_impact_bm|t10_size_plus_wc_mcap,120,2021-09-07,2026-08-10,3919.575,0.11818934352328284,0.07227554851590819,22.914811551425316,31.761740152610336,4.802375111074682,18.112436440350635,0.965743248823135,25.278742742134163,81.66666666666667,0.4376927300290783,0.675,0.03491816608825891,1,15,2026-01-09,2026-08-10,4609.8,0.07394864881909036,0.022453722256663144,10.768236567575096,30.80507472972089,4.657727299133798,6.110509268441298,-0.1466802599434828,19.892518195059594,62.5,0.09032587805792362,0.4666666666666667,0.0031170890966979743,1
t10_size_plus_impact_bm+weighted_reversal,2,t10_size_plus_impact_bm|weighted_reversal,120,2021-09-07,2026-08-10,3919.575,0.12186397463229899,0.07253204654722907,22.69550790645207,53.68453248642131,8.117101311946902,14.578406594505172,0.8617050729341188,23.756997345016885,76.66666666666667,0.4713803291987849,0.675,0.03877488932376069,1,15,2026-01-09,2026-08-10,4609.8,0.09398910149492408,0.03708010598471545,11.735665563271336,53.51496200359407,8.091462254943425,3.6442033083279117,-0.2243440678624279,20.58491534792559,50.0,0.15508184918927426,0.4666666666666667,0.00680213504295323,1
t10_size_plus_impact_bm+turn_bias,2,t10_size_plus_impact_bm|turn_bias,120,2021-09-07,2026-08-10,3919.575,0.1130483458537868,0.07015958527108848,21.36847422489967,29.02188055597129,4.3881083400628595,16.98036588483681,0.9736379306029644,23.46769059926458,80.0,0.46242621706256953,0.6583333333333333,0.034415374954578866,1,15,2026-01-09,2026-08-10,4609.8,0.07498278731913222,0.03211410134317735,7.136101658993244,27.115256075863115,4.099826718670503,3.0362749403227403,-0.30010145658494414,20.86629998339884,50.0,0.13388355425723955,0.4,0.004015584829760037,1
t10_size_plus_impact_bm+paper_composite,2,t10_size_plus_impact_bm|paper_composite,120,2021-09-07,2026-08-10,3915.3166666666666,0.10599723758842496,0.06344788735882292,21.117105336696508,21.484216725092406,3.2484135688339717,17.868691767862536,1.0114116274222402,23.43752965587167,75.0,0.36925812081702886,0.6666666666666666,0.026093560509131954,1,15,2026-01-09,2026-08-10,4604.6,0.07451460312216072,0.019874661156136043,10.686252141568808,20.070839984980328,3.0347110057290254,7.651541135839783,-0.09355256087990266,20.140075282072857,50.0,0.075772952594914,0.4666666666666667,0.0026348893620020135,1
t10_size_plus_impact_bm+skew60_low,2,t10_size_plus_impact_bm|skew60_low,120,2021-09-07,2026-08-10,3919.575,0.10287961522851355,0.058206726460614804,18.524872246127376,31.692904644897883,4.791967182308561,13.732905063818817,0.873753474388282,24.824052741695247,71.66666666666667,0.4305935446841685,0.6833333333333333,0.030271187101275823,1,15,2026-01-09,2026-08-10,4609.8,0.08122477485202823,0.02969791990630022,10.94722297719194,31.37317300941009,4.743623759022805,6.203599218169134,-0.1690468588111349,19.372674883507067,62.5,0.15543942043240533,0.6,0.0075753191566511275,1
t10_size_plus_impact_bm+asset_growth,2,t10_size_plus_impact_bm|asset_growth,120,2021-09-07,2026-08-10,3919.55,0.08604038025204493,0.053024235827921574,13.984657145551992,22.509903344345414,3.403497385665027,10.581159759886965,0.7987140156533378,26.112977423213636,71.66666666666667,0.4693284566107832,0.6416666666666667,0.025911269274850678,1,15,2026-01-09,2026-08-10,4609.8,0.07908838883655885,0.04270617969657261,6.094107743893085,21.948956924966286,3.318682287054902,2.7754254568381826,-0.3220737423207483,19.25263132937669,50.0,0.29081022947512425,0.5333333333333333,0.012266513336734683,1
t10_size_plus_impact_aggregate+t10_size_plus_impact_wc,2,t10_size_plus_impact_aggregate|t10_size_plus_impact_wc,120,2021-09-07,2026-08-10,3919.575,0.11431804685011716,0.07385650520055838,25.131805131937668,28.1711835477254,4.25948295241608,20.87232217952159,1.0294303428390243,26.018459309302067,81.66666666666667,0.44610369194939864,0.6916666666666667,0.035273411073094764,1,15,2026-01-09,2026-08-10,4609.8,0.07180526041665843,0.02731702109673077,10.631868680706857,27.39212882303595,4.141689878043035,6.490178802663822,-0.11069052638040112,20.068623780877427,62.5,0.11925262526883812,0.4666666666666667,0.003996050712639581,1
t10_size_plus_impact_wc+reversal_chip_turn_paper,2,t10_size_plus_impact_wc|reversal_chip_turn_paper,120,2021-09-07,2026-08-10,3915.3166666666666,0.11672298177078878,0.07056559236595099,22.188381581585315,33.139282649161885,5.010659536553276,17.17772204503204,0.9482408552127167,24.028285400073113,78.33333333333333,0.43161921156255145,0.6666666666666666,0.03358658757542528,1,15,2026-01-09,2026-08-10,4604.6,0.07288805841259197,0.021337453113444392,10.611523203844397,31.933000244407378,4.828269636954395,5.783253566890003,-0.16373975029160162,19.545817274380283,62.5,0.08480533916646335,0.4666666666666667,0.002884605040270265,1
t10_size_plus_impact_wc+momentum20_open,2,t10_size_plus_impact_wc|momentum20_open,120,2021-09-07,2026-08-10,3919.575,0.11832357830035457,0.07901545518929322,24.439142275987603,52.21091835856806,7.89429085581549,16.54485142017211,0.8920809426514058,26.76256969556643,83.33333333333334,0.4886722160572125,0.6416666666666667,0.03710209401607258,1,15,2026-01-09,2026-08-10,4609.8,0.08246267559942427,0.035999738668874785,7.6283030949692465,50.56629765902992,7.645624206045324,-0.01732111107607681,-0.3533030191614061,21.470531543542435,62.5,0.13476894037100084,0.4666666666666667,0.005186256791656265,1
t10_size_plus_impact_wc+book_to_market_lf_minus_size,2,t10_size_plus_impact_wc|book_to_market_lf_minus_size,120,2021-09-07,2026-08-10,3919.575,0.10958397638283658,0.06923820953509874,23.12509098516713,21.525270607633075,3.2546209158741206,19.87047006929301,1.030602414546119,26.23881574334279,76.66666666666667,0.4043919571269377,0.6916666666666667,0.03065112441978512,1,15,2026-01-09,2026-08-10,4609.8,0.07592248728970671,0.025448081130927662,11.268388268937212,19.844469166859334,3.0004837380291316,8.267904530908082,-0.04653821072961717,20.248110472519166,50.0,0.10458710683929276,0.4666666666666667,0.0037055728685142547,1
t10_size_plus_impact_wc+fscore_eq,2,t10_size_plus_impact_wc|fscore_eq,120,2021-09-07,2026-08-10,3833.0833333333335,0.10704362225328402,0.06292857657943339,19.987505252943926,41.03149192442594,6.203961578973203,13.783543673970724,0.8611067138466066,25.551193048230058,80.0,0.4230448817562815,0.6333333333333333,0.02868002912863958,1,15,2026-01-09,2026-08-10,4513.866666666667,0.08335413217197514,0.032076391348639294,11.605556993395505,39.79355929821907,6.016786165890724,5.588770827504781,-0.18217481342304118,18.454536043624813,62.5,0.13552592746491943,0.4666666666666667,0.005271768166298858,1
