tag,members,na,nb,nc,comb,net,turnover,monthly_turnover,sharpe,dd,pool_s,seat_si
add-6th,size_only+impact60+t10_size_plus_impact_bm+book_to_market_lf_minus_size+book_to_market_lf_plus_impact+reversal_chip_turn_paper+f_i10_01,0.2684299175971492,0.43709483875360544,0.9191595670026796,0.6202909822343976,23.931334697001354,0.1650255857461139,0.3300511714922278,1.1310776845014632,27.295305839184934,0.026225690325216326,"[0.01024, 0.01579, 0.03726, 0.01692, 0.0154, 0.03325]"
add-6th,size_only+impact60+t10_size_plus_impact_bm+book_to_market_lf_minus_size+book_to_market_lf_plus_impact+t10_size_plus_impact_downside+impact60+reversal_chip_turn_eq,0.273844520489629,0.4544385053342138,0.8982780016801863,0.6180474817209844,24.09531182772287,0.1719053652941341,0.3438107305882682,1.1352202162691132,26.88026805604998,0.027266310320052826,"[0.01024, 0.01579, 0.03726, 0.01692, 0.0154, 0.03585]"
add-6th,size_only+impact60+t10_size_plus_impact_bm+book_to_market_lf_minus_size+book_to_market_lf_plus_impact+t10_size_plus_impact_downside+book_to_market_lf_plus_impact+reversal_turn_paper,0.27120015645093126,0.44558651727241955,0.905960005118179,0.6178773146387136,23.618142561988847,0.16735876071779113,0.33471752143558225,1.1324407055703751,26.64466366014242,0.026735191036345172,"[0.01024, 0.01579, 0.03726, 0.01692, 0.0154, 0.03458]"
add-6th,size_only+impact60+t10_size_plus_impact_bm+book_to_market_lf_minus_size+book_to_market_lf_plus_impact+t10_size_plus_impact_downside+book_to_market_lf_plus_impact+reversal_chip_turn_paper,0.2679396587364225,0.4456308730805061,0.907180652170581,0.6177900308022231,23.676471423202265,0.16747022881913037,0.33494045763826075,1.1317785581498958,26.63726378725446,0.026737852384830365,"[0.01024, 0.01579, 0.03726, 0.01692, 0.0154, 0.03301]"
add-6th,size_only+impact60+t10_size_plus_impact_bm+book_to_market_lf_minus_size+book_to_market_lf_plus_impact+t10_size_plus_impact_bm+t10_size_plus_impact_dd120+impact60,0.27050383447847937,0.4464867639699279,0.9045802100639285,0.6174322288139384,23.942993608082112,0.16868810524257377,0.33737621048514754,1.1312974884711633,26.998596506543194,0.026789205838195676,"[0.01024, 0.01579, 0.03726, 0.01692, 0.0154, 0.03424]"
add-6th,size_only+impact60+t10_size_plus_impact_bm+book_to_market_lf_minus_size+book_to_market_lf_plus_impact+t10_size_plus_impact_fscore+impact60+t10_nomcap_plus_impact,0.27562761794531315,0.45412389815592497,0.8940661629483675,0.6163986612704018,24.177433646919198,0.1727534790554157,0.3455069581108314,1.137027621420765,27.148998186502226,0.027247433889355497,"[0.01024, 0.01579, 0.03726, 0.01692, 0.0154, 0.0367]"
add-6th,size_only+impact60+t10_size_plus_impact_bm+book_to_market_lf_minus_size+book_to_market_lf_plus_impact+t10_size_plus_impact_aggregate+book_to_market_lf_minus_size+reversal_chip_turn_paper,0.26838989618915604,0.44235091785872277,0.9061076227262903,0.6162492307152149,23.914815935198273,0.1685759568552572,0.3371519137105144,1.1345566602351762,27.036730930248066,0.026541055071523365,"[0.01024, 0.01579, 0.03726, 0.01692, 0.0154, 0.03323]"
add-6th,size_only+impact60+t10_size_plus_impact_bm+book_to_market_lf_minus_size+book_to_market_lf_plus_impact+t10_size_plus_impact_downside+impact60+reversal_chip_eq,0.27380240823087987,0.45089862216393656,0.895950248008443,0.6157526110073531,24.295786931496217,0.17442486997777254,0.3488497399555451,1.1378342707764708,26.802899109423162,0.027053917329836193,"[0.01024, 0.01579, 0.03726, 0.01692, 0.0154, 0.03583]"
add-6th,size_only+impact60+t10_size_plus_impact_bm+book_to_market_lf_minus_size+book_to_market_lf_plus_impact+t10_size_plus_impact_bm+t10_size_plus_impact_fscore+book_to_market_lf_plus_impact,0.26850145989658153,0.44107334436020346,0.9057794324505736,0.6156767071081457,23.67616237022643,0.16743521183614912,0.33487042367229825,1.1313970144016832,26.716847047995806,0.026464400661612205,"[0.01024, 0.01579, 0.03726, 0.01692, 0.0154, 0.03328]"
add-6th,size_only+impact60+t10_size_plus_impact_bm+book_to_market_lf_minus_size+book_to_market_lf_plus_impact+t10_size_plus_impact_bm+book_to_market_lf_minus_size+reversal_chip_turn_size_eq,0.26873359539428937,0.44420117014406096,0.9019094827897839,0.615076395884682,24.12667957510831,0.17045840839499019,0.34091681678998037,1.1362520127608984,27.25318415127289,0.026652070208643658,"[0.01024, 0.01579, 0.03726, 0.01692, 0.0154, 0.03339]"
