selection,size,net_5y,turn_5y,s_5y,comb_5y,net_1y,turn_1y,s_1y,comb_1y,net_3m,turn_3m,s_3m,comb_3m,comb_mean,comb_min,change
"['impact60', 't10_size_plus_impact_bm', 'book_to_market_lf_plus_impact', 'f_i10_01', 't10_size_plus_wc_mcap']",5,23.093014714057404,20.31618545349187,0.04271343195487379,0.6293231975766218,9.556483322171799,19.209208420014274,0.006081441029278468,0.187882004033878,57.593544713769994,16.019217583753647,0.08907282207323741,0.855981095313,0.5577287656411666,0.187882004033878,R3 swap growth_revenue -> t10_size_plus_wc_mcap
"['size_only', 'impact60', 't10_size_plus_impact_bm', 'book_to_market_lf_minus_size', 'book_to_market_lf_plus_impact', 't10_size_plus_impact_g13']",6,23.785349145934966,17.404985729987235,0.03688462381304208,0.6539919818391431,7.646105303196729,16.271400317007938,0.005424713928509189,0.16651493326821992,56.53779514969261,13.957521765380104,0.08498408904487056,0.85258651327375,0.557697809460371,0.16651493326821992,R1 add t10_size_plus_impact_g13
"['size_only', 'impact60', 't10_size_plus_impact_bm', 'book_to_market_lf_plus_impact', 't10_size_plus_impact_g13']",5,24.197410634434128,18.95103406422453,0.03902610564432615,0.6444596853768703,8.302509952372729,17.801745546867377,0.006008182166474693,0.17348604854599084,56.05469254788367,14.904337185864188,0.08739071975101725,0.8546462564285,0.5575306634504537,0.17348604854599084,R1 swap book_to_market_lf_minus_size -> t10_size_plus_impact_g13
"['size_only', 'impact60', 't10_size_plus_impact_bm', 'book_to_market_lf_plus_impact', 't10_size_plus_impact_g13']",5,24.197410634434128,18.95103406422453,0.03902610564432615,0.6444596853768703,8.302509952372729,17.801745546867377,0.006008182166474693,0.17348604854599084,56.05469254788367,14.904337185864188,0.08739071975101725,0.8546462564285,0.5575306634504537,0.17348604854599084,R2 swap growth_revenue -> t10_size_plus_impact_g13
"['size_only', 'impact60', 't10_size_plus_impact_bm', 'book_to_market_lf_plus_impact', 't10_size_plus_impact_downside']",5,23.99713413586069,19.068275159278013,0.03956360955045506,0.6423826746119543,8.421002311041176,17.982694333927768,0.006055859356275545,0.17468614024070772,57.02895740796542,14.989349738206675,0.0878899148998705,0.855146750251,0.5574051883678873,0.17468614024070772,R1 swap book_to_market_lf_minus_size -> t10_size_plus_impact_downside
"['size_only', 'impact60', 't10_size_plus_impact_bm', 'book_to_market_lf_plus_impact', 't10_size_plus_impact_downside']",5,23.99713413586069,19.068275159278013,0.03956360955045506,0.6423826746119543,8.421002311041176,17.982694333927768,0.006055859356275545,0.17468614024070772,57.02895740796542,14.989349738206675,0.0878899148998705,0.855146750251,0.5574051883678873,0.17468614024070772,R2 swap growth_revenue -> t10_size_plus_impact_downside
"['size_only', 'impact60', 't10_size_plus_impact_bm', 'book_to_market_lf_plus_impact', 'growth_revenue', 'paper_composite_nomcap']",6,22.161289120364806,15.670583098020934,0.03604657027514397,0.6753248021639634,7.894151558458893,14.46144317640314,0.005018167180716906,0.162667422098838,53.83838535682823,11.749281342193415,0.07862991426784129,0.8339357305249999,0.5573093182626004,0.162667422098838,R2 add paper_composite_nomcap
"['size_only', 'impact60', 't10_size_plus_impact_bm', 'book_to_market_lf_plus_impact', 'growth_revenue', 'quality_net_margin_tsrank378']",6,21.887814124541098,16.451965793188467,0.03604684901319127,0.6351546211032568,9.310457302710232,15.200533165257713,0.00808417043749432,0.20377921823234701,48.92976773765572,9.98109178516061,0.08222738894719249,0.832860475165,0.5572647715002013,0.20377921823234701,R2 add quality_net_margin_tsrank378
"['size_only', 'impact60', 't10_size_plus_impact_bm', 'growth_revenue', 'ltmom_exhigh252_21']",5,22.38238479754962,16.843966449578563,0.035521658441109,0.6142641493800397,10.344339749883023,15.556615761440721,0.009452467858203846,0.22394375620339974,46.16994699066253,12.677600757931035,0.08373600803895377,0.832263344965,0.5568237501828132,0.22394375620339974,R2 swap book_to_market_lf_plus_impact -> ltmom_exhigh252_21
"['size_only', 'impact60', 'book_to_market_lf_minus_size', 'book_to_market_lf_plus_impact', 'reversal_chip_turn_size_eq']",5,24.100497611873685,16.296887399494935,0.035110075083620705,0.6652356873075795,7.376491671371076,15.158977505113508,0.004990333903780815,0.15840885117697195,55.2821459842753,13.272380998991002,0.08445168243083422,0.8456212771580001,0.5564219385475172,0.15840885117697195,R1 swap t10_size_plus_impact_bm -> reversal_chip_turn_size_eq
"['impact60', 't10_size_plus_impact_bm', 'growth_revenue', 'f_i10_01', 'turn_bias']",5,21.763387083028153,20.70009144767433,0.04825502201059729,0.6339585314871619,9.118869366589045,19.366410066291774,0.010631624788413419,0.19405159988921067,50.97313736653085,13.871333547405632,0.08767270229075855,0.8405988208349999,0.5562029840704575,0.19405159988921067,R3 swap book_to_market_lf_plus_impact -> turn_bias
"['size_only', 'impact60', 'book_to_market_lf_plus_impact', 'growth_revenue', 'reversal_chip_turn_eq']",5,24.2351446173239,20.79249726947611,0.04103417616125063,0.6240469267191684,11.997314314490575,20.213187806109296,0.008078336638390868,0.2111862678125541,59.255948648842725,16.405789032865368,0.09289782734520072,0.833292275695,0.5561751567422408,0.2111862678125541,R2 swap t10_size_plus_impact_bm -> reversal_chip_turn_eq
"['size_only', 'impact60', 't10_size_plus_impact_bm', 'book_to_market_lf_plus_impact', 'turn_bias']",5,22.680242325733406,18.207487528409523,0.04435253820349265,0.6556619677485154,7.645485049684507,17.38434471378397,0.007146817552150453,0.1659613661424565,52.371979951634,14.60419207893809,0.08248051676416088,0.8465861653719999,0.5560698330876573,0.1659613661424565,R1 swap book_to_market_lf_minus_size -> turn_bias
"['size_only', 'impact60', 't10_size_plus_impact_bm', 'book_to_market_lf_plus_impact', 'turn_bias']",5,22.680242325733406,18.207487528409523,0.04435253820349265,0.6556619677485154,7.645485049684507,17.38434471378397,0.007146817552150453,0.1659613661424565,52.371979951634,14.60419207893809,0.08248051676416088,0.8465861653719999,0.5560698330876573,0.1659613661424565,R2 swap growth_revenue -> turn_bias
"['impact60', 't10_size_plus_impact_bm', 'book_to_market_lf_minus_size', 'book_to_market_lf_plus_impact', 't10_size_plus_impact_wc']",5,22.40982416750822,18.95158844781451,0.04189143022103869,0.6422314053631409,7.774952653666343,17.948212077848087,0.005265828285017928,0.1673510006372249,59.027356675411326,15.5473007358572,0.08500573825218376,0.858566308271,0.5560495714237886,0.1673510006372249,R1 swap size_only -> t10_size_plus_impact_wc
"['impact60', 't10_size_plus_impact_bm', 'book_to_market_lf_plus_impact', 'growth_revenue', 't10_size_plus_impact']",5,23.262832377483793,23.253852050890266,0.04401160034504643,0.6182290343508772,10.982821249712247,22.5251410820377,0.007464119579973252,0.19802665732422076,56.04019312295805,17.391730584827695,0.09148654920259029,0.851842262257,0.5560326513106993,0.19802665732422076,R2 swap size_only -> t10_size_plus_impact
"['impact60', 't10_size_plus_impact_bm', 'book_to_market_lf_plus_impact', 'growth_revenue', 't10_size_plus_impact']",5,23.262832377483793,23.253852050890266,0.04401160034504643,0.6182290343508772,10.982821249712247,22.5251410820377,0.007464119579973252,0.19802665732422076,56.04019312295805,17.391730584827695,0.09148654920259029,0.851842262257,0.5560326513106993,0.19802665732422076,R3 swap f_i10_01 -> t10_size_plus_impact
"['impact60', 't10_size_plus_impact_bm', 'growth_revenue', 'f_i10_01', 't10_nomcap_plus_impact']",5,23.51822707173464,24.2306074471211,0.04593614090153226,0.6112641412449336,11.496492571905442,23.001510350929326,0.008777496322495509,0.2066330619115547,59.56785683159988,17.30413170357345,0.09669022493703001,0.850188490059,0.5560285644051627,0.2066330619115547,R3 swap book_to_market_lf_plus_impact -> t10_nomcap_plus_impact
"['impact60', 't10_size_plus_impact_bm', 'growth_revenue', 'f_i10_01', 'momentum120']",5,23.592114309473512,21.816312971315497,0.04392207566252193,0.6155321824777527,12.1513753524041,20.17446156313445,0.006902138055969001,0.2131720087386012,62.03025250768671,14.600025815677084,0.08711990603653111,0.8387139980139999,0.5558060630767846,0.2131720087386012,R3 swap book_to_market_lf_plus_impact -> momentum120
"['size_only', 'impact60', 't10_size_plus_impact_bm', 'book_to_market_lf_minus_size', 'book_to_market_lf_plus_impact', 'turn_bias']",6,22.445071786749153,16.554530046249855,0.04239432322507889,0.6746012599527463,6.129761990903185,15.492146283589978,0.006269210951268268,0.14615737831627335,51.75431381967422,13.23250098182019,0.0810197041320439,0.8458697707266667,0.5555428029985622,0.14615737831627335,R1 add turn_bias
"['impact60', 't10_size_plus_impact_bm', 'book_to_market_lf_plus_impact', 'growth_revenue', 'f_i10_01', 'growth_roe']",6,21.160388954875252,16.321640464003863,0.0373644316033125,0.6366659503750836,8.739604431769878,15.030886275292277,0.008321614280914148,0.19546566468026477,46.44921599465842,10.327239081968395,0.08227684315857474,0.8342477851979166,0.5554598000844216,0.19546566468026477,R3 add growth_roe
"['size_only', 'impact60', 't10_size_plus_impact_bm', 'book_to_market_lf_plus_impact', 'growth_revenue', 'quality_asset_turnover_tsrank378']",6,23.373241500738935,18.47467396331355,0.03717381226165485,0.6350208056727618,10.082990565998665,18.4005302687824,0.008945078592528985,0.19760968562215186,50.10655092423559,10.74809803558362,0.08672164686832745,0.8329511336116666,0.5551938749688601,0.19760968562215186,R2 add quality_asset_turnover_tsrank378
"['size_only', 'impact60', 't10_size_plus_impact_bm', 'book_to_market_lf_minus_size', 'book_to_market_lf_plus_impact', 'momentum120']",6,23.644852906645927,16.953171529380263,0.03850914258746727,0.6673515004997914,7.574097243424449,15.548959922360076,0.00412628156019258,0.15379154332960634,59.05933860448511,13.52924839862362,0.08043008345751261,0.8442990850425001,0.5551473762906326,0.15379154332960634,R1 add momentum120
