selection,size,comb,na,nb,nc,net,turnover,test,recent,s_recent,raw_a,change
size_only+chip250+book_to_market_lf_minus_size+book_to_market_lf_plus_impact+weighted_reversal_lowturn,5,0.28415183946608513,0.19729306194,0.10853924871913309,0.4593433111697524,20.43786912637574,27.05145920468598,23.534062047201928,7.640623278974755,0.006512354923147985,0.0157834449552,swap impact60 -> weighted_reversal_lowturn
size_only+impact60+chip250+book_to_market_lf_plus_impact+max_return21_low,5,0.2830403293463234,0.1540845156,0.13268555728483397,0.45729662483695893,20.74091863443496,27.377492713947387,21.19780324002289,6.305369732355636,0.007961133437090038,0.012326761248,swap book_to_market_lf_minus_size -> max_return21_low
size_only+impact60+chip250+book_to_market_lf_minus_size+reversal40,5,0.28168875036610347,0.17892190835499996,0.12803766709462341,0.4468693004710784,23.017217336520062,29.0938791843249,29.08086802156108,9.565447232587635,0.007682260025677405,0.014313752668399998,swap book_to_market_lf_plus_impact -> reversal40
size_only+chip250+book_to_market_lf_minus_size+book_to_market_lf_plus_impact+reversal_chip_eq,5,0.2803143262168848,0.18171913812749999,0.07531557010939063,0.48357788678466235,21.231343588524883,25.148934416974367,23.57461243825318,7.329344059944456,0.004518934206563438,0.014537531050199998,swap impact60 -> reversal_chip_eq
size_only+impact60+chip250+book_to_market_lf_minus_size+drawdown120,5,0.2799546696254065,0.1402163206125,0.06487986873232365,0.5093410032146516,22.247697899467838,24.60863974312989,25.46284577385022,7.079430927508498,0.003892792123939419,0.011217305649,swap book_to_market_lf_plus_impact -> drawdown120
impact60+chip250+book_to_market_lf_minus_size+book_to_market_lf_plus_impact+max_return21_low,5,0.27895270338777023,0.170760131235,0.10580644888145206,0.46170760007169326,18.810574942197242,25.71666922126984,16.362048633581576,7.5030508063562875,0.006348386932887124,0.0136608104988,swap size_only -> max_return21_low
impact60+chip250+book_to_market_lf_minus_size+book_to_market_lf_plus_impact+momentum20,5,0.27880212475508415,0.19372515915,0.12956913997502661,0.43268420874183294,20.951669734059582,28.942670101383115,23.629806191796458,8.990176779313952,0.007774148398501596,0.015498012731999999,swap size_only -> momentum20
size_only+impact60+chip250+book_to_market_lf_minus_size+book_to_market_lf_plus_impact+reversal20,6,0.27663671327127776,0.1828391570375,0.1384990356888807,0.42576493193926557,22.309994709206244,30.72839203418586,26.17071791045384,8.642839285868973,0.008309942141332842,0.014627132563,add reversal20
size_only+chip250+book_to_market_lf_minus_size+book_to_market_lf_plus_impact+fscore_eq,5,0.2764346120523904,0.16537661916749996,0.10766908741092031,0.45705579472237395,20.61535478738352,26.415109507855135,22.773954535226768,10.629722086390345,0.006460145244655218,0.013230129533399998,swap impact60 -> fscore_eq
impact60+chip250+book_to_market_lf_minus_size+book_to_market_lf_plus_impact+momentum20_open,5,0.2755181936209253,0.18726369969749998,0.12977523626287618,0.42809804664315243,20.710034058451754,28.783243209095914,23.413388416218805,8.414068026854968,0.0077865141757725706,0.0149810959758,swap size_only -> momentum20_open
size_only+impact60+chip250+book_to_market_lf_minus_size+momentum20,5,0.2753781405610288,0.18084728017499999,0.14491440877148543,0.4188636476800197,22.796768671293226,31.193411255938873,28.163364826676364,9.709296250068537,0.008694864526289125,0.014467782414,swap book_to_market_lf_plus_impact -> momentum20
impact60+chip250+book_to_market_lf_minus_size+book_to_market_lf_plus_impact+drawdown120,5,0.2746651310083592,0.15309419958749998,0.07179472486290628,0.4864847497529822,20.02366157530968,23.58784184284966,22.342199678512596,7.209855401321581,0.004307683491774377,0.012247535967,swap size_only -> drawdown120
size_only+chip250+book_to_market_lf_minus_size+book_to_market_lf_plus_impact+fscore_interact,5,0.27019272633480534,0.16428663611999997,0.1072104440174382,0.44402609712155994,20.23201509540066,26.77643764881477,21.670987289532228,9.80867537649244,0.006432626641046292,0.013142930889599998,swap impact60 -> fscore_interact
size_only+impact60+chip250+book_to_market_lf_plus_impact+weighted_reversal,5,0.26976537873132855,0.18593769095249998,0.16443084645593659,0.3889489872916684,22.304864849667698,33.35134784472987,28.11337441896773,9.196155346849602,0.009865850787356195,0.014875015276199999,swap book_to_market_lf_minus_size -> weighted_reversal
size_only+impact60+chip250+book_to_market_lf_minus_size+max_return21_low,5,0.26939072959906407,0.15788225226,0.12265683157762076,0.43307641798865953,20.709583856296053,27.71943267039001,21.169033779904662,6.45273508006417,0.007359409894657246,0.012630580180799999,swap book_to_market_lf_plus_impact -> max_return21_low
size_only+impact60+chip250+book_to_market_lf_minus_size+momentum20_open,5,0.2668316720724651,0.17438582072249997,0.13493615631646083,0.41050411826045297,22.41837796267844,31.186637062609552,27.54749544538458,9.711882183128282,0.008096169378987649,0.013950865657799998,swap book_to_market_lf_plus_impact -> momentum20_open
size_only+chip250+book_to_market_lf_minus_size+book_to_market_lf_plus_impact+momentum20_open,5,0.264373774227689,0.17341096113749999,0.11867788506919046,0.4181207160577163,21.366344274602376,30.1064166872051,24.00681623905904,8.141195757795222,0.007120673104151427,0.013872876890999999,swap impact60 -> momentum20_open
size_only+chip250+book_to_market_lf_minus_size+book_to_market_lf_plus_impact+reversal40,5,0.2643107301119195,0.17794704877,0.10300547357353174,0.4281542324604076,21.403055458394153,28.54683756730212,25.437632162055014,9.514056970411293,0.006180328414411904,0.014235763901600001,swap impact60 -> reversal40
size_only+impact60+book_to_market_lf_minus_size+book_to_market_lf_plus_impact+rsi14,5,0.2633782471456065,0.16929511346999998,0.20475536300964256,0.350788549773848,19.545599336778356,29.50179486716602,22.868709878677677,8.827017980716208,0.012285321780578553,0.0135436090776,swap chip250 -> rsi14
size_only+chip250+book_to_market_lf_minus_size+book_to_market_lf_plus_impact+momentum20,5,0.26245305935716107,0.17987242059,0.11788910451286361,0.411594197021464,21.348219812075612,30.25296827589105,24.164487098890348,8.213418806607779,0.007073346270771816,0.0143897936472,swap impact60 -> momentum20
size_only+chip250+book_to_market_lf_minus_size+book_to_market_lf_plus_impact+drawdown120,5,0.26214023310413836,0.1392414610275,0.05358455371794622,0.4789718824385715,20.530205950104165,24.135295535033237,21.72055994163062,6.616407233375165,0.0032150732230767733,0.0111393168822,swap impact60 -> drawdown120
size_only+impact60+chip250+book_to_market_lf_plus_impact+exp_weighted_reversal63,5,0.2591376270188561,0.19493249194999998,0.15229694186312112,0.37077155328169725,21.798990569147865,33.232622541347304,26.463576147796676,8.9845691908106,0.009137816511787267,0.015594599356,swap book_to_market_lf_minus_size -> exp_weighted_reversal63
