net_5y,turn_5y,comb_5y,net_1y,turn_1y,comb_1y,net_3m,turn_3m,comb_3m,comb_mean,comb_min,selection,size
26.73376379735344,18.075253637087325,0.6667164289264443,12.64752371137083,17.5575132245351,0.24498805363003753,60.97902445786032,14.850074069781757,0.8516618415585,0.587788774704994,0.24498805363003753,size_only+impact60+t10_size_plus_impact_aggregate+t10_size_plus_impact_downside+f_i10_01,5
27.130557270764633,19.704570235616668,0.669854873102401,12.49095387842076,18.97269119189266,0.23595885954472232,63.77832564134862,15.093792819344188,0.854746030417,0.5868532543547077,0.23595885954472232,size_only+impact60+t10_size_plus_impact_downside+t10_size_plus_impact_fscore+f_i10_01,5
26.948736054074722,19.599747444429212,0.6667702738070865,12.587024913760617,18.942572494580496,0.23767422470099492,64.05030342632236,15.137272790074933,0.8549487162675,0.5864644049251938,0.23767422470099492,size_only+impact60+t10_size_plus_impact_aggregate+t10_size_plus_impact_fscore+f_i10_01,5
26.93246058091291,19.500593846641447,0.666379031712008,12.37123306020757,18.863178562403505,0.23392819748830374,64.33624311078486,15.268662295138133,0.8542455365945,0.5848509219316039,0.23392819748830374,size_only+impact60+t10_size_plus_impact_g13+t10_size_plus_impact_fscore+f_i10_01,5
26.75236866720804,21.645187492735893,0.6540129308186098,13.172739518124718,21.05111009586869,0.2392609812183082,63.84066380582817,16.714754474602383,0.8589617115770833,0.5840785412046671,0.2392609812183082,size_only+impact60+t10_size_plus_impact_aggregate+t10_size_plus_impact_downside+t10_size_plus_impact_fscore+f_i10_01,6
26.520764028567235,17.937988728151062,0.6613629659236449,12.285250537071438,17.463156792600383,0.23764892962010903,60.49377555862867,14.806148192140277,0.851161347736,0.5833910810932513,0.23764892962010903,size_only+impact60+t10_size_plus_impact_aggregate+t10_size_plus_impact_g13+f_i10_01,5
26.844526806026696,21.481706770744776,0.6522312800582235,13.126418429163195,20.904669376228373,0.23873739757838106,63.369722017604445,16.62654602452156,0.8585446333916666,0.5831711036760904,0.23873739757838106,size_only+impact60+t10_size_plus_impact_aggregate+t10_size_plus_impact_g13+t10_size_plus_impact_fscore+f_i10_01,6
26.9406710017148,21.611789468862597,0.6515115866442773,13.126310497279553,21.040254313967942,0.2376231446363351,63.354316003609,16.758420909411875,0.85837572851625,0.5825034865989541,0.2376231446363351,size_only+impact60+t10_size_plus_impact_downside+t10_size_plus_impact_g13+t10_size_plus_impact_fscore+f_i10_01,6
26.442861337316486,18.02874058834962,0.6580453492248626,12.222806985080206,17.463775176905344,0.23697706645018535,60.604234994093275,14.678307159172121,0.8509586618855001,0.5819936925201826,0.23697706645018535,size_only+impact60+t10_size_plus_impact_downside+t10_size_plus_impact_g13+f_i10_01,5
25.664264676087946,21.830255147002404,0.6377845991765099,13.213945170933606,21.477268214900302,0.24508368239274636,59.83938827495593,16.74418885584012,0.861844248988,0.5815708435190854,0.24508368239274636,impact60+t10_size_plus_impact_aggregate+t10_size_plus_impact_downside+t10_size_plus_impact_g13+f_i10_01,5
25.481948558075153,23.041832685163733,0.6447315304336444,12.757125685635604,22.71632090850885,0.23357752238022014,60.33739810102241,18.598858020485483,0.8651311236970001,0.5811467255036216,0.23357752238022014,impact60+t10_size_plus_impact_aggregate+t10_size_plus_impact_g13+t10_size_plus_impact_fscore+f_i10_01,5
26.597548429427803,22.101442455544877,0.645748556134851,13.185454895593807,21.701326719641347,0.23290484895559965,63.933405831902554,17.28486049966726,0.8557751147620001,0.578142839950817,0.23290484895559965,size_only+impact60+t10_size_plus_impact_fscore+t10_nomcap_plus_impact+f_i10_01,5
