factor,window,requested_start,requested_end,signal_start,signal_end,signal_periods,direction,selected_group,stock_count_mean,long_count_mean,short_count_mean,rank_ic,ic_mean,gross_excess_pct,long_turnover_pct,long_annual_cost_pct,net_excess_pct,long_short_gross_pct,long_short_turnover_pct,long_short_annual_cost_pct,long_short_net_pct,short_turnover_pct
momentum_reversal_volatility,formal_5y,2021-09-07 00:00:00,2026-09-07 00:00:00,2021-09-07 00:00:00,2026-07-21 00:00:00,57,1,10,1216.2456140350878,122.10526315789474,121.17543859649123,-0.06582501358071377,-0.0515034529791012,-17.562938408581736,42.4924583302864,3.0594569997806205,-20.622395408362358,-24.269364390403066,47.14270148761579,3.3942745071083373,-27.6636388975114,51.79294464494518
momentum_reversal_volatility,recent_diagnostic,2026-01-01 00:00:00,2026-09-07 00:00:00,2026-01-09 00:00:00,2026-07-21 00:00:00,7,1,10,1277.7142857142858,128.14285714285714,127.14285714285714,0.01898498950585079,0.019510686621924782,16.847195808139993,38.761708656330754,2.790843023255814,14.056352784884178,42.39239465343183,46.250420437089254,3.3300302714704264,39.06236438196141,53.73913221784776
