combination,formula,window,periods,stock_count_mean,rank_ic,ic_mean,gross_excess,turnover,annual_cost,net_excess,gross_excess_pct,net_excess_pct,turnover_pct,annual_cost_pct
H03+RESVOL,(RANK(H03) + RANK(-RESIDUAL_VOLATILITY)) / 2,formal_5y,120,4934.866666666667,0.0801779722334809,0.04580393138587314,0.12426635904663882,0.08972137613697741,0.013565872071910984,0.11070048697472784,12.426635904663883,11.070048697472783,8.972137613697742,1.3565872071910983
H03+RESVOL,(RANK(H03) + RANK(-RESIDUAL_VOLATILITY)) / 2,recent_2026,15,5163.933333333333,0.08651668379003927,0.03598174482699177,0.12543334515073715,0.08289611681653174,0.012533892862659598,0.11289945228807755,12.543334515073715,11.289945228807754,8.289611681653174,1.2533892862659597
H03+RESVOL,(RANK(H03) + RANK(-RESIDUAL_VOLATILITY)) / 2,since_2026_06_01,5,5176.6,0.1556406106938518,0.1250349968659284,0.42262260637063415,0.0767459864434406,0.01160399315024822,0.4110186132203859,42.26226063706341,41.10186132203859,7.67459864434406,1.160399315024822
