candidate,formula,s_i,seat_turnover,tag,na,nc,comb,net,gross,turnover,monthly_turnover,sr,dd,raw_c,finite_share
Sub(TsMaxDiff(TsMed(TsMean(TsDelta(TsMax(TsMinMaxDiff(ratio_,"Sub(TsMaxDiff(TsMed(TsMean(TsDelta(TsMax(TsMinMaxDiff(ratio_ep_ttm,20),20),30),50),40),20),market_cap)",0.002396335121654465,0.0844970643520355,replace-SIZE,0.21939565822913618,1.0,0.49387913164582725,0.23246237779247053,0.25536737878604265,0.1514881018093395,0.302976203618679,1.14565140271395,0.25007992194095274,0.6152267087513347,0.7808495520543713
"Sub(TsWMA(TsMin(TsDiv(TsMinMaxDiff(TsMinMaxDiff(amount,30),4","Sub(TsWMA(TsMin(TsDiv(TsMinMaxDiff(TsMinMaxDiff(amount,30),40),30),50),30),market_cap)",0.0023938014128773765,0.0844225138425827,replace-SIZE,0.21938932395719343,1.0,0.4938778647914387,0.23227207838646213,0.2551833639646086,0.15152966652213287,0.30305933304426574,1.1450457443667164,0.25007992194095285,0.6142295605955997,0.782139326536917
"Sub(TsDiv(Sub(TsDiv(TsStd(TsKurt(TsSkew(high,50),50),50),50)","Sub(TsDiv(Sub(TsDiv(TsStd(TsKurt(TsSkew(high,50),50),50),50),market_cap),30),market_cap)",0.002370969507715703,0.0849095657467842,replace-SIZE,0.21933224419428926,1.0,0.4938664488388579,0.2319472721180028,0.25480816429973774,0.15119637686332624,0.3023927537266525,1.138934786494872,0.250483962824921,0.6110184511009131,0.7908341056533829
"Sub(Ref(Ref(TsDelta(TsPctChange(TsMin(TsPctChange(open,20),5","Sub(Ref(Ref(TsDelta(TsPctChange(TsMin(TsPctChange(open,20),50),30),20),50),50),market_cap)",0.0023494366064633846,0.0847401693463325,replace-SIZE,0.2192784119411585,1.0,0.49385568238823174,0.23034562108367068,0.2531719904013332,0.15096805104274155,0.3019361020854831,1.1360718827540215,0.25061694048973515,0.6060510523669758,0.7953892493049118
"Sub(TsDiv(TsStd(TsKurt(TsKurt(TsSkew(high,50),50),50),50),50","Sub(TsDiv(TsStd(TsKurt(TsKurt(TsSkew(high,50),50),50),50),50),market_cap)",0.002334566129447806,0.0842157006263732,replace-SIZE,0.21924123574861953,1.0,0.4938482471497239,0.23101841599647546,0.25384699820424594,0.15098268655932864,0.3019653731186573,1.1374845503461057,0.25066103669774853,0.608471974316814,0.7892091442693852
"Sub(TsDiv(TsStd(TsKurt(TsSkew(TsMinDiff(TsStd(TsMax(high,20)","Sub(TsDiv(TsStd(TsKurt(TsSkew(TsMinDiff(TsStd(TsMax(high,20),10),50),50),50),50),50),market_cap)",0.00232508061981904,0.0841280743479728,replace-SIZE,0.21921752197454758,1.0,0.49384350439490954,0.23138956486547016,0.2542240619485947,0.15102180610532112,0.30204361221064224,1.1387471783612344,0.25066103669774853,0.6099679887362586,0.7823849243126352
"Sub(Sub(TsDiv(TsStd(TsKurt(TsSkew(high,50),50),50),50),marke","Sub(Sub(TsDiv(TsStd(TsKurt(TsSkew(high,50),50),50),50),market_cap),market_cap)",0.002296837088391165,0.0844845548272132,replace-SIZE,0.21914691314597792,1.0,0.4938293826291956,0.23098071357092143,0.25377877671043003,0.15078084086976593,0.30156168173953185,1.1370848964727915,0.2505909616730968,0.6090462818656781,0.803098548038307
"Sub(TsDiv(TsStd(TsKurt(TsSkew(high,50),50),50),50),market_ca","Sub(TsDiv(TsStd(TsKurt(TsSkew(high,50),50),50),50),market_cap)",0.0022968365931555538,0.0844845548272132,replace-SIZE,0.21914691190788887,1.0,0.4938293823815778,0.23098071357092143,0.25377877671043003,0.15078084086976593,0.30156168173953185,1.1370848964727915,0.2505909616730968,0.6090462818656781,0.803098548038307
"Sub(TsDiv(TsStd(TsKurt(TsSkew(high,50),50),50),30),market_ca","Sub(TsDiv(TsStd(TsKurt(TsSkew(high,50),50),50),30),market_cap)",0.0022954729697465836,0.0838820189237594,replace-SIZE,0.21914350284936646,1.0,0.4938287005698733,0.23071272994497444,0.253495118667199,0.15067717408878661,0.30135434817757323,1.1366963830157173,0.25055463799996214,0.6085881430438146,0.8086824219956751
"Sub(TsCov(TsMinDiff(Log(TsMed(book_to_market_ratio_lf,30)),1","Sub(TsCov(TsMinDiff(Log(TsMed(book_to_market_ratio_lf,30)),10),TsCorr(TsMed(TsVar(Constant(10.0),40),20),TsIr(TsWMA(ratio_sp_ttm,10),10),30),40),market_cap)",0.002155447171794532,0.084386296570301,replace-SIZE,0.21879343835448634,1.0,0.49375868767089726,0.23137542438657493,0.2543110578976726,0.15169069782472017,0.30338139564944033,1.1398208087620518,0.2504794682543907,0.6080030970803951,0.8153521779425394
