formula,fitness,net_excess,gross_excess,turnover,annual_cost,absolute_max_drawdown,excess_max_drawdown,risk_adjusted_score,absolute_dd_target_pass,excess_dd_target_pass,rank_ic,ic_mean,ic_ir,ic_win,ic_periods,ic_direction,s_i,efficiency,turnover_cap_pass,net_floor_pass,periods,coverage,run
"Log(TsDelta(amount,40))",0.04916359984519977,-0.4872209594249725,-0.3877268815040588,0.6580296158790588,0.09949407792091369,0.87062668800354,0.8716673851013184,,,,-0.1263003796339035,-0.07324907183647156,-0.5560847044471283,0.7000000476837158,120,0,0.04916359984519977,0.0747133543214804,0.0,0.0,120,1.0,ic_frontier_s108_20260923
"Log(Log(TsDelta(amount,40)))",0.04865200149507727,-0.48705090980529786,-0.3875585532188416,0.6580182313919067,0.0994923565864563,0.87052321434021,0.8715654015541077,,,,-0.12631076574325562,-0.06833972781896591,-0.5502528160224276,0.7000000476837158,120,0,0.04865200149507727,0.07393716340072164,0.0,0.0,120,1.0,ic_frontier_s108_20260923
"Log(TsMinDiff(TsMinDiff(amount,20),40))",0.038929571778431975,-0.38642367510795594,-0.3035490453243256,0.5481126308441162,0.08287462978363036,0.7423911094665527,0.7884012460708618,,,,-0.11435956507921219,-0.07030586898326874,-0.4981664603356025,0.6833333969116211,120,0,0.038929571778431975,0.07102476678648842,0.0,0.0,120,1.0,ic_frontier_s102_20260923
"Log(TsMinDiff(amount,20))",0.038908685120265685,-0.3895700912475586,-0.3069290041923523,0.5465680360794067,0.0826410870552063,0.7457733154296875,0.7918079495429993,,,,-0.11400450766086578,-0.0702703669667244,-0.49944984694846956,0.6833333969116211,120,0,0.038908685120265685,0.07118726773589251,0.0,0.0,120,1.0,ic_frontier_s102_20260923
"Log(Log(TsMinDiff(amount,40)))",0.038672073578598684,-0.3905183958292007,-0.31535342931747434,0.49712279438972473,0.07516496651172637,0.7507602572441101,0.7998465895652771,,,,-0.11578669399023056,-0.06780697405338287,-0.48288300888565633,0.6916667222976685,120,0,0.038672073578598684,0.07779179312441928,0.0,0.0,120,1.0,ic_frontier_s102_20260923
"Log(TsMinDiff(TsMinDiff(amount,40),40))",0.03852496355029814,-0.3899619747161865,-0.3125170826911926,0.5122016668319702,0.0774448920249939,0.7484295964241028,0.7976067662239075,,,,-0.11554759740829468,-0.0707363486289978,-0.49394379759258594,0.675000011920929,120,0,0.03852496355029814,0.07521444392904798,0.0,0.0,120,1.0,ic_frontier_s102_20260923
"Log(TsMinDiff(amount,40))",0.03821575006291769,-0.39051699392795564,-0.31535202741622925,0.49712279438972473,0.07516496651172637,0.7507602572441101,0.7998452186584473,,,,-0.11578434705734253,-0.07082445174455643,-0.4889773657506995,0.675000011920929,120,0,0.03821575006291769,0.0768738639511228,0.0,0.0,120,1.0,ic_frontier_s102_20260923
"Log(TsMinDiff(TsMinDiff(amount,30),30))",0.03788538659904762,-0.386365199804306,-0.30632959127426146,0.5293360352516174,0.08003560853004456,0.7452359199523926,0.7906049489974976,,,,-0.1141401156783104,-0.07004062086343765,-0.4917333169015845,0.675000011920929,120,0,0.03788538659904762,0.07157152371279422,0.0,0.0,120,1.0,ic_frontier_s108_20260923
"Log(Log(TsMinDiff(amount,20)))",0.03781191606324593,-0.3895525074005127,-0.3069068241119385,0.5465984344482422,0.08264568328857422,0.7457733154296875,0.7917875051498413,,,,-0.11400662362575531,-0.06686653196811676,-0.4913543674585999,0.675000011920929,120,0,0.03781191606324593,0.06917677344139259,0.0,0.0,120,1.0,ic_frontier_s102_20260923
"Log(TsMinDiff(amount,30))",0.037676111252939896,-0.39015361762046813,-0.31221181869506837,0.5154880881309509,0.07794179892539978,0.7493473291397095,0.7975512742996216,,,,-0.11418770998716354,-0.07000911235809326,-0.48881320184095983,0.675000011920929,120,0,0.037676111252939896,0.07308822865247068,0.0,0.0,120,1.0,ic_frontier_s108_20260923
"Log(TsMinDiff(TsMinDiff(amount,20),20))",0.03758167081198919,-0.38725856537818903,-0.30163262128829954,0.5663091540336609,0.08562594408988952,0.7410211563110352,0.7876735329627991,,,,-0.11289768666028976,-0.06892663985490799,-0.49315933758096514,0.675000011920929,120,0,0.03758167081198919,0.0663624639374192,0.0,0.0,120,1.0,ic_frontier_s102_20260923
"Log(TsMinDiff(TsMinDiff(amount,50),30))",0.0372544073021859,-0.3851791242599487,-0.30624515175819395,0.5220500826835632,0.07893397250175477,0.7450822591781616,0.7919560074806213,,,,-0.11359801888465881,-0.06924919039011002,-0.4858510217777194,0.675000011920929,120,0,0.0372544073021859,0.07136174964417615,0.0,0.0,120,1.0,ic_frontier_s108_20260923
"Log(Log(TsMinDiff(amount,30)))",0.037135824927839046,-0.3901550946235657,-0.3122132956981659,0.5154880881309509,0.07794179892539978,0.7493473291397095,0.7975527048110962,,,,-0.11419007927179337,-0.06684023141860962,-0.4817934824930412,0.675000011920929,120,0,0.037135824927839046,0.07204012232850146,0.0,0.0,120,1.0,ic_frontier_s108_20260923
"Log(TsDelta(amount,30))",-1.0,-0.4260690325173465,-0.3379655924710361,0.5826947093009949,0.08810344004631043,0.8265490531921387,0.6762021780014038,,,,-0.12268128246068954,-0.071244016289711,-0.4744702221148681,0.6363636255264282,77,0,0.03704184549365582,,,,77,0.6416666666666667,ic_frontier_s102_20260923
"Log(TsMinDiff(amount,50))",0.03686505710626828,-0.3871081443786621,-0.3138973295688629,0.48419851064682007,0.0732108148097992,0.7490239143371582,0.7977566719055176,,,,-0.11587411910295486,-0.0708160400390625,-0.483261949826779,0.6583333611488342,120,0,0.03686505710626828,0.07613624638585077,0.0,0.0,120,1.0,ic_frontier_s108_20260923
"Abs(TsMinDiff(amount,40))",0.03621234230789614,-0.3852756606817246,-0.310584511756897,0.49398908019065857,0.07469114892482757,0.7403709888458252,0.7943351864814758,,,,-0.11077145487070084,-0.050447385758161545,-0.4670148470933817,0.7000000476837158,120,0,0.03621234230789614,0.07330595707484006,0.0,0.0,120,1.0,ic_frontier_s102_20260923
"TsMinDiff(amount,40)",0.03621234230789614,-0.3852756606817246,-0.310584511756897,0.49398908019065857,0.07469114892482757,0.7403709888458252,0.7943351864814758,,,,-0.11077145487070084,-0.050447385758161545,-0.4670148470933817,0.7000000476837158,120,0,0.03621234230789614,0.07330595707484006,0.0,0.0,120,1.0,ic_frontier_s102_20260923
"TsMinDiff(amount,50)",0.035576257825647994,-0.38740417284965517,-0.3144823980331421,0.48228687047958374,0.07292177481651306,0.7432701587677002,0.7981120347976685,,,,-0.11169815808534622,-0.050437189638614655,-0.4604869966305423,0.6916667222976685,120,0,0.035576257825647994,0.07376576059445934,0.0,0.0,120,1.0,ic_frontier_s106_20260923
"Rank(TsMinDiff(amount,20))",0.03544973923968465,-0.38406605272293093,-0.3019633197784424,0.543007493019104,0.08210273294448853,0.7294209003448486,0.7874681949615479,,,,-0.10376469045877457,-0.0633438229560852,-0.4823094220442872,0.7083333730697632,120,0,0.03544973923968465,0.06528407010110533,0.0,0.0,120,1.0,ic_frontier_s104_20260923
"TsMinDiff(TsMinDiff(amount,40),50)",0.035317816069616835,-0.3868501404762268,-0.3109951937198639,0.501686155796051,0.07585494675636292,0.7394225597381592,0.7967411875724792,,,,-0.10993075370788574,-0.05004337430000305,-0.46449148142848856,0.6916667222976685,120,0,0.035317816069616835,0.07039822738097337,0.0,0.0,120,1.0,ic_frontier_s102_20260923
"TsMinDiff(amount,30)",0.03507003849484768,-0.38572712144851684,-0.3082848429679871,0.5121843814849854,0.07744227848052979,0.738397479057312,0.7926777601242065,,,,-0.10759572684764862,-0.05005956068634987,-0.4712423766300023,0.6916667222976685,120,0,0.03507003849484768,0.06847151096870328,0.0,0.0,120,1.0,ic_frontier_s106_20260923
"TsMinDiff(TsMinDiff(amount,40),40)",0.03493207027330736,-0.38998753838539124,-0.31292899131774904,0.509646475315094,0.0770585470676422,0.7396730184555054,0.7974358797073364,,,,-0.10887371748685837,-0.05003795772790909,-0.46953570855033516,0.6833333969116211,120,0,0.03493207027330736,0.06854176760804685,0.0,0.0,120,1.0,ic_frontier_s102_20260923
"Log(TsMinDiff(amount,10))",0.03454279483908007,-0.39213241024017337,-0.301607962846756,0.5987066626548767,0.09052444739341736,0.73399817943573,0.7876989245414734,,,,-0.10847043246030807,-0.06671552360057831,-0.48372689868514795,0.6583333611488342,120,0,0.03454279483908007,0.057695691385669774,0.0,0.0,120,1.0,ic_frontier_s104_20260923
Log(SLog1p(amount)),0.03449015571779597,-0.33765008583068845,-0.2824700331687927,0.36494743824005127,0.055180052661895754,0.7246917486190796,0.7613188624382019,,,,-0.11179531365633011,-0.06886519491672516,-0.457054275495,0.675000011920929,120,0,0.03449015571779597,0.0945071867996218,0.0,0.0,120,1.0,ic_frontier_s104_20260923
Log(Log(amount)),0.03448886343034657,-0.33765008583068845,-0.2824700331687927,0.36494743824005127,0.055180052661895754,0.7246917486190796,0.7613188624382019,,,,-0.1117953434586525,-0.06886229664087296,-0.4570370286123443,0.675000011920929,120,0,0.03448886343034657,0.09450364577613736,0.0,0.0,120,1.0,ic_frontier_s102_20260923
"TsMinDiff(TsMinDiff(amount,30),50)",0.03432113247938293,-0.38521437106132506,-0.30737122893333435,0.5148355960845947,0.07784314212799072,0.7369799613952637,0.7918908596038818,,,,-0.10752440989017487,-0.049752991646528244,-0.4671129365788089,0.6833333969116211,120,0,0.03432113247938293,0.06666425697912211,0.0,0.0,120,1.0,ic_frontier_s108_20260923
"Log(Greater(amount,TsPctChange(close,20)))",0.03425000193243234,-0.33848352863788606,-0.2832862401008606,0.3650614321231842,0.055197288537025456,0.7253782749176025,0.7626659870147705,,,,-0.11207925528287888,-0.0697934627532959,-0.4583810022460254,0.6666666865348816,120,0,0.03425000193243234,0.09381983118083868,0.0,0.0,120,1.0,ic_frontier_s102_20260923
SLog1p(amount),0.034101620440623925,-0.33765008583068845,-0.2824700331687927,0.36494743824005127,0.055180052661895754,0.7246917486190796,0.7613188624382019,,,,-0.1117953509092331,-0.06956314295530319,-0.45755417126429054,0.6666666865348816,120,0,0.034101620440623925,0.0934425532758307,0.0,0.0,120,1.0,ic_frontier_s111_20260923
Log(Inv(amount)),0.03410135657515574,0.10665307788848877,0.16856768488883972,0.40948814153671265,0.06191460700035095,0.25004100799560547,0.1163129210472107,,,,0.11179548501968384,0.0695624053478241,0.45755008200266656,0.6666666865348816,120,1,0.03410135657515574,0.08327800762967488,0.0,0.0,120,1.0,ic_frontier_s102_20260923
Log(amount),0.03410131232461376,-0.33765008583068845,-0.2824700331687927,0.36494743824005127,0.055180052661895754,0.7246917486190796,0.7613188624382019,,,,-0.1117953509092331,-0.0695624053478241,-0.45755003715676545,0.6666666865348816,120,0,0.03410131232461376,0.09344170900079853,0.0,0.0,120,1.0,ic_frontier_s102_20260923
"Log(Greater(TsMinMaxDiff(Constant(-0.5),10),amount))",0.03410131232461376,-0.33765008583068845,-0.2824700331687927,0.36494743824005127,0.055180052661895754,0.7246917486190796,0.7613188624382019,,,,-0.1117953509092331,-0.0695624053478241,-0.45755003715676545,0.6666666865348816,120,0,0.03410131232461376,0.09344170900079853,0.0,0.0,120,1.0,ic_frontier_s102_20260923
Log(Abs(amount)),0.03410131232461376,-0.33765008583068845,-0.2824700331687927,0.36494743824005127,0.055180052661895754,0.7246917486190796,0.7613188624382019,,,,-0.1117953509092331,-0.0695624053478241,-0.45755003715676545,0.6666666865348816,120,0,0.03410131232461376,0.09344170900079853,0.0,0.0,120,1.0,ic_frontier_s102_20260923
"TsMinDiff(Add(Constant(-10.0),amount),20)",0.03406856349071759,-0.38406605272293093,-0.3019633197784424,0.543007493019104,0.08210273294448853,0.7294209003448486,0.7874681949615479,,,,-0.10407929122447968,-0.049599722027778625,-0.4790235324567783,0.6833333969116211,120,0,0.03406856349071759,0.06274050345290354,0.0,0.0,120,1.0,ic_frontier_s112_20260923
"TsMinDiff(amount,20)",0.03406856349071759,-0.38406605272293093,-0.3019633197784424,0.543007493019104,0.08210273294448853,0.7294209003448486,0.7874681949615479,,,,-0.10407929122447968,-0.049599722027778625,-0.4790235324567783,0.6833333969116211,120,0,0.03406856349071759,0.06274050345290354,0.0,0.0,120,1.0,ic_frontier_s102_20260923
"Abs(TsMinDiff(amount,20))",0.03406856349071759,-0.38406605272293093,-0.3019633197784424,0.543007493019104,0.08210273294448853,0.7294209003448486,0.7874681949615479,,,,-0.10407929122447968,-0.049599722027778625,-0.4790235324567783,0.6833333969116211,120,0,0.03406856349071759,0.06274050345290354,0.0,0.0,120,1.0,ic_frontier_s111_20260923
