combination_id,bitmask,factor_count,components,component_clusters,unique_base_cluster_count,max_abs_correlation,mean_abs_correlation,eligible_corr_lt_0_60,eligible_corr_lt_0_80,best_component_train_net_excess_pct,best_component_test_net_excess_pct,best_component_full_net_excess_pct,train_delta_vs_best_component_pct,test_delta_vs_best_component_pct,full_delta_vs_best_component_pct,full_periods,full_first_signal_date,full_last_signal_date,full_mean_stock_count,full_rank_ic,full_ic_mean,full_gross_excess_pct,full_turnover_pct,full_annual_cost_pct,full_net_excess_pct,full_sharpe_after_cost,full_max_drawdown_pct,full_monthly_win_rate_pct,train_periods,train_first_signal_date,train_last_signal_date,train_mean_stock_count,train_rank_ic,train_ic_mean,train_gross_excess_pct,train_turnover_pct,train_annual_cost_pct,train_net_excess_pct,train_sharpe_after_cost,train_max_drawdown_pct,train_monthly_win_rate_pct,test_periods,test_first_signal_date,test_last_signal_date,test_mean_stock_count,test_rank_ic,test_ic_mean,test_gross_excess_pct,test_turnover_pct,test_annual_cost_pct,test_net_excess_pct,test_sharpe_after_cost,test_max_drawdown_pct,test_monthly_win_rate_pct,recent_periods,recent_first_signal_date,recent_last_signal_date,recent_mean_stock_count,recent_rank_ic,recent_ic_mean,recent_gross_excess_pct,recent_turnover_pct,recent_annual_cost_pct,recent_net_excess_pct,recent_sharpe_after_cost,recent_max_drawdown_pct,recent_monthly_win_rate_pct,exact_ic_audit
M1027,1027,3,SIZE+H03+RESVOL,B01+B11,2,0.0,0.0,True,True,17.272782630793042,17.384693407445873,17.125963541189346,4.005612086205762,-3.686453239728799,1.183718057165521,120,2021-09-07 00:00:00,2026-08-10 00:00:00,4422.416666666667,0.08714855043729687,0.05696390917898988,19.537865737778386,8.12291097502327,1.2281841394235182,18.309681598354867,1.082251499872702,29.068346871925655,73.33333333333333,73,2021-09-07 00:00:00,2024-08-28 00:00:00,4115.287671232877,0.09330655579356018,0.06937027835578326,22.5282684353918,8.266360571382265,1.2498737183929984,21.278394716998804,0.5808160130048208,29.068346871925655,80.55555555555556,47,2024-09-11 00:00:00,2026-08-10 00:00:00,4899.446808510638,0.07758398892650488,0.03769444215971505,14.893197718080964,7.903158401877578,1.1949575503638896,13.698240167717074,1.8939357036336752,18.86545187146982,62.5,15,2026-01-09 00:00:00,2026-08-10 00:00:00,5014.4,0.0795289072762665,0.03620340794822689,15.687572172081982,7.90173416883556,1.1947422063279367,14.492829965754044,0.1394382564837918,18.86545187146983,62.5,True
M3075,3075,4,SIZE+H03+RESVOL+SP,B01+B11+B12,3,0.0,0.0,True,True,17.272782630793042,17.384693407445873,17.125963541189346,3.7959758912113735,-6.780550925385851,-0.155734917490296,120,2021-09-07 00:00:00,2026-08-10 00:00:00,4415.175,0.0896748334130598,0.0553737082301241,18.23868914884423,8.389289187468119,1.2684605251451795,16.97022862369905,1.0724713805607782,26.4121578537002,71.66666666666667,73,2021-09-07 00:00:00,2024-08-28 00:00:00,4108.86301369863,0.09949743233929226,0.07149016746453932,22.350585127892366,8.477689192380627,1.281826605887951,21.068758522004416,0.6065954962159339,26.4121578537002,83.33333333333334,47,2024-09-11 00:00:00,2026-08-10 00:00:00,4890.936170212766,0.07441845635742214,0.030341760908585567,11.852127309046061,8.253867903346825,1.2479848269860399,10.604142482060022,1.786361317515774,19.281970307886553,54.166666666666664,15,2026-01-09 00:00:00,2026-08-10 00:00:00,5006.4,0.08401339335181707,0.033046522129635006,11.606015428203206,8.10177425161006,1.224988266843441,10.381027161359764,-0.021509296522404606,19.281970307886542,50.0,True
M3091,3091,5,SIZE+H03+DD120+RESVOL+SP,B01+B04+B11+B12,4,0.0,0.0,True,True,17.272782630793042,17.384693407445873,17.125963541189346,3.2926354020587745,-7.384615273576104,-0.6998210820378539,120,2021-09-07 00:00:00,2026-08-10 00:00:00,4415.175,0.1004985678223131,0.06298368171976089,19.365510712777454,19.44026622768494,2.9393682536259633,16.426142459151492,1.0057438899828564,26.005729584851743,76.66666666666667,73,2021-09-07 00:00:00,2024-08-28 00:00:00,4108.86301369863,0.10716317941581605,0.07991498487995015,23.362692694595175,18.50049379459893,2.797274661743358,20.565418032851817,0.5529708111413869,26.005729584851743,83.33333333333334,47,2024-09-11 00:00:00,2026-08-10 00:00:00,4890.936170212766,0.09014714981538297,0.036686125747552034,13.157121677188236,20.879917614540123,3.1570435433184665,10.000078133869769,1.7258697669218983,21.720756709681087,66.66666666666666,15,2026-01-09 00:00:00,2026-08-10 00:00:00,5006.4,0.08112215888155,0.025196187906490208,10.264917390087907,19.026151585894656,2.8767541197872717,7.388163270300637,-0.14128247592534646,21.720756709681087,50.0,True
M3107,3107,5,SIZE+H03+CHIP250+RESVOL+SP,B01+B05+B11+B12,4,0.0,0.0,True,True,17.272782630793042,17.384693407445873,17.125963541189346,2.9056575152399056,-6.915858416686657,-0.7505958593454416,120,2021-09-07 00:00:00,2026-08-10 00:00:00,4415.175,0.1035864120861078,0.06174249157312195,18.779354571089467,15.899384188132041,2.4039868892455645,16.375367681843905,1.0185552279159569,25.53029870556518,71.66666666666667,73,2021-09-07 00:00:00,2024-08-28 00:00:00,4108.86301369863,0.1120141098311752,0.0800173411314695,22.565173630458652,15.78527436789487,2.3867334844257044,20.178440146032948,0.5502027433647274,25.53029870556518,83.33333333333334,47,2024-09-11 00:00:00,2026-08-10 00:00:00,4890.936170212766,0.09049658367355629,0.03335815076973111,12.89925262781393,16.07419072126132,2.4304176370547115,10.468834990759216,1.7541181938339543,20.914891359269394,54.166666666666664,15,2026-01-09 00:00:00,2026-08-10 00:00:00,5006.4,0.08001689276458171,0.021267514434104743,11.14163922346767,14.78020691022702,2.2347672848263254,8.906871938641347,-0.0826160676270266,20.914891359269372,50.0,True
M2051,2051,3,SIZE+H03+SP,B01+B12,2,0.0,0.0,True,True,17.272782630793042,17.384693407445873,17.125963541189346,2.6293107636964663,-3.006456472684741,0.6126325653126372,120,2021-09-07 00:00:00,2026-08-10 00:00:00,4872.25,0.07356142758868947,0.051524789078798906,19.02961840475647,8.538507263587878,1.291022298254487,17.738596106501983,1.0160048661953032,28.718696040158818,73.33333333333333,73,2021-09-07 00:00:00,2024-08-28 00:00:00,4736.958904109589,0.07736312165933028,0.06173940265693198,21.194694741474997,8.548950707575981,1.2926013469854882,19.90209339448951,0.49059664877126885,28.718696040158818,83.33333333333334,47,2024-09-11 00:00:00,2026-08-10 00:00:00,5082.382978723404,0.06765666871301335,0.03565953820212413,15.66684026474685,8.522508796201846,1.2886033299857191,14.378236934761132,1.8417744164343257,20.19703663233394,58.333333333333336,15,2026-01-09 00:00:00,2026-08-10 00:00:00,5120.333333333333,0.06774430799174198,0.03215281793975936,11.208491815117203,7.871080943939606,1.1901074387236683,10.018384376393534,-0.040734789853605576,20.19703663233392,50.0,True
M3587,3587,5,SIZE+H03+ASSET_GROWTH+RESVOL+SP,B01+B10+B11+B12,4,0.0,0.0,True,True,17.272782630793042,17.384693407445873,17.125963541189346,2.471598737960928,-6.87708872517009,-0.9992844832127368,120,2021-09-07 00:00:00,2026-08-10 00:00:00,4415.15,0.0828006605111134,0.05081999692132897,17.43671347912504,8.664248817119265,1.3100344211484327,16.12667905797661,1.0319257364656444,27.54326679897172,70.0,73,2021-09-07 00:00:00,2024-08-28 00:00:00,4108.86301369863,0.09352679005104851,0.06755961304218171,21.05864276109369,8.692204975791798,1.3142613923397197,19.74438136875397,0.5517536017109174,27.54326679897172,80.55555555555556,47,2024-09-11 00:00:00,2026-08-10 00:00:00,4890.872340425532,0.06614092739589503,0.024820167627238557,11.811163743301393,8.621422361280489,1.3035590610256098,10.507604682275783,1.7682601728557565,20.061898475462936,54.166666666666664,15,2026-01-09 00:00:00,2026-08-10 00:00:00,5006.4,0.06968165379161514,0.020688901497906552,10.438794427194617,8.715424406604019,1.3177721702785279,9.121022256916088,-0.07434537045075433,20.061898475462957,50.0,True
M3219,3219,6,SIZE+H03+DD120+BM+RESVOL+SP,B01+B04+B08+B11+B12,5,0.0,0.0,True,True,17.272782630793042,17.384693407445873,17.125963541189346,2.3505245179135876,-9.12763275541178,-1.95493450263141,120,2021-09-07 00:00:00,2026-08-10 00:00:00,4415.175,0.1003075545176698,0.05906049680865702,17.87583400071641,17.88892170739731,2.704804962158473,15.171029038557936,0.9970046203799009,23.024593338397935,71.66666666666667,73,2021-09-07 00:00:00,2024-08-28 00:00:00,4108.86301369863,0.11074461661622242,0.07867560129316997,22.26832423663118,17.493499258760238,2.6450170879245483,19.62330714870663,0.551519250576451,23.024593338397935,83.33333333333334,47,2024-09-11 00:00:00,2026-08-10 00:00:00,4890.936170212766,0.08409679849225836,0.028594483460370943,11.053455549189215,18.49467524573494,2.7963948971551225,8.257060652034093,1.66628577651149,21.087386928912377,54.166666666666664,15,2026-01-09 00:00:00,2026-08-10 00:00:00,5006.4,0.08346865948249853,0.022675502609393255,10.085312074581356,17.228914287177506,2.605011840221239,7.480300234360117,-0.1455598892571972,21.087386928912387,50.0,True
M3203,3203,5,SIZE+H03+BM+RESVOL+SP,B01+B08+B11+B12,4,0.0,0.0,True,True,17.272782630793042,17.384693407445873,17.125963541189346,2.335878681881983,-9.960103392542795,-2.2891256001226434,120,2021-09-07 00:00:00,2026-08-10 00:00:00,4415.175,0.09060494072693223,0.05226815086671448,16.080224613763217,8.223456830003402,1.2433866726965144,14.836837941066703,1.0305773855294091,24.909265882988628,70.0,73,2021-09-07 00:00:00,2024-08-28 00:00:00,4108.86301369863,0.10324116294273807,0.07078995989753817,20.884594387654417,8.438710813355781,1.2759330749793942,19.608661312675025,0.5801543210895556,24.909265882988628,77.77777777777779,47,2024-09-11 00:00:00,2026-08-10 00:00:00,4890.936170212766,0.07097846792365928,0.023500234712456398,8.618118369208798,7.893706046995503,1.19352835430572,7.424590014903078,1.6979880622146766,19.674304818918344,58.333333333333336,15,2026-01-09 00:00:00,2026-08-10 00:00:00,5006.4,0.08486938932737668,0.02889774954258145,9.924832910589334,7.782918526041076,1.1767772811374106,8.748055629451924,-0.09498514832272677,19.67430481891832,62.5,True
M1025,1025,2,SIZE+RESVOL,B01+B11,2,0.0,0.0,True,True,17.272782630793042,16.898389001954918,17.125963541189346,2.2852528800806446,-5.648097064018216,-0.8218430960134278,120,2021-09-07 00:00:00,2026-08-10 00:00:00,4422.416666666667,0.08988964034699255,0.05308381805756002,17.51834892473424,8.030611637290512,1.2142284795583254,16.30412044517592,1.0253225858010813,28.893911515375347,70.0,73,2021-09-07 00:00:00,2024-08-28 00:00:00,4115.287671232877,0.09846025462420964,0.06816252282002078,20.76640403473789,7.991855316562169,1.2083685238642001,19.558035510873687,0.5295366265161137,28.893911515375347,77.77777777777779,47,2024-09-11 00:00:00,2026-08-10 00:00:00,4899.446808510638,0.07657783519301707,0.029663702149908173,12.473497370898794,8.089983022236058,1.223205432962092,11.250291937936701,1.8168931997187845,19.073601147029773,58.333333333333336,15,2026-01-09 00:00:00,2026-08-10 00:00:00,5014.4,0.08232184438182982,0.03022348777833112,12.268049642129924,7.915568827358845,1.1968340066966572,11.071215635433266,0.00519839058991266,19.073601147029763,50.0,True
M1155,1155,4,SIZE+H03+BM+RESVOL,B01+B08+B11,3,0.0,0.0,True,True,17.272782630793042,17.384693407445873,17.125963541189346,1.9331442772952805,-5.758204749354205,-0.8884951272892536,120,2021-09-07 00:00:00,2026-08-10 00:00:00,4418.308333333333,0.09342965234774588,0.055765940894289434,17.487119049356025,8.264885155131843,1.249650635455935,16.237468413900093,1.0460865060724478,26.33593234339414,70.0,73,2021-09-07 00:00:00,2024-08-28 00:00:00,4111.109589041096,0.10408343672533034,0.07268848856833755,20.474155990799204,8.387758483537576,1.2682290827108815,19.205926908088323,0.5382111119194809,26.33593234339414,80.55555555555556,47,2024-09-11 00:00:00,2026-08-10 00:00:00,4895.446808510638,0.07688228512298702,0.029481983868640246,12.847678693497471,8.076653673318798,1.2211900354058023,11.626488658091668,1.8235714955177142,18.247251944209076,54.166666666666664,15,2026-01-09 00:00:00,2026-08-10 00:00:00,5010.4,0.08573558099289902,0.031999312313532764,14.356053087730642,7.922871809188255,1.1979382175492639,13.158114870181379,0.09335304502116552,18.247251944209076,50.0,True
