combination,formula,window,periods,stock_count_mean,rank_ic,ic_mean,gross_excess,turnover,annual_cost,net_excess,gross_excess_pct,net_excess_pct,turnover_pct,annual_cost_pct
RESVOL,RANK(-RESIDUAL_VOLATILITY),formal_5y,120,4422.416666666667,0.07016070293624896,0.02951696541660813,0.043649428781137825,0.07005656591690011,0.010592552766635297,0.03305687601450253,4.364942878113783,3.305687601450253,7.005656591690011,1.0592552766635297
RESVOL,RANK(-RESIDUAL_VOLATILITY),recent_2026,15,5014.4,0.07214405718730556,0.020370628911021704,0.06722211756769648,0.06360237718833839,0.009616679430876764,0.05760543813681972,6.722211756769648,5.760543813681972,6.360237718833838,0.9616679430876764
RESVOL,RANK(-RESIDUAL_VOLATILITY),since_2026_06_01,5,5022.8,0.13147360791891283,0.09550807165041474,0.3155183283656867,0.05169688172740572,0.007816568517183745,0.30770175984850295,31.55183283656867,30.770175984850294,5.169688172740572,0.7816568517183745
