turn_bin,n,nc_mean,nc_frac_capped,na_mean,raw_c_median,comb_mean
"(0.55, 0.7]",27,0.44485339101797866,0.37037037037037035,0.14509973782361144,0.167926053968457,0.23007621045664525
"(0.7, 0.85]",36,0.3803689487562847,0.3055555555555556,0.17263043896989624,0.0520620786701734,0.20729609949865002
"(0.85, 1.0]",47,0.38342137327559883,0.2553191489361702,0.17311335291814656,0.1082907979391626,0.21714407796272905
"(1.0, 1.2]",42,0.3076217705797077,0.23809523809523808,0.2485607478445224,0.0028804207456705503,0.19050929600940303
"(1.2, 1.5]",34,0.30893809680839474,0.2647058823529412,0.20253310036697575,0.0201771907245555,0.19998477600908657
"(1.5, 2.0]",20,0.20681124960753175,0.1,0.1425312498500415,0.0,0.19527849685424142
"(2.0, 3.0]",14,0.22054161726309646,0.07142857142857142,0.11010816130815004,0.01186337892591775,0.25306103592316986
"(3.0, 100.0]",23,0.0510671355338998,0.0,0.07112770601864642,-0.0,0.10988118847704131
