pool,removed,remaining,train_addition_pp,test_addition_pp,full_addition_pp,recent_addition_pp
RET40+DD120+CHIP250+DD60+ASSET_GROWTH+C03,ASSET_GROWTH,RET40+DD120+CHIP250+DD60+C03,1.491082982337745,-0.24816834102078555,0.810344178403819,-0.4480173241424721
RET40+DD120+CHIP250+DD60+ASSET_GROWTH+C03,C03,RET40+DD120+CHIP250+DD60+ASSET_GROWTH,0.36538454397327724,-0.5903246418253305,-0.008732342492898226,-0.25159993407641146
RET40+CHIP250+DD60+ASSET_GROWTH+C03,RET40,CHIP250+DD60+ASSET_GROWTH+C03,0.30013288984438447,0.7528753319507242,0.4776023893260479,1.8086824219005333
RET40+CHIP250+DD60+ASSET_GROWTH+C03,CHIP250,RET40+DD60+ASSET_GROWTH+C03,2.0755559125486194,1.5691876996570704,1.8773037756304847,-4.356516406534369
RET40+CHIP250+DD60+ASSET_GROWTH+C03,DD60,RET40+CHIP250+ASSET_GROWTH+C03,-0.6150626409744326,-0.06368981295230647,-0.39962183584817357,-1.7145743263006779
RET40+CHIP250+DD60+ASSET_GROWTH+C03,ASSET_GROWTH,RET40+CHIP250+DD60+C03,1.4613438785586856,-0.6355076791916119,0.6404731244423623,-1.892947757141334
RET40+CHIP250+DD60+ASSET_GROWTH+C03,C03,RET40+CHIP250+DD60+ASSET_GROWTH,-0.102100406569968,-1.4748503920640044,-0.6397430892323808,-2.0366244604647648
RET40+DD120+CHIP250+DD60+ASSET_GROWTH,RET40,DD120+CHIP250+DD60+ASSET_GROWTH,-2.071167988200154,1.8803124240360218,-0.5234285351817745,5.645512397805379
RET40+DD120+CHIP250+DD60+ASSET_GROWTH,DD120,RET40+CHIP250+DD60+ASSET_GROWTH,-0.4245484527225858,-1.0002471114229952,-0.6501927561675522,-1.3247333662336436
RET40+DD120+CHIP250+DD60+ASSET_GROWTH,CHIP250,RET40+DD120+DD60+ASSET_GROWTH,0.37099537391700466,1.3361607134734008,0.7488789683084573,-1.180226411031799
RET40+DD120+CHIP250+DD60+ASSET_GROWTH,DD60,RET40+DD120+CHIP250+ASSET_GROWTH,-2.0934644690668684,-0.020018808043630543,-1.281888264942772,0.9518242209569143
RET40+DD120+CHIP250+DD60+ASSET_GROWTH,ASSET_GROWTH,RET40+DD120+CHIP250+DD60,0.8851386868517217,-0.22257754355185355,0.4521272282043691,-1.2478059024086514
