bitmask,components,factor_count,full_period_label,full_periods,full_first_signal_date,full_last_signal_date,full_mean_stock_count,full_rank_ic,full_ic_mean,full_gross_excess_pct,full_turnover_pct,full_annual_cost_pct,full_net_excess_pct,full_sharpe_after_cost,full_max_drawdown_pct,full_monthly_win_rate_pct,train_period_label,train_periods,train_first_signal_date,train_last_signal_date,train_mean_stock_count,train_rank_ic,train_ic_mean,train_gross_excess_pct,train_turnover_pct,train_annual_cost_pct,train_net_excess_pct,train_sharpe_after_cost,train_max_drawdown_pct,train_monthly_win_rate_pct,test_period_label,test_periods,test_first_signal_date,test_last_signal_date,test_mean_stock_count,test_rank_ic,test_ic_mean,test_gross_excess_pct,test_turnover_pct,test_annual_cost_pct,test_net_excess_pct,test_sharpe_after_cost,test_max_drawdown_pct,test_monthly_win_rate_pct,recent_period_label,recent_periods,recent_first_signal_date,recent_last_signal_date,recent_mean_stock_count,recent_rank_ic,recent_ic_mean,recent_gross_excess_pct,recent_turnover_pct,recent_annual_cost_pct,recent_net_excess_pct,recent_sharpe_after_cost,recent_max_drawdown_pct,recent_monthly_win_rate_pct,platform_A_raw_mean,A_newcomer_no_decay_proxy,full_min_member_addition_pp,full_vs_best_single_pp,train_min_member_addition_pp,train_vs_best_single_pp,test_min_member_addition_pp,test_vs_best_single_pp,recent_min_member_addition_pp,recent_vs_best_single_pp,contains_new_proxy,same_B01_pair
472,DD120+CHIP250+ASSET_GROWTH+C01+C02,5,full,120,2021-09-07,2026-08-10,4743.825,,,10.412141737846428,29.28722491957431,4.428228407839637,5.983913330006792,0.5821805488054566,32.98383038386039,63.33333333333333,train,73,2021-09-07,2024-08-28,4540.671232876713,,,11.494932140526974,28.4952785597325,4.308486118231554,7.186446022295419,0.0580354635041436,32.98383038386039,66.66666666666666,test,47,2024-09-11,2026-08-10,5059.36170212766,,,8.730360899640477,30.50041934316175,4.611663404686057,4.11869749495442,1.3684022772636848,23.4872664867931,58.333333333333336,recent,15,2026-01-09,2026-08-10,5100.733333333334,,,-6.10555149963979,27.83892954941909,4.209246147872166,-10.314797647511956,-0.8930696930714714,23.487266486793125,12.5,0.0101809522998,0.1272619037475,-0.0445701953031401,0.0186611487514847,0.1588023471197743,1.1631136112863425,-0.7949566885143877,-1.891201153680215,-1.192935626355906,-4.029707581395379,True,False
348,RET40+DD120+CHIP250+ASSET_GROWTH+C02,5,full,120,2021-09-07,2026-08-10,4743.825,,,10.965157790584104,34.26568769147295,5.1809719789507085,5.784185811633394,0.571356750782538,32.847160083815055,63.33333333333333,train,73,2021-09-07,2024-08-28,4540.671232876713,,,11.188580737614227,33.636836479941245,5.085889675767116,6.102691061847112,0.0211544944420702,32.847160083815055,63.888888888888886,test,47,2024-09-11,2026-08-10,5059.36170212766,,,10.618139170728798,35.22903422828746,5.326629975317063,5.291509195411734,1.3920374823370694,23.14591882571191,62.5,recent,15,2026-01-09,2026-08-10,5100.733333333334,,,-3.6050679221501527,32.9979547581364,4.989290759430224,-8.594358681580378,-0.8187700715952526,23.14591882571193,37.5,0.0099341867342,0.1241773341775,-0.2138665991179316,0.0189699995146668,-0.9249526133285332,0.079358650838035,-1.0601207047565708,-0.0748455240214598,-1.9926140204118103,-4.323164185912363,True,False
604,RET40+DD120+CHIP250+ASSET_GROWTH+C03,5,full,120,2021-09-07,2026-08-10,4743.825,,,10.530116269549628,34.68096438006844,5.243761814266349,5.286354455283281,0.5527482577800928,33.000524948752755,61.66666666666667,train,73,2021-09-07,2024-08-28,4540.671232876713,,,10.882986222929162,33.98605521577908,5.138691548625798,5.744294674303365,0.0089371027957262,33.000524948752755,63.888888888888886,test,47,2024-09-11,2026-08-10,5059.36170212766,,,9.982041661109072,35.74550607855427,5.404720519077406,4.577321142031667,1.3560952905926822,23.196942996469783,58.333333333333336,recent,15,2026-01-09,2026-08-10,5100.733333333334,,,-4.052400202708197,33.70279038583641,5.095861906338466,-9.148262109046662,-0.8393227792497446,23.19694299646976,25.0,0.009572485349,0.1196560668625,-0.4729642828942175,1.262214830545405,-0.9065427276189908,1.602609661903898,-0.6851436919352123,0.73314381274654,-4.244337768029095,-4.877067613378648,True,False
468,RET40+CHIP250+ASSET_GROWTH+C01+C02,5,full,120,2021-09-07,2026-08-10,4743.825,,,11.431118208402678,35.066733500873426,5.302090105332061,6.129028103070617,0.5883342100957173,33.07876609462167,63.33333333333333,train,73,2021-09-07,2024-08-28,4540.671232876713,,,10.96646796547639,34.587738962172224,5.22966613108044,5.73680183439595,0.00888071901563,33.07876609462167,63.888888888888886,test,47,2024-09-11,2026-08-10,5059.36170212766,,,12.152809011245632,35.80051236867102,5.413037470143059,6.739771541102574,1.4391892961443284,22.538538093623195,62.5,recent,15,2026-01-09,2026-08-10,5100.733333333334,,,-0.5801815585579371,34.10689766488276,5.156962926930272,-5.737144485488209,-0.68764937964453,22.53853809362317,37.5,0.0132773993192,0.16596749149,0.1005445777606848,0.1637759218153096,-1.010583446262677,-0.2865305766131261,0.3881416409342684,0.729872892467939,-0.2174626332244793,-1.4659499898201949,True,False
632,DD120+CHIP250+DD60+ASSET_GROWTH+C03,5,full,120,2021-09-07,2026-08-10,4743.825,,,9.253883332357136,31.849066779213075,4.815578897017017,4.43830443534012,0.5209654487278466,33.649406219584854,58.333333333333336,train,73,2021-09-07,2024-08-28,4540.671232876713,,,9.96689814729175,30.72941079559132,4.646286912293407,5.320611234998343,-0.0056954181650685,33.649406219584854,63.888888888888886,test,47,2024-09-11,2026-08-10,5059.36170212766,,,8.146434790011892,33.56428445625067,5.0749198097851,3.071514980226792,1.306448954766785,23.435482826040555,50.0,recent,15,2026-01-09,2026-08-10,5100.733333333334,,,-7.26068609984321,30.752208477111072,4.649733921739194,-11.910420021582404,-0.9605679489255794,23.43548282604057,12.5,0.0061865969441999,0.0773324618024999,-0.6414870623923754,0.4141648106022444,-1.330226166924013,1.178926222598876,-1.0405489170046556,-0.7726623490583351,-2.6516491989813087,-7.126574391522825,True,False
636,RET40+DD120+CHIP250+DD60+ASSET_GROWTH+C03,6,full,120,2021-09-07,2026-08-10,4743.825,,,9.935025831772542,36.15296098565287,5.466327701030713,4.468698130741828,0.5194644438099217,33.8569221229296,58.333333333333336,train,73,2021-09-07,2024-08-28,4540.671232876713,,,9.685138732377675,35.26921012695864,5.332704571196146,4.352434161181529,-0.0380434384366919,33.8569221229296,61.11111111111112,test,47,2024-09-11,2026-08-10,5059.36170212766,,,10.323148347853929,37.5067920883334,5.671026963756011,4.652121384097918,1.3443492095754117,22.223058075314484,54.16666666666666,recent,15,2026-01-09,2026-08-10,5100.733333333334,,,-2.562694362991472,35.297848246100294,5.337034654810364,-7.899729017801836,-0.7900069372837247,22.223058075314484,25.0,0.0083808699321666,0.1047608741520833,-0.8176563245414528,0.4445585060039523,-1.391860513121836,0.210749148782062,-0.5903246418253305,0.8079440548127912,-2.266154023961612,-3.6285345221338217,True,False
628,RET40+CHIP250+DD60+ASSET_GROWTH+C03,5,full,120,2021-09-07,2026-08-10,4743.825,,,10.069676874466948,36.91664506810219,5.5817967342970505,4.487880140169898,0.5247616388298622,34.034122310919315,61.66666666666667,train,73,2021-09-07,2024-08-28,4540.671232876713,,,9.75497276443663,36.01504696478678,5.44547510107576,4.30949766336087,-0.0398824719472883,34.034122310919315,63.888888888888886,test,47,2024-09-11,2026-08-10,5059.36170212766,,,10.558472619833186,38.29781663062795,5.790629874550946,4.767842745282239,1.356557420182735,22.873823011184847,58.333333333333336,recent,15,2026-01-09,2026-08-10,5100.733333333334,,,-2.9164027863798703,36.00276052630076,5.443617391576675,-8.360020177956546,-0.7944002677425707,22.873823011184847,25.0,0.0092830439636,0.116038049545,-0.6397430892323808,0.463740515432022,-0.6150626409744326,0.1678126509614026,-1.4748503920640044,0.9236654159971124,-4.356516406534369,-4.088825682288531,True,False
124,RET40+DD120+CHIP250+DD60+ASSET_GROWTH,5,full,120,2021-09-07,2026-08-10,4743.825,,,9.994609265140324,36.489277724243365,5.5171787919055975,4.477430473234726,0.5163752040252043,35.179997410806976,60.0,train,73,2021-09-07,2024-08-28,4540.671232876713,,,9.346299922685937,35.444777152630195,5.359250305477685,3.987049617208252,-0.0499763947806174,35.179997410806976,63.888888888888886,test,47,2024-09-11,2026-08-10,5059.36170212766,,,11.001557818314158,38.08936370628908,5.759111792390909,5.242446025923249,1.3573251490104867,22.075494579134848,54.16666666666666,recent,15,2026-01-09,2026-08-10,5100.733333333334,,,-2.210417503723414,35.96370092593922,5.43771158000201,-7.648129083725425,-0.7862759584979917,22.07549457913486,25.0,0.0070955013038,0.0886937662975,-1.281888264942772,1.8441057980947997,-2.093464469066868,0.4495773036786459,-1.0002471114229952,2.80964885248597,-1.3247333662336436,-3.37693458805741,False,False
