components,factor_count,full_period_label,full_periods,full_first_signal_date,full_last_signal_date,full_mean_stock_count,full_rank_ic,full_ic_mean,full_gross_excess_pct,full_turnover_pct,full_annual_cost_pct,full_net_excess_pct,full_sharpe_after_cost,full_max_drawdown_pct,full_monthly_win_rate_pct,full_min_member_addition_pp,full_vs_best_single_pp
SIZE+H03+CHIP250+ASSET_GROWTH+C03,5,full,120,2021-09-07,2026-08-10,4743.825,,,16.742720526162973,23.08460728442028,3.4903926214043466,13.252327904758626,0.8064278325032327,33.60173282999072,66.66666666666666,-2.0898469685467718,-3.873635636430741
SIZE+H03+CHIP250+ASSET_GROWTH+C02,5,full,120,2021-09-07,2026-08-10,4743.825,,,16.836286445016558,22.538203527004587,3.407776373283094,13.428510071733465,0.8104427200929653,33.561336158176466,68.33333333333333,-1.9136648015719349,-3.6974534694559047
SIZE+H03+CHIP250+ASSET_GROWTH+C01,5,full,120,2021-09-07,2026-08-10,4743.825,,,16.921520845630056,22.172787313514256,3.352525441803356,13.5689954038267,0.8196627002517687,33.72195984059787,66.66666666666666,-1.7731794694786966,-3.5569681373626665
SIZE+H03+DD120+ASSET_GROWTH+C01,5,full,120,2021-09-07,2026-08-10,4743.825,,,16.665806079526778,24.04022011282037,3.634881281058441,13.030924798468336,0.7974645149586296,33.40499337351294,68.33333333333333,-1.740092792502237,-4.095038742721032
SIZE+H03+RET40+CHIP250+ASSET_GROWTH,5,full,120,2021-09-07,2026-08-10,4743.825,,,17.952115337845253,28.62786576421808,4.328533303549774,13.623582034295476,0.8201424231187939,34.096905515906286,70.0,-1.7185928390099203,-3.50238150689389
SIZE+H03+DD120+CHIP250+ASSET_GROWTH,5,full,120,2021-09-07,2026-08-10,4743.825,,,15.928593781382574,22.74567416381493,3.4391459335688173,12.489447847813755,0.7706097899467429,33.445977573738496,63.33333333333333,-2.8527270254916406,-4.63651569337561
SIZE+H03+CHIP250+DD60+ASSET_GROWTH,5,full,120,2021-09-07,2026-08-10,4743.825,,,17.092876957342863,27.53959495268917,4.163986756846603,12.928890200496262,0.7869057363696875,33.64546827981395,66.66666666666666,-2.4132846728091355,-4.197073340693105
SIZE+H03+DD120+ASSET_GROWTH+C02,5,full,120,2021-09-07,2026-08-10,4743.825,,,15.777179451304754,24.174427049163487,3.655173369833519,12.122006081471234,0.7651468016628974,33.74896330151176,66.66666666666666,-2.536210987329591,-5.0039574597181335
SIZE+H03+DD120+ASSET_GROWTH+C03,5,full,120,2021-09-07,2026-08-10,4880.208333333333,,,15.604016644983854,24.456746689244515,3.6978600994137705,11.906156545570084,0.7460708516187445,34.104571808442486,68.33333333333333,-2.5943978701821404,-5.219806995619285
SIZE+H03+ASSET_GROWTH+C01+C02,5,full,120,2021-09-07,2026-08-10,4743.825,,,16.216434323324677,24.756034390383945,3.7431123998260527,12.473321923498624,0.7842069849050183,34.38367512145243,70.0,-2.297695667471949,-4.652641617690744
SIZE+H03+DD60+ASSET_GROWTH+C01,5,full,120,2021-09-07,2026-08-10,4743.825,,,17.12052514693774,28.01869121445904,4.236426111626206,12.884099035311532,0.792525896808764,34.0805812421537,71.66666666666667,-1.88691855565904,-4.241864505877835
SIZE+H03+ASSET_GROWTH+C01+C03,5,full,120,2021-09-07,2026-08-10,4743.825,,,16.545974617433316,25.42465841275797,3.8442083520090056,12.701766265424308,0.7941887491001196,34.63995744117471,71.66666666666667,-2.069251325546265,-4.42419727576506
SIZE+H03+DD120+CHIP250+ASSET_GROWTH+C02,6,full,120,2021-09-07,2026-08-10,4743.825,,,15.604301047150075,25.72552061508222,3.889698717000432,11.714602330149646,0.7459030975316515,33.5866548559936,66.66666666666666,-1.713907741583817,-5.411361211039722
SIZE+H03+CHIP250+ASSET_GROWTH+C01+C02,6,full,120,2021-09-07,2026-08-10,4743.825,,,15.619294606548904,25.466230593321157,3.8504940657101594,11.768800540838743,0.756713172258605,33.650791129760634,68.33333333333333,-1.800194862987956,-5.357163000350623
SIZE+H03+DD120+CHIP250+ASSET_GROWTH+C01,6,full,120,2021-09-07,2026-08-10,4743.825,,,15.602033736294471,25.28688185622629,3.823376536661415,11.778657199633056,0.7508342691746885,33.52059850928133,66.66666666666666,-1.7903382041936453,-5.347306341556312
SIZE+H03+RET40+DD120+ASSET_GROWTH,5,full,120,2021-09-07,2026-08-10,4880.208333333333,,,17.10582307028014,30.26992005477182,4.576811912281499,12.529011157998642,0.7635697129506278,35.02826964112552,73.33333333333333,-2.5560247261215068,-4.596952383190725
SIZE+H03+ASSET_GROWTH+C02+C03,5,full,120,2021-09-07,2026-08-10,4743.825,,,16.282617959936573,25.70609800013509,3.886762017620425,12.39585594231615,0.7827807599176516,34.691311280532446,70.0,-2.2623611264846755,-4.730107598873218
SIZE+H03+CHIP250+C02+C03,5,full,120,2021-09-07,2026-08-10,4743.825,,,16.59612504216918,29.45696443160816,4.4538930220591535,12.142232020110026,0.7615411403529867,33.652432747158635,71.66666666666667,-1.2343208082521606,-4.983731521079342
SIZE+H03+CHIP250+C01+C03,5,full,120,2021-09-07,2026-08-10,4743.825,,,16.898614135355476,29.585820071066777,4.473375994745297,12.425238140610182,0.7717151486445564,33.85760719966111,70.0,-1.7718629047416048,-4.700725400579186
SIZE+H03+CHIP250+ASSET_GROWTH+C01+C03,6,full,120,2021-09-07,2026-08-10,4743.825,,,15.793385466651047,26.27809795294368,3.973248410485084,11.820137056165963,0.7611789321868486,33.95558390052109,68.33333333333333,-1.7488583476607378,-5.305826485023404
SIZE+H03+DD120+CHIP250+ASSET_GROWTH+C03,6,full,120,2021-09-07,2026-08-10,4743.825,,,15.475458297665378,26.09168973157286,3.945063487413816,11.530394810251565,0.7415096680879354,33.673738227567085,66.66666666666666,-1.7219330945070634,-5.595568730937805
SIZE+H03+CHIP250+C01+C02,5,full,120,2021-09-07,2026-08-10,4743.825,,,16.685021848360122,28.50183711952478,4.309477772472146,12.375544075887976,0.7710226955556602,33.73710795334392,71.66666666666667,-1.821556969463812,-4.750419465301393
SIZE+H03+CHIP250+ASSET_GROWTH+C02+C03,6,full,120,2021-09-07,2026-08-10,4743.825,,,15.693055460060004,26.46480551033421,4.001478593162532,11.69157686689747,0.7530271703312884,33.84417748228693,68.33333333333333,-1.7369332048359922,-5.434386674291897
SIZE+H03+DD120+CHIP250+ASSET_GROWTH+C01+C02,7,full,120,2021-09-07,2026-08-10,4743.825,,,15.350473442376249,27.635993121963985,4.178562160040955,11.171911282335293,0.7335785450493997,32.90455213206749,68.33333333333333,-0.6067459172977632,-5.954052258854075
SIZE+H03+RET40+DD120+CHIP250+ASSET_GROWTH,6,full,120,2021-09-07,2026-08-10,4743.825,,,16.535281609612014,30.387986460253995,4.594663552790404,11.940618056821611,0.7542605472632353,33.962720761835186,70.0,-1.6829639774738665,-5.185345484367756
SIZE+H03+DD120+ASSET_GROWTH+C01+C02,6,full,120,2021-09-07,2026-08-10,4743.825,,,15.47838485917062,27.113837614403057,4.099612247297743,11.37877261187288,0.7403450413845369,34.01597881791712,71.66666666666667,-1.6521521865954565,-5.7471909293164885
SIZE+H03+RET40+CHIP250+ASSET_GROWTH+C02,6,full,120,2021-09-07,2026-08-10,4743.825,,,16.836162705961026,31.03041156713732,4.691798228951162,12.144364477009862,0.7654385931129798,34.579442226655985,70.0,-1.4792175572856152,-4.981599064179505
SIZE+H03+DD120+CHIP250+DD60+ASSET_GROWTH,6,full,120,2021-09-07,2026-08-10,4743.825,,,15.559222371884244,29.24673545719006,4.422106401127137,11.137115970757105,0.7247499243897431,33.32020719790928,70.0,-1.7917742297391577,-5.988847570432263
SIZE+H03+DD120+CHIP250+ASSET_GROWTH+C02+C03,7,full,120,2021-09-07,2026-08-10,4743.825,,,14.973693801572876,28.03901177663823,4.2394985806277,10.734195220945171,0.7195626695198881,32.74719685516999,71.66666666666667,-0.9804071092044726,-6.391768320244195
SIZE+H03+CHIP250+DD60+ASSET_GROWTH+C02,6,full,120,2021-09-07,2026-08-10,4743.825,,,15.705302276457736,29.119561364264637,4.402877678276813,11.302424598180924,0.7319082091901374,33.74151321932435,70.0,-2.126085473552539,-5.823538943008444
SIZE+H03+RET40+CHIP250+ASSET_GROWTH+C01,6,full,120,2021-09-07,2026-08-10,4743.825,,,16.893714450734855,30.853536665663476,4.665054743848318,12.22865970688654,0.7716939732310482,34.33883168679014,68.33333333333333,-1.3949223274089384,-4.897303834302829
SIZE+H03+DD120+CHIP250+C01,5,full,120,2021-09-07,2026-08-10,4743.825,,,15.813558313385348,27.309882037756854,4.129254164108836,11.684304149276512,0.7455699783509655,32.94029216456249,71.66666666666667,-2.5127968960752742,-5.441659391912856
SIZE+H03+DD120+CHIP250+C03,5,full,120,2021-09-07,2026-08-10,4743.825,,,15.505575431462397,28.18514281054691,4.261593592954693,11.243981838507702,0.7310933640242774,33.73401209330309,71.66666666666667,-2.131707430903049,-5.881981702681665
SIZE+H03+RET40+ASSET_GROWTH+C01,5,full,120,2021-09-07,2026-08-10,4743.825,,,17.347192843570763,31.458019929505525,4.756452613341235,12.590740230229528,0.7929564243726339,34.77412516779579,73.33333333333333,-2.494295653890621,-4.535223310959839
SIZE+H03+DD120+C01+C03,5,full,120,2021-09-07,2026-08-10,4743.825,,,16.22212302468942,30.94778407695965,4.6793049524363,11.54281807225312,0.7400682467801076,34.030417436375224,73.33333333333333,-1.5874713876499629,-5.583145468936248
SIZE+H03+DD120+ASSET_GROWTH+C02+C03,6,full,120,2021-09-07,2026-08-10,4743.825,,,14.814905681739049,27.35412907960172,4.135944316835779,10.67896136490327,0.7162641093377476,33.987992090249364,71.66666666666667,-1.71689457741288,-6.447002176286098
SIZE+H03+DD120+C01+C02,5,full,120,2021-09-07,2026-08-10,4743.825,,,16.091517335071917,30.086034972350973,4.549008487819467,11.54250884725245,0.7365262132317445,34.45077698843113,73.33333333333333,-1.8897562060014157,-5.583454693936918
SIZE+H03+DD120+CHIP250+ASSET_GROWTH+C01+C03,7,full,120,2021-09-07,2026-08-10,4743.825,,,15.289780857335645,28.06690857964087,4.2437165772417,11.046064280093946,0.7294196236520913,33.41401818548587,71.66666666666667,-0.7740727760720176,-6.079899261095422
SIZE+H03+DD120+ASSET_GROWTH+C01+C03,6,full,120,2021-09-07,2026-08-10,4743.825,,,15.263394858034625,27.66883122840464,4.183527281734781,11.079867576299844,0.7312844034458926,34.368313871509905,70.0,-1.951057222168492,-6.046095964889524
SIZE+H03+DD120+CHIP250+C02,5,full,120,2021-09-07,2026-08-10,4743.825,,,15.167247222557735,27.02146166515837,4.085645003771946,11.081602218785791,0.7259854021533608,32.977554698012426,73.33333333333333,-2.2949506095763947,-6.044361322403576
SIZE+H03+C01+C02+C03,5,full,120,2021-09-07,2026-08-10,4743.825,,,16.694542132726397,31.741025843851965,4.799243107590417,11.89529902513598,0.7553456129288373,34.532139371187576,71.66666666666667,-1.5369660281178843,-5.230664516053388
