variant,scope,label_offset,group,periods,platform_periods,local_cumulative_return,platform_cumulative_return_window,local_cumulative_excess,platform_cumulative_excess_window,local_annualized_return,platform_window_annualized_return,platform_reported_annualized_return,local_annualized_excess,platform_window_annualized_excess,platform_reported_annualized_excess,local_turnover,platform_reported_turnover,platform_reported_sharpe,same_group_return_sequence,same_group_excess_sequence,best_platform_group_by_return_corr,best_platform_return_corr,best_platform_group_by_excess_corr,best_platform_excess_corr
qfq_high,qfq,1,1,241,241,-0.3018385787063313,0.3785540461540222,-0.8570050987365628,-0.199672132730484,-0.06312308865891741,0.07916648932017727,0.07919999999999999,-0.17922430280631854,-0.041757159707951845,-0.0417,0.599829148245071,0.021400000000000002,0.2736,"{'n': 241, 'corr': 0.7498086717363812, 'rmse': 3.3650910385207675, 'mean_delta': -0.2823205912283624, 'sign_agreement': 0.7717842323651453}","{'n': 241, 'corr': -0.5837053019409291, 'rmse': 3.3878849684489016, 'mean_delta': -0.2727522680523149, 'sign_agreement': 0.34439834024896265}",6,0.9554902541226827,6,0.7059762421462454
qfq_high,qfq,1,2,241,241,0.6681374385871274,0.4221924841403961,0.11297091855689573,-0.15603366494178772,0.13972666765473535,0.08829253610238989,0.0883,0.02362545350733421,-0.032631106693220335,-0.0325,0.7218503443382642,0.075,0.2929,"{'n': 241, 'corr': 0.9034899606803263, 'rmse': 2.14397168597825, 'mean_delta': 0.10205184831814579, 'sign_agreement': 0.8713692946058091}","{'n': 241, 'corr': -0.6945475387673169, 'rmse': 2.162532688475132, 'mean_delta': 0.11162015912808441, 'sign_agreement': 0.29045643153526973}",7,0.9812915917702164,7,0.710509304977622
qfq_high,qfq,1,3,241,241,0.855521376058034,0.4085140824317932,0.3003548560278023,-0.16971205174922943,0.17891401391421127,0.08543199068283144,0.08539999999999999,0.06281279976681012,-0.035491648996519354,-0.0354,0.724054869681909,0.1446,0.2545,"{'n': 241, 'corr': 0.9625428818887484, 'rmse': 1.3448180368433773, 'mean_delta': 0.18548020482416627, 'sign_agreement': 0.9294605809128631}","{'n': 241, 'corr': -0.5377062123241564, 'rmse': 1.362734917528377, 'mean_delta': 0.19504850945105048, 'sign_agreement': 0.36929460580912865}",6,0.984834547793574,7,0.5915452240743819
qfq_high,qfq,1,4,241,241,0.7054974100177747,0.4200519919395447,0.15033088998754282,-0.15817426145076752,0.14753970732321928,0.08784489789939026,0.08779999999999999,0.03143849317581809,-0.03307876671003603,-0.033,0.6654686466609417,0.2606,0.2406,"{'n': 241, 'corr': 0.9811777636153012, 'rmse': 0.8112292706722979, 'mean_delta': 0.11844208219013692, 'sign_agreement': 0.9253112033195021}","{'n': 241, 'corr': -0.16737769361828228, 'rmse': 0.8120961718806229, 'mean_delta': 0.12801043628145653, 'sign_agreement': 0.44398340248962653}",6,0.9854708430494065,9,0.5003468938417511
qfq_high,qfq,1,5,241,241,0.6592138651333397,0.5437989830970764,0.10404734510310791,-0.03442719578742981,0.13786049295734573,0.11372393671407739,0.1137,0.02175927880994456,-0.007199712314051711,-0.0070999999999999995,0.5799822751873663,0.39590000000000003,0.32,"{'n': 241, 'corr': 0.9819144471668195, 'rmse': 0.7430083966663255, 'mean_delta': 0.04788999254616733, 'sign_agreement': 0.9294605809128631}","{'n': 241, 'corr': -0.06270947107886568, 'rmse': 0.7294581224334629, 'mean_delta': 0.05745831572221483, 'sign_agreement': 0.5103734439834025}",4,0.9839175027258942,10,0.24545900943255375
qfq_high,qfq,1,6,241,241,0.5465493574434269,0.6515823006629944,-0.008617162586804596,0.07335621863603592,0.11429911873505692,0.13626451432952247,0.1363,-0.0018020954123441977,0.01534088555707971,0.015300000000000001,0.49139248287418663,0.499,0.3857,"{'n': 241, 'corr': 0.9708759329045867, 'rmse': 1.0400207794738765, 'mean_delta': -0.04358213411600301, 'sign_agreement': 0.91701244813278}","{'n': 241, 'corr': -0.5389414371591341, 'rmse': 1.0184069190648792, 'mean_delta': -0.03401385112980935, 'sign_agreement': 0.34024896265560167}",3,0.9836836529406036,2,0.4743614670231925
qfq_high,qfq,1,7,241,241,0.5219009608763279,0.6329275965690613,-0.03326555915390407,0.054701440036296844,0.10914443331189595,0.13236328160614394,0.1324,-0.006956780835505249,0.011439637252403987,0.011399999999999999,0.37883323641918637,0.5717,0.3574,"{'n': 241, 'corr': 0.9405162026970216, 'rmse': 1.6179745343910608, 'mean_delta': -0.04606914344096829, 'sign_agreement': 0.8713692946058091}","{'n': 241, 'corr': -0.7999394017491728, 'rmse': 1.5924600105886522, 'mean_delta': -0.03650082953950245, 'sign_agreement': 0.21161825726141079}",3,0.9822229440794262,2,0.7881321486977754
qfq_high,qfq,1,8,241,241,0.43500001624438567,0.754345715045929,-0.12016650378584595,0.17611974477767944,0.09097095775401261,0.1577552864660366,0.1578,-0.02513025639338853,0.0368316810655396,0.0368,0.25408008130599874,0.6046,0.4331,"{'n': 241, 'corr': 0.8854491324496393, 'rmse': 2.204663788673518, 'mean_delta': -0.1325085887143333, 'sign_agreement': 0.8215767634854771}","{'n': 241, 'corr': -0.8286511414268137, 'rmse': 2.177920969238157, 'mean_delta': -0.12294035210104791, 'sign_agreement': 0.1991701244813278}",2,0.9799304250291438,2,0.8923318215578947
qfq_high,qfq,1,9,241,241,0.3578130764424123,0.872663676738739,-0.19735344358781945,0.2944374680519104,0.07482895872488622,0.18249895978270725,0.1825,-0.04127225542251494,0.061575304522059275,0.0616,0.1445452052431408,0.573,0.5147,"{'n': 241, 'corr': 0.8872926123668351, 'rmse': 2.167247638543227, 'mean_delta': -0.2136309544798036, 'sign_agreement': 0.8838174273858921}","{'n': 241, 'corr': -0.5317666160858289, 'rmse': 2.141977039072367, 'mean_delta': -0.20406261893764727, 'sign_agreement': 0.4190871369294606}",2,0.9371322661896516,2,0.6821281383067016
qfq_high,qfq,1,10,241,241,1.1022573708614847,0.659576952457428,0.5470908508312533,0.08135068416595459,0.23051357465319017,0.1379364249122588,0.1379,0.11441236050578908,0.017012757186573076,0.017,0.057058198901234994,0.337,0.3871,"{'n': 241, 'corr': 0.9590402382164599, 'rmse': 1.1812650480586817, 'mean_delta': 0.18368482091454646, 'sign_agreement': 0.9004149377593361}","{'n': 241, 'corr': 0.33829797661239747, 'rmse': 1.1836715786485623, 'mean_delta': 0.19325318118892057, 'sign_agreement': 0.6265560165975104}",9,0.9661481744245901,9,0.3919169523408073
