variant,scope,label_offset,date,stock_count,rank_ic,ic,benchmark,group_1_return,group_1_excess,turnover_1,group_1_count,group_2_return,group_2_excess,turnover_2,group_2_count,group_3_return,group_3_excess,turnover_3,group_3_count,group_4_return,group_4_excess,turnover_4,group_4_count,group_5_return,group_5_excess,turnover_5,group_5_count,group_6_return,group_6_excess,turnover_6,group_6_count,group_7_return,group_7_excess,turnover_7,group_7_count,group_8_return,group_8_excess,turnover_8,group_8_count,group_9_return,group_9_excess,turnover_9,group_9_count,group_10_return,group_10_excess,turnover_10,group_10_count,group_return,excess,turnover,selected_count
qfq_low,qfq,0,2024-07-03,5086,0.16889334051091162,0.08605846002503181,-0.031567306826173494,-0.04413814511646162,-0.012570838290288128,0.655511811023622,508,-0.04323852826593206,-0.011671221439758565,0.7917485265225933,509,-0.03433198194869066,-0.0027646751225171642,0.8070866141732284,508,-0.030815665650755716,0.0007516411754177783,0.8172888015717092,509,-0.030790195134390047,0.000777111691783447,0.8369351669941061,509,-0.027841756682367266,0.0037255501438062284,0.7677165354330708,508,-0.03013126628448966,0.0014360405416838327,0.6777996070726915,509,-0.02581106882899616,0.005756237997177335,0.44881889763779526,508,-0.028957392983797126,0.0026099138423763685,0.19253438113948917,509,-0.0196285678084319,0.011938739017741593,0.03339882121807469,509,-0.0196285678084319,0.011938739017741593,0.03339882121807469,509
qfq_low,qfq,0,2024-07-10,5093,-0.09866651599521555,-0.053977560065823736,0.0037145220248560656,0.009773783321129628,0.006059261296273562,0.6090373280943026,509,0.009970207755483757,0.006255685730627692,0.7013752455795678,509,0.005298957579734117,0.001584435554878051,0.7642436149312377,509,0.009251344378734882,0.005536822353878816,0.7372549019607844,510,0.007583303083101849,0.003868781058245783,0.7013752455795678,509,0.002091826578493445,-0.0016226954463626204,0.6620825147347741,509,0.0009952703336996215,-0.0027192516911564444,0.596078431372549,510,0.0001583208081800609,-0.0035562012166760045,0.39685658153241654,509,-0.0029654935280207916,-0.006680015552876857,0.17681728880157166,509,-0.005000713294477667,-0.008715235319333731,0.03137254901960784,510,-0.005000713294477667,-0.008715235319333731,0.03137254901960784,510
qfq_low,qfq,0,2024-07-17,5091,-0.105493821908114,0.014360785516831296,-0.02398965879551824,-0.014794883398248039,0.0091947753972702,0.5540275049115914,509,-0.018914599209051683,0.005075059586466556,0.6915520628683693,509,-0.016999610148829114,0.006990048646689125,0.7426326129666012,509,-0.02240286827497947,0.0015867905205387695,0.7072691552062869,509,-0.022944370939814714,0.0010452878557035243,0.7190569744597249,509,-0.032089935669784214,-0.008100276874265976,0.6227897838899803,509,-0.03122807628937006,-0.007238417493851821,0.5736738703339882,509,-0.030868247782234116,-0.006878588986715877,0.4106090373280943,509,-0.029920595423282813,-0.005930936627764574,0.1532416502946955,509,-0.019741746423462526,0.004247912372055712,0.01764705882352946,510,-0.019741746423462526,0.004247912372055712,0.01764705882352946,510
qfq_low,qfq,0,2024-07-24,5086,-0.265192011866168,-0.04984627629791446,0.06271006065820757,0.07177780745737641,0.009067746799168844,0.5393700787401574,508,0.08040536739108435,0.01769530673287678,0.6954813359528487,509,0.07778538360775081,0.015075322949543238,0.7460629921259843,508,0.07174350853715068,0.009033447878943113,0.7111984282907662,509,0.06621588861939347,0.003505827961185898,0.6620825147347741,509,0.05628371645649306,-0.006426344201714507,0.5964566929133859,508,0.054204490302347114,-0.008505570355860456,0.48919449901768175,509,0.048257625484413674,-0.014452435173793896,0.35629921259842523,508,0.0402147944099679,-0.022495266248239672,0.14931237721021606,509,0.06021843746024996,-0.002491623197957607,0.015717092337917515,509,0.06021843746024996,-0.002491623197957607,0.015717092337917515,509
qfq_low,qfq,0,2024-07-31,5085,-0.12923654022812414,-0.08160051086036824,-0.017244188748982932,0.0004913420886848782,0.01773553083766781,0.6653543307086613,508,-0.00711562756078519,0.010128561188197742,0.762278978388998,509,-0.016447742324887007,0.0007964464240959243,0.7795275590551181,508,-0.01809424337200084,-0.0008500546230179075,0.7838899803536346,509,-0.02226377996625527,-0.005019591217272339,0.7618110236220472,508,-0.020109468744018418,-0.0028652799950354864,0.7072691552062869,509,-0.02380342688419098,-0.006559238135208048,0.6614173228346456,508,-0.016663692062224667,0.0005804966867582646,0.5088408644400786,509,-0.021618747017458053,-0.004374558268475121,0.23818897637795278,508,-0.026811435655258013,-0.00956724690627508,0.013752455795677854,509,-0.026811435655258013,-0.00956724690627508,0.013752455795677854,509
qfq_low,qfq,0,2024-08-07,5087,0.026633344719680877,0.018467505237839826,-0.014616547720334772,-0.009661130272417124,0.004955417447917648,0.6377952755905512,508,-0.011682031353459564,0.002934516366875207,0.7544204322200393,509,-0.014959260212851558,-0.00034271249251678626,0.787819253438114,509,-0.017273110807689698,-0.002656563087354926,0.8169291338582677,508,-0.014130664135980926,0.000485883584353846,0.756385068762279,509,-0.019114092242193004,-0.004497544521858233,0.7347740667976425,509,-0.018726578444512743,-0.004110030724177972,0.6929133858267716,508,-0.017625527906350053,-0.003008980186015281,0.5088408644400786,509,-0.00848287073985254,0.006133676980482231,0.23182711198428296,509,-0.014513769391308887,0.00010277832902588421,0.013752455795677854,509,-0.014513769391308887,0.00010277832902588421,0.013752455795677854,509
qfq_low,qfq,0,2024-08-14,5090,0.006982745952408777,0.035131599049166636,-0.019760284820510295,-0.021092894299227356,-0.001332609478717061,0.5638506876227898,509,-0.015293615827800075,0.00446666899271022,0.7170923379174853,509,-0.019684048356873506,7.623646363678904e-05,0.7151277013752455,509,-0.022403722455261038,-0.0026434376347507435,0.6954813359528487,509,-0.018172734589769264,0.0015875502307410305,0.6719056974459725,509,-0.019978096221000937,-0.00021781140049064243,0.5834970530451866,509,-0.023964073092591666,-0.004203788272081371,0.49508840864440073,509,-0.019919559066736172,-0.0001592742462258774,0.34577603143418467,509,-0.020107499893853232,-0.0003472150733429373,0.168958742632613,509,-0.016986604401989718,0.0027736804185205764,0.011787819253438081,509,-0.016986604401989718,0.0027736804185205764,0.011787819253438081,509
qfq_low,qfq,0,2024-08-21,5091,0.023713697088236146,-0.01779232086621521,-0.017668384381492867,-0.014982919424243431,0.0026854649572494362,0.5363457760314342,509,-0.017166404599910017,0.0005019797815828501,0.7367387033398821,509,-0.01912289309200904,-0.0014545087105161739,0.7367387033398821,509,-0.02068608918235077,-0.003017704800857904,0.7053045186640472,509,-0.019363835078894838,-0.0016954506974019706,0.6699410609037328,509,-0.017563639603299055,0.00010474477819381184,0.581532416502947,509,-0.01592834997917601,0.0017400344023168583,0.48330058939096265,509,-0.01675342909342271,0.0009149552880701566,0.3280943025540275,509,-0.01486640784160273,0.0028019765398901372,0.15127701375245584,509,-0.020244814171905316,-0.002576429790412449,0.0117647058823529,510,-0.020244814171905316,-0.002576429790412449,0.0117647058823529,510
qfq_low,qfq,0,2024-08-28,5089,-0.04582295228034859,0.003792256772406999,0.02071761949237119,0.02137964934249936,0.0006620298501281707,0.5846456692913387,508,0.026545003816395397,0.005827384324024208,0.7603143418467584,509,0.025128472088067563,0.004410852595696374,0.7917485265225933,509,0.021996376207643154,0.0012787567152719656,0.7583497053045187,509,0.02593753738605896,0.005219917893687771,0.7426326129666012,509,0.020258234981816666,-0.00045938451055452245,0.6699410609037328,509,0.023155379560029922,0.0024377600676587334,0.5893909626719057,509,0.012051167966093746,-0.008666451526277442,0.37917485265225936,509,0.005521005481048126,-0.015196614011323063,0.18271119842829076,509,0.025204668742094573,0.004487049249723384,0.013752455795677854,509,0.025204668742094573,0.004487049249723384,0.013752455795677854,509
qfq_low,qfq,0,2024-09-04,5087,-0.20010584028972273,-0.057692044664090565,-0.011258092897079788,0.0008382092577007364,0.012096302154780525,0.6200787401574803,508,0.00012184741988236863,0.011379940316962156,0.7701375245579568,509,-0.0024025424160681458,0.008855550481011642,0.7779960707269156,509,-0.008184287610177433,0.003073805286902355,0.8051181102362205,508,-0.011577075640966657,-0.0003189827438868694,0.7838899803536346,509,-0.015114967740888679,-0.0038568748438088905,0.6836935166994106,509,-0.016526595063616784,-0.0052685021665369956,0.5925196850393701,508,-0.020375581756101584,-0.009117488859021796,0.41846758349705304,509,-0.02466025306300524,-0.013402160165925452,0.1807465618860511,509,-0.014680229302006083,-0.003422136404926295,0.013752455795677854,509,-0.014680229302006083,-0.003422136404926295,0.013752455795677854,509
