variant,scope,label_offset,year,periods,stock_count_mean,rank_ic,group_return_sum,excess_sum,turnover_mean
qfq_close,qfq,0,2021,16,4524.875,-0.00623708442846912,0.04987013177254385,-0.0022097956534730748,0.022960578594370604
qfq_close,qfq,0,2022,48,4737.791666666667,0.013978715285710144,0.030294202192922615,0.06504542357199619,0.03649006148522365
qfq_close,qfq,0,2023,49,4999.367346938776,0.01879088147241215,0.055979655435364255,0.04521324802178127,0.04016161312955411
qfq_close,qfq,0,2024,48,5097.645833333333,0.032490135562274,0.17394995159839444,0.08393949274520882,0.029470966194284787
qfq_close,qfq,0,2025,49,5136.408163265306,0.012663724403269887,0.6293344821822833,0.16515660725310827,0.049674476042418605
qfq_close,qfq,0,2026,31,5186.8387096774195,0.06060726496513907,0.17855620161324295,0.18493751341724643,0.3351296553639024
qfq_close,qfq,1,2021,16,4524.875,0.0007355457492083024,0.06497295729091727,0.013568005628534942,0.022960578594370604
qfq_close,qfq,1,2022,48,4737.791666666667,0.011057238328977669,0.011388084257944228,0.05574207557741009,0.03649006148522365
qfq_close,qfq,1,2023,49,4999.367346938776,0.01952042193774624,0.05261315492416406,0.03916325718364712,0.04016161312955411
qfq_close,qfq,1,2024,48,5097.645833333333,0.030199175001649342,0.21592798077137199,0.09837026599911142,0.029470966194284787
qfq_close,qfq,1,2025,49,5136.408163265306,0.012819956652128525,0.6069732169693323,0.150686859527769,0.049674476042418605
qfq_close,qfq,1,2026,31,5186.8387096774195,0.035017287398441156,0.0010124706045105125,0.04019088087153595,0.3351296553639024
qfq_high,qfq,0,2021,16,4524.875,0.00843753232886642,0.05217573168680417,9.580426078724391e-05,0.019558943233604735
qfq_high,qfq,0,2022,48,4737.791666666667,0.023653091330515824,0.04289064866527207,0.07764187004434567,0.03422049363861609
qfq_high,qfq,0,2023,49,4999.367346938776,0.031626497204328634,0.05838310337281563,0.04761669595923265,0.04189057109984452
qfq_high,qfq,0,2024,48,5097.645833333333,0.05386171347055455,0.1910722806397781,0.10106182178659251,0.03216504798848632
qfq_high,qfq,0,2025,49,5136.408163265306,0.03829271187841855,0.6323003613206897,0.16812248639151464,0.038859130605663705
qfq_high,qfq,0,2026,31,5186.8387096774195,0.03876707636821249,0.15111846658842862,0.15749977839243212,0.20184974858456484
qfq_high,qfq,1,2021,16,4524.875,0.018921310862100395,0.07077824274310573,0.019373291080723394,0.019558943233604735
qfq_high,qfq,1,2022,48,4737.791666666667,0.02141973716446174,0.02342684534765008,0.06778083666711597,0.03422049363861609
qfq_high,qfq,1,2023,49,4999.367346938776,0.03169991592734746,0.0555180721303908,0.04206817438987384,0.04189057109984452
qfq_high,qfq,1,2024,48,5097.645833333333,0.03542927559102715,0.22041769434148917,0.1028599795692286,0.03216504798848632
qfq_high,qfq,1,2025,49,5136.408163265306,0.04261772540716588,0.6099238170989413,0.153637459657378,0.038859130605663705
qfq_high,qfq,1,2026,31,5186.8387096774195,0.05068654788718311,0.12219269919990797,0.16137110946693342,0.20184974858456484
qfq_low,qfq,0,2021,16,4524.875,-0.031378445966660305,0.044283672520782316,-0.0077962549052346,0.02486902356688181
qfq_low,qfq,0,2022,48,4737.791666666667,-0.00927033834521014,0.016687041825348834,0.05143826320442241,0.04535891520865796
qfq_low,qfq,0,2023,49,4999.367346938776,-0.006468466186774898,0.038165550083193306,0.02739914266961033,0.042006836978945056
qfq_low,qfq,0,2024,48,5097.645833333333,0.0003550876987839062,0.17308792376319004,0.08307746491000444,0.029677053825353034
qfq_low,qfq,0,2025,49,5136.408163265306,-0.038660780275013414,0.6104409389861774,0.14626306405700235,0.10656509889766468
qfq_low,qfq,0,2026,31,5186.8387096774195,-0.029698849041294023,-0.038324681424446595,-0.03194336962044311,0.4140266840956825
qfq_low,qfq,1,2021,16,4524.875,-0.0175017071937685,0.06411184924370647,0.012706897581324133,0.02486902356688181
qfq_low,qfq,1,2022,48,4737.791666666667,-0.0077494796712315435,0.005901740784920589,0.050255732104386455,0.04535891520865796
qfq_low,qfq,1,2023,49,4999.367346938776,-0.005481259070362997,0.03179593801710504,0.018346040276588097,0.042006836978945056
qfq_low,qfq,1,2024,48,5097.645833333333,-0.0028980664510638962,0.20798435684847272,0.09042664207621215,0.029677053825353034
qfq_low,qfq,1,2025,49,5136.408163265306,-0.03645380884794636,0.5856946553816236,0.12940829794006034,0.10656509889766468
qfq_low,qfq,1,2026,31,5186.8387096774195,-0.036482170782637866,-0.13420481312621507,-0.09502640285918965,0.4140266840956825
qfq_open,qfq,0,2021,16,4524.875,-0.01707969467270824,0.04691326577490372,-0.005166661651113199,0.03721289356688045
qfq_open,qfq,0,2022,48,4737.791666666667,0.001703667050916852,0.02306517909889729,0.05781640047797089,0.062260048239768134
qfq_open,qfq,0,2023,49,4999.367346938776,0.0010849515896778693,0.03375312463497889,0.02298671722139591,0.06760170942341727
qfq_open,qfq,0,2024,48,5097.645833333333,0.010972629980037216,0.17707358949088223,0.08706313063769663,0.041962271456355484
qfq_open,qfq,0,2025,49,5136.408163265306,-0.02634967052140715,0.6212488341089581,0.15707095917978317,0.11306497947816925
qfq_open,qfq,0,2026,31,5186.8387096774195,-0.027709558881831787,-0.0052859609160455165,0.001095350887957973,0.4492856141373852
qfq_open,qfq,1,2021,16,4524.875,9.902012536053707e-05,0.06734601706935327,0.01594106540697093,0.03721289356688045
qfq_open,qfq,1,2022,48,4737.791666666667,0.0032284091443930962,0.01169914114575471,0.056053132465220576,0.062260048239768134
qfq_open,qfq,1,2023,49,4999.367346938776,0.00208831551044446,0.03334668352255872,0.019896785782041775,0.06760170942341727
qfq_open,qfq,1,2024,48,5097.645833333333,-0.0032486953066747626,0.2068369360582421,0.08927922128598155,0.041962271456355484
qfq_open,qfq,1,2025,49,5136.408163265306,-0.01626602530921994,0.5931724489536618,0.1368860915120986,0.11306497947816925
qfq_open,qfq,1,2026,31,5186.8387096774195,0.000800899763701631,0.00129495864303927,0.040473368910064714,0.4492856141373852
raw_close_2024,raw_2024,0,2024,48,5097.645833333333,-0.004473910525228632,-0.12015835399908231,-0.21016881285226788,0.8507694951835327
raw_close_2024,raw_2024,1,2024,48,5097.645833333333,0.010051243529742446,0.03964673706502811,-0.07791097770723242,0.8507694951835327
raw_high_2024,raw_2024,0,2024,48,5097.645833333333,0.07607688143358382,0.14236605228408927,0.052355593430903666,0.7159502367524447
raw_high_2024,raw_2024,1,2024,48,5097.645833333333,0.035320792974077815,0.06593308023504739,-0.051624634537213165,0.7159502367524447
raw_low_2024,raw_2024,0,2024,48,5097.645833333333,-0.06301510807946098,-0.23379479611899795,-0.32380525497218354,0.7744521418891224
raw_low_2024,raw_2024,1,2024,48,5097.645833333333,-0.04342406377288677,-0.17427173464909076,-0.2918294494213513,0.7744521418891224
raw_open_2024,raw_2024,0,2024,48,5097.645833333333,-0.026373307188510223,-0.13132670312841518,-0.2213371619816008,0.8446359475477987
raw_open_2024,raw_2024,1,2024,48,5097.645833333333,-0.04187849141868397,-0.13160278392310532,-0.24916049869536583,0.8446359475477987
